event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Tumble_Dryer_2014-03-21_01,Tumble Dryer,Appliance3,Shiftable,2014-03-21 09:43:00,2014-03-21 11:02:00,79.0,96376.99,True,"{""0"": 0, ""1"": 79}",1,1,1,1.0
Tumble_Dryer_2014-03-21_02,Tumble Dryer,Appliance3,Shiftable,2014-03-21 11:06:00,2014-03-21 11:58:00,52.0,54475.48,True,"{""0"": 0, ""1"": 52}",1,1,1,1.0
Tumble_Dryer_2014-03-24_01,Tumble Dryer,Appliance3,Shiftable,2014-03-24 10:33:00,2014-03-24 11:20:00,47.0,52689.9,True,"{""0"": 0, ""1"": 47}",1,1,1,1.0
Tumble_Dryer_2014-03-30_01,Tumble Dryer,Appliance3,Shiftable,2014-03-30 12:51:00,2014-03-30 13:18:00,27.0,37126.05,True,"{""0"": 0, ""1"": 27}",1,1,1,1.0
Tumble_Dryer_2014-03-30_02,Tumble Dryer,Appliance3,Shiftable,2014-03-30 14:10:00,2014-03-30 15:18:00,68.0,74987.32,True,"{""0"": 0, ""1"": 68}",1,1,1,1.0
Tumble_Dryer_2014-03-31_01,Tumble Dryer,Appliance3,Shiftable,2014-03-31 08:07:00,2014-03-31 08:48:00,41.0,43806.26,True,"{""0"": 0, ""1"": 41}",1,1,1,1.0
Tumble_Dryer_2014-03-31_02,Tumble Dryer,Appliance3,Shiftable,2014-03-31 10:24:00,2014-03-31 11:08:00,44.0,47962.16,True,"{""0"": 0, ""1"": 44}",1,1,1,1.0
Tumble_Dryer_2014-04-07_01,Tumble Dryer,Appliance3,Shiftable,2014-04-07 08:33:00,2014-04-07 08:55:00,22.0,30862.91,True,"{""0"": 0, ""1"": 22}",1,1,1,1.0
Tumble_Dryer_2014-04-07_02,Tumble Dryer,Appliance3,Shiftable,2014-04-07 08:56:00,2014-04-07 09:38:00,42.0,33670.42,True,"{""0"": 0, ""1"": 42}",1,1,1,1.0
Tumble_Dryer_2014-04-07_03,Tumble Dryer,Appliance3,Shiftable,2014-04-07 10:10:00,2014-04-07 11:03:00,53.0,57816.76,True,"{""0"": 0, ""1"": 53}",1,1,1,1.0
Tumble_Dryer_2014-04-09_02,Tumble Dryer,Appliance3,Shiftable,2014-04-09 23:15:00,2014-04-09 23:20:00,5.0,288.0,True,"{""0"": 0, ""1"": 5}",1,1,1,1.0
Tumble_Dryer_2014-04-10_02,Tumble Dryer,Appliance3,Shiftable,2014-04-10 01:01:00,2014-04-10 01:07:00,6.0,287.09,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Tumble_Dryer_2014-04-10_04,Tumble Dryer,Appliance3,Shiftable,2014-04-10 03:34:00,2014-04-10 04:11:00,37.0,298.14,False,"{""0"": 37, ""1"": 0}",0,0,0,0.0
