event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,time_shift_hours,power_profile_points
Tumble_Dryer_2013-10-24_01,Tumble Dryer,Appliance4,2013-10-24 10:56:00,2013-10-24 11:07:00,2013-10-24 13:11:00,2013-10-24 13:22:00,11,0.007439696969696969,0.0037198484848484847,0.0037198484848484847,50.0,2.25,11
Tumble_Dryer_2013-10-24_02,Tumble Dryer,Appliance4,2013-10-24 12:36:00,2013-10-24 12:47:00,2013-10-24 13:36:00,2013-10-24 13:47:00,11,0.005187714285714285,0.0025938571428571425,0.0025938571428571425,50.0,1.0,8
Tumble_Dryer_2013-10-28_01,Tumble Dryer,Appliance4,2013-10-28 08:12:00,2013-10-28 08:19:00,2013-10-28 13:12:00,2013-10-28 13:19:00,7,0.04380808333333333,0.021904041666666665,0.021904041666666665,50.0,5.0,7
Tumble_Dryer_2013-11-01_01,Tumble Dryer,Appliance4,2013-11-01 07:13:00,2013-11-01 07:31:00,2013-11-01 13:13:00,2013-11-01 13:31:00,18,0.0770853472222222,0.0385426736111111,0.0385426736111111,50.0,6.0,18
Tumble_Dryer_2013-11-08_01,Tumble Dryer,Appliance4,2013-11-08 16:12:00,2013-11-08 16:18:00,2013-11-08 20:12:00,2013-11-08 20:18:00,6,0.00012,6e-05,6e-05,50.0,4.0,6
Tumble_Dryer_2013-11-13_01,Tumble Dryer,Appliance4,2013-11-13 11:51:00,2013-11-13 11:56:00,2013-11-13 13:06:00,2013-11-13 13:11:00,5,0.00139625,0.000698125,0.000698125,50.0,1.25,3
Tumble_Dryer_2013-11-14_01,Tumble Dryer,Appliance4,2013-11-14 18:11:00,2013-11-14 18:20:00,2013-11-14 20:11:00,2013-11-14 20:20:00,9,0.00272,0.00136,0.00136,50.0,2.0,9
Tumble_Dryer_2013-11-15_01,Tumble Dryer,Appliance4,2013-11-15 06:59:00,2013-11-15 07:11:00,2013-11-15 13:14:00,2013-11-15 13:26:00,12,0.007680000000000001,0.0038400000000000005,0.0038400000000000005,50.0,6.25,3
Tumble_Dryer_2013-11-16_01,Tumble Dryer,Appliance4,2013-11-16 07:16:00,2013-11-16 07:23:00,2013-11-16 13:01:00,2013-11-16 13:08:00,7,0.06384830808080807,0.03192415404040404,0.03192415404040404,50.0,5.75,7
Tumble_Dryer_2013-11-27_01,Tumble Dryer,Appliance4,2013-11-27 12:36:00,2013-11-27 12:49:00,2013-11-27 13:06:00,2013-11-27 13:19:00,13,0.013298035714285712,0.006649017857142856,0.006649017857142856,50.0,0.5,11
Tumble_Dryer_2013-12-08_01,Tumble Dryer,Appliance4,2013-12-08 09:33:00,2013-12-08 09:41:00,2013-12-08 13:03:00,2013-12-08 13:11:00,8,0.04007631547619047,0.020038157738095235,0.020038157738095235,50.0,3.5,8
Tumble_Dryer_2013-12-23_01,Tumble Dryer,Appliance4,2013-12-23 11:01:00,2013-12-23 11:13:00,2013-12-23 13:01:00,2013-12-23 13:13:00,12,0.08701126803751805,0.043505634018759023,0.043505634018759023,50.0,2.0,10
Tumble_Dryer_2013-12-23_02,Tumble Dryer,Appliance4,2013-12-23 11:15:00,2013-12-23 11:27:00,2013-12-23 13:15:00,2013-12-23 13:27:00,12,0.02851971681096681,0.014259858405483406,0.014259858405483406,50.0,2.0,11
Tumble_Dryer_2013-12-26_01,Tumble Dryer,Appliance4,2013-12-26 07:20:00,2013-12-26 07:36:00,2013-12-26 13:05:00,2013-12-26 13:21:00,16,0.1354689563492063,0.06773447817460315,0.06773447817460315,50.0,5.75,16
Tumble_Dryer_2013-12-26_02,Tumble Dryer,Appliance4,2013-12-26 12:06:00,2013-12-26 12:34:00,2013-12-26 13:21:00,2013-12-26 13:49:00,28,0.10938476190476193,0.054692380952380965,0.054692380952380965,50.0,1.25,17
Tumble_Dryer_2013-12-26_03,Tumble Dryer,Appliance4,2013-12-26 12:35:00,2013-12-26 12:54:00,2013-12-26 13:50:00,2013-12-26 14:09:00,19,0.03054811904761905,0.015274059523809525,0.015274059523809525,50.0,1.25,15
Tumble_Dryer_2013-12-26_04,Tumble Dryer,Appliance4,2013-12-26 12:55:00,2013-12-26 13:11:00,2013-12-26 14:10:00,2013-12-26 14:26:00,16,0.050824651785714284,0.040653401785714284,0.01017125,20.012434207879647,1.25,13
