event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,is_shifted
Dishwasher_2014-03-22_02,Dishwasher,Appliance5,2014-03-22 19:53:00,2014-03-22 20:31:00,2014-03-22 20:08:00,2014-03-22 20:46:00,38,0.07932620075757575,0.05045855744949494,0.02886764330808081,36.391057472047045,True
Dishwasher_2014-03-25_01,Dishwasher,Appliance5,2014-03-25 07:44:00,2014-03-25 08:54:00,2014-03-25 13:14:00,2014-03-25 14:24:00,70,0.25681179797979786,0.12840589898989893,0.12840589898989893,50.0,True
Dishwasher_2014-03-29_01,Dishwasher,Appliance5,2014-03-29 07:17:00,2014-03-29 08:27:00,2014-03-29 13:02:00,2014-03-29 14:12:00,70,0.2693482604617604,0.1346741302308802,0.1346741302308802,50.0,True
Dishwasher_2014-03-31_01,Dishwasher,Appliance5,2014-03-31 18:03:00,2014-03-31 18:42:00,2014-03-31 20:03:00,2014-03-31 20:42:00,39,0.10164261706349204,0.05082130853174602,0.05082130853174602,50.0,True
Dishwasher_2014-04-03_01,Dishwasher,Appliance5,2014-04-03 19:12:00,2014-04-03 20:22:00,2014-04-03 20:12:00,2014-04-03 21:22:00,70,0.17961739087301587,0.12836779960317463,0.051249591269841244,28.53264431731623,True
Dishwasher_2014-04-08_01,Dishwasher,Appliance5,2014-04-08 12:32:00,2014-04-08 13:41:00,2014-04-08 13:02:00,2014-04-08 14:11:00,69,0.17495475297619048,0.12712999801587302,0.04782475496031746,27.335499120064437,True
Dishwasher_2014-04-11_01,Dishwasher,Appliance5,2014-04-11 06:43:00,2014-04-11 07:50:00,2014-04-11 13:13:00,2014-04-11 14:20:00,67,0.2515410416666667,0.12577052083333334,0.12577052083333334,50.0,True
Dishwasher_2014-04-14_01,Dishwasher,Appliance5,2014-04-14 05:54:00,2014-04-14 07:06:00,2014-04-14 13:09:00,2014-04-14 14:21:00,72,0.24547978664391162,0.13141703221084472,0.1140627544330669,46.46523283748987,True
Dishwasher_2014-04-16_01,Dishwasher,Appliance5,2014-04-16 18:53:00,2014-04-16 20:03:00,2014-04-16 20:08:00,2014-04-16 21:18:00,70,0.25616586706349215,0.1312433085317461,0.12492255853174605,48.766277866669604,True
Dishwasher_2014-04-19_01,Dishwasher,Appliance5,2014-04-19 19:07:00,2014-04-19 20:13:00,2014-04-19 20:07:00,2014-04-19 21:13:00,66,0.19098961309523796,0.12830311011904758,0.06268650297619038,32.821943539375326,True
