event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,is_shifted,is_low_rate_period,search_start,search_end
Dishwasher_2013-10-10_01,Dishwasher,Appliance6,2013-10-10 10:45:00,2013-10-10 11:19:00,2013-10-11 06:00:00,2013-10-11 06:34:00,34,0.002933180555555555,0.0014665902777777776,0.0014665902777777776,50.0,True,True,2013-10-10 10:45:00,2013-10-11 14:00:00
Dishwasher_2013-10-25_01,Dishwasher,Appliance6,2013-10-25 10:11:00,2013-10-25 10:45:00,2013-10-26 06:11:00,2013-10-26 06:45:00,34,0.0025062182539682533,0.0012531091269841266,0.0012531091269841266,50.0,True,True,2013-10-25 10:11:00,2013-10-26 14:00:00
Dishwasher_2013-11-08_01,Dishwasher,Appliance6,2013-11-08 13:55:00,2013-11-08 14:30:00,2013-11-09 06:10:00,2013-11-09 06:45:00,35,0.2737322301587301,0.13686611507936505,0.13686611507936505,50.0,True,True,2013-11-08 13:55:00,2013-11-09 14:00:00
Dishwasher_2013-11-09_01,Dishwasher,Appliance6,2013-11-09 10:10:00,2013-11-09 10:46:00,2013-11-10 06:10:00,2013-11-10 06:46:00,36,0.24206099999999994,0.12103049999999997,0.12103049999999997,50.0,True,True,2013-11-09 10:10:00,2013-11-10 14:00:00
Dishwasher_2013-11-10_01,Dishwasher,Appliance6,2013-11-10 09:55:00,2013-11-10 10:19:00,2013-11-11 06:10:00,2013-11-11 06:34:00,24,0.06728891666666666,0.03364445833333333,0.03364445833333333,50.0,True,True,2013-11-10 09:55:00,2013-11-11 14:00:00
Dishwasher_2013-11-14_01,Dishwasher,Appliance6,2013-11-14 12:09:00,2013-11-14 12:42:00,2013-11-15 06:09:00,2013-11-15 06:42:00,33,0.0031353373015873013,0.0015676686507936507,0.0015676686507936507,50.0,True,True,2013-11-14 12:09:00,2013-11-15 14:00:00
Dishwasher_2013-11-15_01,Dishwasher,Appliance6,2013-11-15 14:13:00,2013-11-15 14:32:00,2013-11-16 06:13:00,2013-11-16 06:32:00,19,0.005992999999999998,0.002996499999999999,0.002996499999999999,50.0,True,True,2013-11-15 14:13:00,2013-11-16 14:00:00
Dishwasher_2013-12-08_02,Dishwasher,Appliance6,2013-12-08 14:22:00,2013-12-08 14:42:00,2013-12-09 06:07:00,2013-12-09 06:27:00,20,0.006239857142857144,0.003119928571428572,0.003119928571428572,50.0,True,True,2013-12-08 14:22:00,2013-12-09 14:00:00
Dishwasher_2013-12-22_01,Dishwasher,Appliance6,2013-12-22 10:10:00,2013-12-22 10:59:00,2013-12-23 06:10:00,2013-12-23 06:59:00,49,0.18958777976190475,0.09479388988095237,0.09479388988095237,50.0,True,True,2013-12-22 10:10:00,2013-12-23 14:00:00
Dishwasher_2013-12-24_02,Dishwasher,Appliance6,2013-12-24 12:17:00,2013-12-24 12:51:00,2013-12-25 06:02:00,2013-12-25 06:36:00,34,0.09135475595238093,0.04567737797619047,0.04567737797619047,50.0,True,True,2013-12-24 12:17:00,2013-12-25 14:00:00
Dishwasher_2013-12-25_02,Dishwasher,Appliance6,2013-12-25 11:54:00,2013-12-25 12:33:00,2013-12-26 06:09:00,2013-12-26 06:48:00,39,0.08213313095238094,0.04106656547619047,0.04106656547619047,50.0,True,True,2013-12-25 11:54:00,2013-12-26 14:00:00
Dishwasher_2013-12-26_02,Dishwasher,Appliance6,2013-12-26 23:17:00,2013-12-26 23:36:00,2013-12-27 06:02:00,2013-12-27 06:21:00,19,0.005841999999999999,0.0029209999999999996,0.0029209999999999996,50.0,True,True,2013-12-26 23:17:00,2013-12-27 14:00:00
Dishwasher_2014-03-25_01,Dishwasher,Appliance6,2014-03-25 00:10:00,2014-03-25 00:18:00,2014-03-25 06:10:00,2014-03-25 06:18:00,8,0.0032853333333333332,0.0016426666666666666,0.0016426666666666666,50.0,True,True,2014-03-25 00:10:00,2014-03-26 14:00:00
Dishwasher_2014-04-04_02,Dishwasher,Appliance6,2014-04-04 21:58:00,2014-04-04 22:17:00,2014-04-05 06:13:00,2014-04-05 06:32:00,19,0.005910386904761904,0.002955193452380952,0.002955193452380952,50.0,True,True,2014-04-04 21:58:00,2014-04-05 14:00:00
Dishwasher_2014-04-05_01,Dishwasher,Appliance6,2014-04-05 11:43:00,2014-04-05 13:41:00,2014-04-06 06:13:00,2014-04-06 08:11:00,118,0.3697618232323233,0.2875875732323233,0.08217425,22.223562530512915,True,True,2014-04-05 11:43:00,2014-04-06 14:00:00
Dishwasher_2014-04-06_01,Dishwasher,Appliance6,2014-04-06 13:49:00,2014-04-06 14:23:00,2014-04-07 06:04:00,2014-04-07 06:38:00,34,0.2662918484848484,0.1331459242424242,0.1331459242424242,50.0,True,True,2014-04-06 13:49:00,2014-04-07 14:00:00
Dishwasher_2014-04-08_01,Dishwasher,Appliance6,2014-04-08 10:32:00,2014-04-08 11:06:00,2014-04-09 06:02:00,2014-04-09 06:36:00,34,0.27625379365079367,0.13812689682539683,0.13812689682539683,50.0,True,True,2014-04-08 10:32:00,2014-04-09 14:00:00
Dishwasher_2014-04-12_01,Dishwasher,Appliance6,2014-04-12 09:21:00,2014-04-12 09:57:00,2014-04-13 06:06:00,2014-04-13 06:42:00,36,0.28853575,0.144267875,0.144267875,50.0,True,True,2014-04-12 09:21:00,2014-04-13 14:00:00
Dishwasher_2014-04-15_01,Dishwasher,Appliance6,2014-04-15 12:06:00,2014-04-15 12:41:00,2014-04-16 06:06:00,2014-04-16 06:41:00,35,0.289305755952381,0.1446528779761905,0.1446528779761905,50.0,True,True,2014-04-15 12:06:00,2014-04-16 14:00:00
Dishwasher_2014-04-26_01,Dishwasher,Appliance6,2014-04-26 12:40:00,2014-04-26 13:15:00,2014-04-27 06:10:00,2014-04-27 06:45:00,35,0.2764435297619047,0.13822176488095236,0.13822176488095236,50.0,True,True,2014-04-26 12:40:00,2014-04-27 14:00:00
Dishwasher_2014-04-29_01,Dishwasher,Appliance6,2014-04-29 13:02:00,2014-04-29 13:36:00,2014-04-30 06:02:00,2014-04-30 06:36:00,34,0.2770811212121212,0.1385405606060606,0.1385405606060606,50.0,True,True,2014-04-29 13:02:00,2014-04-30 14:00:00
Dishwasher_2014-05-02_01,Dishwasher,Appliance6,2014-05-02 09:26:00,2014-05-02 10:01:00,2014-05-03 06:11:00,2014-05-03 06:46:00,35,0.26812982341269836,0.13406491170634918,0.13406491170634918,50.0,True,True,2014-05-02 09:26:00,2014-05-03 14:00:00
Dishwasher_2014-05-24_01,Dishwasher,Appliance6,2014-05-24 11:44:00,2014-05-24 12:19:00,2014-05-25 06:14:00,2014-05-25 06:49:00,35,0.2700890178571429,0.13504450892857145,0.13504450892857145,50.0,True,True,2014-05-24 11:44:00,2014-05-25 14:00:00
Dishwasher_2014-05-26_01,Dishwasher,Appliance6,2014-05-26 14:42:00,2014-05-26 15:16:00,2014-05-27 06:12:00,2014-05-27 06:46:00,34,0.2713648115079364,0.1356824057539682,0.1356824057539682,50.0,True,True,2014-05-26 14:42:00,2014-05-27 14:00:00
Dishwasher_2014-06-14_01,Dishwasher,Appliance6,2014-06-14 12:24:00,2014-06-14 14:19:00,2014-06-15 06:09:00,2014-06-15 08:04:00,115,0.3231255432900434,0.2504567160894661,0.07266882720057727,22.48934778125801,True,True,2014-06-14 12:24:00,2014-06-15 14:00:00
Dishwasher_2014-06-17_01,Dishwasher,Appliance6,2014-06-17 12:12:00,2014-06-17 12:44:00,2014-06-18 06:12:00,2014-06-18 06:44:00,32,0.2363438412698412,0.1181719206349206,0.1181719206349206,50.0,True,True,2014-06-17 12:12:00,2014-06-18 14:00:00
Dishwasher_2014-06-20_01,Dishwasher,Appliance6,2014-06-20 09:09:00,2014-06-20 09:42:00,2014-06-21 06:09:00,2014-06-21 06:42:00,33,0.25772562438949936,0.12886281219474968,0.12886281219474968,50.0,True,True,2014-06-20 09:09:00,2014-06-21 14:00:00
Dishwasher_2014-06-22_01,Dishwasher,Appliance6,2014-06-22 11:41:00,2014-06-22 12:14:00,2014-06-23 06:11:00,2014-06-23 06:44:00,33,0.24521858333333335,0.12260929166666668,0.12260929166666668,50.0,True,True,2014-06-22 11:41:00,2014-06-23 14:00:00
Dishwasher_2014-06-26_01,Dishwasher,Appliance6,2014-06-26 08:58:00,2014-06-26 09:30:00,2014-06-27 06:13:00,2014-06-27 06:45:00,32,0.24996862716450216,0.12498431358225108,0.12498431358225108,50.0,True,True,2014-06-26 08:58:00,2014-06-27 14:00:00
Dishwasher_2014-06-30_01,Dishwasher,Appliance6,2014-06-30 09:21:00,2014-06-30 09:55:00,2014-07-01 06:06:00,2014-07-01 06:40:00,34,0.25544231547619045,0.12772115773809523,0.12772115773809523,50.0,True,True,2014-06-30 09:21:00,2014-07-01 14:00:00
Dishwasher_2014-07-04_01,Dishwasher,Appliance6,2014-07-04 08:44:00,2014-07-04 09:16:00,2014-07-05 06:14:00,2014-07-05 06:46:00,32,0.25200337301587306,0.12600168650793653,0.12600168650793653,50.0,True,True,2014-07-04 08:44:00,2014-07-05 14:00:00
Dishwasher_2014-07-08_01,Dishwasher,Appliance6,2014-07-08 07:39:00,2014-07-08 08:11:00,2014-07-09 06:09:00,2014-07-09 06:41:00,32,0.24512518560606056,0.12256259280303028,0.12256259280303028,50.0,True,True,2014-07-08 07:39:00,2014-07-09 14:00:00
Dishwasher_2014-07-11_01,Dishwasher,Appliance6,2014-07-11 13:07:00,2014-07-11 13:39:00,2014-07-12 06:07:00,2014-07-12 06:39:00,32,0.24391092857142857,0.12195546428571429,0.12195546428571429,50.0,True,True,2014-07-11 13:07:00,2014-07-12 14:00:00
Dishwasher_2014-07-15_01,Dishwasher,Appliance6,2014-07-15 09:31:00,2014-07-15 10:03:00,2014-07-16 06:01:00,2014-07-16 06:33:00,32,0.2446097976190476,0.1223048988095238,0.1223048988095238,50.0,True,True,2014-07-15 09:31:00,2014-07-16 14:00:00
Dishwasher_2014-07-19_01,Dishwasher,Appliance6,2014-07-19 12:58:00,2014-07-19 13:29:00,2014-07-20 06:13:00,2014-07-20 06:44:00,31,0.23256609523809524,0.11628304761904762,0.11628304761904762,50.0,True,True,2014-07-19 12:58:00,2014-07-20 14:00:00
Dishwasher_2014-07-22_01,Dishwasher,Appliance6,2014-07-22 09:00:00,2014-07-22 09:31:00,2014-07-23 06:00:00,2014-07-23 06:31:00,31,0.23893162067099571,0.11946581033549786,0.11946581033549786,50.0,True,True,2014-07-22 09:00:00,2014-07-23 14:00:00
Dishwasher_2014-07-25_01,Dishwasher,Appliance6,2014-07-25 10:47:00,2014-07-25 11:20:00,2014-07-26 06:02:00,2014-07-26 06:35:00,33,0.2463301150793651,0.12316505753968254,0.12316505753968254,50.0,True,True,2014-07-25 10:47:00,2014-07-26 14:00:00
Dishwasher_2014-07-26_01,Dishwasher,Appliance6,2014-07-26 08:41:00,2014-07-26 09:11:00,2014-07-27 06:11:00,2014-07-27 06:41:00,30,0.22486290674603174,0.11243145337301587,0.11243145337301587,50.0,True,True,2014-07-26 08:41:00,2014-07-27 14:00:00
Dishwasher_2014-07-27_01,Dishwasher,Appliance6,2014-07-27 14:41:00,2014-07-27 15:11:00,2014-07-28 06:11:00,2014-07-28 06:41:00,30,0.22416758333333334,0.11208379166666667,0.11208379166666667,50.0,True,True,2014-07-27 14:41:00,2014-07-28 14:00:00
Dishwasher_2014-07-31_01,Dishwasher,Appliance6,2014-07-31 08:43:00,2014-07-31 09:15:00,2014-08-01 06:13:00,2014-08-01 06:45:00,32,0.25147507341269837,0.12573753670634918,0.12573753670634918,50.0,True,True,2014-07-31 08:43:00,2014-08-01 14:00:00
Dishwasher_2014-08-07_01,Dishwasher,Appliance6,2014-08-07 08:32:00,2014-08-07 09:03:00,2014-08-08 06:02:00,2014-08-08 06:33:00,31,0.2387020615079365,0.11935103075396825,0.11935103075396825,50.0,True,True,2014-08-07 08:32:00,2014-08-08 14:00:00
