event_id,appliance_name,appliance_id,shiftability,is_reschedulable,start_time,end_time,duration_minutes,energy_w,cost_calculated,low_price_power,high_price_power,total_minutes,missing_minutes,tariff_type
Fridge-Freezer_2013-12-17_01,Fridge-Freezer,Appliance1,Base,False,2013-12-17 17:47:00,2013-12-17 18:02:00,15.0,1092.17,0.005460833333333333,0.0,1.0921666666666665,16,0,Economy_7
Fridge-Freezer_2013-12-17_02,Fridge-Freezer,Appliance1,Base,False,2013-12-17 18:29:00,2013-12-17 18:46:00,17.0,1104.51,0.00552256746031746,0.0,1.104513492063492,17,0,Economy_7
Fridge-Freezer_2013-12-17_03,Fridge-Freezer,Appliance1,Base,False,2013-12-17 18:47:00,2013-12-17 19:03:00,16.0,3083.89,0.015419446428571428,0.0,3.0838892857142857,17,0,Economy_7
Fridge-Freezer_2013-12-17_04,Fridge-Freezer,Appliance1,Base,False,2013-12-17 19:10:00,2013-12-17 19:55:00,45.0,3503.33,0.017516666666666666,0.0,3.503333333333333,46,0,Economy_7
Fridge-Freezer_2013-12-17_05,Fridge-Freezer,Appliance1,Base,False,2013-12-17 20:19:00,2013-12-17 20:35:00,16.0,1274.0,0.006370000000000001,0.0,1.2739999999999998,17,0,Economy_7
Fridge-Freezer_2013-12-17_06,Fridge-Freezer,Appliance1,Base,False,2013-12-17 20:56:00,2013-12-17 21:12:00,16.0,1170.76,0.005853791666666666,0.0,1.1707583333333333,17,0,Economy_7
Fridge-Freezer_2013-12-17_07,Fridge-Freezer,Appliance1,Base,False,2013-12-17 21:32:00,2013-12-17 21:52:00,20.0,1253.3,0.006266499999999999,0.0,1.2533,21,0,Economy_7
Fridge-Freezer_2013-12-17_08,Fridge-Freezer,Appliance1,Base,False,2013-12-17 22:03:00,2013-12-17 22:09:00,6.0,41.8,0.00020899999999999998,0.0,0.041800000000000004,7,0,Economy_7
Fridge-Freezer_2013-12-17_09,Fridge-Freezer,Appliance1,Base,False,2013-12-17 22:13:00,2013-12-17 22:32:00,19.0,1351.08,0.006755388888888889,0.0,1.3510777777777776,20,0,Economy_7
Fridge-Freezer_2013-12-17_10,Fridge-Freezer,Appliance1,Base,False,2013-12-17 22:56:00,2013-12-17 23:12:00,16.0,1227.81,0.006139055555555556,0.0,1.227811111111111,17,0,Economy_7
Fridge-Freezer_2013-12-17_11,Fridge-Freezer,Appliance1,Base,False,2013-12-17 23:37:00,2013-12-17 23:53:00,16.0,1178.62,0.005893111111111111,0.0,1.1786222222222222,17,0,Economy_7
Fridge-Freezer_2013-12-18_01,Fridge-Freezer,Appliance1,Base,False,2013-12-18 00:17:00,2013-12-18 00:32:00,15.0,1135.37,0.002838428571428571,1.1353714285714285,0.0,16,0,Economy_7
Fridge-Freezer_2013-12-18_02,Fridge-Freezer,Appliance1,Base,False,2013-12-18 00:58:00,2013-12-18 01:14:00,16.0,1123.04,0.0028076071428571434,1.123042857142857,0.0,17,0,Economy_7
Fridge-Freezer_2013-12-18_03,Fridge-Freezer,Appliance1,Base,False,2013-12-18 01:40:00,2013-12-18 01:56:00,16.0,1135.7,0.00283925,1.1357,0.0,17,0,Economy_7
Fridge-Freezer_2013-12-18_04,Fridge-Freezer,Appliance1,Base,False,2013-12-18 02:24:00,2013-12-18 02:40:00,16.0,1108.51,0.002771277777777778,1.1085111111111112,0.0,17,0,Economy_7
Fridge-Freezer_2013-12-18_05,Fridge-Freezer,Appliance1,Base,False,2013-12-18 03:06:00,2013-12-18 03:24:00,18.0,917.54,0.0022938611111111107,0.9175444444444444,0.0,13,0,Economy_7
Fridge-Freezer_2013-12-18_06,Fridge-Freezer,Appliance1,Base,False,2013-12-18 03:49:00,2013-12-18 04:04:00,15.0,1048.89,0.0026222319347319347,1.0488927738927738,0.0,16,0,Economy_7
Fridge-Freezer_2013-12-18_07,Fridge-Freezer,Appliance1,Base,False,2013-12-18 04:32:00,2013-12-18 04:47:00,15.0,1066.0,0.002665,1.066,0.0,16,0,Economy_7
Fridge-Freezer_2013-12-18_08,Fridge-Freezer,Appliance1,Base,False,2013-12-18 05:15:00,2013-12-18 05:29:00,14.0,1014.6,0.0025365,1.0146,0.0,15,0,Economy_7
Fridge-Freezer_2013-12-18_09,Fridge-Freezer,Appliance1,Base,False,2013-12-18 06:00:00,2013-12-18 06:15:00,15.0,1077.08,0.0026927029220779218,1.0770811688311688,0.0,16,0,Economy_7
Fridge-Freezer_2013-12-18_10,Fridge-Freezer,Appliance1,Base,False,2013-12-18 06:43:00,2013-12-18 07:00:00,17.0,1106.78,0.002766939393939394,1.1067757575757575,0.0,18,0,Economy_7
Fridge-Freezer_2013-12-18_11,Fridge-Freezer,Appliance1,Base,False,2013-12-18 07:28:00,2013-12-18 07:43:00,15.0,1091.99,0.005089694444444444,0.1481,0.9438888888888889,16,0,Economy_7
Fridge-Freezer_2013-12-18_12,Fridge-Freezer,Appliance1,Base,False,2013-12-18 08:11:00,2013-12-18 08:27:00,16.0,1099.8,0.005498999999999999,0.0,1.0997999999999999,17,0,Economy_7
Fridge-Freezer_2013-12-18_13,Fridge-Freezer,Appliance1,Base,False,2013-12-18 08:54:00,2013-12-18 09:08:00,14.0,1034.04,0.005170196969696969,0.0,1.034039393939394,15,0,Economy_7
Fridge-Freezer_2013-12-18_14,Fridge-Freezer,Appliance1,Base,False,2013-12-18 09:35:00,2013-12-18 09:51:00,16.0,1149.33,0.005746659090909091,0.0,1.1493318181818182,17,0,Economy_7
Fridge-Freezer_2013-12-18_15,Fridge-Freezer,Appliance1,Base,False,2013-12-18 10:20:00,2013-12-18 10:36:00,16.0,1089.6,0.005448,0.0,1.0896,17,0,Economy_7
Fridge-Freezer_2013-12-18_16,Fridge-Freezer,Appliance1,Base,False,2013-12-18 11:04:00,2013-12-18 11:19:00,15.0,1070.1,0.0053505,0.0,1.0700999999999998,16,0,Economy_7
Fridge-Freezer_2013-12-18_17,Fridge-Freezer,Appliance1,Base,False,2013-12-18 11:47:00,2013-12-18 12:01:00,14.0,1023.2,0.005116,0.0,1.0231999999999999,15,0,Economy_7
Fridge-Freezer_2013-12-18_18,Fridge-Freezer,Appliance1,Base,False,2013-12-18 12:30:00,2013-12-18 12:45:00,15.0,1095.95,0.00547975,0.0,1.09595,16,0,Economy_7
Fridge-Freezer_2013-12-18_19,Fridge-Freezer,Appliance1,Base,False,2013-12-18 12:47:00,2013-12-18 13:02:00,15.0,3181.34,0.01590672222222222,0.0,3.181344444444444,16,0,Economy_7
Fridge-Freezer_2013-12-18_20,Fridge-Freezer,Appliance1,Base,False,2013-12-18 13:14:00,2013-12-18 13:59:00,45.0,3205.73,0.016028666666666667,0.0,3.2057333333333333,46,0,Economy_7
