appliance_id,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W),event_id,is_reschedulable
Appliance1,Aggregate,Base,2013-09-17 22:08:00,2013-09-17 22:29:00,21.0,1737.06,house2_event_1,False
Appliance1,Aggregate,Base,2013-09-17 23:16:00,2013-09-17 23:41:00,25.0,2024.17,house2_event_2,False
Appliance1,Aggregate,Base,2013-09-18 00:35:00,2013-09-18 00:59:00,24.0,2029.71,house2_event_3,False
Appliance1,Aggregate,Base,2013-09-18 01:57:00,2013-09-18 02:22:00,25.0,2038.3,house2_event_4,False
Appliance1,Aggregate,Base,2013-09-18 03:25:00,2013-09-18 03:51:00,26.0,2086.28,house2_event_5,False
Appliance1,Aggregate,Base,2013-09-18 04:56:00,2013-09-18 05:22:00,26.0,2115.44,house2_event_6,False
Appliance1,Aggregate,Base,2013-09-18 06:26:00,2013-09-18 06:58:00,32.0,2696.42,house2_event_7,False
Appliance1,Aggregate,Base,2013-09-18 07:45:00,2013-09-18 08:18:00,33.0,2789.56,house2_event_8,False
Appliance1,Aggregate,Base,2013-09-18 09:23:00,2013-09-18 09:51:00,28.0,2337.36,house2_event_9,False
Appliance1,Aggregate,Base,2013-09-18 10:57:00,2013-09-18 11:26:00,29.0,2409.83,house2_event_10,False
Appliance1,Aggregate,Base,2013-09-18 12:34:00,2013-09-18 13:03:00,29.0,2430.41,house2_event_11,False
Appliance1,Aggregate,Base,2013-09-18 14:10:00,2013-09-18 14:24:00,14.0,1151.41,house2_event_12,False
Appliance1,Aggregate,Base,2013-09-18 15:02:00,2013-09-18 15:28:00,26.0,2183.95,house2_event_13,False
Appliance1,Aggregate,Base,2013-09-18 15:30:00,2013-09-18 15:48:00,18.0,2749.65,house2_event_14,False
Appliance1,Aggregate,Base,2013-09-18 15:57:00,2013-09-18 16:59:00,62.0,5468.0,house2_event_15,False
Appliance1,Aggregate,Base,2013-09-18 17:43:00,2013-09-18 18:18:00,35.0,2905.45,house2_event_16,False
Appliance1,Aggregate,Base,2013-09-18 19:16:00,2013-09-18 19:34:00,18.0,1463.49,house2_event_17,False
Appliance1,Aggregate,Base,2013-09-18 20:18:00,2013-09-18 20:46:00,28.0,2331.77,house2_event_18,False
Appliance1,Aggregate,Base,2013-09-18 21:35:00,2013-09-18 22:03:00,28.0,2277.1,house2_event_19,False
Appliance1,Aggregate,Base,2013-09-18 22:58:00,2013-09-18 23:26:00,28.0,2400.86,house2_event_20,False
Appliance1,Aggregate,Base,2013-09-19 00:25:00,2013-09-19 00:53:00,28.0,2312.33,house2_event_21,False
Appliance1,Aggregate,Base,2013-09-19 01:57:00,2013-09-19 02:25:00,28.0,2384.65,house2_event_22,False
Appliance1,Aggregate,Base,2013-09-19 03:32:00,2013-09-19 04:02:00,30.0,2406.44,house2_event_23,False
Appliance1,Aggregate,Base,2013-09-19 05:12:00,2013-09-19 05:41:00,29.0,2364.53,house2_event_24,False
Appliance1,Aggregate,Base,2013-09-19 06:45:00,2013-09-19 07:17:00,32.0,2687.36,house2_event_25,False
Appliance1,Aggregate,Base,2013-09-19 08:20:00,2013-09-19 09:07:00,47.0,3953.65,house2_event_26,False
Appliance1,Aggregate,Base,2013-09-19 10:05:00,2013-09-19 10:44:00,39.0,3245.73,house2_event_27,False
Appliance1,Aggregate,Base,2013-09-19 11:58:00,2013-09-19 12:37:00,39.0,3277.96,house2_event_28,False
Appliance1,Aggregate,Base,2013-09-19 13:43:00,2013-09-19 14:35:00,52.0,4612.92,house2_event_29,False
Appliance1,Aggregate,Base,2013-09-19 15:24:00,2013-09-19 16:03:00,39.0,3221.57,house2_event_30,False
Appliance1,Aggregate,Base,2013-09-19 17:05:00,2013-09-19 17:41:00,36.0,2921.82,house2_event_31,False
Appliance1,Aggregate,Base,2013-09-19 18:46:00,2013-09-19 19:24:00,38.0,3087.25,house2_event_32,False
Appliance1,Aggregate,Base,2013-09-19 19:25:00,2013-09-19 19:43:00,18.0,2678.35,house2_event_33,False
Appliance1,Aggregate,Base,2013-09-19 19:52:00,2013-09-19 21:09:00,77.0,6736.82,house2_event_34,False
Appliance1,Aggregate,Base,2013-09-19 22:02:00,2013-09-19 22:50:00,48.0,3957.61,house2_event_35,False
Appliance1,Aggregate,Base,2013-09-19 23:50:00,2013-09-20 00:30:00,40.0,3317.4,house2_event_36,False
Appliance1,Aggregate,Base,2013-09-20 01:35:00,2013-09-20 02:11:00,36.0,3021.26,house2_event_37,False
Appliance1,Aggregate,Base,2013-09-20 03:19:00,2013-09-20 03:52:00,33.0,2780.08,house2_event_38,False
Appliance1,Aggregate,Base,2013-09-20 05:02:00,2013-09-20 05:32:00,30.0,2504.44,house2_event_39,False
Appliance1,Aggregate,Base,2013-09-20 06:29:00,2013-09-20 06:59:00,30.0,2511.31,house2_event_40,False
Appliance1,Aggregate,Base,2013-09-20 07:52:00,2013-09-20 08:22:00,30.0,2469.27,house2_event_41,False
Appliance1,Aggregate,Base,2013-09-20 09:19:00,2013-09-20 09:52:00,33.0,2759.67,house2_event_42,False
Appliance1,Aggregate,Base,2013-09-20 10:56:00,2013-09-20 11:28:00,32.0,2652.59,house2_event_43,False
Appliance1,Aggregate,Base,2013-09-20 12:20:00,2013-09-20 12:50:00,30.0,2500.71,house2_event_44,False
Appliance1,Aggregate,Base,2013-09-20 13:41:00,2013-09-20 14:14:00,33.0,2733.41,house2_event_45,False
Appliance1,Aggregate,Base,2013-09-20 14:44:00,2013-09-20 15:08:00,24.0,1982.73,house2_event_46,False
Appliance1,Aggregate,Base,2013-09-20 15:49:00,2013-09-20 16:28:00,39.0,3266.35,house2_event_47,False
Appliance1,Aggregate,Base,2013-09-20 17:03:00,2013-09-20 17:31:00,28.0,2339.72,house2_event_48,False
Appliance1,Aggregate,Base,2013-09-20 18:09:00,2013-09-20 18:37:00,28.0,2240.41,house2_event_49,False
Appliance1,Aggregate,Base,2013-09-20 19:09:00,2013-09-20 19:41:00,32.0,2709.67,house2_event_50,False
Appliance1,Aggregate,Base,2013-09-20 19:44:00,2013-09-20 20:02:00,18.0,2902.63,house2_event_51,False
Appliance1,Aggregate,Base,2013-09-20 20:11:00,2013-09-20 20:59:00,48.0,4295.42,house2_event_52,False
Appliance1,Aggregate,Base,2013-09-20 21:46:00,2013-09-20 22:17:00,31.0,2558.17,house2_event_53,False
Appliance1,Aggregate,Base,2013-09-20 23:11:00,2013-09-20 23:38:00,27.0,2285.84,house2_event_54,False
Appliance1,Aggregate,Base,2013-09-21 00:36:00,2013-09-21 01:03:00,27.0,2264.69,house2_event_55,False
Appliance1,Aggregate,Base,2013-09-21 02:03:00,2013-09-21 02:31:00,28.0,2283.27,house2_event_56,False
Appliance1,Aggregate,Base,2013-09-21 03:34:00,2013-09-21 04:02:00,28.0,2311.55,house2_event_57,False
Appliance1,Aggregate,Base,2013-09-21 05:08:00,2013-09-21 05:36:00,28.0,2329.87,house2_event_58,False
Appliance1,Aggregate,Base,2013-09-21 06:46:00,2013-09-21 07:14:00,28.0,2350.08,house2_event_59,False
Appliance1,Aggregate,Base,2013-09-21 07:45:00,2013-09-21 08:16:00,31.0,2644.14,house2_event_60,False
Appliance1,Aggregate,Base,2013-09-21 09:09:00,2013-09-21 09:40:00,31.0,2695.97,house2_event_61,False
Appliance1,Aggregate,Base,2013-09-21 10:27:00,2013-09-21 10:54:00,27.0,2229.72,house2_event_62,False
Appliance1,Aggregate,Base,2013-09-21 11:52:00,2013-09-21 12:20:00,28.0,2327.1,house2_event_63,False
Appliance1,Aggregate,Base,2013-09-21 13:23:00,2013-09-21 13:51:00,28.0,2335.09,house2_event_64,False
Appliance1,Aggregate,Base,2013-09-21 14:55:00,2013-09-21 15:26:00,31.0,2580.4,house2_event_65,False
Appliance1,Aggregate,Base,2013-09-21 16:34:00,2013-09-21 17:05:00,31.0,2633.01,house2_event_66,False
Appliance1,Aggregate,Base,2013-09-21 17:47:00,2013-09-21 18:15:00,28.0,2280.02,house2_event_67,False
Appliance1,Aggregate,Base,2013-09-21 18:56:00,2013-09-21 19:36:00,40.0,3345.74,house2_event_68,False
Appliance1,Aggregate,Base,2013-09-21 20:32:00,2013-09-21 21:16:00,44.0,3635.96,house2_event_69,False
Appliance1,Aggregate,Base,2013-09-21 22:21:00,2013-09-21 23:04:00,43.0,3595.0,house2_event_70,False
Appliance1,Aggregate,Base,2013-09-22 00:17:00,2013-09-22 00:57:00,40.0,3332.3,house2_event_71,False
Appliance1,Aggregate,Base,2013-09-22 00:58:00,2013-09-22 01:17:00,19.0,2785.51,house2_event_72,False
Appliance1,Aggregate,Base,2013-09-22 01:53:00,2013-09-22 02:50:00,57.0,4985.89,house2_event_73,False
Appliance1,Aggregate,Base,2013-09-22 04:12:00,2013-09-22 04:49:00,37.0,3090.17,house2_event_74,False
Appliance1,Aggregate,Base,2013-09-22 06:10:00,2013-09-22 06:47:00,37.0,3052.93,house2_event_75,False
Appliance1,Aggregate,Base,2013-09-22 07:59:00,2013-09-22 08:43:00,44.0,3744.9,house2_event_76,False
Appliance1,Aggregate,Base,2013-09-22 09:27:00,2013-09-22 10:35:00,68.0,5760.74,house2_event_77,False
Appliance1,Aggregate,Base,2013-09-22 11:16:00,2013-09-22 11:47:00,31.0,2613.63,house2_event_78,False
Appliance1,Aggregate,Base,2013-09-22 12:37:00,2013-09-22 13:08:00,31.0,2549.24,house2_event_79,False
Appliance1,Aggregate,Base,2013-09-22 14:01:00,2013-09-22 14:31:00,30.0,2497.7,house2_event_80,False
Appliance1,Aggregate,Base,2013-09-22 15:29:00,2013-09-22 16:01:00,32.0,2740.09,house2_event_81,False
Appliance1,Aggregate,Base,2013-09-22 16:36:00,2013-09-22 17:04:00,28.0,2320.69,house2_event_82,False
Appliance1,Aggregate,Base,2013-09-22 17:36:00,2013-09-22 18:05:00,29.0,2372.47,house2_event_83,False
Appliance1,Aggregate,Base,2013-09-22 18:41:00,2013-09-22 19:17:00,36.0,2995.84,house2_event_84,False
Appliance1,Aggregate,Base,2013-09-22 19:41:00,2013-09-22 20:11:00,30.0,2498.87,house2_event_85,False
Appliance1,Aggregate,Base,2013-09-22 20:49:00,2013-09-22 21:16:00,27.0,2241.13,house2_event_86,False
Appliance1,Aggregate,Base,2013-09-22 21:58:00,2013-09-22 22:25:00,27.0,2240.1,house2_event_87,False
Appliance1,Aggregate,Base,2013-09-22 23:10:00,2013-09-22 23:38:00,28.0,2309.55,house2_event_88,False
Appliance1,Aggregate,Base,2013-09-23 00:25:00,2013-09-23 00:52:00,27.0,2219.75,house2_event_89,False
Appliance1,Aggregate,Base,2013-09-23 01:42:00,2013-09-23 02:10:00,28.0,2326.8,house2_event_90,False
Appliance1,Aggregate,Base,2013-09-23 03:03:00,2013-09-23 03:31:00,28.0,2317.92,house2_event_91,False
Appliance1,Aggregate,Base,2013-09-23 03:33:00,2013-09-23 03:51:00,18.0,2771.12,house2_event_92,False
Appliance1,Aggregate,Base,2013-09-23 04:10:00,2013-09-23 04:58:00,48.0,4226.69,house2_event_93,False
Appliance1,Aggregate,Base,2013-09-23 06:00:00,2013-09-23 06:31:00,31.0,2536.96,house2_event_94,False
Appliance1,Aggregate,Base,2013-09-23 07:09:00,2013-09-23 07:38:00,29.0,2407.51,house2_event_95,False
Appliance1,Aggregate,Base,2013-09-23 08:27:00,2013-09-23 08:55:00,28.0,2269.21,house2_event_96,False
Appliance1,Aggregate,Base,2013-09-23 09:23:00,2013-09-23 09:53:00,30.0,2446.02,house2_event_97,False
Appliance1,Aggregate,Base,2013-09-23 10:47:00,2013-09-23 11:17:00,30.0,2457.52,house2_event_98,False
Appliance1,Aggregate,Base,2013-09-23 12:17:00,2013-09-23 12:47:00,30.0,2513.27,house2_event_99,False
Appliance1,Aggregate,Base,2013-09-23 13:50:00,2013-09-23 14:21:00,31.0,2613.33,house2_event_100,False
Appliance1,Aggregate,Base,2013-09-23 15:27:00,2013-09-23 16:04:00,37.0,3053.82,house2_event_101,False
Appliance1,Aggregate,Base,2013-09-23 16:38:00,2013-09-23 17:18:00,40.0,3373.83,house2_event_102,False
Appliance1,Aggregate,Base,2013-09-23 17:55:00,2013-09-23 18:21:00,26.0,2131.69,house2_event_103,False
Appliance1,Aggregate,Base,2013-09-23 18:55:00,2013-09-23 19:30:00,35.0,2864.78,house2_event_104,False
Appliance1,Aggregate,Base,2013-09-23 19:53:00,2013-09-23 20:20:00,27.0,2177.84,house2_event_105,False
Appliance1,Aggregate,Base,2013-09-23 20:50:00,2013-09-23 21:14:00,24.0,1976.43,house2_event_106,False
Appliance1,Aggregate,Base,2013-09-23 21:46:00,2013-09-23 22:11:00,25.0,2005.36,house2_event_107,False
Appliance1,Aggregate,Base,2013-09-23 22:46:00,2013-09-23 23:09:00,23.0,1920.81,house2_event_108,False
Appliance1,Aggregate,Base,2013-09-23 23:47:00,2013-09-24 00:11:00,24.0,1935.99,house2_event_109,False
Appliance1,Aggregate,Base,2013-09-24 00:51:00,2013-09-24 01:15:00,24.0,1979.51,house2_event_110,False
Appliance1,Aggregate,Base,2013-09-24 01:58:00,2013-09-24 02:23:00,25.0,1986.72,house2_event_111,False
Appliance1,Aggregate,Base,2013-09-24 03:09:00,2013-09-24 03:34:00,25.0,2041.16,house2_event_112,False
Appliance1,Aggregate,Base,2013-09-24 04:22:00,2013-09-24 04:47:00,25.0,2059.35,house2_event_113,False
Appliance1,Aggregate,Base,2013-09-24 05:37:00,2013-09-24 06:04:00,27.0,2157.46,house2_event_114,False
Appliance1,Aggregate,Base,2013-09-24 06:05:00,2013-09-24 06:24:00,19.0,2730.57,house2_event_115,False
Appliance1,Aggregate,Base,2013-09-24 06:32:00,2013-09-24 07:23:00,51.0,4524.83,house2_event_116,False
Appliance1,Aggregate,Base,2013-09-24 08:08:00,2013-09-24 08:38:00,30.0,2432.55,house2_event_117,False
Appliance1,Aggregate,Base,2013-09-24 09:33:00,2013-09-24 10:02:00,29.0,2357.5,house2_event_118,False
Appliance1,Aggregate,Base,2013-09-24 10:59:00,2013-09-24 11:47:00,48.0,4130.47,house2_event_119,False
Appliance1,Aggregate,Base,2013-09-24 12:31:00,2013-09-24 13:00:00,29.0,2382.61,house2_event_120,False
Appliance1,Aggregate,Base,2013-09-24 13:50:00,2013-09-24 14:20:00,30.0,2511.6,house2_event_121,False
Appliance1,Aggregate,Base,2013-09-24 15:02:00,2013-09-24 15:29:00,27.0,2278.0,house2_event_122,False
Appliance1,Aggregate,Base,2013-09-24 16:18:00,2013-09-24 17:04:00,46.0,3981.68,house2_event_123,False
