appliance_id,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W),event_id,is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Appliance5,Tumble Dryer,Shiftable,2014-03-22 19:53:00,2014-03-22 20:31:00,38.0,20028.97,house20_event_17933,True,"{""0"": 31, ""1"": 7}",0,1,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-03-22 20:32:00,2014-03-22 20:59:00,27.0,30652.63,house20_event_17934,False,"{""0"": 27, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-03-25 07:44:00,2014-03-25 08:55:00,71.0,51301.71,house20_event_17941,True,"{""0"": 0, ""1"": 71}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-03-29 07:17:00,2014-03-29 08:27:00,70.0,53614.33,house20_event_17943,True,"{""0"": 0, ""1"": 70}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-03-31 18:03:00,2014-03-31 18:42:00,39.0,20230.17,house20_event_17948,True,"{""0"": 0, ""1"": 39}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-03-31 18:43:00,2014-03-31 19:16:00,33.0,32856.6,house20_event_17949,True,"{""0"": 0, ""1"": 33}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-03 19:12:00,2014-04-03 20:22:00,70.0,50700.47,house20_event_17952,True,"{""0"": 22, ""1"": 48}",1,1,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-08 12:32:00,2014-04-08 13:41:00,69.0,50726.95,house20_event_17955,True,"{""0"": 41, ""1"": 28}",0,1,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-04-11 06:43:00,2014-04-11 07:50:00,67.0,50748.18,house20_event_17960,True,"{""0"": 0, ""1"": 67}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-14 05:54:00,2014-04-14 07:08:00,74.0,52642.79,house20_event_17963,True,"{""0"": 6, ""1"": 68}",1,0,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-16 18:53:00,2014-04-16 20:03:00,70.0,52702.18,house20_event_17970,True,"{""0"": 3, ""1"": 67}",1,1,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-19 19:07:00,2014-04-19 20:15:00,68.0,50825.43,house20_event_17977,True,"{""0"": 15, ""1"": 53}",1,1,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-22 07:01:00,2014-04-22 08:10:00,69.0,50518.74,house20_event_17984,True,"{""0"": 0, ""1"": 69}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-25 06:42:00,2014-04-25 07:55:00,73.0,51462.36,house20_event_17990,True,"{""0"": 0, ""1"": 73}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-28 06:41:00,2014-04-28 07:51:00,70.0,50098.66,house20_event_17995,True,"{""0"": 0, ""1"": 70}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-04-30 18:04:00,2014-04-30 19:10:00,66.0,48382.17,house20_event_18000,True,"{""0"": 0, ""1"": 66}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-05-01 06:11:00,2014-05-01 07:48:00,97.0,59274.96,house20_event_18007,True,"{""0"": 0, ""1"": 97}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-05-29 18:24:00,2014-05-29 19:34:00,70.0,50235.69,house20_event_18010,True,"{""0"": 0, ""1"": 70}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-06-01 18:51:00,2014-06-01 19:56:00,65.0,50313.15,house20_event_18016,True,"{""0"": 0, ""1"": 65}",1,1,1,1.0
Appliance5,Tumble Dryer,Shiftable,2014-06-04 11:58:00,2014-06-04 13:03:00,65.0,49974.83,house20_event_18021,True,"{""0"": 3, ""1"": 62}",1,1,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-06-06 18:57:00,2014-06-06 20:02:00,65.0,48493.65,house20_event_18029,True,"{""0"": 2, ""1"": 63}",1,1,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-06-08 18:25:00,2014-06-08 19:34:00,69.0,48797.45,house20_event_18035,True,"{""0"": 0, ""1"": 69}",1,1,1,1.0
