event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
house2_event_9209,Tumble Dryer,2013-09-24 11:21:00,2013-09-24 11:29:00,2013-09-24 11:21:00,2013-09-24 11:29:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9217,Tumble Dryer,2013-09-26 16:50:00,2013-09-26 16:59:00,2013-09-26 16:50:00,2013-09-26 16:59:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9218,Tumble Dryer,2013-09-26 17:32:00,2013-09-26 17:38:00,2013-09-26 17:32:00,2013-09-26 17:38:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9223,Tumble Dryer,2013-09-28 16:39:00,2013-09-28 16:44:00,2013-09-28 16:39:00,2013-09-28 16:44:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9225,Tumble Dryer,2013-09-28 19:48:00,2013-09-28 19:53:00,2013-09-28 19:48:00,2013-09-28 19:53:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9227,Tumble Dryer,2013-09-29 09:47:00,2013-09-29 09:52:00,2013-09-29 09:47:00,2013-09-29 09:52:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9228,Tumble Dryer,2013-09-29 16:23:00,2013-09-29 16:28:00,2013-09-29 16:23:00,2013-09-29 16:28:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9229,Tumble Dryer,2013-09-29 16:29:00,2013-09-29 16:36:00,2013-09-29 16:29:00,2013-09-29 16:36:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9230,Tumble Dryer,2013-09-29 16:40:00,2013-09-29 16:45:00,2013-09-29 16:40:00,2013-09-29 16:45:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9248,Tumble Dryer,2013-10-04 12:03:00,2013-10-04 12:10:00,2013-10-04 12:03:00,2013-10-04 12:10:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9266,Tumble Dryer,2013-10-07 16:22:00,2013-10-07 16:29:00,2013-10-07 16:22:00,2013-10-07 16:29:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9279,Tumble Dryer,2013-10-09 16:39:00,2013-10-09 16:52:00,2013-10-09 16:39:00,2013-10-09 16:52:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9282,Tumble Dryer,2013-10-10 12:02:00,2013-10-10 12:08:00,2013-10-10 12:02:00,2013-10-10 12:08:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9283,Tumble Dryer,2013-10-10 16:22:00,2013-10-10 16:27:00,2013-10-10 16:22:00,2013-10-10 16:27:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9285,Tumble Dryer,2013-10-11 12:12:00,2013-10-11 12:22:00,2013-10-11 12:12:00,2013-10-11 12:22:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9306,Tumble Dryer,2013-10-15 17:39:00,2013-10-15 17:49:00,2013-10-15 17:39:00,2013-10-15 17:49:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9307,Tumble Dryer,2013-10-16 10:19:00,2013-10-16 10:24:00,2013-10-16 10:19:00,2013-10-16 10:24:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9313,Tumble Dryer,2013-10-21 06:43:00,2013-10-21 06:48:00,2013-10-21 06:43:00,2013-10-21 06:48:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9325,Tumble Dryer,2013-10-23 09:44:00,2013-10-23 09:50:00,2013-10-23 09:44:00,2013-10-23 09:50:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9326,Tumble Dryer,2013-10-23 09:52:00,2013-10-23 09:57:00,2013-10-23 09:52:00,2013-10-23 09:57:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9327,Tumble Dryer,2013-10-23 10:22:00,2013-10-23 10:27:00,2013-10-23 10:22:00,2013-10-23 10:27:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9338,Tumble Dryer,2014-02-21 11:55:00,2014-02-21 12:01:00,2014-02-21 11:55:00,2014-02-21 12:01:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9353,Tumble Dryer,2014-03-06 18:31:00,2014-03-06 18:44:00,2014-03-06 18:31:00,2014-03-06 18:44:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9364,Tumble Dryer,2014-03-10 18:02:00,2014-03-10 18:07:00,2014-03-10 18:02:00,2014-03-10 18:07:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9366,Tumble Dryer,2014-03-13 12:04:00,2014-03-13 12:12:00,2014-03-13 12:04:00,2014-03-13 12:12:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9376,Tumble Dryer,2014-03-16 18:34:00,2014-03-16 18:39:00,2014-03-16 18:34:00,2014-03-16 18:39:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9377,Tumble Dryer,2014-03-16 18:41:00,2014-03-16 18:46:00,2014-03-16 18:41:00,2014-03-16 18:46:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9402,Tumble Dryer,2014-03-28 17:08:00,2014-03-28 17:13:00,2014-03-28 17:08:00,2014-03-28 17:13:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9405,Tumble Dryer,2014-03-29 17:12:00,2014-03-29 17:25:00,2014-03-29 17:12:00,2014-03-29 17:25:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9408,Tumble Dryer,2014-03-30 17:22:00,2014-03-30 17:29:00,2014-03-30 17:22:00,2014-03-30 17:29:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9415,Tumble Dryer,2014-04-01 17:07:00,2014-04-01 17:17:00,2014-04-01 17:07:00,2014-04-01 17:17:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
house2_event_9422,Tumble Dryer,2014-04-11 16:17:00,2014-04-11 16:22:00,2014-04-11 16:17:00,2014-04-11 16:22:00,1,1,0.0,0,FAILED,工作空间不存在: Tumble Dryer,
