event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,duration(min),energy(W)
house21_event_7023,Tumble Dryer,2014-03-07 16:20:00,2014-03-07 22:08:00,2014-03-08 06:00:00,2014-03-08 11:48:00,SUCCESS,348.0,9773.43
house21_event_7024,Tumble Dryer,2014-04-08 16:12:00,2014-04-08 16:25:00,2014-04-09 06:00:00,2014-04-09 06:13:00,SUCCESS,13.0,617.28
house21_event_7025,Tumble Dryer,2014-04-26 09:18:00,2014-04-26 09:25:00,2014-04-27 06:00:00,2014-04-27 06:07:00,SUCCESS,7.0,455.69
house21_event_7029,Tumble Dryer,2014-05-27 08:34:00,2014-05-27 09:01:00,2014-05-28 06:00:00,2014-05-28 06:27:00,SUCCESS,27.0,315.81
house21_event_7036,Tumble Dryer,2014-06-07 10:25:00,2014-06-07 10:37:00,2014-06-08 06:00:00,2014-06-08 06:12:00,SUCCESS,12.0,548.68
house21_event_7037,Tumble Dryer,2014-06-10 14:54:00,2014-06-10 15:00:00,2014-06-11 06:00:00,2014-06-11 06:06:00,SUCCESS,6.0,535.03
house21_event_7038,Tumble Dryer,2014-06-14 09:56:00,2014-06-14 10:05:00,2014-06-15 06:00:00,2014-06-15 06:09:00,SUCCESS,9.0,660.08
house21_event_7042,Tumble Dryer,2014-06-24 19:08:00,2014-06-24 19:20:00,2014-06-25 06:00:00,2014-06-25 06:12:00,SUCCESS,12.0,635.31
house21_event_7043,Tumble Dryer,2014-08-13 10:37:00,2014-08-13 10:45:00,2014-08-14 06:00:00,2014-08-14 06:08:00,SUCCESS,8.0,587.7
house21_event_7047,Tumble Dryer,2014-08-16 10:19:00,2014-08-16 10:28:00,2014-08-17 06:00:00,2014-08-17 06:09:00,SUCCESS,9.0,556.67
house21_event_7054,Tumble Dryer,2014-09-09 14:46:00,2014-09-09 16:24:00,2014-09-10 06:00:00,2014-09-10 07:38:00,SUCCESS,98.0,3217.43
house21_event_7055,Tumble Dryer,2014-09-13 08:13:00,2014-09-13 08:32:00,2014-09-14 06:00:00,2014-09-14 06:19:00,SUCCESS,19.0,800.75
house21_event_7056,Tumble Dryer,2014-09-26 12:59:00,2014-09-26 13:08:00,2014-09-27 06:00:00,2014-09-27 06:09:00,SUCCESS,9.0,615.6
house21_event_7057,Tumble Dryer,2014-10-21 11:44:00,2014-10-21 11:59:00,2014-10-22 06:00:00,2014-10-22 06:15:00,SUCCESS,15.0,1056.17
house21_event_7061,Tumble Dryer,2014-11-16 17:38:00,2014-11-16 17:49:00,2014-11-17 06:00:00,2014-11-17 06:11:00,SUCCESS,11.0,794.92
house21_event_7063,Tumble Dryer,2014-12-07 14:19:00,2014-12-07 14:36:00,2014-12-08 06:00:00,2014-12-08 06:17:00,SUCCESS,17.0,907.12
house21_event_7067,Tumble Dryer,2014-12-22 12:05:00,2014-12-22 12:21:00,2014-12-23 06:00:00,2014-12-23 06:16:00,SUCCESS,16.0,1190.19
house21_event_7075,Washing Machine,2014-03-07 22:08:00,2014-03-07 22:32:00,2014-03-08 06:00:00,2014-03-08 06:24:00,SUCCESS,24.0,484.93
house21_event_7076,Washing Machine,2014-03-08 07:49:00,2014-03-08 09:26:00,2014-03-09 06:00:00,2014-03-09 07:37:00,SUCCESS,97.0,3031.48
house21_event_7077,Washing Machine,2014-03-08 09:57:00,2014-03-08 10:57:00,2014-03-08 10:02:00,2014-03-08 11:02:00,SUCCESS,60.0,2380.79
house21_event_7082,Washing Machine,2014-03-09 15:26:00,2014-03-09 16:53:00,2014-03-10 06:00:00,2014-03-10 07:27:00,SUCCESS,87.0,3739.31
house21_event_7083,Washing Machine,2014-03-09 18:31:00,2014-03-09 19:29:00,2014-03-09 18:36:00,2014-03-09 19:34:00,SUCCESS,58.0,1566.43
house21_event_7084,Washing Machine,2014-03-09 21:20:00,2014-03-09 22:57:00,2014-03-09 21:25:00,2014-03-09 23:02:00,SUCCESS,97.0,2478.74
house21_event_7086,Washing Machine,2014-03-10 19:27:00,2014-03-10 20:52:00,2014-03-11 06:00:00,2014-03-11 07:25:00,SUCCESS,85.0,2283.58
house21_event_7089,Washing Machine,2014-03-11 16:20:00,2014-03-11 17:14:00,2014-03-12 06:00:00,2014-03-12 06:54:00,SUCCESS,54.0,1631.35
house21_event_7090,Washing Machine,2014-03-11 19:18:00,2014-03-11 19:52:00,2014-03-11 19:23:00,2014-03-11 19:57:00,SUCCESS,34.0,970.41
house21_event_7091,Washing Machine,2014-03-11 20:18:00,2014-03-11 22:32:00,2014-03-11 20:23:00,2014-03-11 22:37:00,SUCCESS,134.0,3874.19
house21_event_7093,Washing Machine,2014-03-12 19:25:00,2014-03-12 21:54:00,2014-03-13 06:00:00,2014-03-13 08:29:00,SUCCESS,149.0,4182.31
house21_event_7095,Washing Machine,2014-03-13 19:16:00,2014-03-13 23:03:00,2014-03-14 06:00:00,2014-03-14 09:47:00,SUCCESS,227.0,6531.62
house21_event_7097,Washing Machine,2014-03-14 17:33:00,2014-03-14 19:28:00,2014-03-15 06:00:00,2014-03-15 07:55:00,SUCCESS,115.0,2721.29
house21_event_7098,Washing Machine,2014-03-14 22:51:00,2014-03-15 00:28:00,2014-03-15 07:55:00,2014-03-15 09:32:00,SUCCESS,97.0,2494.69
house21_event_7102,Washing Machine,2014-03-15 13:22:00,2014-03-15 14:09:00,2014-03-16 06:00:00,2014-03-16 06:47:00,SUCCESS,47.0,1664.82
house21_event_7103,Washing Machine,2014-03-15 21:02:00,2014-03-15 22:45:00,2014-03-15 21:07:00,2014-03-15 22:50:00,SUCCESS,103.0,2669.62
house21_event_7106,Washing Machine,2014-03-16 09:08:00,2014-03-16 12:34:00,2014-03-17 06:00:00,2014-03-17 09:26:00,SUCCESS,206.0,5593.54
