event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost
house20_event_17933,Tumble Dryer,original,,2014-03-22 19:53:00,2014-03-22 20:31:00,38,20028.97,0.0592962927631579,31,16339.422894736848,0.15,0.040848557236842116,7,3689.5471052631574,0.3,0.018447735526315786,scheduled,,2014-03-22 20:00:00,2014-03-22 20:38:00,38,20028.97,0.050072425,38,20028.969999999998,0.15,0.050072425,0,0.0,0.3,0.0
house20_event_17941,Tumble Dryer,original,,2014-03-25 07:44:00,2014-03-25 08:55:00,71,51301.71,0.2565085500000001,0,0.0,0.15,0.0,71,51301.71000000003,0.3,0.2565085500000001,scheduled,,2014-03-25 13:00:00,2014-03-25 14:11:00,71,51301.71,0.12825427500000006,71,51301.71000000003,0.15,0.12825427500000006,0,0.0,0.3,0.0
house20_event_17943,Tumble Dryer,original,,2014-03-29 07:17:00,2014-03-29 08:27:00,70,53614.33,0.2680716500000004,0,0.0,0.15,0.0,70,53614.33000000008,0.3,0.2680716500000004,scheduled,,2014-03-29 13:00:00,2014-03-29 14:10:00,70,53614.33,0.1340358250000002,70,53614.33000000008,0.15,0.1340358250000002,0,0.0,0.3,0.0
house20_event_17948,Tumble Dryer,original,,2014-03-31 18:03:00,2014-03-31 18:42:00,39,20230.17,0.10115084999999994,0,0.0,0.15,0.0,39,20230.16999999999,0.3,0.10115084999999994,scheduled,,2014-03-31 20:00:00,2014-03-31 20:39:00,39,20230.17,0.05057542499999997,39,20230.16999999999,0.15,0.05057542499999997,0,0.0,0.3,0.0
house20_event_17952,Tumble Dryer,original,,2014-04-03 19:12:00,2014-04-03 20:22:00,70,50700.47,0.21366626642857142,22,15934.433428571434,0.15,0.039836083571428586,48,34766.03657142857,0.3,0.17383018285714283,scheduled,,2014-04-03 20:00:00,2014-04-03 21:10:00,70,50700.47,0.1267511749999998,70,50700.46999999993,0.15,0.1267511749999998,0,0.0,0.3,0.0
house20_event_17955,Tumble Dryer,original,,2014-04-08 12:32:00,2014-04-08 13:41:00,69,50726.95,0.17827949818840566,41,30142.10072463765,0.15,0.07535525181159412,28,20584.84927536231,0.3,0.10292424637681155,scheduled,,2014-04-08 13:00:00,2014-04-08 14:09:00,69,50726.95,0.1268173749999998,69,50726.949999999924,0.15,0.1268173749999998,0,0.0,0.3,0.0
house20_event_17960,Tumble Dryer,original,,2014-04-11 06:43:00,2014-04-11 07:50:00,67,50748.18,0.2537409000000003,0,0.0,0.15,0.0,67,50748.180000000066,0.3,0.2537409000000003,scheduled,,2014-04-11 13:00:00,2014-04-11 14:07:00,67,50748.18,0.12687045000000016,67,50748.180000000066,0.15,0.12687045000000016,0,0.0,0.3,0.0
house20_event_17963,Tumble Dryer,original,,2014-04-14 05:54:00,2014-04-14 07:08:00,74,52642.79,0.25254311418918884,6,4268.334324324324,0.15,0.010670835810810811,68,48374.45567567561,0.3,0.24187227837837802,scheduled,,2014-04-14 13:00:00,2014-04-14 14:14:00,74,52642.79,0.1316069749999998,74,52642.78999999992,0.15,0.1316069749999998,0,0.0,0.3,0.0
house20_event_17970,Tumble Dryer,original,,2014-04-16 18:53:00,2014-04-16 20:03:00,70,52702.18,0.25786423785714313,3,2258.6648571428573,0.15,0.005646662142857144,67,50443.515142857206,0.3,0.252217575714286,scheduled,,2014-04-16 20:00:00,2014-04-16 21:10:00,70,52702.18,0.13175545000000016,70,52702.18000000007,0.15,0.13175545000000016,0,0.0,0.3,0.0
house20_event_17977,Tumble Dryer,original,,2014-04-19 19:07:00,2014-04-19 20:15:00,68,50825.43,0.22609842022058796,15,11211.491911764706,0.15,0.028028729779411763,53,39613.93808823524,0.3,0.1980696904411762,scheduled,,2014-04-19 20:00:00,2014-04-19 21:08:00,68,50825.43,0.1270635749999998,68,50825.42999999992,0.15,0.1270635749999998,0,0.0,0.3,0.0
house20_event_17984,Tumble Dryer,original,,2014-04-22 07:01:00,2014-04-22 08:10:00,69,50518.74,0.2525936999999996,0,0.0,0.15,0.0,69,50518.73999999992,0.3,0.2525936999999996,scheduled,,2014-04-22 13:00:00,2014-04-22 14:09:00,69,50518.74,0.1262968499999998,69,50518.73999999992,0.15,0.1262968499999998,0,0.0,0.3,0.0
