event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost
house21_event_1,Aggregate,original,,2014-03-07 22:58:00,2014-03-07 23:44:00,46,4064.11,0.02032055,0,0.0,0.15,0.0,46,4064.11,0.3,0.02032055
house21_event_2,Aggregate,original,,2014-03-08 01:01:00,2014-03-08 01:45:00,44,3829.85,0.009574625000000005,44,3829.8500000000017,0.15,0.009574625000000005,0,0.0,0.3,0.0
house21_event_3,Aggregate,original,,2014-03-08 03:11:00,2014-03-08 03:54:00,43,3781.2,0.009453000000000008,43,3781.2000000000035,0.15,0.009453000000000008,0,0.0,0.3,0.0
house21_event_4,Aggregate,original,,2014-03-08 05:27:00,2014-03-08 06:10:00,43,3854.92,0.011878532558139539,33,2958.4269767441883,0.15,0.007396067441860469,10,896.493023255814,0.3,0.00448246511627907
house21_event_5,Aggregate,original,,2014-03-08 07:41:00,2014-03-08 08:30:00,49,4427.74,0.0221387,0,0.0,0.15,0.0,49,4427.740000000001,0.3,0.0221387
house21_event_6,Aggregate,original,,2014-03-08 09:40:00,2014-03-08 10:26:00,46,3830.22,0.019151100000000004,0,0.0,0.15,0.0,46,3830.2200000000016,0.3,0.019151100000000004
house21_event_7,Aggregate,original,,2014-03-08 11:46:00,2014-03-08 12:30:00,44,3957.97,0.01978985,0,0.0,0.15,0.0,44,3957.97,0.3,0.01978985
house21_event_8,Aggregate,original,,2014-03-08 13:50:00,2014-03-08 14:39:00,49,2956.78,0.007391950000000009,49,2956.780000000004,0.15,0.007391950000000009,0,0.0,0.3,0.0
house21_event_9,Aggregate,original,,2014-03-08 15:54:00,2014-03-08 16:39:00,45,3955.29,0.018458020000000006,6,527.372,0.15,0.00131843,39,3427.9180000000015,0.3,0.017139590000000007
house21_event_10,Aggregate,original,,2014-03-08 17:59:00,2014-03-08 18:44:00,45,3924.7,0.01962349999999999,0,0.0,0.15,0.0,45,3924.6999999999985,0.3,0.01962349999999999
house21_event_11,Aggregate,original,,2014-03-08 19:53:00,2014-03-08 20:33:00,40,3543.95,0.010410353125000004,33,2923.7587500000022,0.15,0.007309396875000004,7,620.19125,0.3,0.0031009562499999996
house21_event_12,Aggregate,original,,2014-03-08 21:39:00,2014-03-08 22:19:00,40,2592.3,0.009559106249999998,21,1360.9574999999995,0.15,0.0034023937499999984,19,1231.3424999999997,0.3,0.006156712499999999
house21_event_13,Aggregate,original,,2014-03-08 23:27:00,2014-03-09 00:07:00,40,3475.59,0.01737794999999999,0,0.0,0.15,0.0,40,3475.589999999998,0.3,0.01737794999999999
house21_event_14,Aggregate,original,,2014-03-09 01:19:00,2014-03-09 01:58:00,39,3486.86,0.008717150000000005,39,3486.860000000002,0.15,0.008717150000000005,0,0.0,0.3,0.0
house21_event_15,Aggregate,original,,2014-03-09 03:13:00,2014-03-09 03:52:00,39,3475.81,0.008689525000000007,39,3475.810000000003,0.15,0.008689525000000007,0,0.0,0.3,0.0
house21_event_16,Aggregate,original,,2014-03-09 05:10:00,2014-03-09 05:35:00,25,4457.45,0.011143624999999992,25,4457.449999999997,0.15,0.011143624999999992,0,0.0,0.3,0.0
house21_event_17,Aggregate,original,,2014-03-09 05:41:00,2014-03-09 06:45:00,64,6231.85,0.02653404882812501,19,1850.0804687500006,0.15,0.004625201171875001,45,4381.769531250002,0.3,0.021908847656250008
house21_event_18,Aggregate,original,,2014-03-09 07:58:00,2014-03-09 08:42:00,44,4051.1,0.020255500000000006,0,0.0,0.15,0.0,44,4051.1000000000017,0.3,0.020255500000000006
house21_event_19,Aggregate,original,,2014-03-09 09:53:00,2014-03-09 10:34:00,41,3622.44,0.018112200000000005,0,0.0,0.15,0.0,41,3622.4400000000014,0.3,0.018112200000000005
house21_event_20,Aggregate,original,,2014-03-09 11:44:00,2014-03-09 12:24:00,40,3637.21,0.018186049999999985,0,0.0,0.15,0.0,40,3637.209999999997,0.3,0.018186049999999985
house21_event_21,Aggregate,original,,2014-03-09 13:31:00,2014-03-09 14:12:00,41,2942.58,0.007356450000000006,41,2942.580000000002,0.15,0.007356450000000006,0,0.0,0.3,0.0
house21_event_22,Aggregate,original,,2014-03-09 15:16:00,2014-03-09 15:58:00,42,3633.37,0.009083424999999989,42,3633.369999999996,0.15,0.009083424999999989,0,0.0,0.3,0.0
house21_event_23,Aggregate,original,,2014-03-09 17:00:00,2014-03-09 17:52:00,52,4530.41,0.022652050000000024,0,0.0,0.15,0.0,52,4530.410000000005,0.3,0.022652050000000024
house21_event_24,Aggregate,original,,2014-03-09 18:42:00,2014-03-09 19:28:00,46,4108.64,0.02054319999999999,0,0.0,0.15,0.0,46,4108.6399999999985,0.3,0.02054319999999999
house21_event_25,Aggregate,original,,2014-03-09 20:28:00,2014-03-09 21:13:00,45,3892.68,0.009731699999999994,45,3892.679999999997,0.15,0.009731699999999994,0,0.0,0.3,0.0
house21_event_26,Aggregate,original,,2014-03-09 22:13:00,2014-03-09 22:57:00,44,3922.35,0.01961174999999999,0,0.0,0.15,0.0,44,3922.349999999998,0.3,0.01961174999999999
house21_event_27,Aggregate,original,,2014-03-10 00:03:00,2014-03-10 00:46:00,43,3771.44,0.0188572,0,0.0,0.15,0.0,43,3771.44,0.3,0.0188572
house21_event_28,Aggregate,original,,2014-03-10 01:56:00,2014-03-10 02:37:00,41,3725.97,0.009314924999999991,41,3725.9699999999966,0.15,0.009314924999999991,0,0.0,0.3,0.0
