event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Tumble_Dryer_2014-03-21_01,Tumble Dryer,Appliance3,Shiftable,2014-03-21 09:47:00,2014-03-21 11:06:00,79.0,96376.99,True,"{""0"": 0, ""1"": 79}",1,1,1,0.0
Tumble_Dryer_2014-03-21_02,Tumble Dryer,Appliance3,Shiftable,2014-03-21 11:08:00,2014-03-21 12:03:00,55.0,54475.48,True,"{""0"": 0, ""1"": 55}",1,1,1,0.0
Tumble_Dryer_2014-03-24_01,Tumble Dryer,Appliance3,Shiftable,2014-03-24 10:34:00,2014-03-24 11:19:00,45.0,52689.9,True,"{""0"": 0, ""1"": 45}",1,1,1,0.0
Tumble_Dryer_2014-03-30_01,Tumble Dryer,Appliance3,Shiftable,2014-03-30 12:46:00,2014-03-30 13:16:00,30.0,37126.05,True,"{""0"": 16, ""1"": 14}",0,1,0,0.5333333333333333
Tumble_Dryer_2014-03-30_02,Tumble Dryer,Appliance3,Shiftable,2014-03-30 14:10:00,2014-03-30 15:18:00,68.0,74987.32,False,"{""0"": 68, ""1"": 0}",0,0,0,0.0
Tumble_Dryer_2014-03-31_01,Tumble Dryer,Appliance3,Shiftable,2014-03-31 08:10:00,2014-03-31 08:51:00,41.0,43806.26,True,"{""0"": 0, ""1"": 41}",1,1,1,0.0
Tumble_Dryer_2014-03-31_02,Tumble Dryer,Appliance3,Shiftable,2014-03-31 10:25:00,2014-03-31 11:09:00,44.0,47962.16,True,"{""0"": 0, ""1"": 44}",1,1,1,0.0
Tumble_Dryer_2014-04-07_01,Tumble Dryer,Appliance3,Shiftable,2014-04-07 08:32:00,2014-04-07 08:54:00,22.0,30862.91,True,"{""0"": 0, ""1"": 22}",1,1,1,0.0
Tumble_Dryer_2014-04-07_02,Tumble Dryer,Appliance3,Shiftable,2014-04-07 08:57:00,2014-04-07 09:42:00,45.0,33670.42,True,"{""0"": 0, ""1"": 45}",1,1,1,0.0
Tumble_Dryer_2014-04-07_03,Tumble Dryer,Appliance3,Shiftable,2014-04-07 10:05:00,2014-04-07 11:00:00,55.0,57816.76,True,"{""0"": 0, ""1"": 55}",1,1,1,0.0
Tumble_Dryer_2014-04-09_02,Tumble Dryer,Appliance3,Shiftable,2014-04-09 23:18:00,2014-04-09 23:23:00,5.0,288.0,True,"{""0"": 0, ""1"": 5}",1,1,1,0.0
Tumble_Dryer_2014-04-10_02,Tumble Dryer,Appliance3,Shiftable,2014-04-10 01:01:00,2014-04-10 01:07:00,6.0,287.09,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Tumble_Dryer_2014-04-10_04,Tumble Dryer,Appliance3,Shiftable,2014-04-10 03:34:00,2014-04-10 04:11:00,37.0,298.14,False,"{""0"": 37, ""1"": 0}",0,0,0,0.0
Tumble_Dryer_2014-04-11_01,Tumble Dryer,Appliance3,Shiftable,2014-04-11 08:34:00,2014-04-11 09:54:00,80.0,95855.2,True,"{""0"": 0, ""1"": 80}",1,1,1,0.0
Tumble_Dryer_2014-04-14_01,Tumble Dryer,Appliance3,Shiftable,2014-04-14 09:04:00,2014-04-14 09:52:00,48.0,53128.7,True,"{""0"": 0, ""1"": 48}",1,1,1,0.0
Tumble_Dryer_2014-04-14_02,Tumble Dryer,Appliance3,Shiftable,2014-04-14 11:03:00,2014-04-14 11:53:00,50.0,56430.06,True,"{""0"": 0, ""1"": 50}",1,1,1,0.0
Tumble_Dryer_2014-04-19_01,Tumble Dryer,Appliance3,Shiftable,2014-04-19 15:47:00,2014-04-19 16:59:00,72.0,86043.16,True,"{""0"": 14, ""1"": 58}",1,0,1,0.19444444444444445
Tumble_Dryer_2014-04-22_02,Tumble Dryer,Appliance3,Shiftable,2014-04-22 10:00:00,2014-04-22 10:52:00,52.0,58666.42,True,"{""0"": 0, ""1"": 52}",1,1,1,0.0
Tumble_Dryer_2014-04-22_04,Tumble Dryer,Appliance3,Shiftable,2014-04-22 10:53:00,2014-04-22 11:01:00,8.0,44.48,True,"{""0"": 0, ""1"": 8}",1,1,1,0.0
Tumble_Dryer_2014-04-22_06,Tumble Dryer,Appliance3,Shiftable,2014-04-22 11:25:00,2014-04-22 12:20:00,55.0,54480.37,True,"{""0"": 0, ""1"": 55}",1,1,1,0.0
Tumble_Dryer_2014-04-25_01,Tumble Dryer,Appliance3,Shiftable,2014-04-25 08:40:00,2014-04-25 09:55:00,75.0,83844.79,True,"{""0"": 0, ""1"": 75}",1,1,1,0.0
Tumble_Dryer_2014-04-28_01,Tumble Dryer,Appliance3,Shiftable,2014-04-28 08:34:00,2014-04-28 09:22:00,48.0,47147.96,True,"{""0"": 0, ""1"": 48}",1,1,1,0.0
Tumble_Dryer_2014-04-28_02,Tumble Dryer,Appliance3,Shiftable,2014-04-28 10:54:00,2014-04-28 10:59:00,5.0,284.0,True,"{""0"": 0, ""1"": 5}",1,1,1,0.0
Tumble_Dryer_2014-05-01_01,Tumble Dryer,Appliance3,Shiftable,2014-05-01 09:54:00,2014-05-01 10:47:00,53.0,58265.91,True,"{""0"": 0, ""1"": 53}",1,1,1,0.0
Tumble_Dryer_2014-05-09_01,Tumble Dryer,Appliance3,Shiftable,2014-05-09 08:30:00,2014-05-09 09:48:00,78.0,93295.34,True,"{""0"": 0, ""1"": 78}",1,1,1,0.0
Tumble_Dryer_2014-05-09_02,Tumble Dryer,Appliance3,Shiftable,2014-05-09 09:51:00,2014-05-09 10:24:00,33.0,36529.97,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Tumble_Dryer_2014-05-09_03,Tumble Dryer,Appliance3,Shiftable,2014-05-09 11:27:00,2014-05-09 11:57:00,30.0,25463.31,True,"{""0"": 0, ""1"": 30}",1,1,1,0.0
