event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Tumble_Dryer_2013-09-26_01,Tumble Dryer,2013-09-26 13:09:00,2013-09-26 14:01:00,2013-09-27 06:00:00,2013-09-27 06:52:00,1,0,1.0,1011,SUCCESS,,
Tumble_Dryer_2013-09-27_01,Tumble Dryer,2013-09-27 10:15:00,2013-09-27 10:37:00,2013-09-28 06:00:00,2013-09-28 06:22:00,1,0,1.0,1185,SUCCESS,,
Tumble_Dryer_2013-09-28_01,Tumble Dryer,2013-09-28 08:16:00,2013-09-28 08:43:00,2013-09-29 06:00:00,2013-09-29 06:27:00,1,0,1.0,1304,SUCCESS,,
Tumble_Dryer_2013-09-29_02,Tumble Dryer,2013-09-29 07:57:00,2013-09-29 08:40:00,2013-09-30 06:00:00,2013-09-30 06:43:00,1,0,1.0,1323,SUCCESS,,
Tumble_Dryer_2013-10-23_01,Tumble Dryer,2013-10-23 16:18:00,2013-10-23 16:41:00,2013-10-24 06:00:00,2013-10-24 06:23:00,1,0,1.0,822,SUCCESS,,
Tumble_Dryer_2013-10-25_01,Tumble Dryer,2013-10-25 09:56:00,2013-10-25 10:34:00,2013-10-26 06:00:00,2013-10-26 06:38:00,1,0,1.0,1204,SUCCESS,,
Tumble_Dryer_2013-10-26_01,Tumble Dryer,2013-10-26 16:33:00,2013-10-26 17:09:00,2013-10-27 06:00:00,2013-10-27 06:36:00,1,0,1.0,807,SUCCESS,,
Tumble_Dryer_2013-10-27_01,Tumble Dryer,2013-10-27 06:48:00,2013-10-27 07:27:00,2013-10-27 06:53:00,2013-10-27 07:32:00,0,0,0.1,5,SUCCESS,,
Tumble_Dryer_2013-10-29_01,Tumble Dryer,2013-10-29 09:51:00,2013-10-29 10:31:00,2013-10-30 06:00:00,2013-10-30 06:40:00,1,0,1.0,1209,SUCCESS,,
Tumble_Dryer_2013-10-30_01,Tumble Dryer,2013-10-30 09:13:00,2013-10-30 09:18:00,2013-10-31 06:00:00,2013-10-31 06:05:00,1,0,1.0,1247,SUCCESS,,
Tumble_Dryer_2013-11-01_01,Tumble Dryer,2013-11-01 09:17:00,2013-11-01 09:42:00,2013-11-02 06:00:00,2013-11-02 06:25:00,1,0,1.0,1243,SUCCESS,,
Tumble_Dryer_2013-11-02_01,Tumble Dryer,2013-11-02 09:01:00,2013-11-02 09:55:00,2013-11-03 06:00:00,2013-11-03 06:54:00,1,0,1.0,1259,SUCCESS,,
