event_id,appliance_name,appliance_ID,Shiftability,original_start_time,original_end_time,duration(min),energy(W),is_reschedulable
Toaster_2013-09-27_01,Toaster,Appliance1,Non-shiftable,2013-09-27 05:53:00,2013-09-27 05:56:00,3.0,2439.9,False
Toaster_2013-09-28_01,Toaster,Appliance1,Non-shiftable,2013-09-28 06:54:00,2013-09-28 06:56:00,2.0,40.5,False
Toaster_2013-09-28_02,Toaster,Appliance1,Non-shiftable,2013-09-28 07:13:00,2013-09-28 07:16:00,3.0,1703.34,False
Toaster_2013-09-28_03,Toaster,Appliance1,Non-shiftable,2013-09-28 07:19:00,2013-09-28 07:22:00,3.0,1896.28,False
Toaster_2013-10-24_01,Toaster,Appliance1,Non-shiftable,2013-10-24 06:40:00,2013-10-24 06:45:00,5.0,3167.41,False
Toaster_2013-10-24_02,Toaster,Appliance1,Non-shiftable,2013-10-24 07:25:00,2013-10-24 07:29:00,4.0,2830.36,False
Toaster_2013-10-24_03,Toaster,Appliance1,Non-shiftable,2013-10-24 13:40:00,2013-10-24 13:43:00,3.0,354.9,False
Toaster_2013-10-24_04,Toaster,Appliance1,Non-shiftable,2013-10-24 14:00:00,2013-10-24 14:03:00,3.0,21.33,False
Toaster_2013-10-25_01,Toaster,Appliance1,Non-shiftable,2013-10-25 08:08:00,2013-10-25 08:13:00,5.0,2895.1,False
Toaster_2013-10-28_01,Toaster,Appliance1,Non-shiftable,2013-10-28 08:50:00,2013-10-28 08:53:00,3.0,2096.41,False
Toaster_2013-10-28_02,Toaster,Appliance1,Non-shiftable,2013-10-28 14:30:00,2013-10-28 14:33:00,3.0,2110.5,False
Toaster_2013-10-29_01,Toaster,Appliance1,Non-shiftable,2013-10-29 08:18:00,2013-10-29 08:21:00,3.0,2066.9,False
Toaster_2013-10-30_01,Toaster,Appliance1,Non-shiftable,2013-10-30 08:27:00,2013-10-30 08:30:00,3.0,1645.4,False
Toaster_2013-10-31_01,Toaster,Appliance1,Non-shiftable,2013-10-31 08:02:00,2013-10-31 08:05:00,3.0,1892.37,False
Toaster_2013-11-01_01,Toaster,Appliance1,Non-shiftable,2013-11-01 07:07:00,2013-11-01 07:10:00,3.0,1780.55,False
Toaster_2013-11-01_02,Toaster,Appliance1,Non-shiftable,2013-11-01 08:04:00,2013-11-01 08:07:00,3.0,2068.7,False
Toaster_2013-11-01_03,Toaster,Appliance1,Non-shiftable,2013-11-01 17:24:00,2013-11-01 17:27:00,3.0,2050.46,False
Toaster_2013-11-01_04,Toaster,Appliance1,Non-shiftable,2013-11-01 19:03:00,2013-11-01 19:06:00,3.0,2119.8,False
Toaster_2013-11-02_01,Toaster,Appliance1,Non-shiftable,2013-11-02 13:34:00,2013-11-02 13:37:00,3.0,2039.04,False
Toaster_2013-11-03_01,Toaster,Appliance1,Non-shiftable,2013-11-03 08:17:00,2013-11-03 08:20:00,3.0,1890.77,False
Toaster_2013-11-03_02,Toaster,Appliance1,Non-shiftable,2013-11-03 08:26:00,2013-11-03 08:29:00,3.0,2080.8,False
Toaster_2013-11-03_03,Toaster,Appliance1,Non-shiftable,2013-11-03 18:41:00,2013-11-03 18:44:00,3.0,1990.14,False
Toaster_2013-11-04_01,Toaster,Appliance1,Non-shiftable,2013-11-04 07:59:00,2013-11-04 08:02:00,3.0,1958.73,False
Toaster_2013-11-04_02,Toaster,Appliance1,Non-shiftable,2013-11-04 18:02:00,2013-11-04 18:08:00,6.0,3497.1,False
Toaster_2013-11-06_01,Toaster,Appliance1,Non-shiftable,2013-11-06 08:11:00,2013-11-06 08:13:00,2.0,1701.59,False
Toaster_2013-11-07_01,Toaster,Appliance1,Non-shiftable,2013-11-07 06:37:00,2013-11-07 06:40:00,3.0,2059.64,False
Toaster_2013-11-07_02,Toaster,Appliance1,Non-shiftable,2013-11-07 08:06:00,2013-11-07 08:09:00,3.0,2004.1,False
Toaster_2013-11-10_01,Toaster,Appliance1,Non-shiftable,2013-11-10 13:47:00,2013-11-10 13:51:00,4.0,48.7,False
Toaster_2013-11-12_01,Toaster,Appliance1,Non-shiftable,2013-11-12 07:25:00,2013-11-12 07:28:00,3.0,2003.62,False
Toaster_2013-11-13_01,Toaster,Appliance1,Non-shiftable,2013-11-13 06:51:00,2013-11-13 06:54:00,3.0,2046.95,False
Toaster_2013-11-13_02,Toaster,Appliance1,Non-shiftable,2013-11-13 08:34:00,2013-11-13 08:36:00,2.0,2058.98,False
Toaster_2013-11-13_03,Toaster,Appliance1,Non-shiftable,2013-11-13 17:38:00,2013-11-13 17:41:00,3.0,2179.3,False
Toaster_2013-11-14_01,Toaster,Appliance1,Non-shiftable,2013-11-14 07:52:00,2013-11-14 07:56:00,4.0,1965.93,False
Toaster_2013-11-15_01,Toaster,Appliance1,Non-shiftable,2013-11-15 08:59:00,2013-11-15 09:02:00,3.0,2044.53,False
Toaster_2013-11-16_01,Toaster,Appliance1,Non-shiftable,2013-11-16 07:52:00,2013-11-16 07:55:00,3.0,1985.27,False
Toaster_2013-11-16_02,Toaster,Appliance1,Non-shiftable,2013-11-16 08:07:00,2013-11-16 08:10:00,3.0,2207.17,False
Toaster_2013-11-17_01,Toaster,Appliance1,Non-shiftable,2013-11-17 08:30:00,2013-11-17 08:33:00,3.0,2302.4,False
Toaster_2013-11-17_02,Toaster,Appliance1,Non-shiftable,2013-11-17 19:08:00,2013-11-17 19:11:00,3.0,2085.54,False
Toaster_2013-11-18_01,Toaster,Appliance1,Non-shiftable,2013-11-18 08:54:00,2013-11-18 08:57:00,3.0,2062.8,False
Toaster_2013-11-19_01,Toaster,Appliance1,Non-shiftable,2013-11-19 08:07:00,2013-11-19 08:10:00,3.0,2089.5,False
Toaster_2013-11-20_01,Toaster,Appliance1,Non-shiftable,2013-11-20 07:37:00,2013-11-20 07:40:00,3.0,2285.9,False
Toaster_2013-11-21_01,Toaster,Appliance1,Non-shiftable,2013-11-21 08:14:00,2013-11-21 08:17:00,3.0,2279.18,False
Toaster_2013-11-21_02,Toaster,Appliance1,Non-shiftable,2013-11-21 12:24:00,2013-11-21 12:27:00,3.0,2022.73,False
Toaster_2013-11-22_01,Toaster,Appliance1,Non-shiftable,2013-11-22 08:55:00,2013-11-22 08:58:00,3.0,2083.42,False
Toaster_2013-11-22_02,Toaster,Appliance1,Non-shiftable,2013-11-22 09:08:00,2013-11-22 09:11:00,3.0,2200.46,False
Toaster_2013-11-23_01,Toaster,Appliance1,Non-shiftable,2013-11-23 08:41:00,2013-11-23 08:47:00,6.0,2179.16,False
Toaster_2013-11-24_01,Toaster,Appliance1,Non-shiftable,2013-11-24 08:32:00,2013-11-24 08:36:00,4.0,2251.41,False
Toaster_2013-11-24_02,Toaster,Appliance1,Non-shiftable,2013-11-24 19:53:00,2013-11-24 19:56:00,3.0,2274.08,False
Toaster_2013-11-25_01,Toaster,Appliance1,Non-shiftable,2013-11-25 08:25:00,2013-11-25 08:28:00,3.0,2308.29,False
Toaster_2013-11-26_01,Toaster,Appliance1,Non-shiftable,2013-11-26 18:17:00,2013-11-26 18:23:00,6.0,4345.79,False
Toaster_2013-11-27_01,Toaster,Appliance1,Non-shiftable,2013-11-27 06:54:00,2013-11-27 06:58:00,4.0,2923.96,False
Toaster_2013-11-27_02,Toaster,Appliance1,Non-shiftable,2013-11-27 08:17:00,2013-11-27 08:20:00,3.0,1575.54,False
Toaster_2013-11-28_01,Toaster,Appliance1,Non-shiftable,2013-11-28 08:50:00,2013-11-28 08:53:00,3.0,1517.73,False
Toaster_2013-11-28_02,Toaster,Appliance1,Non-shiftable,2013-11-28 08:54:00,2013-11-28 08:56:00,2.0,1186.14,False
Toaster_2013-11-30_01,Toaster,Appliance1,Non-shiftable,2013-11-30 09:12:00,2013-11-30 09:15:00,3.0,2901.08,False
Toaster_2013-12-01_01,Toaster,Appliance1,Non-shiftable,2013-12-01 20:59:00,2013-12-01 21:02:00,3.0,2117.39,False
Toaster_2013-12-02_01,Toaster,Appliance1,Non-shiftable,2013-12-02 10:12:00,2013-12-02 10:15:00,3.0,2059.29,False
Toaster_2013-12-03_01,Toaster,Appliance1,Non-shiftable,2013-12-03 07:16:00,2013-12-03 07:19:00,3.0,1927.03,False
Toaster_2013-12-04_01,Toaster,Appliance1,Non-shiftable,2013-12-04 07:35:00,2013-12-04 07:38:00,3.0,2091.38,False
Toaster_2013-12-04_02,Toaster,Appliance1,Non-shiftable,2013-12-04 08:03:00,2013-12-04 08:05:00,2.0,1911.68,False
Toaster_2013-12-07_01,Toaster,Appliance1,Non-shiftable,2013-12-07 09:00:00,2013-12-07 09:03:00,3.0,2126.46,False
Toaster_2013-12-08_01,Toaster,Appliance1,Non-shiftable,2013-12-08 07:42:00,2013-12-08 07:45:00,3.0,2031.33,False
Toaster_2013-12-08_02,Toaster,Appliance1,Non-shiftable,2013-12-08 07:56:00,2013-12-08 07:59:00,3.0,2089.05,False
Toaster_2013-12-08_03,Toaster,Appliance1,Non-shiftable,2013-12-08 09:14:00,2013-12-08 09:17:00,3.0,2278.34,False
Toaster_2013-12-08_04,Toaster,Appliance1,Non-shiftable,2013-12-08 10:55:00,2013-12-08 11:00:00,5.0,1808.9,False
Toaster_2013-12-08_05,Toaster,Appliance1,Non-shiftable,2013-12-08 11:02:00,2013-12-08 11:04:00,2.0,1550.52,False
Toaster_2013-12-09_01,Toaster,Appliance1,Non-shiftable,2013-12-09 07:56:00,2013-12-09 08:01:00,5.0,3681.78,False
Toaster_2013-12-09_02,Toaster,Appliance1,Non-shiftable,2013-12-09 08:03:00,2013-12-09 08:08:00,5.0,3720.34,False
Toaster_2013-12-10_01,Toaster,Appliance1,Non-shiftable,2013-12-10 08:30:00,2013-12-10 08:34:00,4.0,2080.94,False
Toaster_2013-12-11_01,Toaster,Appliance1,Non-shiftable,2013-12-11 08:10:00,2013-12-11 08:14:00,4.0,3201.87,False
Toaster_2013-12-11_02,Toaster,Appliance1,Non-shiftable,2013-12-11 08:37:00,2013-12-11 08:40:00,3.0,1774.43,False
Toaster_2013-12-12_01,Toaster,Appliance1,Non-shiftable,2013-12-12 07:36:00,2013-12-12 07:41:00,5.0,2764.59,False
Toaster_2013-12-13_01,Toaster,Appliance1,Non-shiftable,2013-12-13 08:30:00,2013-12-13 08:33:00,3.0,2254.69,False
Toaster_2013-12-16_01,Toaster,Appliance1,Non-shiftable,2013-12-16 08:15:00,2013-12-16 08:18:00,3.0,1939.36,False
Toaster_2013-12-16_02,Toaster,Appliance1,Non-shiftable,2013-12-16 08:53:00,2013-12-16 08:56:00,3.0,2006.73,False
Toaster_2013-12-17_01,Toaster,Appliance1,Non-shiftable,2013-12-17 08:42:00,2013-12-17 08:45:00,3.0,1022.0,False
Toaster_2013-12-18_01,Toaster,Appliance1,Non-shiftable,2013-12-18 07:38:00,2013-12-18 07:41:00,3.0,1967.9,False
Toaster_2013-12-20_01,Toaster,Appliance1,Non-shiftable,2013-12-20 01:26:00,2013-12-20 01:29:00,3.0,1940.43,False
Toaster_2013-12-20_02,Toaster,Appliance1,Non-shiftable,2013-12-20 07:34:00,2013-12-20 07:37:00,3.0,1910.6,False
