event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost
Washing_Machine_2013-09-20_01,Washing Machine,original,,2013-09-20 07:49:00,2013-09-20 09:27:00,100,72063.57,0.36031784999999966,0,0.0,0.15,0.0,100,72063.56999999993,0.3,0.36031784999999966,scheduled,,2013-09-20 13:00:00,2013-09-20 14:38:00,100,72063.57,0.18015892499999983,100,72063.56999999993,0.15,0.18015892499999983,0,0.0,0.3,0.0
Washing_Machine_2013-09-22_02,Washing Machine,original,,2013-09-22 08:51:00,2013-09-22 08:58:00,7,36.6,0.00018299999999999998,0,0.0,0.15,0.0,7,36.6,0.3,0.00018299999999999998,scheduled,,2013-09-22 13:00:00,2013-09-22 13:07:00,7,36.6,9.149999999999999e-05,7,36.6,0.15,9.149999999999999e-05,0,0.0,0.3,0.0
Washing_Machine_2013-09-22_03,Washing Machine,original,,2013-09-22 09:07:00,2013-09-22 11:54:00,166,45503.92,0.22751960000000043,0,0.0,0.15,0.0,166,45503.920000000086,0.3,0.22751960000000043,scheduled,,2013-09-22 13:07:00,2013-09-22 15:54:00,166,45503.92,0.11375980000000022,166,45503.920000000086,0.15,0.11375980000000022,0,0.0,0.3,0.0
Washing_Machine_2013-09-22_04,Washing Machine,original,,2013-09-22 17:09:00,2013-09-22 17:17:00,8,40.8,0.000204,0,0.0,0.15,0.0,8,40.800000000000004,0.3,0.000204,scheduled,,2013-09-22 20:00:00,2013-09-22 20:08:00,8,40.8,0.000102,8,40.800000000000004,0.15,0.000102,0,0.0,0.3,0.0
Washing_Machine_2013-09-23_01,Washing Machine,original,,2013-09-23 19:08:00,2013-09-23 21:33:00,144,76629.05,0.2607516284722225,92,48957.44861111122,0.15,0.12239362152777805,52,27671.60138888889,0.3,0.13835800694444444,scheduled,,2013-09-23 20:00:00,2013-09-23 22:25:00,144,76629.05,0.22350139583333384,120,63857.541666666875,0.15,0.15964385416666718,24,12771.508333333333,0.3,0.06385754166666666
Washing_Machine_2013-09-24_01,Washing Machine,original,,2013-09-24 08:21:00,2013-09-24 08:27:00,7,36.67,0.00018335,0,0.0,0.15,0.0,7,36.67,0.3,0.00018335,scheduled,,2013-09-24 13:00:00,2013-09-24 13:06:00,7,36.67,9.1675e-05,7,36.67,0.15,9.1675e-05,0,0.0,0.3,0.0
Washing_Machine_2013-09-25_01,Washing Machine,original,,2013-09-25 13:22:00,2013-09-25 16:17:00,176,48849.71,0.13461425767045448,158,43853.71693181816,0.15,0.1096342923295454,18,4995.993068181818,0.3,0.02497996534090909,scheduled,,2013-09-25 13:27:00,2013-09-25 16:22:00,176,48849.71,0.13808369730113632,153,42465.941079545446,0.15,0.10616485269886361,23,6383.768920454543,0.3,0.03191884460227271
Washing_Machine_2013-09-26_01,Washing Machine,original,,2013-09-26 09:23:00,2013-09-26 11:05:00,104,61051.43,0.30525715000000053,0,0.0,0.15,0.0,104,61051.43000000012,0.3,0.30525715000000053,scheduled,,2013-09-26 13:00:00,2013-09-26 14:42:00,104,61051.43,0.15262857500000027,104,61051.43000000012,0.15,0.15262857500000027,0,0.0,0.3,0.0
Washing_Machine_2013-09-29_01,Washing Machine,original,,2013-09-29 14:49:00,2013-09-29 17:36:00,165,44917.25,0.17626617803030303,71,19328.02878787879,0.15,0.048320071969696975,94,25589.221212121214,0.3,0.12794610606060605,scheduled,,2013-09-29 14:54:00,2013-09-29 17:41:00,165,44917.25,0.17966900000000002,66,17966.9,0.15,0.044917250000000006,99,26950.350000000002,0.3,0.13475175
Washing_Machine_2013-10-01_01,Washing Machine,original,,2013-10-01 18:12:00,2013-10-01 20:44:00,150,77701.21,0.3341152030000004,42,21756.3388,0.15,0.054390847000000006,108,55944.87120000008,0.3,0.2797243560000004,scheduled,,2013-10-01 20:00:00,2013-10-01 22:32:00,150,77701.21,0.23310363000000034,120,62160.96800000011,0.15,0.15540242000000026,30,15540.242000000013,0.3,0.07770121000000006
Washing_Machine_2013-10-02_01,Washing Machine,original,,2013-10-02 17:21:00,2013-10-02 19:52:00,151,78212.99,0.3910649499999992,0,0.0,0.15,0.0,151,78212.98999999983,0.3,0.3910649499999992,scheduled,,2013-10-02 20:00:00,2013-10-02 22:31:00,151,78212.99,0.2356749036423838,120,62156.01854304626,0.15,0.15539004635761564,31,16056.971456953632,0.3,0.08028485728476815
Washing_Machine_2013-10-04_01,Washing Machine,original,,2013-10-04 12:54:00,2013-10-04 14:30:00,96,34930.03,0.09278289218750015,90,32746.90312500006,0.15,0.08186725781250015,6,2183.126875,0.3,0.010915634374999999,scheduled,,2013-10-04 13:00:00,2013-10-04 14:36:00,96,34930.03,0.08732507500000013,96,34930.03000000005,0.15,0.08732507500000013,0,0.0,0.3,0.0
Washing_Machine_2013-10-06_01,Washing Machine,original,,2013-10-06 15:09:00,2013-10-06 17:33:00,144,75209.64,0.3094563312500002,51,26636.747499999987,0.15,0.06659186874999996,93,48572.89250000005,0.3,0.24286446250000024,scheduled,,2013-10-06 15:14:00,2013-10-06 17:38:00,144,75209.64,0.31598494583333364,46,24025.30166666666,0.15,0.06006325416666664,98,51184.3383333334,0.3,0.255921691666667
Washing_Machine_2013-10-07_01,Washing Machine,original,,2013-10-07 14:46:00,2013-10-07 17:43:00,174,45428.07,0.17884039051724115,74,19319.983793103445,0.15,0.048299959482758614,100,26108.08620689651,0.3,0.13054043103448254,scheduled,,2013-10-07 14:51:00,2013-10-07 17:48:00,174,45428.07,0.18210390129310322,69,18014.579482758625,0.15,0.04503644870689656,105,27413.49051724133,0.3,0.13706745258620665
Washing_Machine_2013-10-11_01,Washing Machine,original,,2013-10-11 13:13:00,2013-10-11 16:08:00,175,51349.21,0.13424150614285735,167,49001.817542857236,0.15,0.12250454385714307,8,2347.3924571428574,0.3,0.011736962285714287,scheduled,,2013-10-11 13:18:00,2013-10-11 16:13:00,175,51349.21,0.13790930685714306,162,47534.697257142936,0.15,0.11883674314285733,13,3814.5127428571436,0.3,0.019072563714285718
Washing_Machine_2013-10-13_01,Washing Machine,original,,2013-10-13 17:19:00,2013-10-13 18:54:00,93,34487.16,0.17243579999999997,0,0.0,0.15,0.0,93,34487.159999999996,0.3,0.17243579999999997,scheduled,,2013-10-13 20:00:00,2013-10-13 21:35:00,93,34487.16,0.08621789999999999,93,34487.159999999996,0.15,0.08621789999999999,0,0.0,0.3,0.0
Washing_Machine_2013-10-15_01,Washing Machine,original,,2013-10-15 08:01:00,2013-10-15 09:36:00,92,29950.78,0.14975390000000008,0,0.0,0.15,0.0,92,29950.780000000017,0.3,0.14975390000000008,scheduled,,2013-10-15 13:00:00,2013-10-15 14:35:00,92,29950.78,0.07487695000000004,92,29950.780000000017,0.15,0.07487695000000004,0,0.0,0.3,0.0
Washing_Machine_2013-10-20_01,Washing Machine,original,,2013-10-20 14:55:00,2013-10-20 17:11:00,138,74985.95,0.28663107699275336,65,35319.46920289852,0.15,0.0882986730072463,73,39666.480797101416,0.3,0.19833240398550708,scheduled,,2013-10-20 15:00:00,2013-10-20 17:16:00,138,74985.95,0.29342328260869543,60,32602.586956521714,0.15,0.08150646739130428,78,42383.363043478224,0.3,0.21191681521739114
