event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Tumble_Dryer_2014-03-09_01,Tumble Dryer,2014-03-09 16:59:00,2014-03-09 17:25:00,2014-03-10 06:00:00,2014-03-10 06:26:00,1,0,1.0,781,SUCCESS,,
Tumble_Dryer_2014-03-16_01,Tumble Dryer,2014-03-16 14:16:00,2014-03-16 15:03:00,2014-03-17 06:00:00,2014-03-17 06:47:00,1,0,1.0,944,SUCCESS,,
Tumble_Dryer_2014-03-17_01,Tumble Dryer,2014-03-17 16:38:00,2014-03-17 18:03:00,2014-03-18 06:00:00,2014-03-18 07:25:00,1,0,1.0,802,SUCCESS,,
Tumble_Dryer_2014-03-23_01,Tumble Dryer,2014-03-23 16:46:00,2014-03-23 17:17:00,2014-03-24 06:00:00,2014-03-24 06:31:00,1,0,1.0,794,SUCCESS,,
Tumble_Dryer_2014-03-26_01,Tumble Dryer,2014-03-26 15:33:00,2014-03-26 17:26:00,2014-03-27 06:00:00,2014-03-27 07:53:00,1,0,1.0,867,SUCCESS,,
Tumble_Dryer_2014-03-27_01,Tumble Dryer,2014-03-27 10:46:00,2014-03-27 11:32:00,2014-03-28 06:00:00,2014-03-28 06:46:00,1,0,1.0,1154,SUCCESS,,
Tumble_Dryer_2014-04-01_01,Tumble Dryer,2014-04-01 06:47:00,2014-04-01 08:03:00,2014-04-01 06:52:00,2014-04-01 08:08:00,0,0,0.1,5,SUCCESS,,
Tumble_Dryer_2014-04-03_01,Tumble Dryer,2014-04-03 07:11:00,2014-04-03 07:52:00,2014-04-03 07:16:00,2014-04-03 07:57:00,1,0,1.0,5,SUCCESS,,
Tumble_Dryer_2014-04-05_01,Tumble Dryer,2014-04-05 09:09:00,2014-04-05 11:06:00,2014-04-06 06:00:00,2014-04-06 07:57:00,1,0,1.0,1251,SUCCESS,,
Tumble_Dryer_2014-04-06_01,Tumble Dryer,2014-04-06 15:25:00,2014-04-06 16:18:00,2014-04-07 06:00:00,2014-04-07 06:53:00,1,0,1.0,875,SUCCESS,,
Tumble_Dryer_2014-04-07_01,Tumble Dryer,2014-04-07 10:26:00,2014-04-07 12:19:00,2014-04-08 06:00:00,2014-04-08 07:53:00,1,0,1.0,1174,SUCCESS,,
Tumble_Dryer_2014-04-08_01,Tumble Dryer,2014-04-08 07:34:00,2014-04-08 09:09:00,2014-04-09 06:00:00,2014-04-09 07:35:00,1,0,1.0,1346,SUCCESS,,
Tumble_Dryer_2014-04-09_01,Tumble Dryer,2014-04-09 19:12:00,2014-04-09 21:08:00,2014-04-10 06:00:00,2014-04-10 07:56:00,1,0,1.0,648,SUCCESS,,
Tumble_Dryer_2014-04-11_01,Tumble Dryer,2014-04-11 11:30:00,2014-04-11 13:22:00,2014-04-12 06:00:00,2014-04-12 07:52:00,1,0,1.0,1110,SUCCESS,,
Tumble_Dryer_2014-04-12_01,Tumble Dryer,2014-04-12 18:05:00,2014-04-12 19:57:00,2014-04-13 06:00:00,2014-04-13 07:52:00,1,0,1.0,715,SUCCESS,,
Tumble_Dryer_2014-04-28_01,Tumble Dryer,2014-04-28 17:11:00,2014-04-28 18:30:00,2014-04-29 06:00:00,2014-04-29 07:19:00,1,0,1.0,769,SUCCESS,,
Tumble_Dryer_2014-04-29_01,Tumble Dryer,2014-04-29 16:29:00,2014-04-29 17:30:00,2014-04-30 06:00:00,2014-04-30 07:01:00,1,0,1.0,811,SUCCESS,,
Tumble_Dryer_2014-05-01_01,Tumble Dryer,2014-05-01 07:15:00,2014-05-01 09:00:00,2014-05-01 07:20:00,2014-05-01 09:05:00,1,0,1.0,5,SUCCESS,,
Tumble_Dryer_2014-05-11_01,Tumble Dryer,2014-05-11 09:27:00,2014-05-11 11:20:00,2014-05-12 06:00:00,2014-05-12 07:53:00,1,0,1.0,1233,SUCCESS,,
Tumble_Dryer_2014-05-17_01,Tumble Dryer,2014-05-17 08:40:00,2014-05-17 09:51:00,2014-05-18 06:00:00,2014-05-18 07:11:00,1,0,1.0,1280,SUCCESS,,
Tumble_Dryer_2014-05-22_01,Tumble Dryer,2014-05-22 07:32:00,2014-05-22 09:03:00,2014-05-23 06:00:00,2014-05-23 07:31:00,1,0,1.0,1348,SUCCESS,,
Tumble_Dryer_2014-05-26_01,Tumble Dryer,2014-05-26 14:59:00,2014-05-26 16:39:00,2014-05-27 06:00:00,2014-05-27 07:40:00,1,0,1.0,901,SUCCESS,,
Tumble_Dryer_2014-06-07_01,Tumble Dryer,2014-06-07 16:13:00,2014-06-07 18:02:00,2014-06-08 06:00:00,2014-06-08 07:49:00,1,0,1.0,827,SUCCESS,,
Tumble_Dryer_2014-06-08_01,Tumble Dryer,2014-06-08 13:17:00,2014-06-08 13:44:00,2014-06-09 06:00:00,2014-06-09 06:27:00,1,0,1.0,1003,SUCCESS,,
Tumble_Dryer_2014-06-09_01,Tumble Dryer,2014-06-09 21:00:00,2014-06-09 23:01:00,2014-06-10 06:00:00,2014-06-10 08:01:00,1,0,1.0,540,SUCCESS,,
Tumble_Dryer_2014-06-15_01,Tumble Dryer,2014-06-15 16:04:00,2014-06-15 17:59:00,2014-06-16 06:00:00,2014-06-16 07:55:00,1,0,1.0,836,SUCCESS,,
Tumble_Dryer_2014-06-29_01,Tumble Dryer,2014-06-29 12:23:00,2014-06-29 14:05:00,2014-06-30 06:00:00,2014-06-30 07:42:00,1,0,1.0,1057,SUCCESS,,
Tumble_Dryer_2014-08-03_01,Tumble Dryer,2014-08-03 12:15:00,2014-08-03 13:16:00,2014-08-04 06:00:00,2014-08-04 07:01:00,1,0,1.0,1065,SUCCESS,,
Tumble_Dryer_2014-08-12_01,Tumble Dryer,2014-08-12 12:41:00,2014-08-12 13:39:00,2014-08-13 06:00:00,2014-08-13 06:58:00,1,0,1.0,1039,SUCCESS,,
Tumble_Dryer_2014-09-14_01,Tumble Dryer,2014-09-14 12:50:00,2014-09-14 13:22:00,2014-09-15 06:00:00,2014-09-15 06:32:00,1,0,1.0,1030,SUCCESS,,
Tumble_Dryer_2014-09-21_01,Tumble Dryer,2014-09-21 13:18:00,2014-09-21 13:59:00,2014-09-22 06:00:00,2014-09-22 06:41:00,1,0,1.0,1002,SUCCESS,,
Tumble_Dryer_2014-10-10_01,Tumble Dryer,2014-10-10 16:17:00,2014-10-10 17:45:00,2014-10-11 06:00:00,2014-10-11 07:28:00,1,0,1.0,823,SUCCESS,,
Tumble_Dryer_2014-10-12_01,Tumble Dryer,2014-10-12 10:12:00,2014-10-12 11:02:00,2014-10-13 06:00:00,2014-10-13 06:50:00,1,0,1.0,1188,SUCCESS,,
Tumble_Dryer_2014-10-19_01,Tumble Dryer,2014-10-19 15:15:00,2014-10-19 17:07:00,2014-10-20 06:00:00,2014-10-20 07:52:00,1,0,1.0,885,SUCCESS,,
Tumble_Dryer_2014-10-20_01,Tumble Dryer,2014-10-20 07:36:00,2014-10-20 09:37:00,2014-10-21 06:00:00,2014-10-21 08:01:00,1,0,1.0,1344,SUCCESS,,
Tumble_Dryer_2014-11-02_01,Tumble Dryer,2014-11-02 17:26:00,2014-11-02 19:22:00,2014-11-03 06:00:00,2014-11-03 07:56:00,1,0,1.0,754,SUCCESS,,
