event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Tumble_Dryer_2014-03-21_01,Tumble Dryer,2014-03-21 09:43:00,2014-03-21 11:02:00,2014-03-22 06:00:00,2014-03-22 07:19:00,1,0,1.0,1217,SUCCESS,,
Tumble_Dryer_2014-03-21_02,Tumble Dryer,2014-03-21 11:06:00,2014-03-21 11:58:00,2014-03-22 06:00:00,2014-03-22 06:52:00,1,0,1.0,1134,SUCCESS,,
Tumble_Dryer_2014-03-24_01,Tumble Dryer,2014-03-24 10:33:00,2014-03-24 11:20:00,2014-03-25 06:00:00,2014-03-25 06:47:00,1,0,1.0,1167,SUCCESS,,
Tumble_Dryer_2014-03-30_01,Tumble Dryer,2014-03-30 12:51:00,2014-03-30 13:18:00,2014-03-31 06:00:00,2014-03-31 06:27:00,1,0,1.0,1029,SUCCESS,,
Tumble_Dryer_2014-03-30_02,Tumble Dryer,2014-03-30 14:10:00,2014-03-30 15:18:00,2014-03-31 06:00:00,2014-03-31 07:08:00,1,0,1.0,950,SUCCESS,,
Tumble_Dryer_2014-03-31_01,Tumble Dryer,2014-03-31 08:07:00,2014-03-31 08:48:00,2014-04-01 06:00:00,2014-04-01 06:41:00,1,0,1.0,1313,SUCCESS,,
Tumble_Dryer_2014-03-31_02,Tumble Dryer,2014-03-31 10:24:00,2014-03-31 11:08:00,2014-04-01 06:00:00,2014-04-01 06:44:00,1,0,1.0,1176,SUCCESS,,
Tumble_Dryer_2014-04-07_01,Tumble Dryer,2014-04-07 08:33:00,2014-04-07 08:55:00,2014-04-08 06:00:00,2014-04-08 06:22:00,1,0,1.0,1287,SUCCESS,,
Tumble_Dryer_2014-04-07_02,Tumble Dryer,2014-04-07 08:56:00,2014-04-07 09:38:00,2014-04-08 06:00:00,2014-04-08 06:42:00,1,0,1.0,1264,SUCCESS,,
Tumble_Dryer_2014-04-07_03,Tumble Dryer,2014-04-07 10:10:00,2014-04-07 11:03:00,2014-04-08 06:00:00,2014-04-08 06:53:00,1,0,1.0,1190,SUCCESS,,
Tumble_Dryer_2014-04-09_02,Tumble Dryer,2014-04-09 23:15:00,2014-04-09 23:20:00,2014-04-10 06:00:00,2014-04-10 06:05:00,1,0,1.0,405,SUCCESS,,
Tumble_Dryer_2014-04-11_01,Tumble Dryer,2014-04-11 08:35:00,2014-04-11 09:55:00,2014-04-12 06:00:00,2014-04-12 07:20:00,1,0,1.0,1285,SUCCESS,,
