event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,duration(min),energy(W)
Tumble_Dryer_2013-10-24_01,Tumble Dryer,2013-10-24 10:56:00,2013-10-24 11:07:00,2013-10-24 13:00:00,2013-10-24 13:11:00,SUCCESS,11.0,1487.94
Tumble_Dryer_2013-10-28_01,Tumble Dryer,2013-10-28 08:12:00,2013-10-28 08:19:00,2013-10-28 13:00:00,2013-10-28 13:07:00,SUCCESS,7.0,8761.62
Tumble_Dryer_2013-11-01_01,Tumble Dryer,2013-11-01 07:13:00,2013-11-01 07:31:00,2013-11-01 13:00:00,2013-11-01 13:18:00,SUCCESS,18.0,15417.07
Tumble_Dryer_2013-11-08_01,Tumble Dryer,2013-11-08 16:12:00,2013-11-08 16:18:00,2013-11-08 20:00:00,2013-11-08 20:06:00,SUCCESS,6.0,24.0
Tumble_Dryer_2013-11-13_01,Tumble Dryer,2013-11-13 11:51:00,2013-11-13 11:56:00,2013-11-13 13:00:00,2013-11-13 13:05:00,SUCCESS,5.0,279.25
Tumble_Dryer_2013-11-14_01,Tumble Dryer,2013-11-14 18:11:00,2013-11-14 18:20:00,2013-11-14 20:00:00,2013-11-14 20:09:00,SUCCESS,9.0,544.0
Tumble_Dryer_2013-11-15_01,Tumble Dryer,2013-11-15 06:59:00,2013-11-15 07:11:00,2013-11-15 13:00:00,2013-11-15 13:12:00,SUCCESS,12.0,1536.0
Tumble_Dryer_2013-11-16_01,Tumble Dryer,2013-11-16 07:16:00,2013-11-16 07:23:00,2013-11-16 13:00:00,2013-11-16 13:07:00,SUCCESS,7.0,12769.66
Tumble_Dryer_2013-11-27_01,Tumble Dryer,2013-11-27 12:36:00,2013-11-27 12:49:00,2013-11-27 13:00:00,2013-11-27 13:13:00,SUCCESS,13.0,2659.61
Tumble_Dryer_2013-12-08_01,Tumble Dryer,2013-12-08 09:33:00,2013-12-08 09:41:00,2013-12-08 13:00:00,2013-12-08 13:08:00,SUCCESS,8.0,8015.26
Tumble_Dryer_2013-12-23_01,Tumble Dryer,2013-12-23 11:01:00,2013-12-23 11:13:00,2013-12-23 13:00:00,2013-12-23 13:12:00,SUCCESS,12.0,17402.25
Tumble_Dryer_2013-12-26_01,Tumble Dryer,2013-12-26 07:20:00,2013-12-26 07:36:00,2013-12-26 13:00:00,2013-12-26 13:16:00,SUCCESS,16.0,27093.79
Tumble_Dryer_2014-01-08_01,Tumble Dryer,2014-01-08 12:50:00,2014-01-08 13:02:00,2014-01-08 13:00:00,2014-01-08 13:12:00,SUCCESS,12.0,32.0
Tumble_Dryer_2014-03-19_02,Tumble Dryer,2014-03-19 11:48:00,2014-03-19 12:00:00,2014-03-19 13:00:00,2014-03-19 13:12:00,SUCCESS,12.0,342.4
Tumble_Dryer_2014-03-25_01,Tumble Dryer,2014-03-25 10:09:00,2014-03-25 11:09:00,2014-03-25 13:00:00,2014-03-25 14:00:00,SUCCESS,60.0,2212.8
Tumble_Dryer_2014-03-27_01,Tumble Dryer,2014-03-27 09:48:00,2014-03-27 09:54:00,2014-03-27 13:00:00,2014-03-27 13:06:00,SUCCESS,6.0,171.02
Tumble_Dryer_2014-04-01_04,Tumble Dryer,2014-04-01 23:13:00,2014-04-01 23:21:00,2014-04-02 13:00:00,2014-04-02 13:08:00,SUCCESS,8.0,114.2
Tumble_Dryer_2014-04-03_01,Tumble Dryer,2014-04-03 00:22:00,2014-04-03 00:29:00,2014-04-03 13:00:00,2014-04-03 13:07:00,SUCCESS,7.0,179.2
