event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost
Tumble_Dryer_2013-09-26_01,Tumble Dryer,original,,2013-09-26 13:08:00,2013-09-26 14:02:00,54,3951.64,0.019758200000000007,0,0.0,0.15,0.0,54,3951.6400000000017,0.3,0.019758200000000007,scheduled,,2013-09-27 06:00:00,2013-09-27 06:54:00,54,3951.64,0.009879100000000004,54,3951.6400000000017,0.15,0.009879100000000004,0,0.0,0.3,0.0
Tumble_Dryer_2013-09-27_01,Tumble Dryer,original,,2013-09-27 10:18:00,2013-09-27 10:39:00,21,8930.8,0.04465399999999998,0,0.0,0.15,0.0,21,8930.799999999996,0.3,0.04465399999999998,scheduled,,2013-09-28 06:00:00,2013-09-28 06:21:00,21,8930.8,0.02232699999999999,21,8930.799999999996,0.15,0.02232699999999999,0,0.0,0.3,0.0
Tumble_Dryer_2013-09-28_01,Tumble Dryer,original,,2013-09-28 08:15:00,2013-09-28 08:39:00,24,22535.31,0.11267654999999997,0,0.0,0.15,0.0,24,22535.309999999998,0.3,0.11267654999999997,scheduled,,2013-09-29 06:00:00,2013-09-29 06:24:00,24,22535.31,0.056338274999999986,24,22535.309999999998,0.15,0.056338274999999986,0,0.0,0.3,0.0
Tumble_Dryer_2013-09-29_02,Tumble Dryer,original,,2013-09-29 07:52:00,2013-09-29 08:35:00,43,57498.77,0.28749385000000005,0,0.0,0.15,0.0,43,57498.77000000002,0.3,0.28749385000000005,scheduled,,2013-09-30 06:00:00,2013-09-30 06:43:00,43,57498.77,0.14374692500000003,43,57498.77000000002,0.15,0.14374692500000003,0,0.0,0.3,0.0
Tumble_Dryer_2013-10-23_01,Tumble Dryer,original,,2013-10-23 16:19:00,2013-10-23 16:39:00,20,17108.16,0.08554079999999996,0,0.0,0.15,0.0,20,17108.159999999996,0.3,0.08554079999999996,scheduled,,2013-10-24 06:00:00,2013-10-24 06:20:00,20,17108.16,0.04277039999999998,20,17108.159999999996,0.15,0.04277039999999998,0,0.0,0.3,0.0
Tumble_Dryer_2013-10-25_01,Tumble Dryer,original,,2013-10-25 09:54:00,2013-10-25 10:32:00,38,47827.89,0.2391394499999999,0,0.0,0.15,0.0,38,47827.88999999998,0.3,0.2391394499999999,scheduled,,2013-10-26 06:00:00,2013-10-26 06:38:00,38,47827.89,0.11956972499999995,38,47827.88999999998,0.15,0.11956972499999995,0,0.0,0.3,0.0
Tumble_Dryer_2013-10-26_01,Tumble Dryer,original,,2013-10-26 16:30:00,2013-10-26 17:04:00,34,48242.94,0.2412147000000002,0,0.0,0.15,0.0,34,48242.94000000004,0.3,0.2412147000000002,scheduled,,2013-10-27 06:00:00,2013-10-27 06:34:00,34,48242.94,0.1206073500000001,34,48242.94000000004,0.15,0.1206073500000001,0,0.0,0.3,0.0
Tumble_Dryer_2013-10-27_01,Tumble Dryer,original,,2013-10-27 06:53:00,2013-10-27 07:32:00,39,60912.39,0.16009025576923067,37,57788.677692307654,0.15,0.14447169423076914,2,3123.7123076923076,0.3,0.015618561538461535,scheduled,,2013-10-27 06:58:00,2013-10-27 07:37:00,39,60912.39,0.17961345769230763,32,49979.3969230769,0.15,0.12494849230769224,7,10932.993076923078,0.3,0.054664965384615384
Tumble_Dryer_2013-10-29_01,Tumble Dryer,original,,2013-10-29 09:56:00,2013-10-29 10:36:00,40,53154.37,0.26577185000000014,0,0.0,0.15,0.0,40,53154.37000000003,0.3,0.26577185000000014,scheduled,,2013-10-30 06:00:00,2013-10-30 06:40:00,40,53154.37,0.13288592500000007,40,53154.37000000003,0.15,0.13288592500000007,0,0.0,0.3,0.0
Tumble_Dryer_2013-10-30_01,Tumble Dryer,original,,2013-10-30 09:15:00,2013-10-30 09:22:00,7,15208.91,0.07604455,0,0.0,0.15,0.0,7,15208.91,0.3,0.07604455,scheduled,,2013-10-31 06:00:00,2013-10-31 06:07:00,7,15208.91,0.038022275,7,15208.91,0.15,0.038022275,0,0.0,0.3,0.0
