appliance_id,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W),event_id,is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Appliance5,Tumble Dryer,Shiftable,2014-03-07 16:15:00,2014-03-07 22:03:00,348.0,9773.43,house21_event_7023,True,"{""0"": 121, ""1"": 227}",1,1,1,0.34770114942528735
Appliance5,Tumble Dryer,Shiftable,2014-04-08 16:10:00,2014-04-08 16:23:00,13.0,617.28,house21_event_7024,True,"{""0"": 0, ""1"": 13}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-04-26 09:22:00,2014-04-26 09:29:00,7.0,455.69,house21_event_7025,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-04-26 09:34:00,2014-04-26 09:42:00,8.0,284.91,house21_event_7026,True,"{""0"": 0, ""1"": 8}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-04-26 09:43:00,2014-04-26 09:48:00,5.0,237.23,house21_event_7027,True,"{""0"": 0, ""1"": 5}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-05-27 08:38:00,2014-05-27 09:04:00,26.0,315.81,house21_event_7029,True,"{""0"": 0, ""1"": 26}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-05-27 14:38:00,2014-05-27 14:45:00,7.0,383.26,house21_event_7032,False,"{""0"": 7, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-05-30 06:36:00,2014-05-30 06:45:00,9.0,592.75,house21_event_7034,True,"{""0"": 0, ""1"": 9}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-05-30 06:49:00,2014-05-30 06:56:00,7.0,184.58,house21_event_7035,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-07 10:22:00,2014-06-07 10:34:00,12.0,548.68,house21_event_7036,True,"{""0"": 0, ""1"": 12}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-10 14:54:00,2014-06-10 15:00:00,6.0,535.03,house21_event_7037,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-14 09:56:00,2014-06-14 10:03:00,7.0,660.08,house21_event_7038,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-14 10:07:00,2014-06-14 10:18:00,11.0,735.58,house21_event_7039,True,"{""0"": 0, ""1"": 11}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-14 10:20:00,2014-06-14 10:25:00,5.0,173.79,house21_event_7040,True,"{""0"": 0, ""1"": 5}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-14 10:28:00,2014-06-14 10:39:00,11.0,731.93,house21_event_7041,True,"{""0"": 0, ""1"": 11}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-06-24 19:09:00,2014-06-24 19:19:00,10.0,635.31,house21_event_7042,True,"{""0"": 0, ""1"": 10}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-13 10:41:00,2014-08-13 10:49:00,8.0,587.7,house21_event_7043,True,"{""0"": 0, ""1"": 8}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-13 10:53:00,2014-08-13 10:59:00,6.0,292.43,house21_event_7044,True,"{""0"": 0, ""1"": 6}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 10:23:00,2014-08-16 10:32:00,9.0,556.67,house21_event_7047,True,"{""0"": 0, ""1"": 9}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 10:31:00,2014-08-16 10:46:00,15.0,149.17,house21_event_7048,True,"{""0"": 0, ""1"": 15}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 11:35:00,2014-08-16 11:42:00,7.0,640.76,house21_event_7049,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 11:51:00,2014-08-16 11:58:00,7.0,346.78,house21_event_7050,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 12:03:00,2014-08-16 12:12:00,9.0,623.81,house21_event_7051,True,"{""0"": 0, ""1"": 9}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 12:05:00,2014-08-16 12:12:00,7.0,233.25,house21_event_7052,True,"{""0"": 0, ""1"": 7}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-08-16 13:13:00,2014-08-16 13:23:00,10.0,584.84,house21_event_7053,False,"{""0"": 10, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-09-09 14:44:00,2014-09-09 16:24:00,100.0,3217.43,house21_event_7054,True,"{""0"": 77, ""1"": 23}",0,0,1,0.77
Appliance5,Tumble Dryer,Shiftable,2014-09-13 08:12:00,2014-09-13 08:31:00,19.0,800.75,house21_event_7055,True,"{""0"": 0, ""1"": 19}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-09-26 13:04:00,2014-09-26 13:12:00,8.0,615.6,house21_event_7056,True,"{""0"": 8, ""1"": 0}",0,0,0,1.0
Appliance5,Tumble Dryer,Shiftable,2014-10-21 11:39:00,2014-10-21 11:55:00,16.0,1056.17,house21_event_7057,True,"{""0"": 0, ""1"": 16}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-10-21 11:59:00,2014-10-21 12:14:00,15.0,695.16,house21_event_7058,True,"{""0"": 0, ""1"": 15}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-11-16 17:42:00,2014-11-16 17:53:00,11.0,794.92,house21_event_7061,True,"{""0"": 0, ""1"": 11}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-11-16 17:51:00,2014-11-16 17:59:00,8.0,522.75,house21_event_7062,True,"{""0"": 0, ""1"": 8}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-12-07 14:19:00,2014-12-07 14:36:00,17.0,907.12,house21_event_7063,False,"{""0"": 17, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-12-07 14:48:00,2014-12-07 15:02:00,14.0,699.54,house21_event_7064,False,"{""0"": 14, ""1"": 0}",0,0,0,0.0
Appliance5,Tumble Dryer,Shiftable,2014-12-07 16:14:00,2014-12-07 16:25:00,11.0,489.22,house21_event_7065,True,"{""0"": 0, ""1"": 11}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2014-12-22 12:09:00,2014-12-22 12:25:00,16.0,1190.19,house21_event_7067,True,"{""0"": 0, ""1"": 16}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-07 22:04:00,2014-03-07 22:28:00,24.0,484.93,house21_event_7075,True,"{""0"": 0, ""1"": 24}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-08 07:49:00,2014-03-08 09:29:00,100.0,3031.48,house21_event_7076,True,"{""0"": 0, ""1"": 100}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-08 09:59:00,2014-03-08 10:59:00,60.0,2380.79,house21_event_7077,True,"{""0"": 0, ""1"": 60}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-08 18:45:00,2014-03-09 23:59:00,1754.0,10405.24,house21_event_7078,True,"{""0"": 724, ""1"": 1030}",1,1,1,0.4127708095781072
Appliance6,Washing Machine,Shiftable,2014-03-09 00:46:00,2014-03-09 00:52:00,6.0,33.6,house21_event_7079,True,"{""0"": 0, ""1"": 6}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-09 02:49:00,2014-03-09 02:55:00,6.0,35.62,house21_event_7080,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-09 02:59:00,2014-03-09 03:05:00,6.0,35.04,house21_event_7081,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-09 15:29:00,2014-03-09 16:56:00,87.0,3739.31,house21_event_7082,True,"{""0"": 32, ""1"": 55}",1,0,1,0.367816091954023
Appliance6,Washing Machine,Shiftable,2014-03-09 18:30:00,2014-03-09 19:27:00,57.0,1566.43,house21_event_7083,True,"{""0"": 0, ""1"": 57}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-09 21:23:00,2014-03-09 23:00:00,97.0,2478.74,house21_event_7084,True,"{""0"": 38, ""1"": 59}",1,0,1,0.3917525773195876
Appliance6,Washing Machine,Shiftable,2014-03-10 02:59:00,2014-03-10 03:05:00,6.0,34.97,house21_event_7085,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-10 19:26:00,2014-03-10 20:51:00,85.0,2283.58,house21_event_7086,True,"{""0"": 51, ""1"": 34}",0,1,0,0.6
Appliance6,Washing Machine,Shiftable,2014-03-11 01:17:00,2014-03-11 01:23:00,6.0,36.91,house21_event_7087,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-11 02:59:00,2014-03-11 03:06:00,7.0,40.28,house21_event_7088,False,"{""0"": 7, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-11 16:18:00,2014-03-11 17:09:00,51.0,1631.35,house21_event_7089,True,"{""0"": 0, ""1"": 51}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-11 19:15:00,2014-03-11 19:49:00,34.0,970.41,house21_event_7090,True,"{""0"": 0, ""1"": 34}",1,1,1,0.0
Appliance6,Washing Machine,Shiftable,2014-03-11 20:14:00,2014-03-11 22:28:00,134.0,3874.19,house21_event_7091,True,"{""0"": 107, ""1"": 27}",0,0,1,0.7985074626865671
Appliance6,Washing Machine,Shiftable,2014-03-12 02:59:00,2014-03-12 03:05:00,6.0,35.75,house21_event_7092,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-12 19:28:00,2014-03-12 21:57:00,149.0,4182.31,house21_event_7093,True,"{""0"": 117, ""1"": 32}",0,1,0,0.785234899328859
Appliance6,Washing Machine,Shiftable,2014-03-13 02:59:00,2014-03-13 03:05:00,6.0,37.71,house21_event_7094,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
Appliance6,Washing Machine,Shiftable,2014-03-13 19:17:00,2014-03-13 23:05:00,228.0,6531.62,house21_event_7095,True,"{""0"": 121, ""1"": 107}",0,1,1,0.5307017543859649
Appliance6,Washing Machine,Shiftable,2014-03-14 02:59:00,2014-03-14 03:05:00,6.0,36.56,house21_event_7096,False,"{""0"": 6, ""1"": 0}",0,0,0,0.0
