appliance_ID,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W)
Appliance1,Aggregate,Base,2013-10-09 13:06:00,2013-10-09 13:20:00,14.0,981.03
Appliance1,Aggregate,Base,2013-10-09 14:59:00,2013-10-09 15:28:00,29.0,2204.42
Appliance1,Aggregate,Base,2013-10-09 16:59:00,2013-10-09 17:29:00,30.0,2198.42
Appliance1,Aggregate,Base,2013-10-09 21:34:00,2013-10-09 22:02:00,28.0,2092.93
Appliance1,Aggregate,Base,2013-10-09 23:57:00,2013-10-10 00:26:00,29.0,2148.8
Appliance1,Aggregate,Base,2013-10-10 02:24:00,2013-10-10 02:53:00,29.0,2148.89
Appliance1,Aggregate,Base,2013-10-10 04:55:00,2013-10-10 05:23:00,28.0,2096.25
Appliance1,Aggregate,Base,2013-10-10 06:56:00,2013-10-10 07:23:00,27.0,1989.71
Appliance1,Aggregate,Base,2013-10-10 09:26:00,2013-10-10 10:16:00,50.0,3703.43
Appliance1,Aggregate,Base,2013-10-10 11:34:00,2013-10-10 12:01:00,27.0,2067.04
Appliance1,Aggregate,Base,2013-10-10 13:45:00,2013-10-10 14:13:00,28.0,853.54
Appliance1,Aggregate,Base,2013-10-10 16:15:00,2013-10-10 16:45:00,30.0,1233.27
Appliance1,Aggregate,Base,2013-10-10 18:31:00,2013-10-10 19:00:00,29.0,1185.98
Appliance1,Aggregate,Base,2013-10-10 20:35:00,2013-10-10 21:03:00,28.0,2116.32
Appliance1,Aggregate,Base,2013-10-10 22:40:00,2013-10-10 23:09:00,29.0,2113.22
Appliance1,Aggregate,Base,2013-10-11 01:01:00,2013-10-11 01:29:00,28.0,2133.12
Appliance1,Aggregate,Base,2013-10-11 03:27:00,2013-10-11 03:59:00,32.0,2278.44
Appliance1,Aggregate,Base,2013-10-11 06:01:00,2013-10-11 06:30:00,29.0,2123.01
Appliance1,Aggregate,Base,2013-10-11 08:36:00,2013-10-11 09:04:00,28.0,2070.08
Appliance1,Aggregate,Base,2013-10-11 11:12:00,2013-10-11 11:41:00,29.0,2109.68
Appliance1,Aggregate,Base,2013-10-11 13:49:00,2013-10-11 14:17:00,28.0,2092.71
Appliance1,Aggregate,Base,2013-10-11 16:28:00,2013-10-11 16:56:00,28.0,2122.32
Appliance1,Aggregate,Base,2013-10-11 19:09:00,2013-10-11 19:37:00,28.0,2080.63
Appliance1,Aggregate,Base,2013-10-11 21:52:00,2013-10-11 22:20:00,28.0,2112.9
Appliance1,Aggregate,Base,2013-10-12 00:36:00,2013-10-12 01:04:00,28.0,2100.07
Appliance1,Aggregate,Base,2013-10-12 03:21:00,2013-10-12 03:49:00,28.0,2074.06
Appliance1,Aggregate,Base,2013-10-12 06:09:00,2013-10-12 06:37:00,28.0,2068.93
Appliance1,Aggregate,Base,2013-10-12 08:58:00,2013-10-12 09:29:00,31.0,1503.73
Appliance1,Aggregate,Base,2013-10-12 11:46:00,2013-10-12 12:14:00,28.0,2095.51
Appliance1,Aggregate,Base,2013-10-12 14:34:00,2013-10-12 15:02:00,28.0,2017.35
Appliance1,Aggregate,Base,2013-10-12 17:22:00,2013-10-12 17:50:00,28.0,2052.86
Appliance1,Aggregate,Base,2013-10-12 20:11:00,2013-10-12 20:39:00,28.0,2038.41
Appliance1,Aggregate,Base,2013-10-12 23:01:00,2013-10-12 23:29:00,28.0,2043.33
Appliance1,Aggregate,Base,2013-10-13 01:52:00,2013-10-13 02:20:00,28.0,2063.95
Appliance1,Aggregate,Base,2013-10-13 04:44:00,2013-10-13 05:12:00,28.0,2082.66
Appliance1,Aggregate,Base,2013-10-13 07:38:00,2013-10-13 08:06:00,28.0,2080.48
Appliance1,Aggregate,Base,2013-10-13 10:32:00,2013-10-13 11:00:00,28.0,2095.85
Appliance1,Aggregate,Base,2013-10-13 13:26:00,2013-10-13 13:54:00,28.0,2081.13
Appliance1,Aggregate,Base,2013-10-13 16:21:00,2013-10-13 16:49:00,28.0,2065.98
Appliance1,Aggregate,Base,2013-10-13 19:17:00,2013-10-13 19:45:00,28.0,2078.98
Appliance1,Aggregate,Base,2013-10-13 22:14:00,2013-10-13 22:42:00,28.0,2104.68
Appliance1,Aggregate,Base,2013-10-14 01:14:00,2013-10-14 01:42:00,28.0,2073.67
Appliance1,Aggregate,Base,2013-10-14 04:15:00,2013-10-14 04:43:00,28.0,2045.64
Appliance1,Aggregate,Base,2013-10-14 07:18:00,2013-10-14 07:46:00,28.0,2044.52
Appliance1,Aggregate,Base,2013-10-14 10:21:00,2013-10-14 10:48:00,27.0,2020.51
Appliance1,Aggregate,Base,2013-10-14 13:27:00,2013-10-14 13:51:00,24.0,1787.26
Appliance1,Aggregate,Base,2013-10-14 16:30:00,2013-10-14 16:52:00,22.0,1656.3
Appliance1,Aggregate,Base,2013-10-14 19:29:00,2013-10-14 19:56:00,27.0,1964.62
Appliance1,Aggregate,Base,2013-10-14 22:34:00,2013-10-14 23:01:00,27.0,2018.62
Appliance1,Aggregate,Base,2013-10-15 01:38:00,2013-10-15 02:06:00,28.0,2035.72
Appliance1,Aggregate,Base,2013-10-15 04:45:00,2013-10-15 05:12:00,27.0,1968.9
Appliance1,Aggregate,Base,2013-10-15 07:50:00,2013-10-15 08:18:00,28.0,1448.95
Appliance1,Aggregate,Base,2013-10-15 11:04:00,2013-10-15 11:23:00,19.0,1369.63
Appliance1,Aggregate,Base,2013-10-15 14:14:00,2013-10-15 14:27:00,13.0,952.89
Appliance1,Aggregate,Base,2013-10-15 17:00:00,2013-10-15 17:27:00,27.0,2013.77
Appliance1,Aggregate,Base,2013-10-15 20:02:00,2013-10-15 20:29:00,27.0,2021.75
Appliance1,Aggregate,Base,2013-10-15 23:06:00,2013-10-15 23:32:00,26.0,1914.44
Appliance1,Aggregate,Base,2013-10-16 02:10:00,2013-10-16 02:37:00,27.0,2003.03
Appliance1,Aggregate,Base,2013-10-16 05:16:00,2013-10-16 05:43:00,27.0,1968.72
Appliance1,Aggregate,Base,2013-10-16 08:22:00,2013-10-16 08:48:00,26.0,1948.3
Appliance1,Aggregate,Base,2013-10-16 11:26:00,2013-10-16 11:52:00,26.0,1980.97
Appliance1,Aggregate,Base,2013-10-16 14:29:00,2013-10-16 14:56:00,27.0,2002.43
Appliance1,Aggregate,Base,2013-10-16 17:33:00,2013-10-16 17:59:00,26.0,1958.19
Appliance1,Aggregate,Base,2013-10-16 20:38:00,2013-10-16 21:04:00,26.0,1953.78
Appliance1,Aggregate,Base,2013-10-16 23:44:00,2013-10-17 00:11:00,27.0,1990.24
Appliance1,Aggregate,Base,2013-10-17 02:50:00,2013-10-17 03:17:00,27.0,1983.88
Appliance1,Aggregate,Base,2013-10-17 05:58:00,2013-10-17 06:25:00,27.0,1987.83
Appliance1,Aggregate,Base,2013-10-17 09:05:00,2013-10-17 09:32:00,27.0,2040.77
Appliance1,Aggregate,Base,2013-10-17 12:11:00,2013-10-17 12:38:00,27.0,2018.92
Appliance1,Aggregate,Base,2013-10-17 15:12:00,2013-10-17 15:36:00,24.0,1735.49
Appliance1,Aggregate,Base,2013-10-17 18:07:00,2013-10-17 18:34:00,27.0,2006.06
Appliance1,Aggregate,Base,2013-10-17 21:04:00,2013-10-17 21:30:00,26.0,1832.59
Appliance1,Aggregate,Base,2013-10-18 00:01:00,2013-10-18 00:28:00,27.0,2003.2
Appliance1,Aggregate,Base,2013-10-18 02:57:00,2013-10-18 03:24:00,27.0,2000.21
