event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
house20_event_17933,Tumble Dryer,2014-03-22 19:49:00,2014-03-22 20:28:00,2014-03-22 20:00:00,2014-03-22 20:39:00,0,0,0.1,11,SUCCESS,,
house20_event_17941,Tumble Dryer,2014-03-25 07:44:00,2014-03-25 08:54:00,2014-03-25 13:00:00,2014-03-25 14:10:00,1,0,1.0,316,SUCCESS,,
house20_event_17943,Tumble Dryer,2014-03-29 07:17:00,2014-03-29 08:27:00,2014-03-29 13:00:00,2014-03-29 14:10:00,1,0,1.0,343,SUCCESS,,
house20_event_17949,Tumble Dryer,2014-03-31 18:47:00,2014-03-31 19:20:00,2014-03-31 20:00:00,2014-03-31 20:33:00,1,0,1.0,73,SUCCESS,,
house20_event_17952,Tumble Dryer,2014-04-03 19:16:00,2014-04-03 20:26:00,2014-04-03 20:00:00,2014-04-03 21:10:00,1,0,1.0,44,SUCCESS,,
house20_event_17955,Tumble Dryer,2014-04-08 12:35:00,2014-04-08 13:44:00,2014-04-08 13:00:00,2014-04-08 14:09:00,0,0,0.1,25,SUCCESS,,
house20_event_17960,Tumble Dryer,2014-04-11 06:43:00,2014-04-11 07:47:00,2014-04-11 13:00:00,2014-04-11 14:04:00,1,0,1.0,377,SUCCESS,,
house20_event_17963,Tumble Dryer,2014-04-14 05:55:00,2014-04-14 07:12:00,2014-04-14 13:00:00,2014-04-14 14:17:00,1,0,1.0,425,SUCCESS,,
house20_event_17970,Tumble Dryer,2014-04-16 18:50:00,2014-04-16 20:03:00,2014-04-16 20:00:00,2014-04-16 21:13:00,1,0,1.0,70,SUCCESS,,
house20_event_17977,Tumble Dryer,2014-04-19 19:07:00,2014-04-19 20:15:00,2014-04-19 20:00:00,2014-04-19 21:08:00,1,0,1.0,53,SUCCESS,,
house20_event_17984,Tumble Dryer,2014-04-22 07:02:00,2014-04-22 08:11:00,2014-04-22 13:00:00,2014-04-22 14:09:00,1,0,1.0,358,SUCCESS,,
house20_event_17990,Tumble Dryer,2014-04-25 06:41:00,2014-04-25 07:57:00,2014-04-25 13:00:00,2014-04-25 14:16:00,1,0,1.0,379,SUCCESS,,
house20_event_17995,Tumble Dryer,2014-04-28 06:38:00,2014-04-28 07:47:00,2014-04-28 13:00:00,2014-04-28 14:09:00,1,0,1.0,382,SUCCESS,,
house20_event_18000,Tumble Dryer,2014-04-30 18:02:00,2014-04-30 19:05:00,2014-04-30 20:00:00,2014-04-30 21:03:00,1,0,1.0,118,SUCCESS,,
house20_event_18007,Tumble Dryer,2014-05-01 06:13:00,2014-05-01 07:47:00,2014-05-01 13:00:00,2014-05-01 14:34:00,1,0,1.0,407,SUCCESS,,
house20_event_18010,Tumble Dryer,2014-05-29 18:21:00,2014-05-29 19:32:00,2014-05-29 20:00:00,2014-05-29 21:11:00,1,0,1.0,99,SUCCESS,,
house20_event_18016,Tumble Dryer,2014-06-01 18:51:00,2014-06-01 19:56:00,2014-06-01 20:00:00,2014-06-01 21:05:00,1,0,1.0,69,SUCCESS,,
house20_event_18021,Tumble Dryer,2014-06-04 11:54:00,2014-06-04 13:02:00,2014-06-04 13:00:00,2014-06-04 14:08:00,1,0,1.0,66,SUCCESS,,
house20_event_18029,Tumble Dryer,2014-06-06 18:54:00,2014-06-06 19:59:00,2014-06-06 20:00:00,2014-06-06 21:05:00,1,0,1.0,66,SUCCESS,,
house20_event_18035,Tumble Dryer,2014-06-08 18:21:00,2014-06-08 19:33:00,2014-06-08 20:00:00,2014-06-08 21:12:00,1,0,1.0,99,SUCCESS,,
house20_event_18036,Tumble Dryer,2014-06-11 06:32:00,2014-06-11 08:24:00,2014-06-11 13:00:00,2014-06-11 14:52:00,1,0,1.0,388,SUCCESS,,
house20_event_18041,Tumble Dryer,2014-06-13 18:56:00,2014-06-13 20:16:00,2014-06-13 20:00:00,2014-06-13 21:20:00,1,0,1.0,64,SUCCESS,,
house20_event_18045,Tumble Dryer,2014-06-16 06:46:00,2014-06-16 07:58:00,2014-06-16 13:00:00,2014-06-16 14:12:00,1,0,1.0,374,SUCCESS,,
house20_event_18051,Tumble Dryer,2014-06-18 06:47:00,2014-06-18 07:53:00,2014-06-18 13:00:00,2014-06-18 14:06:00,1,0,1.0,373,SUCCESS,,
house20_event_18056,Tumble Dryer,2014-06-20 07:22:00,2014-06-20 07:42:00,2014-06-20 13:00:00,2014-06-20 13:20:00,1,0,1.0,338,SUCCESS,,
house20_event_18061,Tumble Dryer,2014-06-22 18:51:00,2014-06-22 19:55:00,2014-06-22 20:00:00,2014-06-22 21:04:00,1,0,1.0,69,SUCCESS,,
house20_event_18066,Tumble Dryer,2014-06-26 12:43:00,2014-06-26 13:49:00,2014-06-26 13:00:00,2014-06-26 14:06:00,0,0,0.1,17,SUCCESS,,
house20_event_18069,Tumble Dryer,2014-06-29 18:39:00,2014-06-29 19:46:00,2014-06-29 20:00:00,2014-06-29 21:07:00,1,0,1.0,81,SUCCESS,,
house20_event_18076,Tumble Dryer,2014-07-02 18:35:00,2014-07-02 19:37:00,2014-07-02 20:00:00,2014-07-02 21:02:00,1,0,1.0,85,SUCCESS,,
house20_event_18082,Tumble Dryer,2014-07-05 07:43:00,2014-07-05 07:57:00,2014-07-05 13:00:00,2014-07-05 13:14:00,1,0,1.0,317,SUCCESS,,
house20_event_18088,Tumble Dryer,2014-07-08 06:48:00,2014-07-08 07:58:00,2014-07-08 13:00:00,2014-07-08 14:10:00,1,0,1.0,372,SUCCESS,,
house20_event_18093,Tumble Dryer,2014-07-16 06:41:00,2014-07-16 07:46:00,2014-07-16 13:00:00,2014-07-16 14:05:00,1,0,1.0,379,SUCCESS,,
house20_event_18100,Tumble Dryer,2014-07-19 07:31:00,2014-07-19 08:36:00,2014-07-19 13:00:00,2014-07-19 14:05:00,1,0,1.0,329,SUCCESS,,
house20_event_18106,Tumble Dryer,2014-07-22 06:50:00,2014-07-22 07:55:00,2014-07-22 13:00:00,2014-07-22 14:05:00,1,0,1.0,370,SUCCESS,,
house20_event_18111,Tumble Dryer,2014-07-26 07:20:00,2014-07-26 08:28:00,2014-07-26 13:00:00,2014-07-26 14:08:00,1,0,1.0,340,SUCCESS,,
house20_event_18118,Tumble Dryer,2014-07-29 05:39:00,2014-07-29 06:43:00,2014-07-29 13:00:00,2014-07-29 14:04:00,1,0,1.0,441,SUCCESS,,
house20_event_18124,Tumble Dryer,2014-08-01 07:21:00,2014-08-01 07:50:00,2014-08-01 13:00:00,2014-08-01 13:29:00,1,0,1.0,339,SUCCESS,,
house20_event_18127,Tumble Dryer,2014-08-03 18:34:00,2014-08-03 19:40:00,2014-08-03 20:00:00,2014-08-03 21:06:00,1,0,1.0,86,SUCCESS,,
house20_event_18135,Tumble Dryer,2014-08-06 06:47:00,2014-08-06 07:55:00,2014-08-06 13:00:00,2014-08-06 14:08:00,1,0,1.0,373,SUCCESS,,
house20_event_18139,Tumble Dryer,2014-08-09 07:19:00,2014-08-09 08:20:00,2014-08-09 13:00:00,2014-08-09 14:01:00,1,0,1.0,341,SUCCESS,,
house20_event_18145,Tumble Dryer,2014-08-11 19:43:00,2014-08-11 20:49:00,2014-08-11 20:00:00,2014-08-11 21:06:00,0,0,0.1,17,SUCCESS,,
house20_event_18151,Tumble Dryer,2014-08-14 17:29:00,2014-08-14 18:34:00,2014-08-14 20:00:00,2014-08-14 21:05:00,1,0,1.0,151,SUCCESS,,
house20_event_18158,Tumble Dryer,2014-08-17 18:22:00,2014-08-17 19:31:00,2014-08-17 20:00:00,2014-08-17 21:09:00,1,0,1.0,98,SUCCESS,,
house20_event_18161,Tumble Dryer,2014-08-20 06:42:00,2014-08-20 07:48:00,2014-08-20 13:00:00,2014-08-20 14:06:00,1,0,1.0,378,SUCCESS,,
house20_event_18168,Tumble Dryer,2014-08-22 18:22:00,2014-08-22 19:27:00,2014-08-22 20:00:00,2014-08-22 21:05:00,1,0,1.0,98,SUCCESS,,
house20_event_18173,Tumble Dryer,2014-08-25 07:17:00,2014-08-25 08:24:00,2014-08-25 13:00:00,2014-08-25 14:07:00,1,0,1.0,343,SUCCESS,,
house20_event_18179,Tumble Dryer,2014-08-27 07:18:00,2014-08-27 08:25:00,2014-08-27 13:00:00,2014-08-27 14:07:00,1,0,1.0,342,SUCCESS,,
house20_event_18185,Tumble Dryer,2014-09-04 12:10:00,2014-09-04 13:17:00,2014-09-04 13:00:00,2014-09-04 14:07:00,1,0,1.0,50,SUCCESS,,
house20_event_18191,Tumble Dryer,2014-09-06 07:18:00,2014-09-06 08:24:00,2014-09-06 13:00:00,2014-09-06 14:06:00,1,0,1.0,342,SUCCESS,,
house20_event_18194,Tumble Dryer,2014-09-07 21:42:00,2014-09-07 22:46:00,2014-09-07 21:47:00,2014-09-07 22:51:00,1,0,1.0,5,SUCCESS,,
house20_event_18198,Tumble Dryer,2014-09-09 19:52:00,2014-09-09 21:02:00,2014-09-09 20:00:00,2014-09-09 21:10:00,0,0,0.1,8,SUCCESS,,
house20_event_18204,Tumble Dryer,2014-09-12 06:34:00,2014-09-12 07:39:00,2014-09-12 13:00:00,2014-09-12 14:05:00,1,0,1.0,386,SUCCESS,,
house20_event_18212,Tumble Dryer,2014-09-13 19:37:00,2014-09-13 19:54:00,2014-09-13 20:00:00,2014-09-13 20:17:00,1,0,1.0,23,SUCCESS,,
house20_event_18220,Tumble Dryer,2014-09-15 06:46:00,2014-09-15 07:51:00,2014-09-15 13:00:00,2014-09-15 14:05:00,1,0,1.0,374,SUCCESS,,
house20_event_18224,Tumble Dryer,2014-09-17 12:41:00,2014-09-17 13:33:00,2014-09-17 13:00:00,2014-09-17 13:52:00,0,0,0.1,19,SUCCESS,,
house20_event_18230,Tumble Dryer,2014-09-20 07:03:00,2014-09-20 08:04:00,2014-09-20 13:00:00,2014-09-20 14:01:00,1,0,1.0,357,SUCCESS,,
house20_event_18238,Tumble Dryer,2014-09-23 18:52:00,2014-09-23 19:57:00,2014-09-23 20:00:00,2014-09-23 21:05:00,1,0,1.0,68,SUCCESS,,
house20_event_18243,Tumble Dryer,2014-09-26 17:55:00,2014-09-26 19:00:00,2014-09-26 20:00:00,2014-09-26 21:05:00,1,0,1.0,125,SUCCESS,,
house20_event_18249,Tumble Dryer,2014-09-29 06:43:00,2014-09-29 07:51:00,2014-09-29 13:00:00,2014-09-29 14:08:00,1,0,1.0,377,SUCCESS,,
house20_event_18253,Tumble Dryer,2014-10-01 19:41:00,2014-10-01 20:45:00,2014-10-01 20:00:00,2014-10-01 21:04:00,0,0,0.1,19,SUCCESS,,
house20_event_18258,Tumble Dryer,2014-10-04 19:43:00,2014-10-04 20:50:00,2014-10-04 20:00:00,2014-10-04 21:07:00,0,0,0.1,17,SUCCESS,,
house20_event_18265,Tumble Dryer,2014-10-07 07:50:00,2014-10-07 08:54:00,2014-10-07 13:00:00,2014-10-07 14:04:00,1,0,1.0,310,SUCCESS,,
