appliance_id,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W),event_id,is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Appliance5,Tumble Dryer,Shiftable,2013-10-23 13:10:00,2013-10-23 13:42:00,32.0,3297.84,house1_event_31188,True,"{""0"": 0, ""1"": 32}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-23 14:01:00,2013-10-23 14:35:00,34.0,3867.16,house1_event_31189,True,"{""0"": 0, ""1"": 34}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-24 10:09:00,2013-10-24 10:41:00,32.0,3116.48,house1_event_31190,True,"{""0"": 0, ""1"": 32}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-26 11:30:00,2013-10-26 12:05:00,35.0,3070.78,house1_event_31191,True,"{""0"": 0, ""1"": 35}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-27 10:11:00,2013-10-27 10:42:00,31.0,2979.1,house1_event_31192,True,"{""0"": 0, ""1"": 31}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-27 10:41:00,2013-10-27 11:17:00,36.0,3986.39,house1_event_31193,True,"{""0"": 0, ""1"": 36}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-28 13:31:00,2013-10-28 14:04:00,33.0,3450.28,house1_event_31194,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-29 10:50:00,2013-10-29 11:08:00,18.0,12159.26,house1_event_31195,True,"{""0"": 0, ""1"": 18}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-29 11:12:00,2013-10-29 11:34:00,22.0,2498.12,house1_event_31196,True,"{""0"": 0, ""1"": 22}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-29 12:10:00,2013-10-29 12:46:00,36.0,2958.66,house1_event_31197,True,"{""0"": 0, ""1"": 36}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-30 14:49:00,2013-10-30 15:22:00,33.0,17389.29,house1_event_31198,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-10-31 13:38:00,2013-10-31 14:10:00,32.0,2491.48,house1_event_31199,True,"{""0"": 0, ""1"": 32}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-03 10:29:00,2013-11-03 11:00:00,31.0,2374.19,house1_event_31201,True,"{""0"": 0, ""1"": 31}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-04 13:17:00,2013-11-04 13:57:00,40.0,3707.74,house1_event_31202,True,"{""0"": 0, ""1"": 40}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-10 13:39:00,2013-11-10 14:15:00,36.0,2388.13,house1_event_31204,True,"{""0"": 0, ""1"": 36}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-10 14:09:00,2013-11-10 14:46:00,37.0,3471.2,house1_event_31205,True,"{""0"": 0, ""1"": 37}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-12 11:12:00,2013-11-12 11:51:00,39.0,2138.85,house1_event_31207,True,"{""0"": 0, ""1"": 39}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-13 11:54:00,2013-11-13 12:27:00,33.0,8368.08,house1_event_31208,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-14 12:43:00,2013-11-14 13:19:00,36.0,3266.92,house1_event_31209,True,"{""0"": 0, ""1"": 36}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-15 09:54:00,2013-11-15 10:27:00,33.0,2718.81,house1_event_31210,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-19 12:39:00,2013-11-19 13:12:00,33.0,3373.91,house1_event_31212,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-22 10:13:00,2013-11-22 10:45:00,32.0,6176.67,house1_event_31213,True,"{""0"": 0, ""1"": 32}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-22 10:51:00,2013-11-22 11:40:00,49.0,3812.06,house1_event_31214,True,"{""0"": 0, ""1"": 49}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-22 13:08:00,2013-11-22 13:42:00,34.0,3486.3,house1_event_31215,True,"{""0"": 0, ""1"": 34}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-23 10:17:00,2013-11-23 10:50:00,33.0,9939.7,house1_event_31216,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-11-27 11:24:00,2013-11-27 11:58:00,34.0,1538.04,house1_event_31221,True,"{""0"": 0, ""1"": 34}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-03 12:16:00,2013-12-03 12:49:00,33.0,10137.56,house1_event_31224,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-04 12:51:00,2013-12-04 13:22:00,31.0,3552.76,house1_event_31226,True,"{""0"": 0, ""1"": 31}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-04 13:20:00,2013-12-04 13:53:00,33.0,2104.5,house1_event_31227,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-04 13:57:00,2013-12-04 14:31:00,34.0,2798.23,house1_event_31228,True,"{""0"": 0, ""1"": 34}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-06 12:03:00,2013-12-06 12:39:00,36.0,16959.11,house1_event_31230,True,"{""0"": 0, ""1"": 36}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-07 11:23:00,2013-12-07 11:38:00,15.0,12470.59,house1_event_31232,True,"{""0"": 0, ""1"": 15}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-07 11:38:00,2013-12-07 12:04:00,26.0,2208.99,house1_event_31233,True,"{""0"": 0, ""1"": 26}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-11 12:47:00,2013-12-11 13:20:00,33.0,2822.39,house1_event_31235,True,"{""0"": 0, ""1"": 33}",1,1,1,0.0
Appliance5,Tumble Dryer,Shiftable,2013-12-16 13:56:00,2013-12-16 14:36:00,40.0,19375.27,house1_event_31237,True,"{""0"": 0, ""1"": 40}",1,1,1,0.0
