event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
house21_event_7023,Tumble Dryer,2014-03-07 16:22:00,2014-03-07 22:08:00,2014-03-08 06:00:00,2014-03-08 11:46:00,1,0,1.0,818,SUCCESS,,
house21_event_7024,Tumble Dryer,2014-04-08 16:10:00,2014-04-08 16:23:00,2014-04-09 06:00:00,2014-04-09 06:13:00,1,0,1.0,830,SUCCESS,,
house21_event_7025,Tumble Dryer,2014-04-26 09:17:00,2014-04-26 09:25:00,2014-04-27 06:00:00,2014-04-27 06:08:00,1,0,1.0,1243,SUCCESS,,
house21_event_7026,Tumble Dryer,2014-04-26 09:34:00,2014-04-26 09:41:00,2014-04-27 06:00:00,2014-04-27 06:07:00,1,0,1.0,1226,SUCCESS,,
house21_event_7027,Tumble Dryer,2014-04-26 09:52:00,2014-04-26 09:57:00,2014-04-27 06:00:00,2014-04-27 06:05:00,1,0,1.0,1208,SUCCESS,,
house21_event_7029,Tumble Dryer,2014-05-27 08:37:00,2014-05-27 09:04:00,2014-05-28 06:00:00,2014-05-28 06:27:00,1,0,1.0,1283,SUCCESS,,
house21_event_7032,Tumble Dryer,2014-05-27 14:38:00,2014-05-27 14:48:00,2014-05-28 06:00:00,2014-05-28 06:10:00,1,0,1.0,922,SUCCESS,,
house21_event_7036,Tumble Dryer,2014-06-07 10:28:00,2014-06-07 10:40:00,2014-06-08 06:00:00,2014-06-08 06:12:00,1,0,1.0,1172,SUCCESS,,
house21_event_7037,Tumble Dryer,2014-06-10 14:49:00,2014-06-10 14:55:00,2014-06-11 06:00:00,2014-06-11 06:06:00,1,0,1.0,911,SUCCESS,,
house21_event_7038,Tumble Dryer,2014-06-14 09:57:00,2014-06-14 10:09:00,2014-06-15 06:00:00,2014-06-15 06:12:00,1,0,1.0,1203,SUCCESS,,
house21_event_7039,Tumble Dryer,2014-06-14 10:11:00,2014-06-14 10:19:00,2014-06-15 06:00:00,2014-06-15 06:08:00,1,0,1.0,1189,SUCCESS,,
house21_event_7040,Tumble Dryer,2014-06-14 10:20:00,2014-06-14 10:27:00,2014-06-15 06:00:00,2014-06-15 06:07:00,1,0,1.0,1180,SUCCESS,,
house21_event_7041,Tumble Dryer,2014-06-14 10:30:00,2014-06-14 10:41:00,2014-06-15 06:00:00,2014-06-15 06:11:00,1,0,1.0,1170,SUCCESS,,
house21_event_7042,Tumble Dryer,2014-06-24 19:06:00,2014-06-24 19:19:00,2014-06-25 06:00:00,2014-06-25 06:13:00,1,0,1.0,654,SUCCESS,,
house21_event_7043,Tumble Dryer,2014-08-13 10:40:00,2014-08-13 10:48:00,2014-08-14 06:00:00,2014-08-14 06:08:00,1,0,1.0,1160,SUCCESS,,
house21_event_7044,Tumble Dryer,2014-08-13 10:52:00,2014-08-13 10:58:00,2014-08-14 06:00:00,2014-08-14 06:06:00,1,0,1.0,1148,SUCCESS,,
house21_event_7047,Tumble Dryer,2014-08-16 10:16:00,2014-08-16 10:23:00,2014-08-17 06:00:00,2014-08-17 06:07:00,1,0,1.0,1184,SUCCESS,,
house21_event_7048,Tumble Dryer,2014-08-16 10:32:00,2014-08-16 10:49:00,2014-08-17 06:00:00,2014-08-17 06:17:00,1,0,1.0,1168,SUCCESS,,
house21_event_7049,Tumble Dryer,2014-08-16 11:42:00,2014-08-16 11:46:00,2014-08-17 06:00:00,2014-08-17 06:04:00,1,0,1.0,1098,SUCCESS,,
house21_event_7050,Tumble Dryer,2014-08-16 11:44:00,2014-08-16 11:48:00,2014-08-17 06:00:00,2014-08-17 06:04:00,1,0,1.0,1096,SUCCESS,,
house21_event_7051,Tumble Dryer,2014-08-16 12:00:00,2014-08-16 12:09:00,2014-08-17 06:00:00,2014-08-17 06:09:00,1,0,1.0,1080,SUCCESS,,
house21_event_7052,Tumble Dryer,2014-08-16 12:08:00,2014-08-16 12:15:00,2014-08-17 06:00:00,2014-08-17 06:07:00,1,0,1.0,1072,SUCCESS,,
house21_event_7053,Tumble Dryer,2014-08-16 13:17:00,2014-08-16 13:24:00,2014-08-17 06:00:00,2014-08-17 06:07:00,1,0,1.0,1003,SUCCESS,,
house21_event_7054,Tumble Dryer,2014-09-09 14:45:00,2014-09-09 16:20:00,2014-09-10 06:00:00,2014-09-10 07:35:00,1,0,1.0,915,SUCCESS,,
house21_event_7055,Tumble Dryer,2014-09-13 08:08:00,2014-09-13 08:27:00,2014-09-14 06:00:00,2014-09-14 06:19:00,1,0,1.0,1312,SUCCESS,,
house21_event_7056,Tumble Dryer,2014-09-26 13:03:00,2014-09-26 13:09:00,2014-09-27 06:00:00,2014-09-27 06:06:00,1,0,1.0,1017,SUCCESS,,
house21_event_7057,Tumble Dryer,2014-10-21 11:46:00,2014-10-21 12:01:00,2014-10-22 06:00:00,2014-10-22 06:15:00,1,0,1.0,1094,SUCCESS,,
house21_event_7058,Tumble Dryer,2014-10-21 12:01:00,2014-10-21 12:15:00,2014-10-22 06:00:00,2014-10-22 06:14:00,1,0,1.0,1079,SUCCESS,,
house21_event_7061,Tumble Dryer,2014-11-16 17:40:00,2014-11-16 17:51:00,2014-11-17 06:00:00,2014-11-17 06:11:00,1,0,1.0,740,SUCCESS,,
house21_event_7062,Tumble Dryer,2014-11-16 17:48:00,2014-11-16 17:55:00,2014-11-17 06:00:00,2014-11-17 06:07:00,1,0,1.0,732,SUCCESS,,
house21_event_7063,Tumble Dryer,2014-12-07 14:20:00,2014-12-07 14:37:00,2014-12-08 06:00:00,2014-12-08 06:17:00,1,0,1.0,940,SUCCESS,,
house21_event_7064,Tumble Dryer,2014-12-07 14:53:00,2014-12-07 15:07:00,2014-12-08 06:00:00,2014-12-08 06:14:00,1,0,1.0,907,SUCCESS,,
house21_event_7065,Tumble Dryer,2014-12-07 16:22:00,2014-12-07 16:33:00,2014-12-08 06:00:00,2014-12-08 06:11:00,1,0,1.0,818,SUCCESS,,
house21_event_7067,Tumble Dryer,2014-12-22 12:10:00,2014-12-22 12:26:00,2014-12-23 06:00:00,2014-12-23 06:16:00,1,0,1.0,1070,SUCCESS,,
house21_event_7075,Washing Machine,2014-03-07 22:03:00,2014-03-07 22:27:00,2014-03-08 06:00:00,2014-03-08 06:24:00,1,0,1.0,477,SUCCESS,,
house21_event_7076,Washing Machine,2014-03-08 07:49:00,2014-03-08 09:26:00,2014-03-09 06:00:00,2014-03-09 07:37:00,1,0,1.0,1331,SUCCESS,,
house21_event_7077,Washing Machine,2014-03-08 10:01:00,2014-03-08 11:01:00,2014-03-09 06:00:00,2014-03-09 07:00:00,1,0,1.0,1199,SUCCESS,,
house21_event_7078,Washing Machine,2014-03-08 18:49:00,2014-03-09 00:03:00,2014-03-09 06:00:00,2014-03-09 11:14:00,1,0,1.0,671,SUCCESS,,
house21_event_7082,Washing Machine,2014-03-09 15:24:00,2014-03-09 16:48:00,2014-03-10 06:00:00,2014-03-10 07:24:00,1,0,1.0,876,SUCCESS,,
house21_event_7083,Washing Machine,2014-03-09 18:31:00,2014-03-09 19:29:00,2014-03-10 06:00:00,2014-03-10 06:58:00,1,0,1.0,689,SUCCESS,,
house21_event_7084,Washing Machine,2014-03-09 21:21:00,2014-03-09 22:58:00,2014-03-10 06:00:00,2014-03-10 07:37:00,1,0,1.0,519,SUCCESS,,
house21_event_7086,Washing Machine,2014-03-10 19:22:00,2014-03-10 20:48:00,2014-03-11 06:00:00,2014-03-11 07:26:00,1,0,1.0,638,SUCCESS,,
house21_event_7089,Washing Machine,2014-03-11 16:23:00,2014-03-11 17:15:00,2014-03-12 06:00:00,2014-03-12 06:52:00,1,0,1.0,817,SUCCESS,,
house21_event_7090,Washing Machine,2014-03-11 19:23:00,2014-03-11 19:57:00,2014-03-12 06:00:00,2014-03-12 06:34:00,1,0,1.0,637,SUCCESS,,
house21_event_7091,Washing Machine,2014-03-11 20:21:00,2014-03-11 22:34:00,2014-03-12 06:00:00,2014-03-12 08:13:00,1,0,1.0,579,SUCCESS,,
house21_event_7093,Washing Machine,2014-03-12 19:26:00,2014-03-12 21:58:00,2014-03-13 06:00:00,2014-03-13 08:32:00,1,0,1.0,634,SUCCESS,,
house21_event_7095,Washing Machine,2014-03-13 19:20:00,2014-03-13 23:06:00,2014-03-14 06:00:00,2014-03-14 09:46:00,1,0,1.0,640,SUCCESS,,
house21_event_7097,Washing Machine,2014-03-14 17:32:00,2014-03-14 19:25:00,2014-03-15 06:00:00,2014-03-15 07:53:00,1,0,1.0,748,SUCCESS,,
house21_event_7098,Washing Machine,2014-03-14 22:52:00,2014-03-15 00:30:00,2014-03-15 06:00:00,2014-03-15 07:38:00,1,0,1.0,428,SUCCESS,,
house21_event_7102,Washing Machine,2014-03-15 13:20:00,2014-03-15 14:06:00,2014-03-16 06:00:00,2014-03-16 06:46:00,1,0,1.0,1000,SUCCESS,,
house21_event_7103,Washing Machine,2014-03-15 20:57:00,2014-03-15 22:40:00,2014-03-16 06:00:00,2014-03-16 07:43:00,1,0,1.0,543,SUCCESS,,
house21_event_7106,Washing Machine,2014-03-16 09:13:00,2014-03-16 12:39:00,2014-03-17 06:00:00,2014-03-17 09:26:00,1,0,1.0,1247,SUCCESS,,
house21_event_7107,Washing Machine,2014-03-16 16:00:00,2014-03-17 00:06:00,2014-03-17 06:00:00,2014-03-17 14:06:00,1,0,1.0,840,SUCCESS,,
house21_event_7109,Washing Machine,2014-03-17 16:26:00,2014-03-17 17:19:00,2014-03-18 06:00:00,2014-03-18 06:53:00,1,0,1.0,814,SUCCESS,,
house21_event_7110,Washing Machine,2014-03-17 17:56:00,2014-03-17 23:01:00,2014-03-18 06:00:00,2014-03-18 11:05:00,1,0,1.0,724,SUCCESS,,
house21_event_7112,Washing Machine,2014-03-18 12:30:00,2014-03-18 13:59:00,2014-03-19 06:00:00,2014-03-19 07:29:00,1,0,1.0,1050,SUCCESS,,
house21_event_7113,Washing Machine,2014-03-18 16:05:00,2014-03-18 16:42:00,2014-03-19 06:00:00,2014-03-19 06:37:00,1,0,1.0,835,SUCCESS,,
house21_event_7114,Washing Machine,2014-03-18 16:50:00,2014-03-18 17:05:00,2014-03-19 06:00:00,2014-03-19 06:15:00,1,0,1.0,790,SUCCESS,,
house21_event_7115,Washing Machine,2014-03-18 18:00:00,2014-03-18 22:09:00,2014-03-19 06:00:00,2014-03-19 10:09:00,1,0,1.0,720,SUCCESS,,
house21_event_7116,Washing Machine,2014-03-18 22:46:00,2014-03-19 01:01:00,2014-03-19 06:00:00,2014-03-19 08:15:00,1,0,1.0,434,SUCCESS,,
house21_event_7118,Washing Machine,2014-03-19 18:00:00,2014-03-19 20:15:00,2014-03-20 06:00:00,2014-03-20 08:15:00,1,0,1.0,720,SUCCESS,,
house21_event_7122,Washing Machine,2014-03-20 18:57:00,2014-03-20 21:07:00,2014-03-21 06:00:00,2014-03-21 08:10:00,1,0,1.0,663,SUCCESS,,
house21_event_7124,Washing Machine,2014-03-21 08:13:00,2014-03-21 08:19:00,2014-03-22 06:00:00,2014-03-22 06:06:00,1,0,1.0,1307,SUCCESS,,
house21_event_7125,Washing Machine,2014-03-21 08:52:00,2014-03-21 08:56:00,2014-03-22 06:00:00,2014-03-22 06:04:00,1,0,1.0,1268,SUCCESS,,
house21_event_7126,Washing Machine,2014-03-21 17:17:00,2014-03-21 19:21:00,2014-03-22 06:00:00,2014-03-22 08:04:00,1,0,1.0,763,SUCCESS,,
house21_event_7127,Washing Machine,2014-03-21 23:05:00,2014-03-22 00:24:00,2014-03-22 06:00:00,2014-03-22 07:19:00,1,0,1.0,415,SUCCESS,,
house21_event_7129,Washing Machine,2014-03-22 14:25:00,2014-03-22 14:31:00,2014-03-23 06:00:00,2014-03-23 06:06:00,1,0,1.0,935,SUCCESS,,
house21_event_7130,Washing Machine,2014-03-22 18:59:00,2014-03-22 19:05:00,2014-03-23 06:00:00,2014-03-23 06:06:00,1,0,1.0,661,SUCCESS,,
house21_event_7131,Washing Machine,2014-03-23 00:16:00,2014-03-23 01:50:00,2014-03-23 06:00:00,2014-03-23 07:34:00,0,0,0.1,344,SUCCESS,,
house21_event_7133,Washing Machine,2014-03-23 18:30:00,2014-03-23 20:17:00,2014-03-24 06:00:00,2014-03-24 07:47:00,1,0,1.0,690,SUCCESS,,
house21_event_7134,Washing Machine,2014-03-23 21:11:00,2014-03-23 22:36:00,2014-03-24 06:00:00,2014-03-24 07:25:00,1,0,1.0,529,SUCCESS,,
house21_event_7135,Washing Machine,2014-03-23 23:42:00,2014-03-23 23:48:00,2014-03-24 06:00:00,2014-03-24 06:06:00,1,0,1.0,378,SUCCESS,,
