appliance_ID,appliance_name,Shiftability,original_start_time,original_end_time,duration(min),energy(W),event_id,is_reschedulable
Appliance1,Aggregate,Base,2014-03-07 22:58:00,2014-03-07 23:44:00,46.0,4064.11,house21_event_1,False
Appliance1,Aggregate,Base,2014-03-08 01:01:00,2014-03-08 01:45:00,44.0,3829.85,house21_event_2,False
Appliance1,Aggregate,Base,2014-03-08 03:11:00,2014-03-08 03:54:00,43.0,3781.2,house21_event_3,False
Appliance1,Aggregate,Base,2014-03-08 05:27:00,2014-03-08 06:10:00,43.0,3854.92,house21_event_4,False
Appliance1,Aggregate,Base,2014-03-08 07:41:00,2014-03-08 08:30:00,49.0,4427.74,house21_event_5,False
Appliance1,Aggregate,Base,2014-03-08 09:40:00,2014-03-08 10:26:00,46.0,3830.22,house21_event_6,False
Appliance1,Aggregate,Base,2014-03-08 11:46:00,2014-03-08 12:30:00,44.0,3957.97,house21_event_7,False
Appliance1,Aggregate,Base,2014-03-08 13:50:00,2014-03-08 14:39:00,49.0,2956.78,house21_event_8,False
Appliance1,Aggregate,Base,2014-03-08 15:54:00,2014-03-08 16:39:00,45.0,3955.29,house21_event_9,False
Appliance1,Aggregate,Base,2014-03-08 17:59:00,2014-03-08 18:44:00,45.0,3924.7,house21_event_10,False
Appliance1,Aggregate,Base,2014-03-08 19:53:00,2014-03-08 20:33:00,40.0,3543.95,house21_event_11,False
Appliance1,Aggregate,Base,2014-03-08 21:39:00,2014-03-08 22:19:00,40.0,2592.3,house21_event_12,False
Appliance1,Aggregate,Base,2014-03-08 23:27:00,2014-03-09 00:07:00,40.0,3475.59,house21_event_13,False
Appliance1,Aggregate,Base,2014-03-09 01:19:00,2014-03-09 01:58:00,39.0,3486.86,house21_event_14,False
Appliance1,Aggregate,Base,2014-03-09 03:13:00,2014-03-09 03:52:00,39.0,3475.81,house21_event_15,False
Appliance1,Aggregate,Base,2014-03-09 05:10:00,2014-03-09 05:35:00,25.0,4457.45,house21_event_16,False
Appliance1,Aggregate,Base,2014-03-09 05:41:00,2014-03-09 06:45:00,64.0,6231.85,house21_event_17,False
Appliance1,Aggregate,Base,2014-03-09 07:58:00,2014-03-09 08:42:00,44.0,4051.1,house21_event_18,False
Appliance1,Aggregate,Base,2014-03-09 09:53:00,2014-03-09 10:34:00,41.0,3622.44,house21_event_19,False
Appliance1,Aggregate,Base,2014-03-09 11:44:00,2014-03-09 12:24:00,40.0,3637.21,house21_event_20,False
Appliance1,Aggregate,Base,2014-03-09 13:31:00,2014-03-09 14:12:00,41.0,2942.58,house21_event_21,False
Appliance1,Aggregate,Base,2014-03-09 15:16:00,2014-03-09 15:58:00,42.0,3633.37,house21_event_22,False
Appliance1,Aggregate,Base,2014-03-09 17:00:00,2014-03-09 17:52:00,52.0,4530.41,house21_event_23,False
Appliance1,Aggregate,Base,2014-03-09 18:42:00,2014-03-09 19:28:00,46.0,4108.64,house21_event_24,False
Appliance1,Aggregate,Base,2014-03-09 20:28:00,2014-03-09 21:13:00,45.0,3892.68,house21_event_25,False
Appliance1,Aggregate,Base,2014-03-09 22:13:00,2014-03-09 22:57:00,44.0,3922.35,house21_event_26,False
Appliance1,Aggregate,Base,2014-03-10 00:03:00,2014-03-10 00:46:00,43.0,3771.44,house21_event_27,False
Appliance1,Aggregate,Base,2014-03-10 01:56:00,2014-03-10 02:37:00,41.0,3725.97,house21_event_28,False
Appliance1,Aggregate,Base,2014-03-10 03:50:00,2014-03-10 04:40:00,50.0,4486.4,house21_event_29,False
Appliance1,Aggregate,Base,2014-03-10 05:45:00,2014-03-10 06:26:00,41.0,3645.04,house21_event_30,False
Appliance1,Aggregate,Base,2014-03-10 07:32:00,2014-03-10 08:19:00,47.0,4178.54,house21_event_31,False
Appliance1,Aggregate,Base,2014-03-10 09:27:00,2014-03-10 10:21:00,54.0,3126.22,house21_event_32,False
Appliance1,Aggregate,Base,2014-03-10 11:17:00,2014-03-10 11:51:00,34.0,5498.53,house21_event_33,False
Appliance1,Aggregate,Base,2014-03-10 11:58:00,2014-03-10 13:07:00,69.0,6615.81,house21_event_34,False
Appliance1,Aggregate,Base,2014-03-10 14:16:00,2014-03-10 15:00:00,44.0,4043.53,house21_event_35,False
Appliance1,Aggregate,Base,2014-03-10 15:59:00,2014-03-10 16:45:00,46.0,4110.95,house21_event_36,False
Appliance1,Aggregate,Base,2014-03-10 17:53:00,2014-03-10 18:37:00,44.0,3885.13,house21_event_37,False
Appliance1,Aggregate,Base,2014-03-10 19:43:00,2014-03-10 20:35:00,52.0,4536.36,house21_event_38,False
Appliance1,Aggregate,Base,2014-03-10 21:44:00,2014-03-10 22:25:00,41.0,3625.25,house21_event_39,False
Appliance1,Aggregate,Base,2014-03-10 23:43:00,2014-03-11 00:23:00,40.0,3546.21,house21_event_40,False
Appliance1,Aggregate,Base,2014-03-11 01:45:00,2014-03-11 02:26:00,41.0,3607.8,house21_event_41,False
Appliance1,Aggregate,Base,2014-03-11 03:51:00,2014-03-11 04:32:00,41.0,3653.7,house21_event_42,False
Appliance1,Aggregate,Base,2014-03-11 05:58:00,2014-03-11 06:38:00,40.0,3582.98,house21_event_43,False
Appliance1,Aggregate,Base,2014-03-11 07:59:00,2014-03-11 08:40:00,41.0,3745.77,house21_event_44,False
Appliance1,Aggregate,Base,2014-03-11 09:46:00,2014-03-11 10:23:00,37.0,3306.28,house21_event_45,False
Appliance1,Aggregate,Base,2014-03-11 11:35:00,2014-03-11 12:11:00,36.0,3307.13,house21_event_46,False
Appliance1,Aggregate,Base,2014-03-11 13:22:00,2014-03-11 13:59:00,37.0,3351.51,house21_event_47,False
Appliance1,Aggregate,Base,2014-03-11 15:08:00,2014-03-11 15:46:00,38.0,3351.38,house21_event_48,False
Appliance1,Aggregate,Base,2014-03-11 16:27:00,2014-03-11 17:11:00,44.0,3870.39,house21_event_49,False
Appliance1,Aggregate,Base,2014-03-11 18:01:00,2014-03-11 18:39:00,38.0,3287.96,house21_event_50,False
Appliance1,Aggregate,Base,2014-03-11 19:01:00,2014-03-11 19:33:00,32.0,5199.82,house21_event_51,False
Appliance1,Aggregate,Base,2014-03-11 19:39:00,2014-03-11 22:42:00,183.0,16718.63,house21_event_52,False
Appliance1,Aggregate,Base,2014-03-11 23:47:00,2014-03-12 00:55:00,68.0,6178.34,house21_event_53,False
Appliance1,Aggregate,Base,2014-03-12 02:16:00,2014-03-12 03:16:00,60.0,5462.47,house21_event_54,False
Appliance1,Aggregate,Base,2014-03-12 04:50:00,2014-03-12 05:42:00,52.0,4810.91,house21_event_55,False
Appliance1,Aggregate,Base,2014-03-12 07:22:00,2014-03-12 08:21:00,59.0,5403.66,house21_event_56,False
Appliance1,Aggregate,Base,2014-03-12 09:48:00,2014-03-12 10:31:00,43.0,3949.12,house21_event_57,False
Appliance1,Aggregate,Base,2014-03-12 12:02:00,2014-03-12 12:44:00,42.0,3430.9,house21_event_58,False
Appliance1,Aggregate,Base,2014-03-12 14:17:00,2014-03-12 14:59:00,42.0,3837.95,house21_event_59,False
Appliance1,Aggregate,Base,2014-03-12 16:31:00,2014-03-12 17:13:00,42.0,3812.94,house21_event_60,False
Appliance1,Aggregate,Base,2014-03-12 18:46:00,2014-03-12 19:29:00,43.0,3844.15,house21_event_61,False
Appliance1,Aggregate,Base,2014-03-12 20:54:00,2014-03-12 21:37:00,43.0,3891.15,house21_event_62,False
Appliance1,Aggregate,Base,2014-03-12 23:02:00,2014-03-12 23:44:00,42.0,3860.07,house21_event_63,False
Appliance1,Aggregate,Base,2014-03-13 01:11:00,2014-03-13 01:43:00,32.0,5324.37,house21_event_64,False
Appliance1,Aggregate,Base,2014-03-13 01:49:00,2014-03-13 02:54:00,65.0,6279.63,house21_event_65,False
Appliance1,Aggregate,Base,2014-03-13 04:23:00,2014-03-13 05:07:00,44.0,4018.43,house21_event_66,False
Appliance1,Aggregate,Base,2014-03-13 06:44:00,2014-03-13 07:27:00,43.0,3902.04,house21_event_67,False
Appliance1,Aggregate,Base,2014-03-13 08:34:00,2014-03-13 09:15:00,41.0,3682.93,house21_event_68,False
Appliance1,Aggregate,Base,2014-03-13 10:42:00,2014-03-13 11:23:00,41.0,3719.69,house21_event_69,False
Appliance1,Aggregate,Base,2014-03-13 12:49:00,2014-03-13 13:31:00,42.0,3752.04,house21_event_70,False
Appliance1,Aggregate,Base,2014-03-13 14:55:00,2014-03-13 15:37:00,42.0,3770.68,house21_event_71,False
Appliance1,Aggregate,Base,2014-03-13 17:02:00,2014-03-13 17:43:00,41.0,3711.43,house21_event_72,False
Appliance1,Aggregate,Base,2014-03-13 19:10:00,2014-03-13 19:54:00,44.0,4054.12,house21_event_73,False
Appliance1,Aggregate,Base,2014-03-13 21:08:00,2014-03-13 21:55:00,47.0,4262.49,house21_event_74,False
Appliance1,Aggregate,Base,2014-03-13 23:11:00,2014-03-13 23:59:00,48.0,4355.93,house21_event_75,False
Appliance1,Aggregate,Base,2014-03-14 01:23:00,2014-03-14 02:09:00,46.0,4297.08,house21_event_76,False
Appliance1,Aggregate,Base,2014-03-14 03:38:00,2014-03-14 04:24:00,46.0,4141.93,house21_event_77,False
Appliance1,Aggregate,Base,2014-03-14 05:57:00,2014-03-14 06:42:00,45.0,4091.6,house21_event_78,False
Appliance1,Aggregate,Base,2014-03-14 07:53:00,2014-03-14 08:44:00,51.0,4642.95,house21_event_79,False
Appliance1,Aggregate,Base,2014-03-14 10:06:00,2014-03-14 10:50:00,44.0,4098.79,house21_event_80,False
Appliance1,Aggregate,Base,2014-03-14 12:15:00,2014-03-14 12:34:00,19.0,3524.45,house21_event_81,False
Appliance1,Aggregate,Base,2014-03-14 12:40:00,2014-03-14 13:49:00,69.0,6601.12,house21_event_82,False
Appliance1,Aggregate,Base,2014-03-14 15:06:00,2014-03-14 15:55:00,49.0,4358.97,house21_event_83,False
Appliance1,Aggregate,Base,2014-03-14 17:16:00,2014-03-14 18:05:00,49.0,4380.66,house21_event_84,False
Appliance1,Aggregate,Base,2014-03-14 19:05:00,2014-03-14 19:49:00,44.0,3930.13,house21_event_85,False
Appliance1,Aggregate,Base,2014-03-14 21:03:00,2014-03-14 21:45:00,42.0,3779.7,house21_event_86,False
Appliance1,Aggregate,Base,2014-03-14 22:55:00,2014-03-14 23:35:00,40.0,3623.94,house21_event_87,False
Appliance1,Aggregate,Base,2014-03-15 00:55:00,2014-03-15 01:35:00,40.0,3614.29,house21_event_88,False
Appliance1,Aggregate,Base,2014-03-15 02:56:00,2014-03-15 03:36:00,40.0,3626.83,house21_event_89,False
Appliance1,Aggregate,Base,2014-03-15 05:01:00,2014-03-15 05:40:00,39.0,3597.95,house21_event_90,False
Appliance1,Aggregate,Base,2014-03-15 07:05:00,2014-03-15 07:45:00,40.0,3595.99,house21_event_91,False
Appliance1,Aggregate,Base,2014-03-15 09:01:00,2014-03-15 09:41:00,40.0,3591.91,house21_event_92,False
Appliance1,Aggregate,Base,2014-03-15 11:05:00,2014-03-15 11:45:00,40.0,3785.65,house21_event_93,False
Appliance1,Aggregate,Base,2014-03-15 13:06:00,2014-03-15 13:50:00,44.0,3979.97,house21_event_94,False
Appliance1,Aggregate,Base,2014-03-15 14:51:00,2014-03-15 15:28:00,37.0,3303.97,house21_event_95,False
Appliance1,Aggregate,Base,2014-03-15 16:33:00,2014-03-15 17:10:00,37.0,3279.28,house21_event_96,False
Appliance1,Aggregate,Base,2014-03-15 18:19:00,2014-03-15 18:55:00,36.0,3255.46,house21_event_97,False
Appliance1,Aggregate,Base,2014-03-15 20:06:00,2014-03-15 20:42:00,36.0,3316.03,house21_event_98,False
Appliance1,Aggregate,Base,2014-03-15 21:49:00,2014-03-15 22:20:00,31.0,5052.93,house21_event_99,False
Appliance1,Aggregate,Base,2014-03-15 22:26:00,2014-03-15 23:26:00,60.0,5686.86,house21_event_100,False
Appliance1,Aggregate,Base,2014-03-16 00:35:00,2014-03-16 01:17:00,42.0,3756.51,house21_event_101,False
Appliance1,Aggregate,Base,2014-03-16 02:31:00,2014-03-16 03:11:00,40.0,3582.46,house21_event_102,False
Appliance1,Aggregate,Base,2014-03-16 04:28:00,2014-03-16 05:07:00,39.0,3483.05,house21_event_103,False
Appliance1,Aggregate,Base,2014-03-16 06:27:00,2014-03-16 07:05:00,38.0,3469.99,house21_event_104,False
Appliance1,Aggregate,Base,2014-03-16 08:26:00,2014-03-16 09:06:00,40.0,3611.59,house21_event_105,False
Appliance1,Aggregate,Base,2014-03-16 10:10:00,2014-03-16 12:02:00,112.0,10885.85,house21_event_106,False
Appliance1,Aggregate,Base,2014-03-16 12:46:00,2014-03-16 13:53:00,67.0,5012.06,house21_event_107,False
