event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,duration(min),energy(W)
house1_event_31189,Tumble Dryer,2013-10-23 14:01:00,2013-10-23 14:35:00,2013-10-24 06:00:00,2013-10-24 06:34:00,SUCCESS,34.0,3867.16
house1_event_31190,Tumble Dryer,2013-10-24 10:09:00,2013-10-24 10:41:00,2013-10-25 06:00:00,2013-10-25 06:32:00,SUCCESS,32.0,3116.48
house1_event_31191,Tumble Dryer,2013-10-26 11:30:00,2013-10-26 12:05:00,2013-10-27 06:00:00,2013-10-27 06:35:00,SUCCESS,36.0,3070.78
house1_event_31193,Tumble Dryer,2013-10-27 10:41:00,2013-10-27 11:17:00,2013-10-28 06:00:00,2013-10-28 06:36:00,SUCCESS,36.0,3986.39
house1_event_31194,Tumble Dryer,2013-10-28 13:31:00,2013-10-28 14:04:00,2013-10-29 06:00:00,2013-10-29 06:33:00,SUCCESS,33.0,3450.28
house1_event_31196,Tumble Dryer,2013-10-29 11:12:00,2013-10-29 11:34:00,2013-10-30 06:00:00,2013-10-30 06:22:00,SUCCESS,22.0,2498.12
house1_event_31198,Tumble Dryer,2013-10-30 14:49:00,2013-10-30 15:22:00,2013-10-31 06:00:00,2013-10-31 06:33:00,SUCCESS,33.0,17389.29
house1_event_31199,Tumble Dryer,2013-10-31 13:38:00,2013-10-31 14:10:00,2013-11-01 06:00:00,2013-11-01 06:32:00,SUCCESS,32.0,2491.48
house1_event_31201,Tumble Dryer,2013-11-03 10:29:00,2013-11-03 11:00:00,2013-11-04 06:00:00,2013-11-04 06:31:00,SUCCESS,33.0,2374.19
house1_event_31202,Tumble Dryer,2013-11-04 13:17:00,2013-11-04 13:57:00,2013-11-05 06:00:00,2013-11-05 06:40:00,SUCCESS,40.0,3707.74
house1_event_31205,Tumble Dryer,2013-11-10 14:09:00,2013-11-10 14:46:00,2013-11-11 06:00:00,2013-11-11 06:37:00,SUCCESS,35.0,3471.2
house1_event_31207,Tumble Dryer,2013-11-12 11:12:00,2013-11-12 11:51:00,2013-11-13 06:00:00,2013-11-13 06:39:00,SUCCESS,40.0,2138.85
house1_event_31208,Tumble Dryer,2013-11-13 11:54:00,2013-11-13 12:27:00,2013-11-14 06:00:00,2013-11-14 06:33:00,SUCCESS,35.0,8368.08
house1_event_31209,Tumble Dryer,2013-11-14 12:43:00,2013-11-14 13:19:00,2013-11-15 06:00:00,2013-11-15 06:36:00,SUCCESS,34.0,3266.92
house1_event_31210,Tumble Dryer,2013-11-15 09:54:00,2013-11-15 10:27:00,2013-11-16 06:00:00,2013-11-16 06:33:00,SUCCESS,33.0,2718.81
