event_id,appliance_name,when,season,start_time,end_time,minutes,total_W,total_cost,level_0_minutes,level_0_W,level_0_rate,level_0_cost,level_1_minutes,level_1_W,level_1_rate,level_1_cost
house2_event_1,Aggregate,original,,2013-09-17 22:08:00,2013-09-17 22:29:00,21,1737.06,0.008685299999999998,0,0.0,0.15,0.0,21,1737.0599999999997,0.3,0.008685299999999998
house2_event_2,Aggregate,original,,2013-09-17 23:16:00,2013-09-17 23:41:00,25,2024.17,0.010120849999999997,0,0.0,0.15,0.0,25,2024.1699999999994,0.3,0.010120849999999997
house2_event_3,Aggregate,original,,2013-09-18 00:35:00,2013-09-18 00:59:00,24,2029.71,0.010148549999999998,0,0.0,0.15,0.0,24,2029.7099999999996,0.3,0.010148549999999998
house2_event_4,Aggregate,original,,2013-09-18 01:57:00,2013-09-18 02:22:00,25,2038.3,0.005095749999999999,25,2038.2999999999993,0.15,0.005095749999999999,0,0.0,0.3,0.0
house2_event_5,Aggregate,original,,2013-09-18 03:25:00,2013-09-18 03:51:00,26,2086.28,0.005215700000000002,26,2086.2800000000007,0.15,0.005215700000000002,0,0.0,0.3,0.0
house2_event_6,Aggregate,original,,2013-09-18 04:56:00,2013-09-18 05:22:00,26,2115.44,0.005288600000000001,26,2115.4400000000005,0.15,0.005288600000000001,0,0.0,0.3,0.0
house2_event_7,Aggregate,original,,2013-09-18 06:26:00,2013-09-18 06:58:00,32,2696.42,0.013482099999999993,0,0.0,0.15,0.0,32,2696.4199999999987,0.3,0.013482099999999993
house2_event_8,Aggregate,original,,2013-09-18 07:45:00,2013-09-18 08:18:00,33,2789.56,0.013947799999999996,0,0.0,0.15,0.0,33,2789.5599999999995,0.3,0.013947799999999996
house2_event_9,Aggregate,original,,2013-09-18 09:23:00,2013-09-18 09:51:00,28,2337.36,0.0116868,0,0.0,0.15,0.0,28,2337.36,0.3,0.0116868
house2_event_10,Aggregate,original,,2013-09-18 10:57:00,2013-09-18 11:26:00,29,2409.83,0.012049149999999998,0,0.0,0.15,0.0,29,2409.83,0.3,0.012049149999999998
house2_event_11,Aggregate,original,,2013-09-18 12:34:00,2013-09-18 13:03:00,29,2430.41,0.011523495689655175,3,251.42172413793102,0.15,0.0006285543103448276,26,2178.9882758620693,0.3,0.010894941379310347
house2_event_12,Aggregate,original,,2013-09-18 14:10:00,2013-09-18 14:24:00,14,1151.41,0.0028785249999999994,14,1151.4099999999999,0.15,0.0028785249999999994,0,0.0,0.3,0.0
house2_event_13,Aggregate,original,,2013-09-18 15:02:00,2013-09-18 15:28:00,26,2183.95,0.005459875,26,2183.9500000000003,0.15,0.005459875,0,0.0,0.3,0.0
house2_event_14,Aggregate,original,,2013-09-18 15:30:00,2013-09-18 15:48:00,18,2749.65,0.0068741249999999966,18,2749.6499999999987,0.15,0.0068741249999999966,0,0.0,0.3,0.0
house2_event_15,Aggregate,original,,2013-09-18 15:57:00,2013-09-18 16:59:00,62,5468.0,0.02667854838709675,3,264.5806451612903,0.15,0.0006614516129032256,59,5203.419354838705,0.3,0.026017096774193525
house2_event_16,Aggregate,original,,2013-09-18 17:43:00,2013-09-18 18:18:00,35,2905.45,0.014527250000000007,0,0.0,0.15,0.0,35,2905.4500000000016,0.3,0.014527250000000007
house2_event_17,Aggregate,original,,2013-09-18 19:16:00,2013-09-18 19:34:00,18,1463.49,0.007317450000000003,0,0.0,0.15,0.0,18,1463.4900000000007,0.3,0.007317450000000003
house2_event_18,Aggregate,original,,2013-09-18 20:18:00,2013-09-18 20:46:00,28,2331.77,0.005829425,28,2331.77,0.15,0.005829425,0,0.0,0.3,0.0
house2_event_19,Aggregate,original,,2013-09-18 21:35:00,2013-09-18 22:03:00,28,2277.1,0.006302687500000003,25,2033.1250000000007,0.15,0.005082812500000002,3,243.97500000000002,0.3,0.001219875
house2_event_20,Aggregate,original,,2013-09-18 22:58:00,2013-09-18 23:26:00,28,2400.86,0.01200429999999999,0,0.0,0.15,0.0,28,2400.8599999999983,0.3,0.01200429999999999
house2_event_21,Aggregate,original,,2013-09-19 00:25:00,2013-09-19 00:53:00,28,2312.33,0.01156165,0,0.0,0.15,0.0,28,2312.3300000000004,0.3,0.01156165
house2_event_22,Aggregate,original,,2013-09-19 01:57:00,2013-09-19 02:25:00,28,2384.65,0.005961624999999999,28,2384.65,0.15,0.005961624999999999,0,0.0,0.3,0.0
house2_event_23,Aggregate,original,,2013-09-19 03:32:00,2013-09-19 04:02:00,30,2406.44,0.0060161000000000025,30,2406.440000000001,0.15,0.0060161000000000025,0,0.0,0.3,0.0
house2_event_24,Aggregate,original,,2013-09-19 05:12:00,2013-09-19 05:41:00,29,2364.53,0.005911324999999998,29,2364.5299999999993,0.15,0.005911324999999998,0,0.0,0.3,0.0
house2_event_25,Aggregate,original,,2013-09-19 06:45:00,2013-09-19 07:17:00,32,2687.36,0.013436800000000002,0,0.0,0.15,0.0,32,2687.36,0.3,0.013436800000000002
house2_event_26,Aggregate,original,,2013-09-19 08:20:00,2013-09-19 09:07:00,47,3953.65,0.01976825000000002,0,0.0,0.15,0.0,47,3953.650000000003,0.3,0.01976825000000002
house2_event_27,Aggregate,original,,2013-09-19 10:05:00,2013-09-19 10:44:00,39,3245.73,0.01622865000000001,0,0.0,0.15,0.0,39,3245.7300000000023,0.3,0.01622865000000001
house2_event_28,Aggregate,original,,2013-09-19 11:58:00,2013-09-19 12:37:00,39,3277.96,0.01638979999999999,0,0.0,0.15,0.0,39,3277.9599999999978,0.3,0.01638979999999999
house2_event_29,Aggregate,original,,2013-09-19 13:43:00,2013-09-19 14:35:00,52,4612.92,0.011532300000000002,52,4612.920000000001,0.15,0.011532300000000002,0,0.0,0.3,0.0
house2_event_30,Aggregate,original,,2013-09-19 15:24:00,2013-09-19 16:03:00,39,3221.57,0.008673457692307693,36,2973.7569230769236,0.15,0.007434392307692309,3,247.81307692307692,0.3,0.0012390653846153846
house2_event_31,Aggregate,original,,2013-09-19 17:05:00,2013-09-19 17:41:00,36,2921.82,0.014609100000000007,0,0.0,0.15,0.0,36,2921.8200000000015,0.3,0.014609100000000007
house2_event_32,Aggregate,original,,2013-09-19 18:46:00,2013-09-19 19:24:00,38,3087.25,0.01543625000000001,0,0.0,0.15,0.0,38,3087.2500000000023,0.3,0.01543625000000001
house2_event_33,Aggregate,original,,2013-09-19 19:25:00,2013-09-19 19:43:00,18,2678.35,0.013391750000000003,0,0.0,0.15,0.0,18,2678.3500000000004,0.3,0.013391750000000003
house2_event_34,Aggregate,original,,2013-09-19 19:52:00,2013-09-19 21:09:00,77,6736.82,0.018591873376623373,69,6036.890649350648,0.15,0.01509222662337662,8,699.9293506493506,0.3,0.0034996467532467527
house2_event_35,Aggregate,original,,2013-09-19 22:02:00,2013-09-19 22:50:00,48,3957.61,0.019788049999999988,0,0.0,0.15,0.0,48,3957.6099999999974,0.3,0.019788049999999988
house2_event_36,Aggregate,original,,2013-09-19 23:50:00,2013-09-20 00:30:00,40,3317.4,0.01658699999999999,0,0.0,0.15,0.0,40,3317.3999999999983,0.3,0.01658699999999999
house2_event_37,Aggregate,original,,2013-09-20 01:35:00,2013-09-20 02:11:00,36,3021.26,0.007553150000000005,36,3021.2600000000025,0.15,0.007553150000000005,0,0.0,0.3,0.0
house2_event_38,Aggregate,original,,2013-09-20 03:19:00,2013-09-20 03:52:00,33,2780.08,0.006950199999999995,33,2780.079999999998,0.15,0.006950199999999995,0,0.0,0.3,0.0
house2_event_39,Aggregate,original,,2013-09-20 05:02:00,2013-09-20 05:32:00,30,2504.44,0.0062611,30,2504.44,0.15,0.0062611,0,0.0,0.3,0.0
house2_event_40,Aggregate,original,,2013-09-20 06:29:00,2013-09-20 06:59:00,30,2511.31,0.01255655000000001,0,0.0,0.15,0.0,30,2511.3100000000018,0.3,0.01255655000000001
house2_event_41,Aggregate,original,,2013-09-20 07:52:00,2013-09-20 08:22:00,30,2469.27,0.01234635,0,0.0,0.15,0.0,30,2469.2700000000004,0.3,0.01234635
house2_event_42,Aggregate,original,,2013-09-20 09:19:00,2013-09-20 09:52:00,33,2759.67,0.01379835000000001,0,0.0,0.15,0.0,33,2759.6700000000023,0.3,0.01379835000000001
house2_event_43,Aggregate,original,,2013-09-20 10:56:00,2013-09-20 11:28:00,32,2652.59,0.01326294999999999,0,0.0,0.15,0.0,32,2652.589999999998,0.3,0.01326294999999999
house2_event_44,Aggregate,original,,2013-09-20 12:20:00,2013-09-20 12:50:00,30,2500.71,0.012503549999999997,0,0.0,0.15,0.0,30,2500.7099999999996,0.3,0.012503549999999997
house2_event_45,Aggregate,original,,2013-09-20 13:41:00,2013-09-20 14:14:00,33,2733.41,0.006833524999999997,33,2733.409999999999,0.15,0.006833524999999997,0,0.0,0.3,0.0
house2_event_46,Aggregate,original,,2013-09-20 14:44:00,2013-09-20 15:08:00,24,1982.73,0.004956825,24,1982.7299999999998,0.15,0.004956825,0,0.0,0.3,0.0
house2_event_47,Aggregate,original,,2013-09-20 15:49:00,2013-09-20 16:28:00,39,3266.35,0.014028554487179483,11,921.2782051282048,0.15,0.002303195512820512,28,2345.0717948717943,0.3,0.01172535897435897
house2_event_48,Aggregate,original,,2013-09-20 17:03:00,2013-09-20 17:31:00,28,2339.72,0.011698600000000009,0,0.0,0.15,0.0,28,2339.7200000000016,0.3,0.011698600000000009
house2_event_49,Aggregate,original,,2013-09-20 18:09:00,2013-09-20 18:37:00,28,2240.41,0.01120205,0,0.0,0.15,0.0,28,2240.4100000000003,0.3,0.01120205
house2_event_50,Aggregate,original,,2013-09-20 19:09:00,2013-09-20 19:41:00,32,2709.67,0.013548349999999994,0,0.0,0.15,0.0,32,2709.6699999999987,0.3,0.013548349999999994
house2_event_51,Aggregate,original,,2013-09-20 19:44:00,2013-09-20 20:02:00,18,2902.63,0.013706863888888886,2,322.51444444444445,0.15,0.000806286111111111,16,2580.115555555555,0.3,0.012900577777777774
house2_event_52,Aggregate,original,,2013-09-20 20:11:00,2013-09-20 20:59:00,48,4295.42,0.010738549999999994,48,4295.419999999997,0.15,0.010738549999999994,0,0.0,0.3,0.0
house2_event_53,Aggregate,original,,2013-09-20 21:46:00,2013-09-20 22:17:00,31,2558.17,0.009902593548387097,14,1155.3025806451612,0.15,0.002888256451612903,17,1402.8674193548386,0.3,0.0070143370967741935
house2_event_54,Aggregate,original,,2013-09-20 23:11:00,2013-09-20 23:38:00,27,2285.84,0.0114292,0,0.0,0.15,0.0,27,2285.84,0.3,0.0114292
house2_event_55,Aggregate,original,,2013-09-21 00:36:00,2013-09-21 01:03:00,27,2264.69,0.010694369444444443,3,251.6322222222222,0.15,0.0006290805555555555,24,2013.0577777777778,0.3,0.010065288888888888
house2_event_56,Aggregate,original,,2013-09-21 02:03:00,2013-09-21 02:31:00,28,2283.27,0.005708174999999995,28,2283.269999999998,0.15,0.005708174999999995,0,0.0,0.3,0.0
house2_event_57,Aggregate,original,,2013-09-21 03:34:00,2013-09-21 04:02:00,28,2311.55,0.005778875000000004,28,2311.5500000000015,0.15,0.005778875000000004,0,0.0,0.3,0.0
house2_event_58,Aggregate,original,,2013-09-21 05:08:00,2013-09-21 05:36:00,28,2329.87,0.005824675000000002,28,2329.870000000001,0.15,0.005824675000000002,0,0.0,0.3,0.0
house2_event_59,Aggregate,original,,2013-09-21 06:46:00,2013-09-21 07:14:00,28,2350.08,0.0117504,0,0.0,0.15,0.0,28,2350.08,0.3,0.0117504
house2_event_60,Aggregate,original,,2013-09-21 07:45:00,2013-09-21 08:16:00,31,2644.14,0.013220700000000004,0,0.0,0.15,0.0,31,2644.140000000001,0.3,0.013220700000000004
house2_event_61,Aggregate,original,,2013-09-21 09:09:00,2013-09-21 09:40:00,31,2695.97,0.013479849999999993,0,0.0,0.15,0.0,31,2695.969999999999,0.3,0.013479849999999993
house2_event_62,Aggregate,original,,2013-09-21 10:27:00,2013-09-21 10:54:00,27,2229.72,0.011148600000000003,0,0.0,0.15,0.0,27,2229.7200000000007,0.3,0.011148600000000003
house2_event_63,Aggregate,original,,2013-09-21 11:52:00,2013-09-21 12:20:00,28,2327.1,0.011635500000000002,0,0.0,0.15,0.0,28,2327.1000000000004,0.3,0.011635500000000002
house2_event_64,Aggregate,original,,2013-09-21 13:23:00,2013-09-21 13:51:00,28,2335.09,0.005837725000000001,28,2335.0900000000006,0.15,0.005837725000000001,0,0.0,0.3,0.0
house2_event_65,Aggregate,original,,2013-09-21 14:55:00,2013-09-21 15:26:00,31,2580.4,0.006450999999999997,31,2580.3999999999987,0.15,0.006450999999999997,0,0.0,0.3,0.0
house2_event_66,Aggregate,original,,2013-09-21 16:34:00,2013-09-21 17:05:00,31,2633.01,0.01316505,0,0.0,0.15,0.0,31,2633.0099999999998,0.3,0.01316505
house2_event_67,Aggregate,original,,2013-09-21 17:47:00,2013-09-21 18:15:00,28,2280.02,0.011400100000000002,0,0.0,0.15,0.0,28,2280.0200000000004,0.3,0.011400100000000002
house2_event_68,Aggregate,original,,2013-09-21 18:56:00,2013-09-21 19:36:00,40,3345.74,0.016728700000000006,0,0.0,0.15,0.0,40,3345.740000000001,0.3,0.016728700000000006
house2_event_69,Aggregate,original,,2013-09-21 20:32:00,2013-09-21 21:16:00,44,3635.96,0.009089900000000008,44,3635.960000000003,0.15,0.009089900000000008,0,0.0,0.3,0.0
house2_event_70,Aggregate,original,,2013-09-21 22:21:00,2013-09-21 23:04:00,43,3595.0,0.01797499999999999,0,0.0,0.15,0.0,43,3594.999999999998,0.3,0.01797499999999999
house2_event_71,Aggregate,original,,2013-09-22 00:17:00,2013-09-22 00:57:00,40,3332.3,0.016661499999999985,0,0.0,0.15,0.0,40,3332.299999999997,0.3,0.016661499999999985
