event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost
house21_event_7023,Tumble Dryer,original,,2014-03-07 16:22:00,2014-03-07 22:08:00,348,9773.43,0.04886715000000002,0,0.0,0.15,0.0,348,9773.430000000006,0.3,0.04886715000000002,scheduled,,2014-03-08 06:00:00,2014-03-08 11:46:00,348,9773.43,0.04254812198275847,90,2527.6112068965513,0.15,0.006319028017241378,258,7245.818793103418,0.3,0.036229093965517094
house21_event_7024,Tumble Dryer,original,,2014-04-08 16:10:00,2014-04-08 16:23:00,13,617.28,0.0030864,0,0.0,0.15,0.0,13,617.28,0.3,0.0030864,scheduled,,2014-04-09 06:00:00,2014-04-09 06:13:00,13,617.28,0.0015432,13,617.28,0.15,0.0015432,0,0.0,0.3,0.0
house21_event_7026,Tumble Dryer,original,,2014-04-26 09:34:00,2014-04-26 09:41:00,7,284.91,0.0014245500000000003,0,0.0,0.15,0.0,7,284.91,0.3,0.0014245500000000003,scheduled,,2014-04-27 06:00:00,2014-04-27 06:07:00,7,284.91,0.0007122750000000002,7,284.91,0.15,0.0007122750000000002,0,0.0,0.3,0.0
house21_event_7032,Tumble Dryer,original,,2014-05-27 14:38:00,2014-05-27 14:48:00,7,383.26,0.0019163,0,0.0,0.15,0.0,7,383.26,0.3,0.0019163,scheduled,,2014-05-28 06:00:00,2014-05-28 06:10:00,7,383.26,0.00095815,7,383.26,0.15,0.00095815,0,0.0,0.3,0.0
house21_event_7036,Tumble Dryer,original,,2014-06-07 10:28:00,2014-06-07 10:40:00,12,548.68,0.0027434,0,0.0,0.15,0.0,12,548.6800000000001,0.3,0.0027434,scheduled,,2014-06-08 06:00:00,2014-06-08 06:12:00,12,548.68,0.0013717,12,548.6800000000001,0.15,0.0013717,0,0.0,0.3,0.0
house21_event_7037,Tumble Dryer,original,,2014-06-10 14:49:00,2014-06-10 14:55:00,6,535.03,0.00267515,0,0.0,0.15,0.0,6,535.03,0.3,0.00267515,scheduled,,2014-06-11 06:00:00,2014-06-11 06:06:00,6,535.03,0.001337575,6,535.03,0.15,0.001337575,0,0.0,0.3,0.0
house21_event_7039,Tumble Dryer,original,,2014-06-14 10:11:00,2014-06-14 10:19:00,11,735.58,0.0036779,0,0.0,0.15,0.0,11,735.58,0.3,0.0036779,scheduled,,2014-06-15 06:00:00,2014-06-15 06:08:00,11,735.58,0.00183895,11,735.58,0.15,0.00183895,0,0.0,0.3,0.0
house21_event_7042,Tumble Dryer,original,,2014-06-24 19:06:00,2014-06-24 19:19:00,12,635.31,0.0031765499999999998,0,0.0,0.15,0.0,12,635.31,0.3,0.0031765499999999998,scheduled,,2014-06-25 06:00:00,2014-06-25 06:13:00,12,635.31,0.0015882749999999999,12,635.31,0.15,0.0015882749999999999,0,0.0,0.3,0.0
house21_event_7044,Tumble Dryer,original,,2014-08-13 10:52:00,2014-08-13 10:58:00,6,292.43,0.00146215,0,0.0,0.15,0.0,6,292.43,0.3,0.00146215,scheduled,,2014-08-14 06:00:00,2014-08-14 06:06:00,6,292.43,0.000731075,6,292.43,0.15,0.000731075,0,0.0,0.3,0.0
house21_event_7048,Tumble Dryer,original,,2014-08-16 10:32:00,2014-08-16 10:49:00,17,149.17,0.0007458500000000002,0,0.0,0.15,0.0,17,149.17000000000004,0.3,0.0007458500000000002,scheduled,,2014-08-17 06:00:00,2014-08-17 06:17:00,17,149.17,0.0003729250000000001,17,149.17000000000004,0.15,0.0003729250000000001,0,0.0,0.3,0.0
house21_event_7054,Tumble Dryer,original,,2014-09-09 14:45:00,2014-09-09 16:20:00,98,3217.43,0.01608714999999997,0,0.0,0.15,0.0,98,3217.429999999994,0.3,0.01608714999999997,scheduled,,2014-09-10 06:00:00,2014-09-10 07:35:00,98,3217.43,0.008700193367346926,90,2954.782653061219,0.15,0.007386956632653048,8,262.64734693877557,0.3,0.0013132367346938777
