appliance_ID,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W)
Appliance1,Fridge,Base,2013-10-09 13:06:00,2013-10-09 13:20:00,14.0,966.81
Appliance1,Fridge,Base,2013-10-09 14:59:00,2013-10-09 15:28:00,29.0,2207.26
Appliance1,Fridge,Base,2013-10-09 16:59:00,2013-10-09 17:29:00,30.0,2188.76
Appliance1,Fridge,Base,2013-10-09 21:34:00,2013-10-09 22:02:00,28.0,2107.2
Appliance1,Fridge,Base,2013-10-09 23:57:00,2013-10-10 00:26:00,29.0,2135.63
Appliance1,Fridge,Base,2013-10-10 02:24:00,2013-10-10 02:53:00,29.0,2128.36
Appliance1,Fridge,Base,2013-10-10 04:55:00,2013-10-10 05:23:00,28.0,2091.93
Appliance1,Fridge,Base,2013-10-10 06:56:00,2013-10-10 07:23:00,27.0,2014.61
Appliance1,Fridge,Base,2013-10-10 09:26:00,2013-10-10 10:16:00,50.0,3727.25
Appliance1,Fridge,Base,2013-10-10 11:34:00,2013-10-10 12:01:00,27.0,2053.64
Appliance1,Fridge,Base,2013-10-10 13:45:00,2013-10-10 14:13:00,28.0,850.51
Appliance1,Fridge,Base,2013-10-10 16:15:00,2013-10-10 16:45:00,30.0,1236.96
Appliance1,Fridge,Base,2013-10-10 18:31:00,2013-10-10 19:00:00,29.0,1187.93
Appliance1,Fridge,Base,2013-10-10 20:35:00,2013-10-10 21:03:00,28.0,2126.62
Appliance1,Fridge,Base,2013-10-10 22:40:00,2013-10-10 23:09:00,29.0,2103.47
Appliance1,Fridge,Base,2013-10-11 01:01:00,2013-10-11 01:29:00,28.0,2118.12
Appliance1,Fridge,Base,2013-10-11 03:27:00,2013-10-11 03:59:00,32.0,2293.65
Appliance1,Fridge,Base,2013-10-11 06:01:00,2013-10-11 06:30:00,29.0,2105.69
Appliance1,Fridge,Base,2013-10-11 08:36:00,2013-10-11 09:04:00,28.0,2074.75
Appliance1,Fridge,Base,2013-10-11 11:12:00,2013-10-11 11:41:00,29.0,2113.26
Appliance1,Fridge,Base,2013-10-11 13:49:00,2013-10-11 14:17:00,28.0,2093.06
Appliance1,Fridge,Base,2013-10-11 16:28:00,2013-10-11 16:56:00,28.0,2114.48
