event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable
Fridge_2013-11-01_01,Fridge,Appliance1,Base,2013-11-01 23:11:00,2013-11-01 23:33:00,22.0,2524.09,False
Fridge_2013-11-02_01,Fridge,Appliance1,Base,2013-11-02 00:48:00,2013-11-02 01:10:00,22.0,2540.5,False
Fridge_2013-11-02_02,Fridge,Appliance1,Base,2013-11-02 02:27:00,2013-11-02 02:50:00,23.0,2554.81,False
Fridge_2013-11-02_03,Fridge,Appliance1,Base,2013-11-02 04:10:00,2013-11-02 04:32:00,22.0,2538.64,False
Fridge_2013-11-02_04,Fridge,Appliance1,Base,2013-11-02 05:55:00,2013-11-02 06:17:00,22.0,2548.81,False
Fridge_2013-11-02_05,Fridge,Appliance1,Base,2013-11-02 07:29:00,2013-11-02 08:00:00,31.0,3519.38,False
Fridge_2013-11-02_06,Fridge,Appliance1,Base,2013-11-02 08:27:00,2013-11-02 08:54:00,27.0,2992.28,False
Fridge_2013-11-02_07,Fridge,Appliance1,Base,2013-11-02 09:20:00,2013-11-02 09:43:00,23.0,2547.33,False
Fridge_2013-11-02_08,Fridge,Appliance1,Base,2013-11-02 10:23:00,2013-11-02 10:42:00,19.0,2188.76,False
Fridge_2013-11-02_09,Fridge,Appliance1,Base,2013-11-02 11:36:00,2013-11-02 11:57:00,21.0,2296.72,False
Fridge_2013-11-02_10,Fridge,Appliance1,Base,2013-11-02 13:06:00,2013-11-02 13:26:00,20.0,2359.8,False
Fridge_2013-11-02_11,Fridge,Appliance1,Base,2013-11-02 14:45:00,2013-11-02 15:07:00,22.0,2439.95,False
Fridge_2013-11-02_12,Fridge,Appliance1,Base,2013-11-02 16:31:00,2013-11-02 16:53:00,22.0,2557.46,False
Fridge_2013-11-02_13,Fridge,Appliance1,Base,2013-11-02 17:53:00,2013-11-02 18:16:00,23.0,2648.28,False
Fridge_2013-11-02_14,Fridge,Appliance1,Base,2013-11-02 19:04:00,2013-11-02 19:26:00,22.0,2512.07,False
Fridge_2013-11-02_15,Fridge,Appliance1,Base,2013-11-02 20:33:00,2013-11-02 20:56:00,23.0,2689.77,False
Fridge_2013-11-02_16,Fridge,Appliance1,Base,2013-11-02 21:58:00,2013-11-02 22:17:00,19.0,2186.33,False
Fridge_2013-11-02_17,Fridge,Appliance1,Base,2013-11-02 23:18:00,2013-11-02 23:39:00,21.0,2329.1,False
Fridge_2013-11-03_01,Fridge,Appliance1,Base,2013-11-03 00:42:00,2013-11-03 01:03:00,21.0,2392.92,False
Fridge_2013-11-03_02,Fridge,Appliance1,Base,2013-11-03 02:10:00,2013-11-03 02:30:00,20.0,2259.09,False
Fridge_2013-11-03_03,Fridge,Appliance1,Base,2013-11-03 03:39:00,2013-11-03 04:03:00,24.0,2743.08,False
Fridge_2013-11-03_04,Fridge,Appliance1,Base,2013-11-03 05:19:00,2013-11-03 05:42:00,23.0,2601.4,False
Fridge_2013-11-03_05,Fridge,Appliance1,Base,2013-11-03 07:02:00,2013-11-03 07:24:00,22.0,2612.7,False
Fridge_2013-11-03_06,Fridge,Appliance1,Base,2013-11-03 08:06:00,2013-11-03 08:27:00,21.0,2459.36,False
Fridge_2013-11-03_07,Fridge,Appliance1,Base,2013-11-03 09:38:00,2013-11-03 10:00:00,22.0,2491.49,False
Fridge_2013-11-03_08,Fridge,Appliance1,Base,2013-11-03 10:41:00,2013-11-03 11:06:00,25.0,2795.52,False
Fridge_2013-11-03_09,Fridge,Appliance1,Base,2013-11-03 11:42:00,2013-11-03 12:06:00,24.0,2667.16,False
Fridge_2013-11-03_10,Fridge,Appliance1,Base,2013-11-03 12:40:00,2013-11-03 13:07:00,27.0,2851.25,False
Fridge_2013-11-03_11,Fridge,Appliance1,Base,2013-11-03 13:43:00,2013-11-03 14:03:00,20.0,2218.18,False
Fridge_2013-11-03_12,Fridge,Appliance1,Base,2013-11-03 14:59:00,2013-11-03 15:19:00,20.0,2291.59,False
Fridge_2013-11-03_13,Fridge,Appliance1,Base,2013-11-03 16:25:00,2013-11-03 16:46:00,21.0,2388.4,False
Fridge_2013-11-03_14,Fridge,Appliance1,Base,2013-11-03 17:58:00,2013-11-03 18:20:00,22.0,2507.03,False
Fridge_2013-11-03_15,Fridge,Appliance1,Base,2013-11-03 19:32:00,2013-11-03 19:54:00,22.0,2533.83,False
Fridge_2013-11-03_16,Fridge,Appliance1,Base,2013-11-03 20:45:00,2013-11-03 21:11:00,26.0,2588.12,False
Fridge_2013-11-03_17,Fridge,Appliance1,Base,2013-11-03 22:12:00,2013-11-03 22:40:00,28.0,3114.9,False
Fridge_2013-11-03_18,Fridge,Appliance1,Base,2013-11-03 23:10:00,2013-11-03 23:36:00,26.0,2893.22,False
Fridge_2013-11-04_01,Fridge,Appliance1,Base,2013-11-04 00:05:00,2013-11-04 00:30:00,25.0,2811.8,False
Fridge_2013-11-04_02,Fridge,Appliance1,Base,2013-11-04 00:58:00,2013-11-04 01:23:00,25.0,2732.87,False
Fridge_2013-11-04_03,Fridge,Appliance1,Base,2013-11-04 01:51:00,2013-11-04 02:15:00,24.0,2694.12,False
Fridge_2013-11-04_04,Fridge,Appliance1,Base,2013-11-04 02:42:00,2013-11-04 03:07:00,25.0,2674.82,False
Fridge_2013-11-04_05,Fridge,Appliance1,Base,2013-11-04 03:34:00,2013-11-04 03:58:00,24.0,2697.33,False
Fridge_2013-11-04_06,Fridge,Appliance1,Base,2013-11-04 04:25:00,2013-11-04 04:49:00,24.0,2685.11,False
Fridge_2013-11-04_07,Fridge,Appliance1,Base,2013-11-04 05:16:00,2013-11-04 05:40:00,24.0,2638.0,False
Fridge_2013-11-04_08,Fridge,Appliance1,Base,2013-11-04 06:07:00,2013-11-04 06:30:00,23.0,2547.47,False
Fridge_2013-11-04_09,Fridge,Appliance1,Base,2013-11-04 06:56:00,2013-11-04 07:19:00,23.0,2534.78,False
Fridge_2013-11-04_10,Fridge,Appliance1,Base,2013-11-04 07:45:00,2013-11-04 08:04:00,19.0,2034.5,False
Fridge_2013-11-04_11,Fridge,Appliance1,Base,2013-11-04 08:43:00,2013-11-04 09:02:00,19.0,2027.57,False
Fridge_2013-11-04_12,Fridge,Appliance1,Base,2013-11-04 09:46:00,2013-11-04 10:10:00,24.0,2753.25,False
Fridge_2013-11-04_13,Fridge,Appliance1,Base,2013-11-04 10:37:00,2013-11-04 11:02:00,25.0,2644.66,False
