month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-12,15.1357,19.7742,32.9572,32.9572
2014-01,33.7506,45.3975,75.6623,75.6623
2014-02,6.9766,9.413499999999999,15.6892,15.6892
2014-03,25.9677,34.48,57.4646,57.4646
2014-04,31.1362,41.5971,69.3279,69.3279
2014-05,34.9518,46.7328,77.8865,77.8865
2014-06,26.7633,34.4026,57.3394,57.3394
2014-07,23.3661,29.8336,49.7255,49.7255
2014-08,27.24,35.1007,58.5007,58.5007
2014-09,22.9052,28.9454,48.244,48.244
2014-10,31.1298,41.5061,69.1782,69.1782
2014-11,20.9537,27.4968,45.828,45.828
2014-12,26.3938,34.6027,57.6714,57.6714
2015-01,21.5387,29.0087,48.3487,48.3487
2015-02,23.9902,32.3974,53.9947,53.9947
2015-03,20.3872,27.3745,45.6235,45.6235
2015-04,15.8393,21.1656,35.2744,35.2744
2015-05,20.1929,26.86,44.7632,44.7632
2015-06,18.2702,23.5177,39.1974,39.1974
2015-07,7.0416,9.040799999999999,15.066699999999999,15.066699999999999
