event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_TOU_D,energy_TOU_D,cost_TOU_D_Base,energy_TOU_D_Base
Fridge-Freezer_2014-03-06_01,Fridge-Freezer,Appliance1,Base,2014-03-06 16:23:00,2014-03-06 16:52:00,29.0,1999.46,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0143,0.0333,0.02,0.0333
Fridge-Freezer_2014-03-06_02,Fridge-Freezer,Appliance1,Base,2014-03-06 17:10:00,2014-03-06 17:43:00,33.0,2899.9,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0246,0.0483,0.029,0.0483
Fridge-Freezer_2014-03-06_03,Fridge-Freezer,Appliance1,Base,2014-03-06 18:09:00,2014-03-06 18:32:00,23.0,1691.49,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0144,0.0282,0.0169,0.0282
Fridge-Freezer_2014-03-06_04,Fridge-Freezer,Appliance1,Base,2014-03-06 18:42:00,2014-03-06 19:20:00,38.0,3378.79,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0287,0.0563,0.0338,0.0563
Fridge-Freezer_2014-03-06_05,Fridge-Freezer,Appliance1,Base,2014-03-06 19:46:00,2014-03-06 20:08:00,22.0,1721.64,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0142,0.0287,0.0172,0.0287
Fridge-Freezer_2014-03-06_06,Fridge-Freezer,Appliance1,Base,2014-03-06 20:17:00,2014-03-06 20:48:00,31.0,2783.25,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0213,0.0464,0.0278,0.0464
Fridge-Freezer_2014-03-06_07,Fridge-Freezer,Appliance1,Base,2014-03-06 21:37:00,2014-03-06 22:16:00,39.0,4590.13,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0345,0.0765,0.0459,0.0765
Fridge-Freezer_2014-03-06_08,Fridge-Freezer,Appliance1,Base,2014-03-06 23:16:00,2014-03-06 23:56:00,40.0,4529.44,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0325,0.0755,0.0453,0.0755
Fridge-Freezer_2014-03-07_01,Fridge-Freezer,Appliance1,Base,2014-03-07 00:47:00,2014-03-07 01:17:00,30.0,2634.94,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0189,0.0439,0.0263,0.0439
Fridge-Freezer_2014-03-07_02,Fridge-Freezer,Appliance1,Base,2014-03-07 01:34:00,2014-03-07 01:55:00,21.0,1638.03,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0117,0.0273,0.0164,0.0273
Fridge-Freezer_2014-03-07_03,Fridge-Freezer,Appliance1,Base,2014-03-07 02:19:00,2014-03-07 02:49:00,30.0,2633.63,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0189,0.0439,0.0263,0.0439
Fridge-Freezer_2014-03-07_04,Fridge-Freezer,Appliance1,Base,2014-03-07 03:41:00,2014-03-07 04:21:00,40.0,4296.21,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0308,0.0716,0.043,0.0716
Fridge-Freezer_2014-03-07_05,Fridge-Freezer,Appliance1,Base,2014-03-07 05:24:00,2014-03-07 06:14:00,50.0,4202.85,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0301,0.07,0.042,0.07
Fridge-Freezer_2014-03-07_06,Fridge-Freezer,Appliance1,Base,2014-03-07 06:57:00,2014-03-07 07:26:00,29.0,2623.13,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0188,0.0437,0.0262,0.0437
Fridge-Freezer_2014-03-07_07,Fridge-Freezer,Appliance1,Base,2014-03-07 07:50:00,2014-03-07 08:16:00,26.0,1819.02,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.013,0.0303,0.0182,0.0303
Fridge-Freezer_2014-03-07_08,Fridge-Freezer,Appliance1,Base,2014-03-07 08:30:00,2014-03-07 09:00:00,30.0,2676.63,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0192,0.0446,0.0268,0.0446
Fridge-Freezer_2014-03-07_09,Fridge-Freezer,Appliance1,Base,2014-03-07 10:02:00,2014-03-07 10:36:00,34.0,4693.62,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0336,0.0782,0.0469,0.0782
Fridge-Freezer_2014-03-07_10,Fridge-Freezer,Appliance1,Base,2014-03-07 11:23:00,2014-03-07 11:57:00,34.0,2993.89,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0215,0.0499,0.0299,0.0499
Fridge-Freezer_2014-03-07_11,Fridge-Freezer,Appliance1,Base,2014-03-07 12:07:00,2014-03-07 12:29:00,22.0,1669.57,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.012,0.0278,0.0167,0.0278
Fridge-Freezer_2014-03-07_12,Fridge-Freezer,Appliance1,Base,2014-03-07 12:58:00,2014-03-07 13:22:00,24.0,2062.9,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0148,0.0344,0.0206,0.0344
Fridge-Freezer_2014-03-07_13,Fridge-Freezer,Appliance1,Base,2014-03-07 14:01:00,2014-03-07 14:49:00,48.0,4469.11,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.032,0.0745,0.0447,0.0745
