appliance_id,appliance_name,month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1,Fridge,2013-10,2.2105,2.9774,4.9637,4.9637
Appliance1,Fridge,2013-11,2.7651,3.7384,6.2321,6.2321
Appliance1,Fridge,2013-12,2.8833,3.8929,6.4894,6.4894
Appliance1,Fridge,2014-01,2.1051,2.8478,4.747,4.747
Appliance1,Fridge,2014-02,0.4243,0.5708,0.9518,0.9518
Appliance1,Fridge,2014-04,2.6896,3.6405,6.0671,6.0671
Appliance1,Fridge,2014-05,2.9725,4.0236,6.7064,6.7064
Appliance1,Fridge,2014-06,3.351,4.4735,7.4552,7.4552
Appliance1,Fridge,2014-07,3.9381,5.2427,8.7377,8.7377
Appliance1,Fridge,2014-08,3.4133,4.5451,7.5746,7.5746
Appliance1,Fridge,2014-09,3.2345,4.2913,7.1518,7.1518
Appliance1,Fridge,2014-10,3.0998,4.1887,6.9813,6.9813
Appliance1,Fridge,2014-11,2.9227,3.945,6.575,6.575
Appliance1,Fridge,2014-12,3.2384,4.3753,7.2918,7.2918
Appliance1,Fridge,2015-01,3.2556,4.4061,7.3429,7.3429
Appliance1,Fridge,2015-02,3.0157,4.0771,6.7958,6.7958
Appliance1,Fridge,2015-03,2.871,3.8831,6.4724,6.4724
Appliance1,Fridge,2015-04,2.5263,3.4193000000000002,5.6982,5.6982
Appliance1,Fridge,2015-05,2.3061,3.1206,5.2021,5.2021
Appliance1,Fridge,2015-06,1.633,2.1776,3.6298,3.6298
Appliance1,Fridge,2015-07,0.8655,1.1612,1.9362,1.9362
Appliance2,Freezer,2013-10,13.6626,18.4706,30.7842,30.7842
Appliance2,Freezer,2013-11,17.6908,23.971799999999998,39.9522,39.9522
Appliance2,Freezer,2013-12,17.6702,23.9268,39.8788,39.8788
Appliance2,Freezer,2014-01,13.6139,18.4387,30.731,30.731
Appliance2,Freezer,2014-02,2.6398,3.5605,5.9354000000000005,5.9354000000000005
Appliance2,Freezer,2014-04,17.8694,24.195,40.3256,40.3256
Appliance2,Freezer,2014-05,20.0703,27.2051,45.3426,45.3426
Appliance2,Freezer,2014-06,21.8267,29.1122,48.5213,48.5213
Appliance2,Freezer,2014-07,25.3594,33.7387,56.2303,56.2303
Appliance2,Freezer,2014-08,23.1625,30.9197,51.5331,51.5331
Appliance2,Freezer,2014-09,20.7686,27.5555,45.9248,45.9248
Appliance2,Freezer,2014-10,20.1863,27.3677,45.6126,45.6126
Appliance2,Freezer,2014-11,19.5765,26.5249,44.2085,44.2085
Appliance2,Freezer,2014-12,19.2063,26.0333,43.3888,43.3888
Appliance2,Freezer,2015-01,19.5811,26.5398,44.2344,44.2344
Appliance2,Freezer,2015-02,17.587,23.8374,39.7284,39.7284
Appliance2,Freezer,2015-03,17.6635,23.8985,39.83,39.83
Appliance2,Freezer,2015-04,16.2395,22.0079,36.6788,36.6788
Appliance2,Freezer,2015-05,14.8836,20.1478,33.5805,33.5805
Appliance2,Freezer,2015-06,10.4862,13.9673,23.2786,23.2786
Appliance2,Freezer,2015-07,5.5702,7.428,12.3799,12.3799
Appliance3,Fridge-Freezer,2013-10,6.9653,9.4308,15.7201,15.7201
Appliance3,Fridge-Freezer,2013-11,8.882,12.0298,20.049,20.049
Appliance3,Fridge-Freezer,2013-12,9.514,12.9026,21.5038,21.5038
Appliance3,Fridge-Freezer,2014-01,7.1406,9.6726,16.1189,16.1189
Appliance3,Fridge-Freezer,2014-02,25.639799999999997,34.778600000000004,57.9645,57.9645
Appliance3,Fridge-Freezer,2014-04,9.4047,12.7458,21.2416,21.2416
Appliance3,Fridge-Freezer,2014-05,10.9291,14.8128,24.6893,24.6893
Appliance3,Fridge-Freezer,2014-06,11.9816,16.0097,26.6843,26.6843
Appliance3,Fridge-Freezer,2014-07,13.8472,18.3995,30.6682,30.6682
Appliance3,Fridge-Freezer,2014-08,15.0865,20.1788,33.6314,33.6314
Appliance3,Fridge-Freezer,2014-09,12.2132,16.2131,27.0222,27.0222
Appliance3,Fridge-Freezer,2014-10,10.8953,14.7477,24.5793,24.5793
Appliance3,Fridge-Freezer,2014-11,9.5498,12.9407,21.5684,21.5684
Appliance3,Fridge-Freezer,2014-12,9.748099999999999,13.2166,22.0309,22.0309
Appliance3,Fridge-Freezer,2015-01,9.9702,13.515,22.5266,22.5266
Appliance3,Fridge-Freezer,2015-02,8.9967,12.2057,20.3424,20.3424
Appliance3,Fridge-Freezer,2015-03,8.9935,12.1917,20.3191,20.3191
Appliance3,Fridge-Freezer,2015-04,8.1976,11.0993,18.4997,18.4997
Appliance3,Fridge-Freezer,2015-05,7.3688,9.9834,16.6379,16.6379
Appliance3,Fridge-Freezer,2015-06,5.1568,6.9113,11.5173,11.5173
Appliance3,Fridge-Freezer,2015-07,2.5958,3.496,5.827,5.827
Appliance4,Washing Machine (1),2013-10,0.9106,1.2675,2.1125,2.1125
Appliance4,Washing Machine (1),2013-11,1.6368,2.2838000000000003,3.8064,3.8064
Appliance4,Washing Machine (1),2013-12,1.1508,1.6056000000000001,2.676,2.676
Appliance4,Washing Machine (1),2014-01,1.3430000000000002,1.8739,3.1232,3.1232
Appliance4,Washing Machine (1),2014-02,0.0002,0.0002,0.0004,0.0004
Appliance4,Washing Machine (1),2014-04,1.9524,2.7242,4.5402,4.5402
Appliance4,Washing Machine (1),2014-05,2.4813,3.3481,5.58,5.58
Appliance4,Washing Machine (1),2014-06,1.7713,2.5506,4.2507,4.2507
Appliance4,Washing Machine (1),2014-07,0.9112,1.367,2.2781,2.2781
Appliance4,Washing Machine (1),2014-08,0.9471,1.4207,2.3679,2.3679
Appliance4,Washing Machine (1),2014-09,1.4788999999999999,2.2134,3.6889,3.6889
Appliance4,Washing Machine (1),2014-10,0.4461,0.6225,1.0374,1.0374
Appliance4,Washing Machine (1),2014-11,1.8586,2.5646,4.2744,4.2744
Appliance4,Washing Machine (1),2014-12,0.7322,1.0216,1.7026999999999999,1.7026999999999999
Appliance4,Washing Machine (1),2015-01,0.49069999999999997,0.6847,1.1414,1.1414
Appliance4,Washing Machine (1),2015-02,0.4057,0.5661,0.9436,0.9436
Appliance4,Washing Machine (1),2015-03,0.8307,1.1594,1.9322000000000001,1.9322000000000001
Appliance4,Washing Machine (1),2015-04,1.1517,1.6071,2.6784,2.6784
Appliance4,Washing Machine (1),2015-05,0.9389,1.3102,2.1836,2.1836
Appliance4,Washing Machine (1),2015-06,0.3217,0.4826,0.8043,0.8043
Appliance4,Washing Machine (1),2015-07,0.6566000000000001,0.9848999999999999,1.6417000000000002,1.6417000000000002
Appliance5,Washing Machine (2),2013-10,1.3666,1.9066,3.1778,3.1778
Appliance5,Washing Machine (2),2013-11,3.4429,4.8035,8.0063,8.0063
Appliance5,Washing Machine (2),2013-12,3.492,4.8715,8.119,8.119
Appliance5,Washing Machine (2),2014-01,1.7865,2.4927,4.1544,4.1544
Appliance5,Washing Machine (2),2014-02,0.5179,0.7225,1.2043,1.2043
Appliance5,Washing Machine (2),2014-04,4.0287,5.6215,9.369,9.369
Appliance5,Washing Machine (2),2014-05,2.6968,3.7631,6.271599999999999,6.271599999999999
Appliance5,Washing Machine (2),2014-06,3.4913,5.2345,8.7242,8.7242
Appliance5,Washing Machine (2),2014-07,3.2565,4.8827,8.138,8.138
Appliance5,Washing Machine (2),2014-08,1.9979,2.9353,4.8914,4.8914
Appliance5,Washing Machine (2),2014-09,3.9608,5.9393,9.8986,9.8986
Appliance5,Washing Machine (2),2014-10,2.4918,3.4769,5.7947,5.7947
Appliance5,Washing Machine (2),2014-11,2.2543,3.1454,5.2424,5.2424
Appliance5,Washing Machine (2),2014-12,3.213,4.483,7.4718,7.4718
Appliance5,Washing Machine (2),2015-01,4.3938,6.1308,10.2187,10.2187
Appliance5,Washing Machine (2),2015-02,3.3028,4.6087,7.6809,7.6809
Appliance5,Washing Machine (2),2015-03,3.0088,4.1983,6.9973,6.9973
Appliance5,Washing Machine (2),2015-04,2.1662000000000003,3.0223,5.0375,5.0375
Appliance5,Washing Machine (2),2015-05,2.6878,3.7502,6.2504,6.2504
Appliance5,Washing Machine (2),2015-06,1.5599,2.3399,3.8998999999999997,3.8998999999999997
Appliance5,Washing Machine (2),2015-07,0.5908,0.8862000000000001,1.4772,1.4772
Appliance6,Computer Site,2013-10,44.5141,60.3469,100.5781,100.5781
Appliance6,Computer Site,2014-09,27.8476,36.863,61.4383,61.4383
Appliance6,Computer Site,2015-01,0.0646,0.0872,0.1453,0.1453
Appliance6,Computer Site,2015-02,1.7224,2.3552,3.9141,3.9141
Appliance6,Computer Site,2015-03,1.1931,1.6591,2.7448,2.7448
Appliance6,Computer Site,2015-04,1.5190000000000001,2.0413,3.402,3.402
Appliance6,Computer Site,2015-05,1.2437,1.6679,2.7799,2.7799
Appliance6,Computer Site,2015-06,0.7206,0.9367,1.5612,1.5612
Appliance6,Computer Site,2015-07,0.2394,0.3296,0.5491999999999999,0.5491999999999999
Appliance7,Television Site,2013-10,6.2842,8.2214,13.7021,13.7021
Appliance7,Television Site,2013-11,9.6979,12.731,21.2183,21.2183
Appliance7,Television Site,2013-12,10.167300000000001,13.4064,22.344,22.344
Appliance7,Television Site,2014-01,7.8681,10.3151,17.1918,17.1918
Appliance7,Television Site,2014-02,16.5188,22.3486,37.2481,37.2481
Appliance7,Television Site,2014-04,7.8113,10.2224,17.0379,17.0379
Appliance7,Television Site,2014-05,7.7451,10.2046,17.0083,17.0083
Appliance7,Television Site,2014-06,10.4534,12.9556,21.5928,21.5928
Appliance7,Television Site,2014-07,9.414,11.6293,19.3821,19.3821
Appliance7,Television Site,2014-08,7.1347,8.7703,14.616299999999999,14.616299999999999
Appliance7,Television Site,2014-09,7.0064,8.588,14.3138,14.3138
Appliance7,Television Site,2014-10,6.3895,8.428,14.046899999999999,14.046899999999999
Appliance7,Television Site,2014-11,8.6911,11.3824,18.9696,18.9696
Appliance7,Television Site,2014-12,7.2158999999999995,9.4923,15.8192,15.8192
Appliance7,Television Site,2015-01,3.3173,4.3882,7.3138,7.3138
Appliance7,Television Site,2015-02,2.6805,3.5272,5.878,5.878
Appliance7,Television Site,2015-03,2.7187,3.5788,5.9649,5.9649
Appliance7,Television Site,2015-04,2.3967,3.1615,5.2686,5.2686
Appliance7,Television Site,2015-05,2.0999,2.7684,4.6149000000000004,4.6149000000000004
Appliance7,Television Site,2015-06,1.4536,1.83,3.0503,3.0503
Appliance7,Television Site,2015-07,0.7212,0.9066,1.5111,1.5111
Appliance8,Microwave,2013-10,2.246,2.881,4.8015,4.8015
Appliance8,Microwave,2013-11,3.0369,3.97,6.6149000000000004,6.6149000000000004
Appliance8,Microwave,2013-12,3.3114,4.3679,7.2792,7.2792
Appliance8,Microwave,2014-01,2.4561,3.1825,5.3041,5.3041
Appliance8,Microwave,2014-02,0.5035000000000001,0.6457999999999999,1.0765,1.0765
Appliance8,Microwave,2014-04,1.8976,2.5125,4.1865,4.1865
Appliance8,Microwave,2014-05,2.415,3.1768,5.2941,5.2941
Appliance8,Microwave,2014-06,2.9461,3.5846999999999998,5.9735000000000005,5.9735000000000005
Appliance8,Microwave,2014-07,2.209,2.6291,4.381,4.381
Appliance8,Microwave,2014-08,1.4239,1.7856,2.9765,2.9765
Appliance8,Microwave,2014-10,2.0008,2.6108,4.3506,4.3506
Appliance8,Microwave,2014-11,2.9068,3.7924,6.3204,6.3204
Appliance8,Microwave,2014-12,2.5098,3.3276,5.5444,5.5444
Appliance8,Microwave,2015-01,3.738,4.8677,8.1114,8.1114
Appliance8,Microwave,2015-02,3.4366,4.3577,7.2612,7.2612
Appliance8,Microwave,2015-03,2.6731,3.4032,5.6716,5.6716
Appliance8,Microwave,2015-04,2.1250999999999998,2.7367,4.5604,4.5604
Appliance8,Microwave,2015-05,1.8216,2.3841,3.9736,3.9736
Appliance8,Microwave,2015-06,1.2875,1.5755,2.625,2.625
Appliance8,Microwave,2015-07,0.7172,0.8647,1.4405000000000001,1.4405000000000001
Appliance9,Kettle,2013-10,2.924,3.9468,6.5785,6.5785
Appliance9,Kettle,2013-11,3.0998,4.1506,6.9177,6.9177
Appliance9,Kettle,2013-12,3.291,4.4147,7.359,7.359
Appliance9,Kettle,2014-01,2.5281,3.3889,5.6481,5.6481
Appliance9,Kettle,2014-02,0.511,0.6778,1.13,1.13
Appliance9,Kettle,2014-04,3.5313,4.7574,7.9292,7.9292
Appliance9,Kettle,2014-05,3.7619,5.0635,8.4398,8.4398
Appliance9,Kettle,2014-06,3.1045,4.0,6.6663,6.6663
Appliance9,Kettle,2014-07,2.7241,3.4996,5.8325,5.8325
Appliance9,Kettle,2014-08,2.5705,3.2604,5.434,5.434
