label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge-Freezer),233.9633,315.0424,525.0736,525.0736
Appliance2 (Washer Dryer),192.0806,249.2671,415.4469,415.4469
Appliance3 (Washing Machine),78.106,102.706,171.1754,171.1754
Appliance4 (Dishwasher),247.0189,330.5941,550.993,550.993
Appliance5 (Television Site),140.7014,181.7681,302.947,302.947
Appliance6 (Microwave),8.5202,9.9804,16.6347,16.6347
Appliance7 (Kettle),137.254,178.8953,298.1541,298.1541
Appliance8 (Hi-Fi),33.537,45.4062,75.6767,75.6767
Appliance9 (Electric Heater),44.4946,55.1306,91.8835,91.8835
Total,1115.676,1468.7902,2447.9849,2447.9849
