appliance_id,appliance_name,month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
Appliance1,Fridge,2014-06,0.0012,0.0012,0.0036,0.0036
Appliance1,Fridge,2014-08,0.0014,0.0017,0.0051,0.0051
Appliance1,Fridge,2014-10,1.9349,2.2639,6.6612,6.6612
Appliance1,Fridge,2014-11,2.5315,2.9475,8.6689,8.6689
Appliance1,Fridge,2014-12,2.0056,2.3868,7.0169,7.0169
Appliance1,Fridge,2015-01,2.6421,3.0496,8.9685,8.9685
Appliance1,Fridge,2015-02,3.1985,3.7537,11.043,11.043
Appliance1,Fridge,2015-03,1.9879,2.3608,6.9421,6.9421
Appliance1,Fridge,2015-04,2.0775,2.4549,7.2174000000000005,7.2174000000000005
Appliance1,Fridge,2015-05,1.771,2.0966,6.1646,6.1646
Appliance1,Fridge,2015-06,1.8899,2.2306,6.5624,6.5624
Appliance2,Fridge-Freezer,2014-06,5.5178,6.5034,19.1268,19.1268
Appliance2,Fridge-Freezer,2014-07,7.3879,8.694,25.5692,25.5692
Appliance2,Fridge-Freezer,2014-08,7.9013,9.3317,27.4463,27.4463
Appliance2,Fridge-Freezer,2014-09,3.7326,4.3768,12.8726,12.8726
Appliance2,Fridge-Freezer,2014-10,4.614,5.4781,16.1118,16.1118
Appliance2,Fridge-Freezer,2014-11,2.9193,3.4551,10.1625,10.1625
Appliance2,Fridge-Freezer,2014-12,2.6145,3.0866,9.0802,9.0802
Appliance2,Fridge-Freezer,2015-01,2.6558,3.1537,9.2741,9.2741
Appliance2,Fridge-Freezer,2015-02,2.4106,2.8515,8.388,8.388
Appliance2,Fridge-Freezer,2015-03,2.7071,3.2143,9.4537,9.4537
Appliance2,Fridge-Freezer,2015-04,3.2556,3.851,11.3283,11.3283
Appliance2,Fridge-Freezer,2015-05,2.7951,3.3069,9.7271,9.7271
Appliance2,Fridge-Freezer,2015-06,3.0982,3.6797,10.8203,10.8203
Appliance3,Washing Machine,2014-06,0.3424,0.37429999999999997,1.1062,1.1062
Appliance3,Washing Machine,2014-07,0.5822,0.6786,1.9961,1.9961
Appliance3,Washing Machine,2014-08,0.1776,0.1954,0.5746,0.5746
Appliance3,Washing Machine,2014-09,0.5288,0.5643,1.659,1.659
Appliance3,Washing Machine,2014-10,0.5417,0.5841000000000001,1.7205,1.7205
Appliance3,Washing Machine,2014-11,1.4039,1.4791,4.3499,4.3499
Appliance3,Washing Machine,2014-12,0.8124,0.9188000000000001,2.7017,2.7017
Appliance3,Washing Machine,2015-01,1.2844,1.3777000000000001,4.074,4.074
Appliance3,Washing Machine,2015-02,1.5410000000000001,1.6453,4.8454,4.8454
Appliance3,Washing Machine,2015-03,0.3628,0.3858,1.1406,1.1406
Appliance3,Washing Machine,2015-04,0.4071,0.4476,1.3243,1.3243
Appliance4,Dishwasher,2014-06,0.5744,0.6769,1.9906,1.9906
Appliance4,Dishwasher,2014-07,0.40859999999999996,0.43890000000000007,1.2908,1.2908
Appliance4,Dishwasher,2014-08,0.2152,0.28140000000000004,0.8276,0.8276
Appliance4,Dishwasher,2014-09,0.033,0.0366,0.1074,0.1074
Appliance4,Dishwasher,2014-10,0.7526999999999999,0.8591,2.5265,2.5265
Appliance4,Dishwasher,2014-11,0.7182000000000001,0.7831,2.3034,2.3034
Appliance4,Dishwasher,2014-12,0.25579999999999997,0.3741,1.1006,1.1006
Appliance4,Dishwasher,2015-01,0.8353999999999999,1.0101,2.9708,2.9708
Appliance4,Dishwasher,2015-02,0.6699999999999999,0.7947000000000001,2.3372,2.3372
Appliance4,Dishwasher,2015-03,0.07659999999999999,0.0809,0.2382,0.2382
Appliance4,Dishwasher,2015-04,0.1566,0.1642,0.4827,0.4827
Appliance4,Dishwasher,2015-05,0.13090000000000002,0.1393,0.4097,0.4097
Appliance4,Dishwasher,2015-06,0.072,0.0803,0.2362,0.2362
Appliance5,Computer Site,2014-06,0.2809,0.3428,1.0075,1.0075
Appliance5,Computer Site,2014-07,0.3798,0.4544,1.3363,1.3363
Appliance5,Computer Site,2014-08,0.0839,0.10800000000000001,0.3175,0.3175
Appliance5,Computer Site,2014-09,0.3558,0.4325,1.2723,1.2723
Appliance5,Computer Site,2014-10,0.8293,1.0053,2.9563,2.9563
Appliance5,Computer Site,2014-11,1.0759,1.271,3.7380999999999998,3.7380999999999998
Appliance5,Computer Site,2014-12,0.5735,0.694,2.0412,2.0412
Appliance5,Computer Site,2015-01,0.1532,0.1797,0.5286,0.5286
Appliance5,Computer Site,2015-02,1.0398,1.2616,3.7105,3.7105
Appliance5,Computer Site,2015-03,0.7230000000000001,0.8714000000000001,2.5626999999999995,2.5626999999999995
Appliance5,Computer Site,2015-04,0.6730999999999999,0.8103,2.3836,2.3836
Appliance5,Computer Site,2015-05,0.5842,0.7236,2.1283,2.1283
Appliance5,Computer Site,2015-06,0.6802,0.8215,2.4162,2.4162
Appliance6,Microwave,2014-06,0.1859,0.2164,0.6367,0.6367
Appliance6,Microwave,2014-07,0.2421,0.272,0.7997,0.7997
Appliance6,Microwave,2014-08,0.10600000000000001,0.1194,0.3507,0.3507
Appliance6,Microwave,2014-09,0.2462,0.2832,0.8327,0.8327
Appliance6,Microwave,2014-10,0.4121,0.4867,1.432,1.432
Appliance6,Microwave,2014-11,0.3722,0.4106,1.2084,1.2084
Appliance6,Microwave,2014-12,0.2717,0.3174,0.9328,0.9328
Appliance6,Microwave,2015-01,0.1685,0.2003,0.5893,0.5893
Appliance6,Microwave,2015-02,0.1706,0.22039999999999998,0.6478,0.6478
Appliance6,Microwave,2015-03,0.226,0.3053,0.8975,0.8975
Appliance6,Microwave,2015-04,0.3029,0.373,1.097,1.097
Appliance6,Microwave,2015-05,0.1211,0.1546,0.4547,0.4547
Appliance6,Microwave,2015-06,0.161,0.2014,0.593,0.593
Appliance7,Kettle,2014-06,1.817,2.313,6.8029,6.8029
Appliance7,Kettle,2014-07,1.3788,1.7398,5.1153,5.1153
Appliance7,Kettle,2014-08,1.0707,1.3616,4.0046,4.0046
Appliance7,Kettle,2014-09,1.8959,2.4437,7.1872,7.1872
Appliance7,Kettle,2014-10,3.0334,3.9299,11.5583,11.5583
Appliance7,Kettle,2014-11,3.1877,4.0709,11.9745,11.9745
Appliance7,Kettle,2014-12,2.6374,3.3518,9.8595,9.8595
Appliance7,Kettle,2015-01,3.1483,3.9831,11.7163,11.7163
Appliance7,Kettle,2015-02,5.0844,6.25,18.3814,18.3814
Appliance7,Kettle,2015-03,3.0848,3.9812,11.7107,11.7107
Appliance7,Kettle,2015-04,2.4125,3.2189,9.4677,9.4677
Appliance7,Kettle,2015-05,1.8013,2.3601,6.942,6.942
Appliance7,Kettle,2015-06,1.5269,2.0727,6.0962,6.0962
Appliance8,Router,2014-06,27.4486,32.5831,95.8326,95.8326
Appliance9,Hi-Fi,2014-06,0.6964,0.8154,2.399,2.399
Appliance9,Hi-Fi,2014-07,0.6057,0.7058,2.0755,2.0755
Appliance9,Hi-Fi,2014-08,0.4362,0.505,1.4852,1.4852
Appliance9,Hi-Fi,2014-09,0.5836,0.6852,2.0147,2.0147
Appliance9,Hi-Fi,2014-10,0.6847,0.811,2.3857,2.3857
Appliance9,Hi-Fi,2014-11,0.5675,0.6655,1.9581,1.9581
Appliance9,Hi-Fi,2014-12,0.4758,0.573,1.6843,1.6843
Appliance9,Hi-Fi,2015-01,0.6076,0.7121999999999999,2.0952,2.0952
Appliance9,Hi-Fi,2015-02,0.8121,0.9294,2.7331,2.7331
Appliance9,Hi-Fi,2015-03,0.6235999999999999,0.7522,2.2121,2.2121
Appliance9,Hi-Fi,2015-04,0.8467,1.0228,3.0095,3.0095
Appliance9,Hi-Fi,2015-05,0.6288,0.7582,2.2311,2.2311
Appliance9,Hi-Fi,2015-06,0.6406,0.7464999999999999,2.1947,2.1947
