event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_Germany_Variable,energy_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable_Base
Television_Site_2014-03-09_01,Television Site,Appliance1,Non-shiftable,2014-03-09 19:05:00,2014-03-09 21:10:00,125.0,26656.26,False,Appliance6,Appliance6 (Television Site),2014-03,0.0533,0.1765,0.06,0.1765
Television_Site_2014-03-13_01,Television Site,Appliance1,Non-shiftable,2014-03-13 18:16:00,2014-03-13 19:14:00,58.0,7962.26,False,Appliance6,Appliance6 (Television Site),2014-03,0.0313,0.0979,0.0333,0.0979
Television_Site_2014-03-14_01,Television Site,Appliance1,Non-shiftable,2014-03-14 18:52:00,2014-03-14 22:15:00,203.0,34791.73,False,Appliance6,Appliance6 (Television Site),2014-03,0.0654,0.2246,0.0764,0.2246
Television_Site_2014-03-17_01,Television Site,Appliance1,Non-shiftable,2014-03-17 20:19:00,2014-03-17 22:49:00,150.0,19465.34,False,Appliance6,Appliance6 (Television Site),2014-03,0.0381,0.1362,0.0463,0.1362
Television_Site_2014-03-23_01,Television Site,Appliance1,Non-shiftable,2014-03-23 07:41:00,2014-03-23 07:50:00,9.0,1781.37,False,Appliance6,Appliance6 (Television Site),2014-03,0.0066,0.0252,0.0086,0.0252
Television_Site_2014-03-23_02,Television Site,Appliance1,Non-shiftable,2014-03-23 18:49:00,2014-03-23 22:31:00,222.0,43555.21,False,Appliance6,Appliance6 (Television Site),2014-03,0.0879,0.2982,0.1014,0.2982
Television_Site_2014-03-24_01,Television Site,Appliance1,Non-shiftable,2014-03-24 18:59:00,2014-03-24 22:41:00,222.0,40925.2,False,Appliance6,Appliance6 (Television Site),2014-03,0.0785,0.2682,0.0912,0.2682
Television_Site_2014-03-25_01,Television Site,Appliance1,Non-shiftable,2014-03-25 18:35:00,2014-03-25 22:43:00,248.0,43517.96,False,Appliance6,Appliance6 (Television Site),2014-03,0.1156,0.3952,0.1344,0.3952
Television_Site_2014-03-29_01,Television Site,Appliance1,Non-shiftable,2014-03-29 08:21:00,2014-03-29 10:11:00,110.0,16252.84,False,Appliance6,Appliance6 (Television Site),2014-03,0.077,0.2567,0.0873,0.2567
Television_Site_2014-03-29_02,Television Site,Appliance1,Non-shiftable,2014-03-29 19:25:00,2014-03-29 22:30:00,185.0,41118.91,False,Appliance6,Appliance6 (Television Site),2014-03,0.0721,0.2503,0.0851,0.2503
