month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-11,105.46600000000001,123.8806,364.3523,364.3523
2013-12,20.0143,24.2569,71.3423,71.3423
2014-01,11.686,14.3135,42.0981,42.0981
2014-03,15.8914,19.3865,57.0184,57.0184
2014-04,45.1599,52.989799999999995,155.85399999999998,155.85399999999998
2014-05,17.3713,21.4022,62.945100000000004,62.945100000000004
2014-06,18.9891,23.8027,70.0044,70.0044
2014-07,16.1388,19.5897,57.6165,57.6165
2014-08,45.3153,53.2252,156.5378,156.5378
2014-09,17.8196,21.796,64.108,64.108
2014-10,16.7673,20.263,59.5888,59.5888
2014-11,18.7105,22.8534,67.2136,67.2136
2014-12,19.8441,24.8131,72.973,72.973
2015-01,20.2268,24.5385,72.1741,72.1741
2015-02,34.0432,40.9563,120.454,120.454
2015-03,17.871,22.4622,66.0643,66.0643
2015-04,15.6749,19.3715,56.9761,56.9761
2015-05,6.4895,7.7738,22.8656,22.8656
