event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_Economy_7,energy_Economy_7,cost_Economy_10,energy_Economy_10,cost_Standard,energy_Standard
Fridge_2014-06-20_01,Fridge,Appliance1,Base,2014-06-20 13:18:00,2014-06-20 13:32:00,14.0,216.8,False,Appliance1,Appliance1 (Fridge),2014-06,0.0011,0.0036,0.0005,0.0036,0.0011,0.0036
Fridge_2014-08-13_01,Fridge,Appliance1,Base,2014-08-13 21:52:00,2014-08-13 21:58:00,6.0,307.2,False,Appliance1,Appliance1 (Fridge),2014-08,0.0015,0.0051,0.0008,0.0051,0.0015,0.0051
Fridge_2014-10-07_01,Fridge,Appliance1,Base,2014-10-07 16:33:00,2014-10-07 17:31:00,58.0,32824.47,False,Appliance1,Appliance1 (Fridge),2014-10,0.1641,0.5471,0.1641,0.5471,0.1641,0.5471
Fridge_2014-10-07_02,Fridge,Appliance1,Base,2014-10-07 17:58:00,2014-10-07 18:20:00,22.0,868.93,False,Appliance1,Appliance1 (Fridge),2014-10,0.0043,0.0145,0.0043,0.0145,0.0043,0.0145
Fridge_2014-10-07_03,Fridge,Appliance1,Base,2014-10-07 18:53:00,2014-10-07 19:12:00,19.0,712.48,False,Appliance1,Appliance1 (Fridge),2014-10,0.0036,0.0119,0.0036,0.0119,0.0036,0.0119
Fridge_2014-10-07_04,Fridge,Appliance1,Base,2014-10-07 19:49:00,2014-10-07 20:08:00,19.0,703.41,False,Appliance1,Appliance1 (Fridge),2014-10,0.0035,0.0117,0.0028,0.0117,0.0035,0.0117
Fridge_2014-10-07_05,Fridge,Appliance1,Base,2014-10-07 20:47:00,2014-10-07 21:06:00,19.0,694.07,False,Appliance1,Appliance1 (Fridge),2014-10,0.0035,0.0116,0.0017,0.0116,0.0035,0.0116
Fridge_2014-10-07_06,Fridge,Appliance1,Base,2014-10-07 21:47:00,2014-10-07 22:06:00,19.0,695.38,False,Appliance1,Appliance1 (Fridge),2014-10,0.0035,0.0116,0.0023,0.0116,0.0035,0.0116
Fridge_2014-10-07_07,Fridge,Appliance1,Base,2014-10-07 22:48:00,2014-10-07 23:08:00,20.0,760.38,False,Appliance1,Appliance1 (Fridge),2014-10,0.0038,0.0127,0.0038,0.0127,0.0038,0.0127
Fridge_2014-10-07_08,Fridge,Appliance1,Base,2014-10-07 23:50:00,2014-10-08 00:10:00,20.0,703.95,False,Appliance1,Appliance1 (Fridge),2014-10,0.0035,0.0117,0.0035,0.0117,0.0035,0.0117
Fridge_2014-10-08_01,Fridge,Appliance1,Base,2014-10-08 00:54:00,2014-10-08 01:14:00,20.0,705.29,False,Appliance1,Appliance1 (Fridge),2014-10,0.0018,0.0118,0.0023,0.0118,0.0035,0.0118
Fridge_2014-10-08_02,Fridge,Appliance1,Base,2014-10-08 01:58:00,2014-10-08 02:18:00,20.0,713.46,False,Appliance1,Appliance1 (Fridge),2014-10,0.0018,0.0119,0.0018,0.0119,0.0036,0.0119
Fridge_2014-10-08_03,Fridge,Appliance1,Base,2014-10-08 03:04:00,2014-10-08 03:24:00,20.0,731.7,False,Appliance1,Appliance1 (Fridge),2014-10,0.0018,0.0122,0.0018,0.0122,0.0037,0.0122
Fridge_2014-10-08_04,Fridge,Appliance1,Base,2014-10-08 04:11:00,2014-10-08 04:31:00,20.0,723.16,False,Appliance1,Appliance1 (Fridge),2014-10,0.0018,0.0121,0.0018,0.0121,0.0036,0.0121
Fridge_2014-10-08_05,Fridge,Appliance1,Base,2014-10-08 05:18:00,2014-10-08 05:38:00,20.0,734.59,False,Appliance1,Appliance1 (Fridge),2014-10,0.0018,0.0122,0.0018,0.0122,0.0037,0.0122
Fridge_2014-10-08_06,Fridge,Appliance1,Base,2014-10-08 06:26:00,2014-10-08 06:46:00,20.0,696.84,False,Appliance1,Appliance1 (Fridge),2014-10,0.0017,0.0116,0.0035,0.0116,0.0035,0.0116
Fridge_2014-10-08_07,Fridge,Appliance1,Base,2014-10-08 07:34:00,2014-10-08 07:55:00,21.0,730.88,False,Appliance1,Appliance1 (Fridge),2014-10,0.0037,0.0122,0.0037,0.0122,0.0037,0.0122
Fridge_2014-10-08_08,Fridge,Appliance1,Base,2014-10-08 08:44:00,2014-10-08 09:04:00,20.0,717.25,False,Appliance1,Appliance1 (Fridge),2014-10,0.0036,0.012,0.0036,0.012,0.0036,0.012
Fridge_2014-10-08_09,Fridge,Appliance1,Base,2014-10-08 09:53:00,2014-10-08 10:14:00,21.0,722.95,False,Appliance1,Appliance1 (Fridge),2014-10,0.0036,0.012,0.0036,0.012,0.0036,0.012
