label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),21.7392,19.6994,24.8234,82.7456,82.7456,82.7456
Appliance2 (Freezer),146.9528,134.2239,169.3007,564.3257,564.3257,564.3257
Appliance3 (Fridge-Freezer),166.6024,153.1533,192.2766,640.8926,640.8926,640.8926
Appliance4 (Washer Dryer),3.6126,2.8561,3.6275,12.0934,12.0934,12.0934
Appliance5 (Washing Machine),13.9836,13.6658,14.1779,47.2576,47.2576,47.2576
Appliance6 (Dishwasher),66.4425,54.8812,66.8989,222.9956,222.9956,222.9956
Appliance7 (Desktop Computer),69.2913,63.5115,77.8318,259.4395,259.4395,259.4395
Appliance8 (Television Site),112.9056,95.5571,122.2383,407.4613,407.4613,407.4613
Appliance9 (Microwave),6.5752,6.5279,6.5823,21.9446,21.9446,21.9446
Total,608.1052,544.0762,677.7574,2259.1558999999997,2259.1558999999997,2259.1558999999997
