appliance_id,appliance_name,month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1,Fridge,2014-03,2.1370999999999998,1.9866,2.462,8.2069,8.2069,8.2069
Appliance1,Fridge,2014-04,5.4352,5.1872,6.4033,21.3426,21.3426,21.3426
Appliance1,Fridge,2014-05,4.7557,4.3991,5.5247,18.4183,18.4183,18.4183
Appliance1,Fridge,2014-06,7.5468,7.0668,8.6818,28.9372,28.9372,28.9372
Appliance1,Fridge,2014-07,9.5349,8.9148,10.9625,36.5424,36.5424,36.5424
Appliance1,Fridge,2014-08,7.3426,6.9478,8.5215,28.404,28.404,28.404
Appliance1,Fridge,2014-09,7.3142,6.8877,8.4212,28.0731,28.0731,28.0731
Appliance1,Fridge,2014-10,6.6982,6.2205,7.667,25.557199999999998,25.557199999999998,25.557199999999998
Appliance1,Fridge,2014-11,5.8984,5.4097,6.7292,22.4312,22.4312,22.4312
Appliance1,Fridge,2014-12,5.8673,5.3284,6.6223,22.0668,22.0668,22.0668
Appliance1,Fridge,2015-01,6.3524,5.8047,7.1683,23.8967,23.8967,23.8967
Appliance1,Fridge,2015-02,11.3301,10.474,13.1357,43.789,43.789,43.789
Appliance1,Fridge,2015-03,3.4785,3.207,3.9587,13.1916,13.1916,13.1916
Appliance1,Fridge,2015-04,4.9849,4.6412,5.7101,19.033,19.033,19.033
Appliance1,Fridge,2015-05,4.5311,4.2344,5.177,17.2567,17.2567,17.2567
Appliance1,Fridge,2015-06,3.3008,3.0555,3.794,12.6471,12.6471,12.6471
Appliance2,Freezer,2014-03,3.4833,3.3593,4.1405,13.8036,13.8036,13.8036
Appliance2,Freezer,2014-04,9.715,9.1723,11.225999999999999,37.4216,37.4216,37.4216
Appliance2,Freezer,2014-05,10.046,9.3204,11.4674,38.2231,38.2231,38.2231
Appliance2,Freezer,2014-06,10.9441,9.9224,12.434,41.4444,41.4444,41.4444
Appliance2,Freezer,2014-07,12.1254,10.8135,13.869299999999999,46.2312,46.2312,46.2312
Appliance2,Freezer,2014-08,11.2659,10.5292,12.9682,43.2279,43.2279,43.2279
Appliance2,Freezer,2014-09,10.8317,9.9544,12.3293,41.0977,41.0977,41.0977
