month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-11,61.293,55.0224,66.4326,221.4439,221.4439,221.4439
2013-12,52.5803,45.8013,53.0755,176.9269,176.9269,176.9269
2014-01,33.5574,28.7481,33.9438,113.1559,113.1559,113.1559
2014-03,23.5309,20.475,23.9793,79.9356,79.9356,79.9356
2014-04,51.1336,48.0081,57.042899999999996,190.1526,190.1526,190.1526
2014-05,29.4941,28.5476,31.7763,105.9308,105.9308,105.9308
2014-06,53.1153,49.8917,59.2835,197.6196,197.6196,197.6196
2014-07,15.8477,15.2325,17.2452,57.4856,57.4856,57.4856
2014-08,23.5259,21.457,25.038899999999998,83.467,83.467,83.467
2014-09,57.9481,53.722899999999996,64.0529,213.5108,213.5108,213.5108
2014-10,33.2677,28.2419,33.8526,112.8457,112.8457,112.8457
2014-11,41.4796,35.1835,41.9001,139.6703,139.6703,139.6703
2014-12,65.3255,57.844,68.5867,228.6251,228.6251,228.6251
2015-01,47.3225,40.9128,47.7605,159.2038,159.2038,159.2038
2015-02,34.9133,30.1401,35.3344,117.786,117.786,117.786
2015-03,39.43,35.1215,40.9323,136.4466,136.4466,136.4466
2015-04,44.9745,38.8699,48.157900000000005,160.5276,160.5276,160.5276
2015-05,24.6163,21.5975,25.5069,85.0281,85.0281,85.0281
2015-06,20.2344,18.2856,21.2612,70.8748,70.8748,70.8748
2015-07,5.3503,4.9188,5.7452,19.152,19.152,19.152
