event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential,month
Washing_Machine_2014-01-18_01,Washing Machine,Appliance3,Shiftable,2014-01-18 08:26:00,2014-01-18 10:56:00,150.0,29392.85,False,"{""0"": 150, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-18_02,Washing Machine,Appliance3,Shiftable,2014-01-18 11:56:00,2014-01-18 13:03:00,67.0,24129.26,False,"{""0"": 67, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-18_03,Washing Machine,Appliance3,Shiftable,2014-01-18 14:01:00,2014-01-18 15:13:00,72.0,28477.97,False,"{""0"": 72, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-19_01,Washing Machine,Appliance3,Shiftable,2014-01-19 08:59:00,2014-01-19 10:08:00,69.0,25232.85,False,"{""0"": 69, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-19_02,Washing Machine,Appliance3,Shiftable,2014-01-19 10:15:00,2014-01-19 11:23:00,68.0,31642.65,False,"{""0"": 68, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-19_03,Washing Machine,Appliance3,Shiftable,2014-01-19 11:53:00,2014-01-19 13:04:00,71.0,27498.04,False,"{""0"": 71, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-20_01,Washing Machine,Appliance3,Shiftable,2014-01-20 16:58:00,2014-01-20 18:07:00,69.0,30430.69,True,"{""0"": 2, ""1"": 0, ""2"": 67}",2,0,2,1.0,1
Washing_Machine_2014-01-21_01,Washing Machine,Appliance3,Shiftable,2014-01-21 08:43:00,2014-01-21 09:42:00,59.0,185.88,False,"{""0"": 59, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-21_02,Washing Machine,Appliance3,Shiftable,2014-01-21 16:00:00,2014-01-21 16:10:00,10.0,302.22,False,"{""0"": 10, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washing_Machine_2014-01-23_01,Washing Machine,Appliance3,Shiftable,2014-01-23 17:29:00,2014-01-23 18:06:00,37.0,15497.2,True,"{""0"": 0, ""1"": 0, ""2"": 37}",2,2,2,1.0,1
Washing_Machine_2014-03-06_01,Washing Machine,Appliance3,Shiftable,2014-03-06 16:36:00,2014-03-06 17:48:00,72.0,25394.86,True,"{""0"": 24, ""1"": 0, ""2"": 48}",2,0,2,1.0,3
Washing_Machine_2014-03-06_02,Washing Machine,Appliance3,Shiftable,2014-03-06 18:23:00,2014-03-06 18:42:00,19.0,2396.78,True,"{""0"": 0, ""1"": 0, ""2"": 19}",2,2,2,1.0,3
Washing_Machine_2014-03-06_03,Washing Machine,Appliance3,Shiftable,2014-03-06 19:12:00,2014-03-06 20:25:00,73.0,27210.05,True,"{""0"": 0, ""1"": 25, ""2"": 48}",2,2,1,1.0,3
Washing_Machine_2014-03-07_01,Washing Machine,Appliance3,Shiftable,2014-03-07 07:15:00,2014-03-07 08:26:00,71.0,28220.5,False,"{""0"": 71, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-08_01,Washing Machine,Appliance3,Shiftable,2014-03-08 09:25:00,2014-03-08 10:33:00,68.0,25497.52,False,"{""0"": 68, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-08_02,Washing Machine,Appliance3,Shiftable,2014-03-08 11:16:00,2014-03-08 12:25:00,69.0,25975.38,False,"{""0"": 69, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-08_03,Washing Machine,Appliance3,Shiftable,2014-03-08 13:27:00,2014-03-08 14:35:00,68.0,32723.4,False,"{""0"": 68, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-08_04,Washing Machine,Appliance3,Shiftable,2014-03-08 14:56:00,2014-03-08 16:02:00,66.0,24322.14,False,"{""0"": 66, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-09_01,Washing Machine,Appliance3,Shiftable,2014-03-09 08:08:00,2014-03-09 09:21:00,73.0,29079.32,False,"{""0"": 73, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-09_02,Washing Machine,Appliance3,Shiftable,2014-03-09 09:22:00,2014-03-09 10:29:00,67.0,35185.41,False,"{""0"": 67, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-09_03,Washing Machine,Appliance3,Shiftable,2014-03-09 11:27:00,2014-03-09 12:39:00,72.0,40674.62,False,"{""0"": 72, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-09_04,Washing Machine,Appliance3,Shiftable,2014-03-09 15:12:00,2014-03-09 15:52:00,40.0,10102.59,False,"{""0"": 40, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-15_01,Washing Machine,Appliance3,Shiftable,2014-03-15 08:51:00,2014-03-15 10:00:00,69.0,31513.09,False,"{""0"": 69, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-15_02,Washing Machine,Appliance3,Shiftable,2014-03-15 10:44:00,2014-03-15 11:53:00,69.0,24210.1,False,"{""0"": 69, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-15_03,Washing Machine,Appliance3,Shiftable,2014-03-15 14:30:00,2014-03-15 15:37:00,67.0,39012.88,False,"{""0"": 67, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-15_04,Washing Machine,Appliance3,Shiftable,2014-03-15 19:34:00,2014-03-15 20:44:00,70.0,36654.59,True,"{""0"": 0, ""1"": 44, ""2"": 26}",1,2,1,0.5,3
Washing_Machine_2014-03-16_03,Washing Machine,Appliance3,Shiftable,2014-03-16 09:21:00,2014-03-16 09:58:00,37.0,8803.87,False,"{""0"": 37, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-16_04,Washing Machine,Appliance3,Shiftable,2014-03-16 10:03:00,2014-03-16 16:38:00,395.0,54117.25,False,"{""0"": 395, ""1"": 0, ""2"": 0}",0,0,0,0.0,3
Washing_Machine_2014-03-16_05,Washing Machine,Appliance3,Shiftable,2014-03-16 17:05:00,2014-03-16 17:22:00,17.0,2686.23,True,"{""0"": 0, ""1"": 0, ""2"": 17}",2,2,2,1.0,3
