event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential,month
Tumble_Dryer_2013-09-26_01,Tumble Dryer,Appliance4,Shiftable,2013-09-26 13:08:00,2013-09-26 14:02:00,54.0,3951.64,False,"{""0"": 52, ""1"": 2, ""2"": 0}",0,0,1,0.0,9
Tumble_Dryer_2013-09-27_01,Tumble Dryer,Appliance4,Shiftable,2013-09-27 10:18:00,2013-09-27 10:39:00,21.0,8930.8,False,"{""0"": 21, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2013-09-27_02,Tumble Dryer,Appliance4,Shiftable,2013-09-27 13:26:00,2013-09-27 14:05:00,39.0,4492.85,True,"{""0"": 34, ""1"": 5, ""2"": 0}",0,0,1,0.0,9
Tumble_Dryer_2013-09-28_01,Tumble Dryer,Appliance4,Shiftable,2013-09-28 08:15:00,2013-09-28 08:39:00,24.0,22535.31,False,"{""0"": 24, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2013-09-28_02,Tumble Dryer,Appliance4,Shiftable,2013-09-28 09:00:00,2013-09-28 09:05:00,5.0,9312.65,False,"{""0"": 5, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2013-09-28_04,Tumble Dryer,Appliance4,Shiftable,2013-09-28 13:33:00,2013-09-28 15:39:00,126.0,9469.49,True,"{""0"": 27, ""1"": 99, ""2"": 0}",1,0,1,0.5,9
Tumble_Dryer_2013-09-29_01,Tumble Dryer,Appliance4,Shiftable,2013-09-29 06:40:00,2013-09-29 07:19:00,39.0,59212.79,False,"{""0"": 39, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2013-09-29_02,Tumble Dryer,Appliance4,Shiftable,2013-09-29 07:52:00,2013-09-29 08:35:00,43.0,57498.77,False,"{""0"": 43, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2013-09-30_01,Tumble Dryer,Appliance4,Shiftable,2013-09-30 06:09:00,2013-09-30 06:43:00,34.0,50540.11,False,"{""0"": 34, ""1"": 0, ""2"": 0}",0,0,0,0.0,9
Tumble_Dryer_2014-06-02_01,Tumble Dryer,Appliance4,Shiftable,2014-06-02 15:20:00,2014-06-02 15:49:00,29.0,51773.95,True,"{""0"": 0, ""1"": 29, ""2"": 0}",1,1,1,0.5,6
Tumble_Dryer_2014-06-02_02,Tumble Dryer,Appliance4,Shiftable,2014-06-02 16:20:00,2014-06-02 16:57:00,37.0,46315.43,True,"{""0"": 0, ""1"": 37, ""2"": 0}",1,1,1,0.5,6
Tumble_Dryer_2014-06-02_03,Tumble Dryer,Appliance4,Shiftable,2014-06-02 20:00:00,2014-06-02 20:39:00,39.0,47784.08,True,"{""0"": 0, ""1"": 39, ""2"": 0}",1,1,1,0.5,6
Tumble_Dryer_2014-06-03_01,Tumble Dryer,Appliance4,Shiftable,2014-06-03 10:31:00,2014-06-03 11:09:00,38.0,49017.52,False,"{""0"": 38, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-04_01,Tumble Dryer,Appliance4,Shiftable,2014-06-04 07:39:00,2014-06-04 07:59:00,20.0,2180.65,False,"{""0"": 20, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-04_02,Tumble Dryer,Appliance4,Shiftable,2014-06-04 08:58:00,2014-06-04 09:27:00,29.0,2578.68,False,"{""0"": 29, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-04_03,Tumble Dryer,Appliance4,Shiftable,2014-06-04 16:54:00,2014-06-04 17:38:00,44.0,9548.19,True,"{""0"": 0, ""1"": 6, ""2"": 38}",2,1,2,1.0,6
Tumble_Dryer_2014-06-05_01,Tumble Dryer,Appliance4,Shiftable,2014-06-05 07:42:00,2014-06-05 08:01:00,19.0,340.33,False,"{""0"": 19, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-05_02,Tumble Dryer,Appliance4,Shiftable,2014-06-05 17:54:00,2014-06-05 18:20:00,26.0,3167.66,True,"{""0"": 0, ""1"": 0, ""2"": 26}",2,2,2,1.0,6
Tumble_Dryer_2014-06-07_01,Tumble Dryer,Appliance4,Shiftable,2014-06-07 09:24:00,2014-06-07 10:17:00,53.0,13991.17,False,"{""0"": 53, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-07_02,Tumble Dryer,Appliance4,Shiftable,2014-06-07 10:29:00,2014-06-07 11:00:00,31.0,6387.93,False,"{""0"": 31, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-07_03,Tumble Dryer,Appliance4,Shiftable,2014-06-07 11:03:00,2014-06-07 11:25:00,22.0,8180.67,False,"{""0"": 22, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-07_04,Tumble Dryer,Appliance4,Shiftable,2014-06-07 13:11:00,2014-06-07 14:02:00,51.0,85750.46,False,"{""0"": 49, ""1"": 2, ""2"": 0}",0,0,1,0.0,6
Tumble_Dryer_2014-06-07_05,Tumble Dryer,Appliance4,Shiftable,2014-06-07 16:42:00,2014-06-07 17:38:00,56.0,17.0,True,"{""0"": 0, ""1"": 18, ""2"": 38}",2,1,2,1.0,6
Tumble_Dryer_2014-06-07_06,Tumble Dryer,Appliance4,Shiftable,2014-06-07 20:43:00,2014-06-07 21:23:00,40.0,54288.74,True,"{""0"": 0, ""1"": 40, ""2"": 0}",1,1,1,0.5,6
Tumble_Dryer_2014-06-15_01,Tumble Dryer,Appliance4,Shiftable,2014-06-15 12:49:00,2014-06-15 13:48:00,59.0,69708.73,False,"{""0"": 59, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-17_01,Tumble Dryer,Appliance4,Shiftable,2014-06-17 21:01:00,2014-06-17 21:45:00,44.0,52051.99,True,"{""0"": 0, ""1"": 44, ""2"": 0}",1,1,1,0.5,6
Tumble_Dryer_2014-06-18_01,Tumble Dryer,Appliance4,Shiftable,2014-06-18 06:09:00,2014-06-18 06:39:00,30.0,30504.72,False,"{""0"": 30, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-18_02,Tumble Dryer,Appliance4,Shiftable,2014-06-18 07:12:00,2014-06-18 07:34:00,22.0,43921.63,False,"{""0"": 22, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-18_03,Tumble Dryer,Appliance4,Shiftable,2014-06-18 09:17:00,2014-06-18 09:59:00,42.0,66785.41,False,"{""0"": 42, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-18_04,Tumble Dryer,Appliance4,Shiftable,2014-06-18 10:19:00,2014-06-18 11:03:00,44.0,71235.79,False,"{""0"": 44, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-18_05,Tumble Dryer,Appliance4,Shiftable,2014-06-18 11:06:00,2014-06-18 11:55:00,49.0,67508.7,False,"{""0"": 49, ""1"": 0, ""2"": 0}",0,0,0,0.0,6
Tumble_Dryer_2014-06-18_06,Tumble Dryer,Appliance4,Shiftable,2014-06-18 21:16:00,2014-06-18 22:15:00,59.0,78889.93,True,"{""0"": 0, ""1"": 59, ""2"": 0}",1,1,1,0.5,6
