event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential,month
Washer_Dryer_2013-12-24_01,Washer Dryer,Appliance2,Shiftable,2013-12-24 12:22:00,2013-12-24 13:35:00,73.0,70084.45,False,"{""0"": 73, ""1"": 0, ""2"": 0}",0,0,0,0.0,12
Washer_Dryer_2013-12-28_01,Washer Dryer,Appliance2,Shiftable,2013-12-28 11:26:00,2013-12-28 13:22:00,116.0,85129.36,False,"{""0"": 116, ""1"": 0, ""2"": 0}",0,0,0,0.0,12
Washer_Dryer_2013-12-29_04,Washer Dryer,Appliance2,Shiftable,2013-12-29 11:19:00,2013-12-29 13:06:00,107.0,94185.28,False,"{""0"": 107, ""1"": 0, ""2"": 0}",0,0,0,0.0,12
Washer_Dryer_2013-12-29_05,Washer Dryer,Appliance2,Shiftable,2013-12-29 13:08:00,2013-12-29 16:37:00,209.0,256078.46,False,"{""0"": 209, ""1"": 0, ""2"": 0}",0,0,0,0.0,12
Washer_Dryer_2013-12-29_07,Washer Dryer,Appliance2,Shiftable,2013-12-29 16:46:00,2013-12-29 18:27:00,101.0,102387.3,True,"{""0"": 14, ""1"": 0, ""2"": 87}",2,0,2,1.0,12
Washer_Dryer_2013-12-30_01,Washer Dryer,Appliance2,Shiftable,2013-12-30 18:37:00,2013-12-30 20:28:00,111.0,116083.67,True,"{""0"": 0, ""1"": 28, ""2"": 83}",2,2,1,1.0,12
Washer_Dryer_2013-12-30_02,Washer Dryer,Appliance2,Shiftable,2013-12-30 20:54:00,2013-12-30 22:10:00,76.0,84955.0,True,"{""0"": 10, ""1"": 66, ""2"": 0}",1,1,0,0.5,12
Washer_Dryer_2013-12-31_01,Washer Dryer,Appliance2,Shiftable,2013-12-31 11:19:00,2013-12-31 13:10:00,111.0,131713.91,False,"{""0"": 111, ""1"": 0, ""2"": 0}",0,0,0,0.0,12
Washer_Dryer_2014-01-02_01,Washer Dryer,Appliance2,Shiftable,2014-01-02 01:33:00,2014-01-02 01:47:00,14.0,58.0,False,"{""0"": 14, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-02_03,Washer Dryer,Appliance2,Shiftable,2014-01-02 02:45:00,2014-01-02 02:52:00,7.0,178.58,False,"{""0"": 7, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-02_04,Washer Dryer,Appliance2,Shiftable,2014-01-02 03:10:00,2014-01-02 03:24:00,14.0,83.24,False,"{""0"": 14, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-02_06,Washer Dryer,Appliance2,Shiftable,2014-01-02 03:45:00,2014-01-02 05:43:00,118.0,1861.25,False,"{""0"": 118, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-03_01,Washer Dryer,Appliance2,Shiftable,2014-01-03 08:07:00,2014-01-03 09:59:00,112.0,82072.02,False,"{""0"": 112, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-04_02,Washer Dryer,Appliance2,Shiftable,2014-01-04 08:51:00,2014-01-04 09:42:00,51.0,10529.26,False,"{""0"": 51, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-04_03,Washer Dryer,Appliance2,Shiftable,2014-01-04 09:50:00,2014-01-04 10:42:00,52.0,11239.77,False,"{""0"": 52, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-04_04,Washer Dryer,Appliance2,Shiftable,2014-01-04 18:04:00,2014-01-04 18:35:00,31.0,6675.36,True,"{""0"": 0, ""1"": 0, ""2"": 31}",2,2,2,1.0,1
Washer_Dryer_2014-01-05_02,Washer Dryer,Appliance2,Shiftable,2014-01-05 08:08:00,2014-01-05 08:54:00,46.0,10144.87,False,"{""0"": 46, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-06_01,Washer Dryer,Appliance2,Shiftable,2014-01-06 07:58:00,2014-01-06 08:59:00,61.0,13300.08,False,"{""0"": 61, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-06_03,Washer Dryer,Appliance2,Shiftable,2014-01-06 22:54:00,2014-01-06 23:46:00,52.0,76469.89,False,"{""0"": 52, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-07_01,Washer Dryer,Appliance2,Shiftable,2014-01-07 06:41:00,2014-01-07 07:21:00,40.0,49086.14,False,"{""0"": 40, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-09_03,Washer Dryer,Appliance2,Shiftable,2014-01-09 02:59:00,2014-01-09 03:05:00,6.0,48.0,False,"{""0"": 6, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-10_02,Washer Dryer,Appliance2,Shiftable,2014-01-10 14:33:00,2014-01-10 14:49:00,16.0,28.0,False,"{""0"": 16, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-10_05,Washer Dryer,Appliance2,Shiftable,2014-01-10 22:54:00,2014-01-10 23:05:00,11.0,84.0,False,"{""0"": 11, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-11_01,Washer Dryer,Appliance2,Shiftable,2014-01-11 10:57:00,2014-01-11 12:48:00,111.0,126076.86,False,"{""0"": 111, ""1"": 0, ""2"": 0}",0,0,0,0.0,1
Washer_Dryer_2014-01-11_03,Washer Dryer,Appliance2,Shiftable,2014-01-11 17:09:00,2014-01-11 19:20:00,131.0,120739.32,True,"{""0"": 0, ""1"": 0, ""2"": 131}",2,2,2,1.0,1
