event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Washing_Machine_2014-06-08_01,Washing Machine,Appliance3,Shiftable,2014-06-08 11:31:00,2014-06-08 13:28:00,117.0,9975.31,True,"{""0"": 0, ""1"": 117}",1,1,1,1.0
Washing_Machine_2014-06-09_02,Washing Machine,Appliance3,Shiftable,2014-06-09 11:05:00,2014-06-09 12:57:00,112.0,32671.13,True,"{""0"": 0, ""1"": 112}",1,1,1,1.0
Washing_Machine_2014-06-18_01,Washing Machine,Appliance3,Shiftable,2014-06-18 10:38:00,2014-06-18 11:11:00,33.0,4751.03,True,"{""0"": 0, ""1"": 33}",1,1,1,1.0
Washing_Machine_2014-06-18_03,Washing Machine,Appliance3,Shiftable,2014-06-18 11:14:00,2014-06-18 11:19:00,5.0,23.26,True,"{""0"": 0, ""1"": 5}",1,1,1,1.0
Washing_Machine_2014-06-18_05,Washing Machine,Appliance3,Shiftable,2014-06-18 11:22:00,2014-06-18 11:30:00,8.0,47.4,True,"{""0"": 0, ""1"": 8}",1,1,1,1.0
Washing_Machine_2014-06-20_01,Washing Machine,Appliance3,Shiftable,2014-06-20 09:12:00,2014-06-20 10:57:00,105.0,7752.5,True,"{""0"": 0, ""1"": 105}",1,1,1,1.0
Washing_Machine_2014-06-20_02,Washing Machine,Appliance3,Shiftable,2014-06-20 14:03:00,2014-06-20 14:18:00,15.0,1390.84,True,"{""0"": 0, ""1"": 15}",1,1,1,1.0
Washing_Machine_2014-06-22_01,Washing Machine,Appliance3,Shiftable,2014-06-22 08:57:00,2014-06-22 10:19:00,82.0,6885.35,True,"{""0"": 0, ""1"": 82}",1,1,1,1.0
Washing_Machine_2014-06-22_52,Washing Machine,Appliance3,Shiftable,2014-06-22 14:07:00,2014-06-22 14:24:00,17.0,1801.5,True,"{""0"": 0, ""1"": 17}",1,1,1,1.0
Washing_Machine_2014-06-22_54,Washing Machine,Appliance3,Shiftable,2014-06-22 14:28:00,2014-06-22 14:33:00,5.0,30.1,True,"{""0"": 0, ""1"": 5}",1,1,1,1.0
Washing_Machine_2014-07-02_01,Washing Machine,Appliance3,Shiftable,2014-07-02 16:22:00,2014-07-02 17:58:00,96.0,7739.61,True,"{""0"": 0, ""1"": 96}",1,1,1,1.0
Washing_Machine_2014-07-03_01,Washing Machine,Appliance3,Shiftable,2014-07-03 09:39:00,2014-07-03 09:54:00,15.0,2025.47,True,"{""0"": 0, ""1"": 15}",1,1,1,1.0
Washing_Machine_2014-07-03_03,Washing Machine,Appliance3,Shiftable,2014-07-03 10:00:00,2014-07-03 10:10:00,10.0,78.7,True,"{""0"": 0, ""1"": 10}",1,1,1,1.0
Washing_Machine_2014-07-03_04,Washing Machine,Appliance3,Shiftable,2014-07-03 10:11:00,2014-07-03 10:17:00,6.0,33.1,True,"{""0"": 0, ""1"": 6}",1,1,1,1.0
Washing_Machine_2014-07-03_07,Washing Machine,Appliance3,Shiftable,2014-07-03 10:44:00,2014-07-03 11:49:00,65.0,2474.74,True,"{""0"": 0, ""1"": 65}",1,1,1,1.0
Washing_Machine_2014-07-03_13,Washing Machine,Appliance3,Shiftable,2014-07-03 12:12:00,2014-07-03 12:31:00,19.0,885.38,True,"{""0"": 0, ""1"": 19}",1,1,1,1.0
Washing_Machine_2014-07-03_21,Washing Machine,Appliance3,Shiftable,2014-07-03 13:25:00,2014-07-03 14:23:00,58.0,1426.86,True,"{""0"": 0, ""1"": 58}",1,1,1,1.0
Washing_Machine_2014-07-03_22,Washing Machine,Appliance3,Shiftable,2014-07-03 17:57:00,2014-07-03 18:09:00,12.0,1073.87,True,"{""0"": 0, ""1"": 12}",1,1,1,1.0
Washing_Machine_2014-07-07_01,Washing Machine,Appliance3,Shiftable,2014-07-07 14:14:00,2014-07-07 14:27:00,13.0,657.31,True,"{""0"": 0, ""1"": 13}",1,1,1,1.0
Washing_Machine_2014-07-07_02,Washing Machine,Appliance3,Shiftable,2014-07-07 14:28:00,2014-07-07 14:42:00,14.0,941.66,True,"{""0"": 0, ""1"": 14}",1,1,1,1.0
Washing_Machine_2014-07-08_01,Washing Machine,Appliance3,Shiftable,2014-07-08 04:58:00,2014-07-08 07:00:00,122.0,42867.6,False,"{""0"": 122, ""1"": 0}",0,0,0,0.0
Washing_Machine_2014-07-08_02,Washing Machine,Appliance3,Shiftable,2014-07-08 07:02:00,2014-07-08 07:10:00,8.0,47.36,False,"{""0"": 8, ""1"": 0}",0,0,0,0.0
