event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Washing_Machine_2014-01-18_01,Washing Machine,Appliance3,Shiftable,2014-01-18 08:26:00,2014-01-18 10:56:00,150.0,29392.85,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 150, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-01-18_02,Washing Machine,Appliance3,Shiftable,2014-01-18 11:56:00,2014-01-18 13:03:00,67.0,24129.26,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 4, ""4"": 0, ""5"": 63}",5,3,5,1.0
Washing_Machine_2014-01-18_03,Washing Machine,Appliance3,Shiftable,2014-01-18 14:01:00,2014-01-18 15:13:00,72.0,28477.97,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 72}",5,5,5,1.0
Washing_Machine_2014-01-19_01,Washing Machine,Appliance3,Shiftable,2014-01-19 08:59:00,2014-01-19 10:08:00,69.0,25232.85,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 69, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-01-19_02,Washing Machine,Appliance3,Shiftable,2014-01-19 10:15:00,2014-01-19 11:23:00,68.0,31642.65,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 68, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-01-19_03,Washing Machine,Appliance3,Shiftable,2014-01-19 11:53:00,2014-01-19 13:04:00,71.0,27498.04,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 7, ""4"": 0, ""5"": 64}",5,3,5,1.0
Washing_Machine_2014-01-20_01,Washing Machine,Appliance3,Shiftable,2014-01-20 16:58:00,2014-01-20 18:07:00,69.0,30430.69,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 69, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-01-21_01,Washing Machine,Appliance3,Shiftable,2014-01-21 08:43:00,2014-01-21 09:42:00,59.0,185.88,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 59, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-01-21_02,Washing Machine,Appliance3,Shiftable,2014-01-21 16:00:00,2014-01-21 16:10:00,10.0,302.22,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 10, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-01-23_01,Washing Machine,Appliance3,Shiftable,2014-01-23 17:29:00,2014-01-23 18:06:00,37.0,15497.2,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 37, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-03-06_01,Washing Machine,Appliance3,Shiftable,2014-03-06 16:36:00,2014-03-06 17:48:00,72.0,25394.86,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 72, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-03-06_02,Washing Machine,Appliance3,Shiftable,2014-03-06 18:23:00,2014-03-06 18:42:00,19.0,2396.78,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 19, ""5"": 0}",4,4,4,0.8
