event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Dryer_2013-11-03_01,Dryer,Appliance3,Shiftable,2013-11-03 00:33:00,2013-11-03 01:08:00,35.0,35650.79,False,"{""0"": 35, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",0,0,0,0.0
Dryer_2013-11-03_02,Dryer,Appliance3,Shiftable,2013-11-03 01:09:00,2013-11-03 01:14:00,5.0,180.83,False,"{""0"": 5, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",0,0,0,0.0
Dryer_2013-11-03_03,Dryer,Appliance3,Shiftable,2013-11-03 01:15:00,2013-11-03 01:38:00,23.0,548.88,False,"{""0"": 23, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",0,0,0,0.0
Dryer_2013-11-04_02,Dryer,Appliance3,Shiftable,2013-11-04 12:08:00,2013-11-04 12:13:00,5.0,133.08,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 5}",5,5,5,1.0
Dryer_2013-11-05_01,Dryer,Appliance3,Shiftable,2013-11-05 06:38:00,2013-11-05 06:43:00,5.0,32.0,True,"{""0"": 0, ""1"": 5, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-11_01,Dryer,Appliance3,Shiftable,2013-11-11 06:04:00,2013-11-11 06:29:00,25.0,31408.95,True,"{""0"": 0, ""1"": 25, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-11_02,Dryer,Appliance3,Shiftable,2013-11-11 06:30:00,2013-11-11 06:36:00,6.0,99.64,True,"{""0"": 0, ""1"": 6, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-11_05,Dryer,Appliance3,Shiftable,2013-11-11 06:41:00,2013-11-11 06:59:00,18.0,638.25,True,"{""0"": 0, ""1"": 18, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-16_01,Dryer,Appliance3,Shiftable,2013-11-16 06:27:00,2013-11-16 07:13:00,46.0,63836.24,True,"{""0"": 0, ""1"": 46, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-16_04,Dryer,Appliance3,Shiftable,2013-11-16 07:18:00,2013-11-16 07:24:00,6.0,330.84,True,"{""0"": 0, ""1"": 6, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-16_08,Dryer,Appliance3,Shiftable,2013-11-16 07:34:00,2013-11-16 07:40:00,6.0,169.98,True,"{""0"": 0, ""1"": 6, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-23_01,Dryer,Appliance3,Shiftable,2013-11-23 05:00:00,2013-11-23 05:28:00,28.0,29888.36,True,"{""0"": 0, ""1"": 28, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-23_08,Dryer,Appliance3,Shiftable,2013-11-23 05:45:00,2013-11-23 05:50:00,5.0,245.05,True,"{""0"": 0, ""1"": 5, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-27_01,Dryer,Appliance3,Shiftable,2013-11-27 09:38:00,2013-11-27 09:43:00,5.0,640.0,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 0, ""5"": 0}",3,3,3,0.6
Dryer_2013-11-30_01,Dryer,Appliance3,Shiftable,2013-11-30 06:56:00,2013-11-30 07:24:00,28.0,24997.07,True,"{""0"": 0, ""1"": 28, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
Dryer_2013-11-30_02,Dryer,Appliance3,Shiftable,2013-11-30 07:25:00,2013-11-30 07:34:00,9.0,279.97,True,"{""0"": 0, ""1"": 9, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",1,1,1,0.2
