event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable
Fridge_2013-11-01_01,Fridge,Appliance1,Base,2013-11-01 22:20:00,2013-11-01 22:36:00,16.0,1161.7,False
Fridge_2013-11-01_02,Fridge,Appliance1,Base,2013-11-01 23:31:00,2013-11-01 23:46:00,15.0,1111.29,False
Fridge_2013-11-02_01,Fridge,Appliance1,Base,2013-11-02 00:41:00,2013-11-02 00:55:00,14.0,1023.94,False
Fridge_2013-11-02_02,Fridge,Appliance1,Base,2013-11-02 01:51:00,2013-11-02 02:05:00,14.0,1004.4,False
Fridge_2013-11-02_03,Fridge,Appliance1,Base,2013-11-02 03:03:00,2013-11-02 03:17:00,14.0,991.59,False
Fridge_2013-11-02_04,Fridge,Appliance1,Base,2013-11-02 04:18:00,2013-11-02 04:32:00,14.0,1016.67,False
Fridge_2013-11-02_05,Fridge,Appliance1,Base,2013-11-02 05:36:00,2013-11-02 05:50:00,14.0,997.51,False
Fridge_2013-11-02_06,Fridge,Appliance1,Base,2013-11-02 06:52:00,2013-11-02 07:07:00,15.0,1043.16,False
Fridge_2013-11-02_07,Fridge,Appliance1,Base,2013-11-02 07:23:00,2013-11-02 07:29:00,6.0,60.71,False
Fridge_2013-11-02_08,Fridge,Appliance1,Base,2013-11-02 07:54:00,2013-11-02 08:10:00,16.0,1129.8,False
Fridge_2013-11-02_09,Fridge,Appliance1,Base,2013-11-02 09:07:00,2013-11-02 09:22:00,15.0,1107.59,False
Fridge_2013-11-02_10,Fridge,Appliance1,Base,2013-11-02 10:21:00,2013-11-02 10:37:00,16.0,1044.5,False
Fridge_2013-11-02_11,Fridge,Appliance1,Base,2013-11-02 11:32:00,2013-11-02 11:46:00,14.0,1064.18,False
Fridge_2013-11-02_12,Fridge,Appliance1,Base,2013-11-02 12:46:00,2013-11-02 13:01:00,15.0,1049.94,False
Fridge_2013-11-02_13,Fridge,Appliance1,Base,2013-11-02 14:02:00,2013-11-02 14:17:00,15.0,1092.19,False
Fridge_2013-11-02_14,Fridge,Appliance1,Base,2013-11-02 15:16:00,2013-11-02 15:31:00,15.0,1064.5,False
Fridge_2013-11-02_15,Fridge,Appliance1,Base,2013-11-02 16:34:00,2013-11-02 16:49:00,15.0,1103.98,False
Fridge_2013-11-02_16,Fridge,Appliance1,Base,2013-11-02 17:47:00,2013-11-02 18:03:00,16.0,1198.6,False
Fridge_2013-11-02_17,Fridge,Appliance1,Base,2013-11-02 18:57:00,2013-11-02 19:12:00,15.0,1048.9,False
Fridge_2013-11-02_18,Fridge,Appliance1,Base,2013-11-02 20:00:00,2013-11-02 20:14:00,14.0,1048.8,False
Fridge_2013-11-02_19,Fridge,Appliance1,Base,2013-11-02 21:07:00,2013-11-02 21:22:00,15.0,1080.42,False
Fridge_2013-11-02_20,Fridge,Appliance1,Base,2013-11-02 22:17:00,2013-11-02 22:33:00,16.0,1107.94,False
Fridge_2013-11-02_21,Fridge,Appliance1,Base,2013-11-02 23:34:00,2013-11-02 23:48:00,14.0,1025.3,False
Fridge_2013-11-03_01,Fridge,Appliance1,Base,2013-11-03 00:53:00,2013-11-03 01:07:00,14.0,1033.44,False
