event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Washer_Dryer_2014-03-16_03,Washer Dryer,2014-03-16 11:29:00,2014-03-16 11:36:00,2014-03-16 20:00:00,2014-03-16 20:07:00,3,2,1.0,511,SUCCESS,,
Washer_Dryer_2014-03-19_01,Washer Dryer,2014-03-19 14:06:00,2014-03-19 14:12:00,2014-03-19 20:00:00,2014-03-19 20:06:00,5,2,3.0,354,SUCCESS,,
Washer_Dryer_2014-03-20_03,Washer Dryer,2014-03-20 12:08:00,2014-03-20 12:13:00,2014-03-20 20:00:00,2014-03-20 20:05:00,5,2,3.0,472,SUCCESS,,
Washer_Dryer_2014-04-21_01,Washer Dryer,2014-04-21 13:27:00,2014-04-21 13:43:00,2014-04-21 20:00:00,2014-04-21 20:16:00,5,2,3.0,393,SUCCESS,,
Washer_Dryer_2014-05-06_01,Washer Dryer,2014-05-06 07:19:00,2014-05-06 07:34:00,2014-05-06 07:24:00,2014-05-06 07:39:00,1,1,0.1,5,SUCCESS,,
Washer_Dryer_2014-05-22_02,Washer Dryer,2014-05-22 16:33:00,2014-05-22 16:40:00,2014-05-22 20:00:00,2014-05-22 20:07:00,4,2,2.0,207,SUCCESS,,
Washer_Dryer_2014-06-05_01,Washer Dryer,2014-06-05 15:07:00,2014-06-05 15:29:00,2014-06-05 20:00:00,2014-06-05 20:22:00,5,2,3.0,293,SUCCESS,,
Washer_Dryer_2014-06-06_01,Washer Dryer,2014-06-06 15:55:00,2014-06-06 16:07:00,2014-06-06 20:00:00,2014-06-06 20:12:00,4,2,2.0,245,SUCCESS,,
Washer_Dryer_2014-06-09_01,Washer Dryer,2014-06-09 10:06:00,2014-06-09 10:22:00,2014-06-09 20:00:00,2014-06-09 20:16:00,3,2,1.0,594,SUCCESS,,
Washer_Dryer_2014-06-11_01,Washer Dryer,2014-06-11 10:31:00,2014-06-11 10:43:00,2014-06-11 20:00:00,2014-06-11 20:12:00,3,2,1.0,569,SUCCESS,,
Washer_Dryer_2014-06-12_01,Washer Dryer,2014-06-12 10:20:00,2014-06-12 11:32:00,2014-06-12 20:00:00,2014-06-12 21:12:00,3,2,1.0,580,SUCCESS,,
Washer_Dryer_2014-07-18_01,Washer Dryer,2014-07-18 12:10:00,2014-07-18 12:20:00,2014-07-18 20:00:00,2014-07-18 20:10:00,5,2,3.0,470,SUCCESS,,
Washer_Dryer_2014-08-20_01,Washer Dryer,2014-08-20 12:51:00,2014-08-20 13:36:00,2014-08-20 20:00:00,2014-08-20 20:45:00,5,2,3.0,429,SUCCESS,,
Washer_Dryer_2014-08-22_01,Washer Dryer,2014-08-22 15:14:00,2014-08-22 15:25:00,2014-08-22 20:00:00,2014-08-22 20:11:00,5,2,3.0,286,SUCCESS,,
Washer_Dryer_2014-09-01_01,Washer Dryer,2014-09-01 14:56:00,2014-09-01 15:08:00,2014-09-01 20:00:00,2014-09-01 20:12:00,5,2,3.0,304,SUCCESS,,
Washer_Dryer_2014-09-22_02,Washer Dryer,2014-09-22 09:37:00,2014-09-22 10:28:00,2014-09-22 20:00:00,2014-09-22 20:51:00,3,2,1.0,623,SUCCESS,,
Washer_Dryer_2014-10-25_01,Washer Dryer,2014-10-25 15:26:00,2014-10-25 16:10:00,2014-10-25 20:00:00,2014-10-25 20:44:00,5,2,3.0,274,SUCCESS,,
Washer_Dryer_2014-12-14_01,Washer Dryer,2014-12-14 09:08:00,2014-12-14 09:51:00,2014-12-14 20:00:00,2014-12-14 20:43:00,3,2,1.0,652,SUCCESS,,
Washer_Dryer_2014-12-26_01,Washer Dryer,2014-12-26 19:57:00,2014-12-26 20:42:00,2014-12-26 20:02:00,2014-12-26 20:47:00,2,2,0.1,5,SUCCESS,,
Washer_Dryer_2014-12-30_01,Washer Dryer,2014-12-30 04:31:00,2014-12-30 05:10:00,2014-12-30 06:30:00,2014-12-30 07:09:00,1,1,0.1,119,SUCCESS,,
Washer_Dryer_2014-12-31_01,Washer Dryer,2014-12-31 15:50:00,2014-12-31 15:56:00,2014-12-31 20:00:00,2014-12-31 20:06:00,5,2,3.0,250,SUCCESS,,
Washer_Dryer_2015-02-23_01,Washer Dryer,2015-02-23 15:32:00,2015-02-23 15:37:00,2015-02-23 20:00:00,2015-02-23 20:05:00,5,2,3.0,268,SUCCESS,,
Washer_Dryer_2015-02-24_02,Washer Dryer,2015-02-24 20:28:00,2015-02-24 21:01:00,2015-02-24 20:33:00,2015-02-24 21:06:00,2,2,0.1,5,SUCCESS,,
Washer_Dryer_2015-02-25_01,Washer Dryer,2015-02-25 08:20:00,2015-02-25 08:46:00,2015-02-25 20:00:00,2015-02-25 20:26:00,3,2,1.0,700,SUCCESS,,
Washer_Dryer_2015-03-10_01,Washer Dryer,2015-03-10 13:39:00,2015-03-10 13:49:00,2015-03-10 20:00:00,2015-03-10 20:10:00,5,2,3.0,381,SUCCESS,,
Washer_Dryer_2015-03-16_01,Washer Dryer,2015-03-16 14:51:00,2015-03-16 15:13:00,2015-03-16 20:00:00,2015-03-16 20:22:00,5,2,3.0,309,SUCCESS,,
Washer_Dryer_2015-03-30_01,Washer Dryer,2015-03-30 14:20:00,2015-03-30 14:56:00,2015-03-30 20:00:00,2015-03-30 20:36:00,5,2,3.0,340,SUCCESS,,
Washer_Dryer_2015-04-07_01,Washer Dryer,2015-04-07 13:17:00,2015-04-07 13:34:00,2015-04-07 20:00:00,2015-04-07 20:17:00,5,2,3.0,403,SUCCESS,,
Washer_Dryer_2015-05-07_01,Washer Dryer,2015-05-07 11:37:00,2015-05-07 12:01:00,2015-05-07 20:00:00,2015-05-07 20:24:00,3,2,1.0,503,SUCCESS,,
Washing_Machine_2014-03-08_01,Washing Machine,2014-03-08 09:24:00,2014-03-08 10:17:00,2014-03-09 06:00:00,2014-03-09 06:53:00,3,1,2.0,1236,SUCCESS,,
Washing_Machine_2014-03-10_01,Washing Machine,2014-03-10 09:17:00,2014-03-10 10:06:00,2014-03-11 06:00:00,2014-03-11 06:49:00,3,1,2.0,1243,SUCCESS,,
Washing_Machine_2014-03-12_01,Washing Machine,2014-03-12 09:49:00,2014-03-12 10:59:00,2014-03-13 06:00:00,2014-03-13 07:10:00,3,1,2.0,1211,SUCCESS,,
Washing_Machine_2014-03-17_01,Washing Machine,2014-03-17 09:35:00,2014-03-17 10:22:00,2014-03-18 06:00:00,2014-03-18 06:47:00,3,1,2.0,1225,SUCCESS,,
Washing_Machine_2014-03-17_02,Washing Machine,2014-03-17 10:27:00,2014-03-17 11:27:00,2014-03-18 06:47:00,2014-03-18 07:47:00,3,1,2.0,1173,SUCCESS,,
Washing_Machine_2014-03-19_01,Washing Machine,2014-03-19 09:31:00,2014-03-19 10:41:00,2014-03-20 06:00:00,2014-03-20 07:10:00,3,1,2.0,1229,SUCCESS,,
Washing_Machine_2014-03-20_01,Washing Machine,2014-03-20 09:52:00,2014-03-20 10:11:00,2014-03-21 06:00:00,2014-03-21 06:19:00,3,1,2.0,1208,SUCCESS,,
Washing_Machine_2014-03-27_01,Washing Machine,2014-03-27 09:19:00,2014-03-27 10:07:00,2014-03-28 06:00:00,2014-03-28 06:48:00,3,1,2.0,1241,SUCCESS,,
Washing_Machine_2014-03-28_01,Washing Machine,2014-03-28 12:03:00,2014-03-28 13:15:00,2014-03-29 06:00:00,2014-03-29 07:12:00,5,1,4.0,1077,SUCCESS,,
Washing_Machine_2014-03-30_02,Washing Machine,2014-03-30 19:19:00,2014-03-30 19:26:00,2014-03-31 06:00:00,2014-03-31 06:07:00,4,1,3.0,641,SUCCESS,,
Washing_Machine_2014-03-31_02,Washing Machine,2014-03-31 08:41:00,2014-03-31 09:32:00,2014-04-01 06:00:00,2014-04-01 06:51:00,3,1,2.0,1279,SUCCESS,,
Washing_Machine_2014-03-31_03,Washing Machine,2014-03-31 09:37:00,2014-03-31 09:44:00,2014-04-01 06:51:00,2014-04-01 06:58:00,3,1,2.0,1223,SUCCESS,,
Washing_Machine_2014-04-02_01,Washing Machine,2014-04-02 13:12:00,2014-04-02 14:18:00,2014-04-03 06:00:00,2014-04-03 07:06:00,5,1,4.0,1008,SUCCESS,,
Washing_Machine_2014-04-04_01,Washing Machine,2014-04-04 18:34:00,2014-04-04 18:55:00,2014-04-05 06:00:00,2014-04-05 06:21:00,4,1,3.0,686,SUCCESS,,
Washing_Machine_2014-04-07_01,Washing Machine,2014-04-07 08:29:00,2014-04-07 09:24:00,2014-04-08 06:00:00,2014-04-08 06:55:00,3,1,2.0,1291,SUCCESS,,
Washing_Machine_2014-04-09_01,Washing Machine,2014-04-09 07:32:00,2014-04-09 08:41:00,2014-04-09 07:37:00,2014-04-09 08:46:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-04-14_01,Washing Machine,2014-04-14 08:14:00,2014-04-14 08:32:00,2014-04-15 06:00:00,2014-04-15 06:18:00,3,1,2.0,1306,SUCCESS,,
Washing_Machine_2014-04-14_02,Washing Machine,2014-04-14 08:47:00,2014-04-14 09:34:00,2014-04-15 06:18:00,2014-04-15 07:05:00,3,1,2.0,1273,SUCCESS,,
Washing_Machine_2014-04-15_01,Washing Machine,2014-04-15 07:34:00,2014-04-15 08:45:00,2014-04-15 07:39:00,2014-04-15 08:50:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-04-21_01,Washing Machine,2014-04-21 08:24:00,2014-04-21 09:14:00,2014-04-22 06:00:00,2014-04-22 06:50:00,3,1,2.0,1296,SUCCESS,,
Washing_Machine_2014-04-21_02,Washing Machine,2014-04-21 09:46:00,2014-04-21 10:45:00,2014-04-22 06:50:00,2014-04-22 07:49:00,3,1,2.0,1214,SUCCESS,,
Washing_Machine_2014-04-23_01,Washing Machine,2014-04-23 07:38:00,2014-04-23 08:48:00,2014-04-23 07:43:00,2014-04-23 08:53:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-04-28_01,Washing Machine,2014-04-28 08:15:00,2014-04-28 09:04:00,2014-04-29 06:00:00,2014-04-29 06:49:00,3,1,2.0,1305,SUCCESS,,
Washing_Machine_2014-04-29_01,Washing Machine,2014-04-29 09:18:00,2014-04-29 09:33:00,2014-04-30 06:00:00,2014-04-30 06:15:00,3,1,2.0,1242,SUCCESS,,
Washing_Machine_2014-04-30_01,Washing Machine,2014-04-30 07:49:00,2014-04-30 08:08:00,2014-04-30 07:54:00,2014-04-30 08:13:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2014-04-30_02,Washing Machine,2014-04-30 08:21:00,2014-04-30 09:27:00,2014-05-01 06:00:00,2014-05-01 07:06:00,3,1,2.0,1299,SUCCESS,,
Washing_Machine_2014-05-05_01,Washing Machine,2014-05-05 07:44:00,2014-05-05 08:48:00,2014-05-05 07:49:00,2014-05-05 08:53:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-05-05_02,Washing Machine,2014-05-05 09:20:00,2014-05-05 10:08:00,2014-05-06 06:00:00,2014-05-06 06:48:00,3,1,2.0,1240,SUCCESS,,
Washing_Machine_2014-05-18_03,Washing Machine,2014-05-18 23:51:00,2014-05-19 00:49:00,2014-05-19 06:00:00,2014-05-19 06:58:00,2,1,1.0,369,SUCCESS,,
Washing_Machine_2014-05-23_01,Washing Machine,2014-05-23 09:04:00,2014-05-23 09:50:00,2014-05-24 06:00:00,2014-05-24 06:46:00,3,1,2.0,1256,SUCCESS,,
Washing_Machine_2014-05-23_02,Washing Machine,2014-05-23 11:23:00,2014-05-23 12:29:00,2014-05-24 06:46:00,2014-05-24 07:52:00,3,1,2.0,1117,SUCCESS,,
Washing_Machine_2014-05-24_01,Washing Machine,2014-05-24 16:47:00,2014-05-24 16:52:00,2014-05-25 06:00:00,2014-05-25 06:05:00,4,1,3.0,793,SUCCESS,,
Washing_Machine_2014-05-25_01,Washing Machine,2014-05-25 11:04:00,2014-05-25 11:51:00,2014-05-26 06:00:00,2014-05-26 06:47:00,3,1,2.0,1136,SUCCESS,,
Washing_Machine_2014-05-26_01,Washing Machine,2014-05-26 10:12:00,2014-05-26 10:31:00,2014-05-27 06:00:00,2014-05-27 06:19:00,3,1,2.0,1188,SUCCESS,,
Washing_Machine_2014-05-28_01,Washing Machine,2014-05-28 07:30:00,2014-05-28 08:38:00,2014-05-28 07:35:00,2014-05-28 08:43:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-05-30_01,Washing Machine,2014-05-30 06:56:00,2014-05-30 07:51:00,2014-05-30 07:01:00,2014-05-30 07:56:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2014-06-02_01,Washing Machine,2014-06-02 08:22:00,2014-06-02 09:13:00,2014-06-03 06:00:00,2014-06-03 06:51:00,3,1,2.0,1298,SUCCESS,,
Washing_Machine_2014-06-05_01,Washing Machine,2014-06-05 08:37:00,2014-06-05 09:45:00,2014-06-06 06:00:00,2014-06-06 07:08:00,3,1,2.0,1283,SUCCESS,,
Washing_Machine_2014-06-05_02,Washing Machine,2014-06-05 12:22:00,2014-06-05 14:02:00,2014-06-05 20:00:00,2014-06-05 21:40:00,5,1,4.0,1058,SUCCESS,,
Washing_Machine_2014-06-06_01,Washing Machine,2014-06-06 14:09:00,2014-06-06 14:30:00,2014-06-07 06:00:00,2014-06-07 06:21:00,5,1,4.0,951,SUCCESS,,
Washing_Machine_2014-06-09_01,Washing Machine,2014-06-09 08:17:00,2014-06-09 09:05:00,2014-06-10 06:00:00,2014-06-10 06:48:00,3,1,2.0,1303,SUCCESS,,
Washing_Machine_2014-06-09_02,Washing Machine,2014-06-09 09:14:00,2014-06-09 09:44:00,2014-06-10 06:48:00,2014-06-10 07:18:00,3,1,2.0,1246,SUCCESS,,
Washing_Machine_2014-06-11_01,Washing Machine,2014-06-11 08:17:00,2014-06-11 09:26:00,2014-06-12 06:00:00,2014-06-12 07:09:00,3,1,2.0,1303,SUCCESS,,
Washing_Machine_2014-06-11_02,Washing Machine,2014-06-11 10:06:00,2014-06-11 10:30:00,2014-06-12 07:09:00,2014-06-12 07:33:00,3,1,2.0,1194,SUCCESS,,
Washing_Machine_2014-06-12_01,Washing Machine,2014-06-12 08:49:00,2014-06-12 09:10:00,2014-06-13 06:00:00,2014-06-13 06:21:00,3,1,2.0,1271,SUCCESS,,
Washing_Machine_2014-06-13_01,Washing Machine,2014-06-13 15:58:00,2014-06-13 16:22:00,2014-06-14 06:00:00,2014-06-14 06:24:00,4,1,3.0,842,SUCCESS,,
Washing_Machine_2014-06-14_01,Washing Machine,2014-06-14 08:26:00,2014-06-14 09:11:00,2014-06-15 06:00:00,2014-06-15 06:45:00,3,1,2.0,1294,SUCCESS,,
Washing_Machine_2014-06-20_01,Washing Machine,2014-06-20 11:14:00,2014-06-20 12:00:00,2014-06-21 06:00:00,2014-06-21 06:46:00,3,1,2.0,1126,SUCCESS,,
Washing_Machine_2014-06-20_02,Washing Machine,2014-06-20 12:16:00,2014-06-20 13:20:00,2014-06-21 06:46:00,2014-06-21 07:50:00,5,1,4.0,1064,SUCCESS,,
Washing_Machine_2014-06-22_01,Washing Machine,2014-06-22 06:50:00,2014-06-22 07:40:00,2014-06-22 06:55:00,2014-06-22 07:45:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2014-06-25_01,Washing Machine,2014-06-25 08:37:00,2014-06-25 09:20:00,2014-06-26 06:00:00,2014-06-26 06:43:00,3,1,2.0,1283,SUCCESS,,
Washing_Machine_2014-06-30_01,Washing Machine,2014-06-30 09:00:00,2014-06-30 09:50:00,2014-07-01 06:00:00,2014-07-01 06:50:00,3,1,2.0,1260,SUCCESS,,
Washing_Machine_2014-07-02_01,Washing Machine,2014-07-02 08:20:00,2014-07-02 09:08:00,2014-07-03 06:00:00,2014-07-03 06:48:00,3,1,2.0,1300,SUCCESS,,
Washing_Machine_2014-07-06_01,Washing Machine,2014-07-06 06:47:00,2014-07-06 07:46:00,2014-07-06 06:52:00,2014-07-06 07:51:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2014-07-09_01,Washing Machine,2014-07-09 07:42:00,2014-07-09 08:48:00,2014-07-09 07:47:00,2014-07-09 08:53:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-07-14_01,Washing Machine,2014-07-14 08:05:00,2014-07-14 08:50:00,2014-07-15 06:00:00,2014-07-15 06:45:00,3,1,2.0,1315,SUCCESS,,
Washing_Machine_2014-07-16_01,Washing Machine,2014-07-16 07:29:00,2014-07-16 08:35:00,2014-07-16 07:34:00,2014-07-16 08:40:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-07-18_01,Washing Machine,2014-07-18 08:55:00,2014-07-18 09:39:00,2014-07-19 06:00:00,2014-07-19 06:44:00,3,1,2.0,1265,SUCCESS,,
Washing_Machine_2014-08-20_01,Washing Machine,2014-08-20 08:57:00,2014-08-20 09:54:00,2014-08-21 06:00:00,2014-08-21 06:57:00,3,1,2.0,1263,SUCCESS,,
Washing_Machine_2014-08-20_02,Washing Machine,2014-08-20 10:00:00,2014-08-20 10:50:00,2014-08-21 06:57:00,2014-08-21 07:47:00,3,1,2.0,1200,SUCCESS,,
Washing_Machine_2014-08-21_01,Washing Machine,2014-08-21 14:43:00,2014-08-21 15:25:00,2014-08-22 06:00:00,2014-08-22 06:42:00,5,1,4.0,917,SUCCESS,,
Washing_Machine_2014-08-22_01,Washing Machine,2014-08-22 08:38:00,2014-08-22 09:33:00,2014-08-23 06:00:00,2014-08-23 06:55:00,3,1,2.0,1282,SUCCESS,,
Washing_Machine_2014-08-22_02,Washing Machine,2014-08-22 09:40:00,2014-08-22 10:32:00,2014-08-23 06:55:00,2014-08-23 07:47:00,3,1,2.0,1220,SUCCESS,,
Washing_Machine_2014-08-23_01,Washing Machine,2014-08-23 08:34:00,2014-08-23 09:20:00,2014-08-24 06:00:00,2014-08-24 06:46:00,3,1,2.0,1286,SUCCESS,,
Washing_Machine_2014-08-25_01,Washing Machine,2014-08-25 08:30:00,2014-08-25 08:50:00,2014-08-26 06:00:00,2014-08-26 06:20:00,3,1,2.0,1290,SUCCESS,,
Washing_Machine_2014-08-25_02,Washing Machine,2014-08-25 08:53:00,2014-08-25 09:46:00,2014-08-26 06:20:00,2014-08-26 07:13:00,3,1,2.0,1267,SUCCESS,,
Washing_Machine_2014-08-26_01,Washing Machine,2014-08-26 07:40:00,2014-08-26 08:34:00,2014-08-26 07:45:00,2014-08-26 08:39:00,3,1,2.0,5,SUCCESS,,
Washing_Machine_2014-08-27_01,Washing Machine,2014-08-27 08:19:00,2014-08-27 09:28:00,2014-08-28 06:00:00,2014-08-28 07:09:00,3,1,2.0,1301,SUCCESS,,
Washing_Machine_2014-09-01_01,Washing Machine,2014-09-01 09:24:00,2014-09-01 10:09:00,2014-09-02 06:00:00,2014-09-02 06:45:00,3,1,2.0,1236,SUCCESS,,
Washing_Machine_2014-09-01_02,Washing Machine,2014-09-01 10:22:00,2014-09-01 11:20:00,2014-09-02 06:45:00,2014-09-02 07:43:00,3,1,2.0,1178,SUCCESS,,
Washing_Machine_2014-09-01_03,Washing Machine,2014-09-01 11:21:00,2014-09-01 11:43:00,2014-09-01 20:00:00,2014-09-01 20:22:00,3,1,2.0,1119,SUCCESS,,
Washing_Machine_2014-09-01_05,Washing Machine,2014-09-01 11:47:00,2014-09-01 12:00:00,2014-09-02 07:43:00,2014-09-02 07:56:00,3,1,2.0,1093,SUCCESS,,
Washing_Machine_2014-09-02_01,Washing Machine,2014-09-02 18:56:00,2014-09-02 20:03:00,2014-09-03 06:00:00,2014-09-03 07:07:00,4,1,3.0,664,SUCCESS,,
Washing_Machine_2014-09-10_01,Washing Machine,2014-09-10 08:23:00,2014-09-10 09:07:00,2014-09-11 06:00:00,2014-09-11 06:44:00,3,1,2.0,1297,SUCCESS,,
Washing_Machine_2014-09-10_02,Washing Machine,2014-09-10 11:32:00,2014-09-10 12:06:00,2014-09-11 06:44:00,2014-09-11 07:18:00,3,1,2.0,1108,SUCCESS,,
Washing_Machine_2014-09-16_01,Washing Machine,2014-09-16 09:26:00,2014-09-16 10:10:00,2014-09-17 06:00:00,2014-09-17 06:44:00,3,1,2.0,1234,SUCCESS,,
Washing_Machine_2014-09-22_01,Washing Machine,2014-09-22 08:31:00,2014-09-22 09:44:00,2014-09-23 06:00:00,2014-09-23 07:13:00,3,1,2.0,1289,SUCCESS,,
Washing_Machine_2014-09-28_01,Washing Machine,2014-09-28 11:57:00,2014-09-28 12:15:00,2014-09-29 06:00:00,2014-09-29 06:18:00,5,1,4.0,1083,SUCCESS,,
Washing_Machine_2014-09-29_01,Washing Machine,2014-09-29 08:53:00,2014-09-29 09:46:00,2014-09-30 06:00:00,2014-09-30 06:53:00,3,1,2.0,1267,SUCCESS,,
Washing_Machine_2014-09-29_02,Washing Machine,2014-09-29 09:50:00,2014-09-29 10:35:00,2014-09-30 06:53:00,2014-09-30 07:38:00,3,1,2.0,1210,SUCCESS,,
Washing_Machine_2014-10-06_01,Washing Machine,2014-10-06 10:24:00,2014-10-06 11:15:00,2014-10-07 06:00:00,2014-10-07 06:51:00,3,1,2.0,1176,SUCCESS,,
Washing_Machine_2014-10-06_02,Washing Machine,2014-10-06 11:21:00,2014-10-06 12:29:00,2014-10-07 06:51:00,2014-10-07 07:59:00,3,1,2.0,1119,SUCCESS,,
Washing_Machine_2014-10-14_01,Washing Machine,2014-10-14 09:46:00,2014-10-14 10:32:00,2014-10-15 06:00:00,2014-10-15 06:46:00,3,1,2.0,1214,SUCCESS,,
Washing_Machine_2014-10-15_01,Washing Machine,2014-10-15 10:07:00,2014-10-15 11:18:00,2014-10-16 06:00:00,2014-10-16 07:11:00,3,1,2.0,1193,SUCCESS,,
Washing_Machine_2014-10-18_01,Washing Machine,2014-10-18 10:54:00,2014-10-18 11:47:00,2014-10-19 06:00:00,2014-10-19 06:53:00,3,1,2.0,1146,SUCCESS,,
Washing_Machine_2014-10-20_01,Washing Machine,2014-10-20 10:29:00,2014-10-20 11:11:00,2014-10-21 06:00:00,2014-10-21 06:42:00,3,1,2.0,1171,SUCCESS,,
Washing_Machine_2014-10-22_01,Washing Machine,2014-10-22 09:39:00,2014-10-22 10:48:00,2014-10-23 06:00:00,2014-10-23 07:09:00,3,1,2.0,1221,SUCCESS,,
