event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Magimix_(Blender)_2013-11-21_14,Magimix (Blender),2013-11-21 17:36:00,2013-11-21 18:46:00,2013-11-21 20:00:00,2013-11-21 21:10:00,2,1,1.0,144,SUCCESS,,winter
Magimix_(Blender)_2013-11-22_10,Magimix (Blender),2013-11-22 20:08:00,2013-11-22 21:20:00,2013-11-22 20:13:00,2013-11-22 21:25:00,1,1,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-11-23_13,Magimix (Blender),2013-11-23 16:16:00,2013-11-23 17:22:00,2013-11-23 16:21:00,2013-11-23 17:27:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-11-24_14,Magimix (Blender),2013-11-24 19:44:00,2013-11-24 21:22:00,2013-11-24 20:00:00,2013-11-24 21:38:00,1,1,0.1,16,SUCCESS,,winter
Magimix_(Blender)_2013-11-27_12,Magimix (Blender),2013-11-27 13:25:00,2013-11-27 19:46:00,2013-11-27 13:30:00,2013-11-27 19:51:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-11-30_16,Magimix (Blender),2013-11-30 13:08:00,2013-11-30 20:00:00,2013-11-30 13:13:00,2013-11-30 20:05:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-03_10,Magimix (Blender),2013-12-03 12:30:00,2013-12-03 18:46:00,2013-12-03 12:35:00,2013-12-03 18:51:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-05_10,Magimix (Blender),2013-12-05 12:46:00,2013-12-05 17:41:00,2013-12-05 12:51:00,2013-12-05 17:46:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-06_09,Magimix (Blender),2013-12-06 18:12:00,2013-12-06 22:37:00,2013-12-06 18:17:00,2013-12-06 22:42:00,1,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-09_11,Magimix (Blender),2013-12-09 15:12:00,2013-12-09 22:04:00,2013-12-09 15:17:00,2013-12-09 22:09:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-12_01,Magimix (Blender),2013-12-12 12:01:00,2013-12-12 19:35:00,2013-12-12 12:06:00,2013-12-12 19:40:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-14_02,Magimix (Blender),2013-12-14 15:43:00,2013-12-14 22:48:00,2013-12-14 15:48:00,2013-12-14 22:53:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-15_01,Magimix (Blender),2013-12-15 10:23:00,2013-12-15 17:40:00,2013-12-15 10:28:00,2013-12-15 17:45:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-18_01,Magimix (Blender),2013-12-18 15:39:00,2013-12-18 22:22:00,2013-12-18 15:44:00,2013-12-18 22:27:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-19_01,Magimix (Blender),2013-12-19 12:45:00,2013-12-19 22:41:00,2013-12-19 12:50:00,2013-12-19 22:46:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-20_01,Magimix (Blender),2013-12-20 12:19:00,2013-12-20 22:04:00,2013-12-20 12:24:00,2013-12-20 22:09:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-22_01,Magimix (Blender),2013-12-22 11:30:00,2013-12-22 22:44:00,2013-12-22 11:35:00,2013-12-22 22:49:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-24_01,Magimix (Blender),2013-12-24 15:01:00,2013-12-24 22:35:00,2013-12-24 15:06:00,2013-12-24 22:40:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-25_01,Magimix (Blender),2013-12-25 10:44:00,2013-12-25 17:27:00,2013-12-25 10:49:00,2013-12-25 17:32:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2013-12-26_02,Magimix (Blender),2013-12-26 16:43:00,2013-12-26 22:07:00,2013-12-26 16:48:00,2013-12-26 22:12:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-01_01,Magimix (Blender),2014-01-01 21:43:00,2014-01-01 22:49:00,2014-01-01 21:48:00,2014-01-01 22:54:00,0,1,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-03_05,Magimix (Blender),2014-01-03 18:41:00,2014-01-03 19:24:00,2014-01-03 22:00:00,2014-01-03 22:43:00,2,0,2.0,199,SUCCESS,,winter
Magimix_(Blender)_2014-01-05_05,Magimix (Blender),2014-01-05 20:28:00,2014-01-05 21:13:00,2014-01-05 22:00:00,2014-01-05 22:45:00,1,0,1.0,92,SUCCESS,,winter
Magimix_(Blender)_2014-01-06_05,Magimix (Blender),2014-01-06 20:27:00,2014-01-06 21:13:00,2014-01-06 22:00:00,2014-01-06 22:46:00,1,0,1.0,93,SUCCESS,,winter
Magimix_(Blender)_2014-01-07_04,Magimix (Blender),2014-01-07 16:43:00,2014-01-07 20:10:00,2014-01-07 16:48:00,2014-01-07 20:15:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-08_02,Magimix (Blender),2014-01-08 17:23:00,2014-01-08 20:33:00,2014-01-08 17:28:00,2014-01-08 20:38:00,2,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-09_02,Magimix (Blender),2014-01-09 16:31:00,2014-01-09 21:44:00,2014-01-09 16:36:00,2014-01-09 21:49:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-12_02,Magimix (Blender),2014-01-12 15:52:00,2014-01-12 19:12:00,2014-01-12 15:57:00,2014-01-12 19:17:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-16_02,Magimix (Blender),2014-01-16 14:07:00,2014-01-16 18:12:00,2014-01-16 14:12:00,2014-01-16 18:17:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-17_02,Magimix (Blender),2014-01-17 18:44:00,2014-01-17 22:27:00,2014-01-17 18:49:00,2014-01-17 22:32:00,1,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-18_02,Magimix (Blender),2014-01-18 19:36:00,2014-01-18 22:54:00,2014-01-18 19:41:00,2014-01-18 22:59:00,1,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-23_02,Magimix (Blender),2014-01-23 14:13:00,2014-01-23 17:29:00,2014-01-23 14:18:00,2014-01-23 17:34:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-24_02,Magimix (Blender),2014-01-24 18:11:00,2014-01-24 21:57:00,2014-01-24 18:16:00,2014-01-24 22:02:00,1,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-29_02,Magimix (Blender),2014-01-29 13:03:00,2014-01-29 18:36:00,2014-01-29 13:08:00,2014-01-29 18:41:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-01-30_02,Magimix (Blender),2014-01-30 13:35:00,2014-01-30 17:07:00,2014-01-30 13:40:00,2014-01-30 17:12:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-01_02,Magimix (Blender),2014-02-01 18:07:00,2014-02-01 18:46:00,2014-02-01 22:00:00,2014-02-01 22:39:00,2,0,2.0,233,SUCCESS,,winter
Magimix_(Blender)_2014-02-03_02,Magimix (Blender),2014-02-03 19:47:00,2014-02-03 22:50:00,2014-02-03 19:52:00,2014-02-03 22:55:00,1,2,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-06_02,Magimix (Blender),2014-02-06 13:17:00,2014-02-06 19:39:00,2014-02-06 13:22:00,2014-02-06 19:44:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-09_02,Magimix (Blender),2014-02-09 14:36:00,2014-02-09 19:54:00,2014-02-09 14:41:00,2014-02-09 19:59:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-10_01,Magimix (Blender),2014-02-10 14:21:00,2014-02-10 17:12:00,2014-02-10 14:26:00,2014-02-10 17:17:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-11_01,Magimix (Blender),2014-02-11 15:24:00,2014-02-11 20:14:00,2014-02-11 15:29:00,2014-02-11 20:19:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-17_01,Magimix (Blender),2014-02-17 15:52:00,2014-02-17 18:41:00,2014-02-17 15:57:00,2014-02-17 18:46:00,2,0,2.0,5,SUCCESS,,winter
Magimix_(Blender)_2014-02-20_01,Magimix (Blender),2014-02-20 06:41:00,2014-02-20 21:15:00,2014-02-20 06:46:00,2014-02-20 21:20:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-01_03,Magimix (Blender),2014-04-01 16:58:00,2014-04-01 18:48:00,2014-04-01 20:00:00,2014-04-01 21:50:00,2,1,1.0,182,SUCCESS,,winter
Magimix_(Blender)_2014-04-02_03,Magimix (Blender),2014-04-02 15:55:00,2014-04-02 17:45:00,2014-04-02 16:00:00,2014-04-02 17:50:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-03_03,Magimix (Blender),2014-04-03 15:37:00,2014-04-03 17:19:00,2014-04-03 15:42:00,2014-04-03 17:24:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-04_02,Magimix (Blender),2014-04-04 16:01:00,2014-04-04 17:51:00,2014-04-04 16:06:00,2014-04-04 17:56:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-06_03,Magimix (Blender),2014-04-06 18:52:00,2014-04-06 20:34:00,2014-04-06 20:00:00,2014-04-06 21:42:00,2,1,1.0,68,SUCCESS,,winter
Magimix_(Blender)_2014-04-12_01,Magimix (Blender),2014-04-12 12:17:00,2014-04-12 22:36:00,2014-04-12 12:22:00,2014-04-12 22:41:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-13_01,Magimix (Blender),2014-04-13 13:24:00,2014-04-13 21:51:00,2014-04-13 13:29:00,2014-04-13 21:56:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-14_01,Magimix (Blender),2014-04-14 12:05:00,2014-04-14 20:30:00,2014-04-14 12:10:00,2014-04-14 20:35:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-04-15_01,Magimix (Blender),2014-04-15 11:12:00,2014-04-15 18:09:00,2014-04-15 11:17:00,2014-04-15 18:14:00,0,0,0.1,5,SUCCESS,,winter
Magimix_(Blender)_2014-05-13_02,Magimix (Blender),2014-05-13 16:29:00,2014-05-13 19:34:00,2014-05-13 16:34:00,2014-05-13 19:39:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-14_02,Magimix (Blender),2014-05-14 14:51:00,2014-05-14 17:50:00,2014-05-14 14:56:00,2014-05-14 17:55:00,0,1,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-16_02,Magimix (Blender),2014-05-16 14:47:00,2014-05-16 18:03:00,2014-05-16 14:52:00,2014-05-16 18:08:00,0,1,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-18_02,Magimix (Blender),2014-05-18 18:25:00,2014-05-18 22:05:00,2014-05-18 18:30:00,2014-05-18 22:10:00,1,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-19_02,Magimix (Blender),2014-05-19 16:22:00,2014-05-19 20:36:00,2014-05-19 16:27:00,2014-05-19 20:41:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-20_02,Magimix (Blender),2014-05-20 13:38:00,2014-05-20 18:01:00,2014-05-20 13:43:00,2014-05-20 18:06:00,0,0,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-22_02,Magimix (Blender),2014-05-22 15:58:00,2014-05-22 19:36:00,2014-05-22 16:03:00,2014-05-22 19:41:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-23_02,Magimix (Blender),2014-05-23 15:14:00,2014-05-23 18:34:00,2014-05-23 15:19:00,2014-05-23 18:39:00,0,1,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-26_02,Magimix (Blender),2014-05-26 16:40:00,2014-05-26 19:33:00,2014-05-26 16:45:00,2014-05-26 19:38:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-05-28_02,Magimix (Blender),2014-05-28 16:45:00,2014-05-28 18:50:00,2014-05-28 16:50:00,2014-05-28 18:55:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-01_02,Magimix (Blender),2014-06-01 18:52:00,2014-06-01 22:09:00,2014-06-01 18:57:00,2014-06-01 22:14:00,1,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-02_02,Magimix (Blender),2014-06-02 15:43:00,2014-06-02 18:58:00,2014-06-02 15:48:00,2014-06-02 19:03:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-03_04,Magimix (Blender),2014-06-03 12:09:00,2014-06-03 15:43:00,2014-06-03 12:14:00,2014-06-03 15:48:00,0,0,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-05_02,Magimix (Blender),2014-06-05 18:20:00,2014-06-05 21:43:00,2014-06-05 18:25:00,2014-06-05 21:48:00,1,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-06_02,Magimix (Blender),2014-06-06 16:59:00,2014-06-06 20:55:00,2014-06-06 17:04:00,2014-06-06 21:00:00,2,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-07_02,Magimix (Blender),2014-06-07 13:58:00,2014-06-07 18:36:00,2014-06-07 14:03:00,2014-06-07 18:41:00,1,1,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-08_02,Magimix (Blender),2014-06-08 11:46:00,2014-06-08 15:26:00,2014-06-08 11:51:00,2014-06-08 15:31:00,0,0,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-10_02,Magimix (Blender),2014-06-10 17:05:00,2014-06-10 21:30:00,2014-06-10 17:10:00,2014-06-10 21:35:00,2,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-11_02,Magimix (Blender),2014-06-11 17:24:00,2014-06-11 21:21:00,2014-06-11 17:29:00,2014-06-11 21:26:00,2,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-12_02,Magimix (Blender),2014-06-12 14:34:00,2014-06-12 18:55:00,2014-06-12 14:39:00,2014-06-12 19:00:00,1,1,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-13_02,Magimix (Blender),2014-06-13 11:07:00,2014-06-13 15:19:00,2014-06-13 11:12:00,2014-06-13 15:24:00,0,0,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-14_02,Magimix (Blender),2014-06-14 17:42:00,2014-06-14 21:29:00,2014-06-14 17:47:00,2014-06-14 21:34:00,2,2,0.1,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-15_02,Magimix (Blender),2014-06-15 16:48:00,2014-06-15 20:47:00,2014-06-15 16:53:00,2014-06-15 20:52:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2014-06-16_02,Magimix (Blender),2014-06-16 15:09:00,2014-06-16 19:26:00,2014-06-16 15:14:00,2014-06-16 19:31:00,2,1,1.0,5,SUCCESS,,summer
Magimix_(Blender)_2015-06-09_02,Magimix (Blender),2015-06-09 14:08:00,2015-06-09 14:16:00,2015-06-09 14:13:00,2015-06-09 14:21:00,1,1,0.1,5,SUCCESS,,summer
Washing_Machine_2013-11-21_03,Washing Machine,2013-11-21 19:40:00,2013-11-21 21:41:00,2013-11-22 06:00:00,2013-11-22 08:01:00,1,0,1.0,620,SUCCESS,,winter
Washing_Machine_2013-11-23_02,Washing Machine,2013-11-23 19:03:00,2013-11-23 21:13:00,2013-11-24 06:00:00,2013-11-24 08:10:00,1,0,1.0,657,SUCCESS,,winter
