event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Washing_Machine_(1)_2013-10-11_01,Washing Machine (1),2013-10-11 10:19:00,2013-10-13 12:44:00,2013-10-12 13:00:00,2013-10-14 15:25:00,1,0,1.0,1601,SUCCESS,,
Washing_Machine_(1)_2013-10-27_01,Washing Machine (1),2013-10-27 07:35:00,2013-10-27 08:41:00,2013-10-27 13:00:00,2013-10-27 14:06:00,1,0,1.0,325,SUCCESS,,
Washing_Machine_(1)_2013-11-04_01,Washing Machine (1),2013-11-04 10:06:00,2013-11-04 12:28:00,2013-11-04 13:00:00,2013-11-04 15:22:00,1,0,1.0,174,SUCCESS,,
Washing_Machine_(1)_2013-11-11_01,Washing Machine (1),2013-11-11 10:04:00,2013-11-11 11:05:00,2013-11-11 13:00:00,2013-11-11 14:01:00,1,0,1.0,176,SUCCESS,,
Washing_Machine_(1)_2013-11-18_01,Washing Machine (1),2013-11-18 09:27:00,2013-11-18 10:49:00,2013-11-18 13:00:00,2013-11-18 14:22:00,1,0,1.0,213,SUCCESS,,
Washing_Machine_(1)_2013-12-02_01,Washing Machine (1),2013-12-02 08:04:00,2013-12-02 09:16:00,2013-12-02 13:00:00,2013-12-02 14:12:00,1,0,1.0,296,SUCCESS,,
Washing_Machine_(1)_2013-12-09_01,Washing Machine (1),2013-12-09 10:53:00,2013-12-09 13:15:00,2013-12-09 13:00:00,2013-12-09 15:22:00,1,0,1.0,127,SUCCESS,,
Washing_Machine_(1)_2013-12-24_01,Washing Machine (1),2013-12-24 16:04:00,2013-12-24 17:09:00,2013-12-24 20:00:00,2013-12-24 21:05:00,1,0,1.0,236,SUCCESS,,
Washing_Machine_(1)_2014-01-02_01,Washing Machine (1),2014-01-02 10:46:00,2014-01-02 12:53:00,2014-01-02 13:00:00,2014-01-02 15:07:00,1,0,1.0,134,SUCCESS,,
Washing_Machine_(1)_2014-01-13_01,Washing Machine (1),2014-01-13 10:29:00,2014-01-13 11:59:00,2014-01-13 13:00:00,2014-01-13 14:30:00,1,0,1.0,151,SUCCESS,,
Washing_Machine_(1)_2014-01-20_01,Washing Machine (1),2014-01-20 09:50:00,2014-01-20 10:51:00,2014-01-20 13:00:00,2014-01-20 14:01:00,1,0,1.0,190,SUCCESS,,
Washing_Machine_(1)_2014-01-27_01,Washing Machine (1),2014-01-27 15:47:00,2014-01-27 16:09:00,2014-01-27 15:52:00,2014-01-27 16:14:00,0,0,0.1,5,SUCCESS,,
Washing_Machine_(1)_2014-04-03_01,Washing Machine (1),2014-04-03 09:06:00,2014-04-03 11:29:00,2014-04-03 13:00:00,2014-04-03 15:23:00,1,0,1.0,234,SUCCESS,,
Washing_Machine_(1)_2014-04-06_01,Washing Machine (1),2014-04-06 07:45:00,2014-04-06 09:01:00,2014-04-06 13:00:00,2014-04-06 14:16:00,1,0,1.0,315,SUCCESS,,
Washing_Machine_(1)_2014-04-10_01,Washing Machine (1),2014-04-10 09:24:00,2014-04-10 10:30:00,2014-04-10 13:00:00,2014-04-10 14:06:00,1,0,1.0,216,SUCCESS,,
Washing_Machine_(1)_2014-04-17_01,Washing Machine (1),2014-04-17 08:39:00,2014-04-17 09:34:00,2014-04-17 13:00:00,2014-04-17 13:55:00,1,0,1.0,261,SUCCESS,,
Washing_Machine_(1)_2014-04-24_01,Washing Machine (1),2014-04-24 09:21:00,2014-04-24 10:59:00,2014-04-24 13:00:00,2014-04-24 14:38:00,1,0,1.0,219,SUCCESS,,
Washing_Machine_(1)_2014-05-01_02,Washing Machine (1),2014-05-01 18:16:00,2014-05-05 08:11:00,2014-05-02 13:00:00,2014-05-06 02:55:00,1,0,1.0,1124,SUCCESS,,
Washing_Machine_(1)_2014-05-10_01,Washing Machine (1),2014-05-10 14:05:00,2014-05-10 16:10:00,2014-05-10 14:10:00,2014-05-10 16:15:00,0,0,0.1,5,SUCCESS,,
Washing_Machine_(1)_2014-05-15_01,Washing Machine (1),2014-05-15 10:29:00,2014-05-29 10:18:00,2014-05-16 13:00:00,2014-05-30 12:49:00,1,0,1.0,1591,SUCCESS,,
Washing_Machine_(1)_2014-06-05_01,Washing Machine (1),2014-06-05 09:55:00,2014-06-05 12:51:00,2014-06-05 13:00:00,2014-06-05 15:56:00,1,0,1.0,185,SUCCESS,,
Washing_Machine_(1)_2014-06-08_01,Washing Machine (1),2014-06-08 09:07:00,2014-06-08 10:18:00,2014-06-08 13:00:00,2014-06-08 14:11:00,1,0,1.0,233,SUCCESS,,
Washing_Machine_(1)_2014-06-23_01,Washing Machine (1),2014-06-23 10:59:00,2014-06-23 12:19:00,2014-06-23 13:00:00,2014-06-23 14:20:00,1,0,1.0,121,SUCCESS,,
Washing_Machine_(1)_2014-06-30_01,Washing Machine (1),2014-06-30 08:37:00,2014-06-30 09:56:00,2014-06-30 13:00:00,2014-06-30 14:19:00,1,0,1.0,263,SUCCESS,,
Washing_Machine_(1)_2014-07-07_01,Washing Machine (1),2014-07-07 08:38:00,2014-07-07 10:02:00,2014-07-07 13:00:00,2014-07-07 14:24:00,1,0,1.0,262,SUCCESS,,
Washing_Machine_(1)_2014-07-14_01,Washing Machine (1),2014-07-14 09:01:00,2014-07-14 10:50:00,2014-07-14 13:00:00,2014-07-14 14:49:00,1,0,1.0,239,SUCCESS,,
Washing_Machine_(1)_2014-07-17_01,Washing Machine (1),2014-07-17 10:53:00,2014-07-17 12:07:00,2014-07-17 13:00:00,2014-07-17 14:14:00,1,0,1.0,127,SUCCESS,,
Washing_Machine_(1)_2014-07-28_01,Washing Machine (1),2014-07-28 08:56:00,2014-07-28 10:52:00,2014-07-28 13:00:00,2014-07-28 14:56:00,1,0,1.0,244,SUCCESS,,
Washing_Machine_(1)_2014-08-07_01,Washing Machine (1),2014-08-07 07:14:00,2014-08-07 08:10:00,2014-08-07 13:00:00,2014-08-07 13:56:00,1,0,1.0,346,SUCCESS,,
Washing_Machine_(1)_2014-08-12_01,Washing Machine (1),2014-08-12 08:55:00,2014-08-12 09:01:00,2014-08-12 13:00:00,2014-08-12 13:06:00,1,0,1.0,245,SUCCESS,,
Washing_Machine_(1)_2014-08-17_01,Washing Machine (1),2014-08-17 08:36:00,2014-08-17 12:01:00,2014-08-17 13:00:00,2014-08-17 16:25:00,1,0,1.0,264,SUCCESS,,
Washing_Machine_(1)_2014-08-27_01,Washing Machine (1),2014-08-27 11:49:00,2014-08-27 12:46:00,2014-08-27 13:00:00,2014-08-27 13:57:00,1,0,1.0,71,SUCCESS,,
Washing_Machine_(1)_2014-09-05_01,Washing Machine (1),2014-09-05 09:43:00,2014-09-05 11:43:00,2014-09-05 13:00:00,2014-09-05 15:00:00,1,0,1.0,197,SUCCESS,,
Washing_Machine_(1)_2014-09-13_01,Washing Machine (1),2014-09-13 10:10:00,2014-09-13 11:27:00,2014-09-13 13:00:00,2014-09-13 14:17:00,1,0,1.0,170,SUCCESS,,
Washing_Machine_(1)_2014-09-17_01,Washing Machine (1),2014-09-17 11:35:00,2014-09-17 13:56:00,2014-09-17 13:00:00,2014-09-17 15:21:00,1,0,1.0,85,SUCCESS,,
Washing_Machine_(1)_2014-10-16_01,Washing Machine (1),2014-10-16 12:08:00,2014-10-16 13:53:00,2014-10-16 13:00:00,2014-10-16 14:45:00,0,0,0.1,52,SUCCESS,,
Washing_Machine_(1)_2014-11-03_01,Washing Machine (1),2014-11-03 09:46:00,2014-11-03 11:45:00,2014-11-03 13:00:00,2014-11-03 14:59:00,1,0,1.0,194,SUCCESS,,
Washing_Machine_(1)_2014-12-01_01,Washing Machine (1),2014-12-01 07:59:00,2014-12-01 09:05:00,2014-12-01 13:00:00,2014-12-01 14:06:00,1,0,1.0,301,SUCCESS,,
Washing_Machine_(1)_2014-12-23_01,Washing Machine (1),2014-12-23 11:24:00,2014-12-23 13:23:00,2014-12-23 13:00:00,2014-12-23 14:59:00,1,0,1.0,96,SUCCESS,,
Washing_Machine_(1)_2015-01-19_01,Washing Machine (1),2015-01-19 10:58:00,2015-01-19 12:34:00,2015-01-19 13:00:00,2015-01-19 14:36:00,1,0,1.0,122,SUCCESS,,
Washing_Machine_(1)_2015-02-09_01,Washing Machine (1),2015-02-09 10:15:00,2015-02-09 12:36:00,2015-02-09 13:00:00,2015-02-09 15:21:00,1,0,1.0,165,SUCCESS,,
Washing_Machine_(1)_2015-03-03_01,Washing Machine (1),2015-03-03 08:51:00,2015-03-03 10:57:00,2015-03-03 13:00:00,2015-03-03 15:06:00,1,0,1.0,249,SUCCESS,,
Washing_Machine_(1)_2015-03-09_01,Washing Machine (1),2015-03-09 09:45:00,2015-03-09 10:34:00,2015-03-09 13:00:00,2015-03-09 13:49:00,1,0,1.0,195,SUCCESS,,
Washing_Machine_(1)_2015-04-16_01,Washing Machine (1),2015-04-16 10:52:00,2015-04-16 12:12:00,2015-04-16 13:00:00,2015-04-16 14:20:00,1,0,1.0,128,SUCCESS,,
Washing_Machine_(1)_2015-04-26_01,Washing Machine (1),2015-04-26 08:22:00,2015-04-26 09:24:00,2015-04-26 13:00:00,2015-04-26 14:02:00,1,0,1.0,278,SUCCESS,,
Washing_Machine_(1)_2015-04-27_01,Washing Machine (1),2015-04-27 09:23:00,2015-04-27 10:44:00,2015-04-27 13:00:00,2015-04-27 14:21:00,1,0,1.0,217,SUCCESS,,
Washing_Machine_(1)_2015-05-25_01,Washing Machine (1),2015-05-25 11:32:00,2015-05-25 14:02:00,2015-05-25 13:00:00,2015-05-25 15:30:00,1,0,1.0,88,SUCCESS,,
Washing_Machine_(1)_2015-05-31_01,Washing Machine (1),2015-05-31 12:35:00,2015-05-31 14:12:00,2015-05-31 13:00:00,2015-05-31 14:37:00,0,0,0.1,25,SUCCESS,,
Washing_Machine_(1)_2015-06-21_01,Washing Machine (1),2015-06-21 12:17:00,2015-06-21 13:03:00,2015-06-21 13:00:00,2015-06-21 13:46:00,1,0,1.0,43,SUCCESS,,
Washing_Machine_(1)_2015-07-02_01,Washing Machine (1),2015-07-02 10:38:00,2015-07-02 12:18:00,2015-07-02 13:00:00,2015-07-02 14:40:00,1,0,1.0,142,SUCCESS,,
Washing_Machine_(1)_2015-07-06_01,Washing Machine (1),2015-07-06 10:02:00,2015-07-06 12:14:00,2015-07-06 13:00:00,2015-07-06 15:12:00,1,0,1.0,178,SUCCESS,,
Washing_Machine_(2)_2013-10-16_04,Washing Machine (2),2013-10-16 09:17:00,2013-10-16 09:22:00,2013-10-16 13:00:00,2013-10-16 13:05:00,1,0,1.0,223,SUCCESS,,
Washing_Machine_(2)_2013-10-17_01,Washing Machine (2),2013-10-17 06:38:00,2013-10-17 07:25:00,2013-10-17 13:00:00,2013-10-17 13:47:00,1,0,1.0,382,SUCCESS,,
Washing_Machine_(2)_2013-10-23_01,Washing Machine (2),2013-10-23 06:53:00,2013-10-23 07:41:00,2013-10-23 13:00:00,2013-10-23 13:48:00,1,0,1.0,367,SUCCESS,,
Washing_Machine_(2)_2013-10-24_01,Washing Machine (2),2013-10-24 06:42:00,2013-10-24 07:29:00,2013-10-24 13:00:00,2013-10-24 13:47:00,1,0,1.0,378,SUCCESS,,
Washing_Machine_(2)_2013-10-26_01,Washing Machine (2),2013-10-26 09:16:00,2013-10-26 10:02:00,2013-10-26 13:00:00,2013-10-26 13:46:00,1,0,1.0,224,SUCCESS,,
Washing_Machine_(2)_2013-10-30_01,Washing Machine (2),2013-10-30 08:43:00,2013-10-30 09:31:00,2013-10-30 13:00:00,2013-10-30 13:48:00,1,0,1.0,257,SUCCESS,,
Washing_Machine_(2)_2013-11-03_01,Washing Machine (2),2013-11-03 07:59:00,2013-11-03 08:16:00,2013-11-03 13:00:00,2013-11-03 13:17:00,1,0,1.0,301,SUCCESS,,
Washing_Machine_(2)_2013-11-04_01,Washing Machine (2),2013-11-04 07:38:00,2013-11-04 08:27:00,2013-11-04 13:00:00,2013-11-04 13:49:00,1,0,1.0,322,SUCCESS,,
Washing_Machine_(2)_2013-11-07_01,Washing Machine (2),2013-11-07 08:57:00,2013-11-07 09:44:00,2013-11-07 13:00:00,2013-11-07 13:47:00,1,0,1.0,243,SUCCESS,,
Washing_Machine_(2)_2013-11-10_01,Washing Machine (2),2013-11-10 07:44:00,2013-11-10 08:31:00,2013-11-10 13:00:00,2013-11-10 13:47:00,1,0,1.0,316,SUCCESS,,
Washing_Machine_(2)_2013-11-13_01,Washing Machine (2),2013-11-13 07:38:00,2013-11-13 08:26:00,2013-11-13 13:00:00,2013-11-13 13:48:00,1,0,1.0,322,SUCCESS,,
Washing_Machine_(2)_2013-11-15_01,Washing Machine (2),2013-11-15 07:53:00,2013-11-15 08:39:00,2013-11-15 13:00:00,2013-11-15 13:46:00,1,0,1.0,307,SUCCESS,,
Washing_Machine_(2)_2013-11-17_01,Washing Machine (2),2013-11-17 08:15:00,2013-11-17 09:02:00,2013-11-17 13:00:00,2013-11-17 13:47:00,1,0,1.0,285,SUCCESS,,
Washing_Machine_(2)_2013-11-18_01,Washing Machine (2),2013-11-18 09:30:00,2013-11-18 09:59:00,2013-11-18 13:00:00,2013-11-18 13:29:00,1,0,1.0,210,SUCCESS,,
Washing_Machine_(2)_2013-11-24_01,Washing Machine (2),2013-11-24 08:03:00,2013-11-24 08:51:00,2013-11-24 13:00:00,2013-11-24 13:48:00,1,0,1.0,297,SUCCESS,,
Washing_Machine_(2)_2013-11-30_01,Washing Machine (2),2013-11-30 07:48:00,2013-11-30 08:36:00,2013-11-30 13:00:00,2013-11-30 13:48:00,1,0,1.0,312,SUCCESS,,
Washing_Machine_(2)_2013-12-01_01,Washing Machine (2),2013-12-01 07:45:00,2013-12-01 08:32:00,2013-12-01 13:00:00,2013-12-01 13:47:00,1,0,1.0,315,SUCCESS,,
Washing_Machine_(2)_2013-12-04_01,Washing Machine (2),2013-12-04 07:45:00,2013-12-04 08:32:00,2013-12-04 13:00:00,2013-12-04 13:47:00,1,0,1.0,315,SUCCESS,,
Washing_Machine_(2)_2013-12-07_01,Washing Machine (2),2013-12-07 08:06:00,2013-12-07 08:54:00,2013-12-07 13:00:00,2013-12-07 13:48:00,1,0,1.0,294,SUCCESS,,
