event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Magimix_(Blender)_2013-11-20_07,Magimix (Blender),2013-11-20 15:34:00,2013-11-20 16:59:00,2013-11-20 20:00:00,2013-11-20 21:25:00,4,2,2.0,266,SUCCESS,,
Magimix_(Blender)_2013-11-20_13,Magimix (Blender),2013-11-20 21:57:00,2013-11-20 23:07:00,2013-11-20 21:57:00,2013-11-20 23:07:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-21_01,Magimix (Blender),2013-11-21 05:29:00,2013-11-21 06:39:00,2013-11-21 06:30:00,2013-11-21 07:40:00,1,1,0.1,61,SUCCESS,,
Magimix_(Blender)_2013-11-21_08,Magimix (Blender),2013-11-21 11:44:00,2013-11-21 12:52:00,2013-11-21 20:00:00,2013-11-21 21:08:00,5,2,3.0,496,SUCCESS,,
Magimix_(Blender)_2013-11-21_14,Magimix (Blender),2013-11-21 17:36:00,2013-11-21 18:46:00,2013-11-21 20:00:00,2013-11-21 21:10:00,4,2,2.0,144,SUCCESS,,
Magimix_(Blender)_2013-11-21_16,Magimix (Blender),2013-11-21 23:53:00,2013-11-22 00:58:00,2013-11-21 23:53:00,2013-11-22 00:58:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-22_02,Magimix (Blender),2013-11-22 07:26:00,2013-11-22 08:42:00,2013-11-22 07:31:00,2013-11-22 08:47:00,3,1,2.0,5,SUCCESS,,
Magimix_(Blender)_2013-11-22_04,Magimix (Blender),2013-11-22 13:52:00,2013-11-22 15:06:00,2013-11-22 20:00:00,2013-11-22 21:14:00,5,2,3.0,368,SUCCESS,,
Magimix_(Blender)_2013-11-22_10,Magimix (Blender),2013-11-22 20:08:00,2013-11-22 21:20:00,2013-11-22 20:13:00,2013-11-22 21:25:00,2,2,0.1,5,SUCCESS,,
Magimix_(Blender)_2013-11-23_01,Magimix (Blender),2013-11-23 03:09:00,2013-11-23 04:13:00,2013-11-23 06:30:00,2013-11-23 07:34:00,0,1,0.1,201,SUCCESS,,
Magimix_(Blender)_2013-11-23_07,Magimix (Blender),2013-11-23 09:49:00,2013-11-23 10:55:00,2013-11-23 20:00:00,2013-11-23 21:06:00,3,2,1.0,611,SUCCESS,,
Magimix_(Blender)_2013-11-23_13,Magimix (Blender),2013-11-23 16:16:00,2013-11-23 17:22:00,2013-11-23 20:00:00,2013-11-23 21:06:00,4,2,2.0,224,SUCCESS,,
Magimix_(Blender)_2013-11-23_17,Magimix (Blender),2013-11-23 22:15:00,2013-11-23 23:23:00,2013-11-23 22:15:00,2013-11-23 23:23:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-24_01,Magimix (Blender),2013-11-24 05:52:00,2013-11-24 07:02:00,2013-11-24 06:30:00,2013-11-24 07:40:00,1,1,0.1,38,SUCCESS,,
Magimix_(Blender)_2013-11-24_08,Magimix (Blender),2013-11-24 12:07:00,2013-11-24 14:17:00,2013-11-24 20:00:00,2013-11-24 22:10:00,5,2,3.0,473,SUCCESS,,
Magimix_(Blender)_2013-11-24_14,Magimix (Blender),2013-11-24 19:44:00,2013-11-24 21:22:00,2013-11-24 20:00:00,2013-11-24 21:38:00,2,2,0.1,16,SUCCESS,,
Magimix_(Blender)_2013-11-25_01,Magimix (Blender),2013-11-25 04:17:00,2013-11-25 05:36:00,2013-11-25 06:30:00,2013-11-25 07:49:00,1,1,0.1,133,SUCCESS,,
Magimix_(Blender)_2013-11-25_05,Magimix (Blender),2013-11-25 07:46:00,2013-11-26 07:32:00,2013-11-25 07:46:00,2013-11-26 07:32:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-26_14,Magimix (Blender),2013-11-26 23:51:00,2013-11-27 02:58:00,2013-11-26 23:51:00,2013-11-27 02:58:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-27_12,Magimix (Blender),2013-11-27 13:25:00,2013-11-27 19:46:00,2013-11-27 16:00:00,2013-11-27 22:21:00,4,4,0.1,155,SUCCESS,,
Magimix_(Blender)_2013-11-28_05,Magimix (Blender),2013-11-28 09:35:00,2013-11-28 14:42:00,2013-11-28 09:40:00,2013-11-28 14:47:00,5,3,2.0,5,SUCCESS,,
Magimix_(Blender)_2013-11-29_01,Magimix (Blender),2013-11-29 03:31:00,2013-11-29 10:15:00,2013-11-29 06:30:00,2013-11-29 13:14:00,1,1,0.1,179,SUCCESS,,
Magimix_(Blender)_2013-11-29_10,Magimix (Blender),2013-11-29 21:50:00,2013-11-30 02:56:00,2013-11-29 21:50:00,2013-11-30 02:56:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-11-30_16,Magimix (Blender),2013-11-30 13:08:00,2013-11-30 20:00:00,2013-11-30 16:00:00,2013-11-30 22:52:00,4,4,0.1,172,SUCCESS,,
Magimix_(Blender)_2013-12-01_04,Magimix (Blender),2013-12-01 08:06:00,2013-12-01 15:16:00,2013-12-01 08:11:00,2013-12-01 15:21:00,3,3,0.1,5,SUCCESS,,
Magimix_(Blender)_2013-12-02_01,Magimix (Blender),2013-12-02 04:12:00,2013-12-02 10:00:00,2013-12-02 06:30:00,2013-12-02 12:18:00,1,1,0.1,138,SUCCESS,,
Magimix_(Blender)_2013-12-02_10,Magimix (Blender),2013-12-02 21:13:00,2013-12-03 02:04:00,2013-12-02 21:13:00,2013-12-03 02:04:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-12-03_10,Magimix (Blender),2013-12-03 12:30:00,2013-12-03 18:46:00,2013-12-03 16:00:00,2013-12-03 22:16:00,5,4,1.0,210,SUCCESS,,
Magimix_(Blender)_2013-12-04_03,Magimix (Blender),2013-12-04 07:37:00,2013-12-04 11:33:00,2013-12-04 07:42:00,2013-12-04 11:38:00,3,1,2.0,5,SUCCESS,,
Magimix_(Blender)_2013-12-04_17,Magimix (Blender),2013-12-04 22:10:00,2013-12-05 01:52:00,2013-12-04 22:10:00,2013-12-05 01:52:00,2,2,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Magimix_(Blender)_2013-12-05_10,Magimix (Blender),2013-12-05 12:46:00,2013-12-05 17:41:00,2013-12-05 16:00:00,2013-12-05 20:55:00,5,4,1.0,194,SUCCESS,,
Magimix_(Blender)_2013-12-06_01,Magimix (Blender),2013-12-06 04:04:00,2013-12-06 07:19:00,2013-12-06 06:30:00,2013-12-06 09:45:00,1,1,0.1,146,SUCCESS,,
