event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Washing_Machine_2014-01-10_01,Washing Machine,Appliance5,Shiftable,2014-01-10 17:58:00,2014-01-10 19:21:00,83.0,48734.89,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 83, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-01-11_01,Washing Machine,Appliance5,Shiftable,2014-01-11 07:33:00,2014-01-11 08:56:00,83.0,47257.71,True,"{""0"": 0, ""1"": 27, ""2"": 0, ""3"": 56, ""4"": 0, ""5"": 0}",3,1,3,0.6
Washing_Machine_2014-01-12_01,Washing Machine,Appliance5,Shiftable,2014-01-12 07:54:00,2014-01-12 09:18:00,84.0,50950.96,True,"{""0"": 0, ""1"": 6, ""2"": 0, ""3"": 78, ""4"": 0, ""5"": 0}",3,1,3,0.6
Washing_Machine_2014-01-15_01,Washing Machine,Appliance5,Shiftable,2014-01-15 18:26:00,2014-01-15 19:45:00,79.0,49908.54,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 79, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-01-16_01,Washing Machine,Appliance5,Shiftable,2014-01-16 07:09:00,2014-01-16 08:27:00,78.0,45857.98,True,"{""0"": 0, ""1"": 51, ""2"": 0, ""3"": 27, ""4"": 0, ""5"": 0}",1,1,3,0.2
Washing_Machine_2014-01-16_02,Washing Machine,Appliance5,Shiftable,2014-01-16 18:56:00,2014-01-16 20:32:00,96.0,54165.75,True,"{""0"": 0, ""1"": 0, ""2"": 32, ""3"": 0, ""4"": 64, ""5"": 0}",4,4,2,0.8
Washing_Machine_2014-01-17_01,Washing Machine,Appliance5,Shiftable,2014-01-17 18:39:00,2014-01-17 19:55:00,76.0,46251.61,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 76, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-01-20_01,Washing Machine,Appliance5,Shiftable,2014-01-20 19:31:00,2014-01-20 21:11:00,100.0,48474.7,True,"{""0"": 0, ""1"": 0, ""2"": 71, ""3"": 0, ""4"": 29, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-01-22_01,Washing Machine,Appliance5,Shiftable,2014-01-22 19:30:00,2014-01-22 20:50:00,80.0,42037.95,True,"{""0"": 0, ""1"": 0, ""2"": 50, ""3"": 0, ""4"": 30, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-01-23_01,Washing Machine,Appliance5,Shiftable,2014-01-23 12:51:00,2014-01-23 14:19:00,88.0,48538.51,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 88}",5,5,5,1.0
Washing_Machine_2014-01-25_01,Washing Machine,Appliance5,Shiftable,2014-01-25 07:58:00,2014-01-25 09:28:00,90.0,12340.77,True,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 88, ""4"": 0, ""5"": 0}",3,1,3,0.6
Washing_Machine_2014-01-28_01,Washing Machine,Appliance5,Shiftable,2014-01-28 07:16:00,2014-01-28 10:24:00,188.0,16002.61,True,"{""0"": 0, ""1"": 44, ""2"": 0, ""3"": 144, ""4"": 0, ""5"": 0}",3,1,3,0.6
Washing_Machine_2014-01-29_01,Washing Machine,Appliance5,Shiftable,2014-01-29 06:09:00,2014-01-29 09:27:00,198.0,20382.85,True,"{""0"": 0, ""1"": 111, ""2"": 0, ""3"": 87, ""4"": 0, ""5"": 0}",1,1,3,0.2
Washing_Machine_2014-01-31_01,Washing Machine,Appliance5,Shiftable,2014-01-31 04:58:00,2014-01-31 08:21:00,203.0,19845.15,True,"{""0"": 0, ""1"": 182, ""2"": 0, ""3"": 21, ""4"": 0, ""5"": 0}",1,1,3,0.2
Washing_Machine_2014-01-31_02,Washing Machine,Appliance5,Shiftable,2014-01-31 19:34:00,2014-01-31 20:11:00,37.0,2535.35,True,"{""0"": 0, ""1"": 0, ""2"": 11, ""3"": 0, ""4"": 26, ""5"": 0}",4,4,2,0.8
Washing_Machine_2014-02-04_01,Washing Machine,Appliance5,Shiftable,2014-02-04 19:28:00,2014-02-04 21:22:00,114.0,8010.17,True,"{""0"": 0, ""1"": 0, ""2"": 82, ""3"": 0, ""4"": 32, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-02-04_02,Washing Machine,Appliance5,Shiftable,2014-02-04 21:49:00,2014-02-04 21:54:00,5.0,144.58,True,"{""0"": 0, ""1"": 0, ""2"": 5, ""3"": 0, ""4"": 0, ""5"": 0}",2,2,2,0.4
Washing_Machine_2014-02-04_03,Washing Machine,Appliance5,Shiftable,2014-02-04 22:13:00,2014-02-04 22:42:00,29.0,546.67,True,"{""0"": 0, ""1"": 0, ""2"": 29, ""3"": 0, ""4"": 0, ""5"": 0}",2,2,2,0.4
Washing_Machine_2014-02-07_01,Washing Machine,Appliance5,Shiftable,2014-02-07 21:30:00,2014-02-07 21:45:00,15.0,93.08,True,"{""0"": 0, ""1"": 0, ""2"": 15, ""3"": 0, ""4"": 0, ""5"": 0}",2,2,2,0.4
Washing_Machine_2014-02-08_01,Washing Machine,Appliance5,Shiftable,2014-02-08 07:47:00,2014-02-08 11:41:00,234.0,419.17,True,"{""0"": 0, ""1"": 13, ""2"": 0, ""3"": 221, ""4"": 0, ""5"": 0}",3,1,3,0.6
Washing_Machine_2014-02-10_01,Washing Machine,Appliance5,Shiftable,2014-02-10 15:07:00,2014-02-10 15:55:00,48.0,578.42,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 48}",5,5,5,1.0
Washing_Machine_2014-02-12_01,Washing Machine,Appliance5,Shiftable,2014-02-12 19:37:00,2014-02-12 21:07:00,90.0,7370.42,True,"{""0"": 0, ""1"": 0, ""2"": 67, ""3"": 0, ""4"": 23, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-02-13_01,Washing Machine,Appliance5,Shiftable,2014-02-13 19:51:00,2014-02-13 23:36:00,225.0,6367.38,True,"{""0"": 0, ""1"": 0, ""2"": 216, ""3"": 0, ""4"": 9, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-02-15_01,Washing Machine,Appliance5,Shiftable,2014-02-15 09:44:00,2014-02-15 09:58:00,14.0,1968.5,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 14, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-02-15_02,Washing Machine,Appliance5,Shiftable,2014-02-15 10:16:00,2014-02-15 13:29:00,193.0,6252.47,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 104, ""4"": 0, ""5"": 89}",3,3,5,0.6
Washing_Machine_2014-02-17_01,Washing Machine,Appliance5,Shiftable,2014-02-17 15:37:00,2014-02-17 18:19:00,162.0,3997.5,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 139, ""5"": 23}",4,5,4,0.8
Washing_Machine_2014-02-19_01,Washing Machine,Appliance5,Shiftable,2014-02-19 19:49:00,2014-02-19 20:34:00,45.0,1791.62,True,"{""0"": 0, ""1"": 0, ""2"": 34, ""3"": 0, ""4"": 11, ""5"": 0}",2,4,2,0.4
Washing_Machine_2014-02-20_01,Washing Machine,Appliance5,Shiftable,2014-02-20 18:10:00,2014-02-20 19:26:00,76.0,41325.0,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 76, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-02-28_01,Washing Machine,Appliance5,Shiftable,2014-02-28 09:46:00,2014-02-28 12:18:00,152.0,43330.0,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 134, ""4"": 0, ""5"": 18}",3,3,5,0.6
Washing_Machine_2014-02-28_02,Washing Machine,Appliance5,Shiftable,2014-02-28 17:48:00,2014-02-28 19:10:00,82.0,43359.65,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 82, ""5"": 0}",4,4,4,0.8
Washing_Machine_2014-03-01_01,Washing Machine,Appliance5,Shiftable,2014-03-01 10:32:00,2014-03-01 11:47:00,75.0,46084.55,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 75, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-03-02_01,Washing Machine,Appliance5,Shiftable,2014-03-02 09:19:00,2014-03-02 10:24:00,65.0,41716.93,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 65, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-03-02_02,Washing Machine,Appliance5,Shiftable,2014-03-02 10:25:00,2014-03-02 10:51:00,26.0,20558.9,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 26, ""4"": 0, ""5"": 0}",3,3,3,0.6
Washing_Machine_2014-03-04_01,Washing Machine,Appliance5,Shiftable,2014-03-04 20:06:00,2014-03-04 21:13:00,67.0,39005.9,True,"{""0"": 0, ""1"": 0, ""2"": 67, ""3"": 0, ""4"": 0, ""5"": 0}",2,2,2,0.4
Washing_Machine_2014-03-05_01,Washing Machine,Appliance5,Shiftable,2014-03-05 15:25:00,2014-03-05 16:40:00,75.0,42239.06,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 40, ""5"": 35}",4,5,4,0.8
Washing_Machine_2014-03-05_02,Washing Machine,Appliance5,Shiftable,2014-03-05 18:31:00,2014-03-05 19:50:00,79.0,47965.72,True,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 79, ""5"": 0}",4,4,4,0.8
