event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential,month
Washing_Machine_2014-03-08_01,Washing Machine,Appliance2,Shiftable,2014-03-08 21:00:00,2014-03-08 21:47:00,47.0,25484.42,True,"{""0"": 0, ""1"": 47, ""2"": 0}",1,1,1,0.5,3
Washing_Machine_2014-03-08_02,Washing Machine,Appliance2,Shiftable,2014-03-08 21:49:00,2014-03-08 22:00:00,11.0,197.15,True,"{""0"": 0, ""1"": 11, ""2"": 0}",1,1,0,0.5,3
Washing_Machine_2014-03-18_01,Washing Machine,Appliance2,Shiftable,2014-03-18 21:36:00,2014-03-18 23:20:00,104.0,14418.24,True,"{""0"": 80, ""1"": 24, ""2"": 0}",0,1,0,0.0,3
Washing_Machine_2014-03-22_01,Washing Machine,Appliance2,Shiftable,2014-03-22 21:27:00,2014-03-22 23:11:00,104.0,15260.27,True,"{""0"": 71, ""1"": 33, ""2"": 0}",0,1,0,0.0,3
Washing_Machine_2014-03-26_02,Washing Machine,Appliance2,Shiftable,2014-03-26 20:32:00,2014-03-26 21:52:00,80.0,11747.48,True,"{""0"": 0, ""1"": 80, ""2"": 0}",1,1,1,0.5,3
Washing_Machine_2014-04-03_01,Washing Machine,Appliance2,Shiftable,2014-04-03 20:45:00,2014-04-03 22:31:00,106.0,11936.08,True,"{""0"": 31, ""1"": 75, ""2"": 0}",1,1,0,0.5,4
Washing_Machine_2014-04-06_02,Washing Machine,Appliance2,Shiftable,2014-04-06 20:00:00,2014-04-06 21:44:00,104.0,17380.33,True,"{""0"": 0, ""1"": 104, ""2"": 0}",1,1,1,0.5,4
Washing_Machine_2014-04-23_03,Washing Machine,Appliance2,Shiftable,2014-04-23 20:54:00,2014-04-23 22:37:00,103.0,14769.73,True,"{""0"": 37, ""1"": 66, ""2"": 0}",1,1,0,0.5,4
Washing_Machine_2014-04-27_02,Washing Machine,Appliance2,Shiftable,2014-04-27 18:22:00,2014-04-27 20:02:00,100.0,11323.8,True,"{""0"": 0, ""1"": 2, ""2"": 98}",2,2,1,1.0,4
Washing_Machine_2014-04-29_03,Washing Machine,Appliance2,Shiftable,2014-04-29 20:53:00,2014-04-29 22:36:00,103.0,14640.64,True,"{""0"": 36, ""1"": 67, ""2"": 0}",1,1,0,0.5,4
Washing_Machine_2014-05-12_01,Washing Machine,Appliance2,Shiftable,2014-05-12 21:33:00,2014-05-12 23:15:00,102.0,12781.44,True,"{""0"": 75, ""1"": 27, ""2"": 0}",0,1,0,0.0,5
Washing_Machine_2014-05-14_03,Washing Machine,Appliance2,Shiftable,2014-05-14 21:25:00,2014-05-14 23:08:00,103.0,14037.16,True,"{""0"": 68, ""1"": 35, ""2"": 0}",0,1,0,0.0,5
Washing_Machine_2014-05-22_01,Washing Machine,Appliance2,Shiftable,2014-05-22 21:46:00,2014-05-22 23:30:00,104.0,15077.36,True,"{""0"": 90, ""1"": 14, ""2"": 0}",0,1,0,0.0,5
Washing_Machine_2014-05-27_03,Washing Machine,Appliance2,Shiftable,2014-05-27 21:42:00,2014-05-27 23:31:00,109.0,27862.99,True,"{""0"": 91, ""1"": 18, ""2"": 0}",0,1,0,0.0,5
Washing_Machine_2014-05-29_01,Washing Machine,Appliance2,Shiftable,2014-05-29 21:02:00,2014-05-29 22:45:00,103.0,15917.77,True,"{""0"": 45, ""1"": 58, ""2"": 0}",1,1,0,0.5,5
Washing_Machine_2014-06-01_01,Washing Machine,Appliance2,Shiftable,2014-06-01 23:08:00,2014-06-02 00:53:00,105.0,16503.45,True,"{""0"": 0, ""1"": 52, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-02_09,Washing Machine,Appliance2,Shiftable,2014-06-02 23:18:00,2014-06-03 01:11:00,113.0,36700.28,True,"{""0"": 0, ""1"": 42, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-04_01,Washing Machine,Appliance2,Shiftable,2014-06-04 17:49:00,2014-06-04 19:33:00,104.0,16188.53,True,"{""0"": 0, ""1"": 0, ""2"": 104}",2,2,2,1.0,6
Washing_Machine_2014-06-05_01,Washing Machine,Appliance2,Shiftable,2014-06-05 22:58:00,2014-06-06 00:44:00,106.0,18131.12,True,"{""0"": 0, ""1"": 62, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-08_02,Washing Machine,Appliance2,Shiftable,2014-06-08 23:12:00,2014-06-09 01:02:00,110.0,32246.09,True,"{""0"": 0, ""1"": 48, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-09_01,Washing Machine,Appliance2,Shiftable,2014-06-09 22:27:00,2014-06-10 00:10:00,103.0,13854.35,True,"{""0"": 0, ""1"": 93, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-11_01,Washing Machine,Appliance2,Shiftable,2014-06-11 21:31:00,2014-06-11 22:59:00,88.0,11705.05,True,"{""0"": 0, ""1"": 88, ""2"": 0}",1,1,1,0.5,6
Washing_Machine_2014-06-11_02,Washing Machine,Appliance2,Shiftable,2014-06-11 23:00:00,2014-06-11 23:14:00,14.0,2266.14,True,"{""0"": 0, ""1"": 14, ""2"": 0}",1,1,1,0.5,6
Washing_Machine_2014-06-14_02,Washing Machine,Appliance2,Shiftable,2014-06-14 14:55:00,2014-06-14 16:37:00,102.0,10673.06,True,"{""0"": 0, ""1"": 102, ""2"": 0}",1,1,1,0.5,6
Washing_Machine_2014-06-17_01,Washing Machine,Appliance2,Shiftable,2014-06-17 22:53:00,2014-06-18 00:36:00,103.0,11992.8,True,"{""0"": 0, ""1"": 67, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-19_01,Washing Machine,Appliance2,Shiftable,2014-06-19 23:22:00,2014-06-20 01:05:00,103.0,14374.07,True,"{""0"": 0, ""1"": 38, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-21_01,Washing Machine,Appliance2,Shiftable,2014-06-21 22:25:00,2014-06-22 00:09:00,104.0,11321.66,True,"{""0"": 0, ""1"": 95, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-22_01,Washing Machine,Appliance2,Shiftable,2014-06-22 20:54:00,2014-06-22 22:36:00,102.0,11800.5,True,"{""0"": 0, ""1"": 102, ""2"": 0}",1,1,1,0.5,6
Washing_Machine_2014-06-25_01,Washing Machine,Appliance2,Shiftable,2014-06-25 22:22:00,2014-06-26 00:06:00,104.0,14061.98,True,"{""0"": 0, ""1"": 98, ""2"": 0}",1,1,0,0.5,6
Washing_Machine_2014-06-28_01,Washing Machine,Appliance2,Shiftable,2014-06-28 21:35:00,2014-06-28 23:19:00,104.0,10631.58,True,"{""0"": 0, ""1"": 104, ""2"": 0}",1,1,1,0.5,6
Washing_Machine_2014-06-29_01,Washing Machine,Appliance2,Shiftable,2014-06-29 16:48:00,2014-06-29 18:33:00,105.0,14826.22,True,"{""0"": 0, ""1"": 12, ""2"": 93}",2,1,2,1.0,6
Washing_Machine_2014-06-30_01,Washing Machine,Appliance2,Shiftable,2014-06-30 21:55:00,2014-06-30 23:00:00,65.0,5851.04,True,"{""0"": 0, ""1"": 65, ""2"": 0}",1,1,1,0.5,6
