event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Washer_Dryer_2013-12-29_07,Washer Dryer,2013-12-29 16:46:00,2013-12-29 18:27:00,2013-12-29 16:51:00,2013-12-29 18:32:00,2,0,2.0,5,SUCCESS,,winter
Washer_Dryer_2013-12-30_01,Washer Dryer,2013-12-30 18:37:00,2013-12-30 20:28:00,2013-12-30 20:00:00,2013-12-30 21:51:00,2,1,1.0,83,SUCCESS,,winter
Washer_Dryer_2013-12-30_02,Washer Dryer,2013-12-30 20:54:00,2013-12-30 22:10:00,2013-12-30 20:59:00,2013-12-30 22:15:00,1,1,0.1,5,SUCCESS,,winter
Washer_Dryer_2014-01-04_04,Washer Dryer,2014-01-04 18:04:00,2014-01-04 18:35:00,2014-01-04 22:00:00,2014-01-04 22:31:00,2,0,2.0,236,SUCCESS,,winter
Washer_Dryer_2014-01-11_03,Washer Dryer,2014-01-11 17:09:00,2014-01-11 19:20:00,2014-01-11 20:00:00,2014-01-11 22:11:00,2,1,1.0,171,SUCCESS,,winter
Washer_Dryer_2014-01-17_01,Washer Dryer,2014-01-17 20:02:00,2014-01-18 00:44:00,2014-01-17 20:02:00,2014-01-18 00:44:00,0,0,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Washer_Dryer_2014-01-23_02,Washer Dryer,2014-01-23 18:20:00,2014-01-23 19:01:00,2014-01-23 22:00:00,2014-01-23 22:41:00,2,0,2.0,220,SUCCESS,,winter
Washer_Dryer_2014-03-08_02,Washer Dryer,2014-03-08 17:38:00,2014-03-08 19:19:00,2014-03-08 20:00:00,2014-03-08 21:41:00,2,1,1.0,142,SUCCESS,,winter
Washer_Dryer_2014-03-11_01,Washer Dryer,2014-03-11 18:38:00,2014-03-11 20:22:00,2014-03-11 20:00:00,2014-03-11 21:44:00,2,1,1.0,82,SUCCESS,,winter
Washer_Dryer_2014-04-02_01,Washer Dryer,2014-04-02 19:21:00,2014-04-02 21:27:00,2014-04-02 20:00:00,2014-04-02 22:06:00,1,1,0.1,39,SUCCESS,,winter
Washer_Dryer_2014-04-03_01,Washer Dryer,2014-04-03 18:45:00,2014-04-03 20:56:00,2014-04-03 20:00:00,2014-04-03 22:11:00,2,1,1.0,75,SUCCESS,,winter
Washer_Dryer_2014-04-03_02,Washer Dryer,2014-04-03 21:12:00,2014-04-03 23:03:00,2014-04-03 21:12:00,2014-04-03 23:03:00,0,0,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Washer_Dryer_2014-04-09_01,Washer Dryer,2014-04-09 15:36:00,2014-04-09 17:36:00,2014-04-09 15:41:00,2014-04-09 17:41:00,0,0,0.1,5,SUCCESS,,winter
Washer_Dryer_2014-04-09_02,Washer Dryer,2014-04-09 17:38:00,2014-04-09 19:25:00,2014-04-09 20:00:00,2014-04-09 21:47:00,2,1,1.0,142,SUCCESS,,winter
Washer_Dryer_2014-04-09_03,Washer Dryer,2014-04-09 20:04:00,2014-04-09 21:21:00,2014-04-09 20:09:00,2014-04-09 21:26:00,1,1,0.1,5,SUCCESS,,winter
Washer_Dryer_2014-04-30_02,Washer Dryer,2014-04-30 19:02:00,2014-04-30 20:53:00,2014-04-30 20:00:00,2014-04-30 21:51:00,2,1,1.0,58,SUCCESS,,winter
Washer_Dryer_2014-05-01_02,Washer Dryer,2014-05-01 18:55:00,2014-05-01 19:25:00,2014-05-01 20:00:00,2014-05-01 20:30:00,2,1,1.0,65,SUCCESS,,summer
Washer_Dryer_2014-05-03_02,Washer Dryer,2014-05-03 16:39:00,2014-05-03 18:29:00,2014-05-03 16:44:00,2014-05-03 18:34:00,2,1,1.0,5,SUCCESS,,summer
Washer_Dryer_2014-05-03_03,Washer Dryer,2014-05-03 19:04:00,2014-05-03 20:35:00,2014-05-03 20:00:00,2014-05-03 21:31:00,2,1,1.0,56,SUCCESS,,summer
Washer_Dryer_2014-05-05_06,Washer Dryer,2014-05-05 21:23:00,2014-05-05 22:09:00,2014-05-05 21:28:00,2014-05-05 22:14:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-05-12_01,Washer Dryer,2014-05-12 16:32:00,2014-05-12 18:23:00,2014-05-12 16:37:00,2014-05-12 18:28:00,2,1,1.0,5,SUCCESS,,summer
Washer_Dryer_2014-05-12_02,Washer Dryer,2014-05-12 20:57:00,2014-05-12 21:29:00,2014-05-12 21:02:00,2014-05-12 21:34:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-05-15_01,Washer Dryer,2014-05-15 17:14:00,2014-05-15 17:54:00,2014-05-15 20:00:00,2014-05-15 20:40:00,2,1,1.0,166,SUCCESS,,summer
Washer_Dryer_2014-05-18_01,Washer Dryer,2014-05-18 16:51:00,2014-05-18 18:42:00,2014-05-18 16:56:00,2014-05-18 18:47:00,2,1,1.0,5,SUCCESS,,summer
Washer_Dryer_2014-05-19_06,Washer Dryer,2014-05-19 15:38:00,2014-05-19 17:19:00,2014-05-19 15:43:00,2014-05-19 17:24:00,0,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-05-19_07,Washer Dryer,2014-05-19 17:46:00,2014-05-19 19:31:00,2014-05-19 20:00:00,2014-05-19 21:45:00,2,1,1.0,134,SUCCESS,,summer
Washer_Dryer_2014-05-24_03,Washer Dryer,2014-05-24 17:39:00,2014-05-24 19:10:00,2014-05-24 20:00:00,2014-05-24 21:31:00,2,1,1.0,141,SUCCESS,,summer
Washer_Dryer_2014-05-24_04,Washer Dryer,2014-05-24 19:29:00,2014-05-24 19:41:00,2014-05-24 20:00:00,2014-05-24 20:12:00,2,1,1.0,31,SUCCESS,,summer
Washer_Dryer_2014-05-25_10,Washer Dryer,2014-05-25 18:03:00,2014-05-25 18:27:00,2014-05-25 20:00:00,2014-05-25 20:24:00,2,1,1.0,117,SUCCESS,,summer
Washer_Dryer_2014-05-31_02,Washer Dryer,2014-05-31 20:45:00,2014-05-31 21:36:00,2014-05-31 20:50:00,2014-05-31 21:41:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-01_03,Washer Dryer,2014-06-01 20:58:00,2014-06-01 22:49:00,2014-06-01 21:03:00,2014-06-01 22:54:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-03_02,Washer Dryer,2014-06-03 14:40:00,2014-06-03 14:50:00,2014-06-03 14:45:00,2014-06-03 14:55:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-03_03,Washer Dryer,2014-06-03 19:04:00,2014-06-03 19:17:00,2014-06-03 20:00:00,2014-06-03 20:13:00,2,1,1.0,56,SUCCESS,,summer
Washer_Dryer_2014-06-05_02,Washer Dryer,2014-06-05 17:31:00,2014-06-05 17:37:00,2014-06-05 20:00:00,2014-06-05 20:06:00,2,1,1.0,149,SUCCESS,,summer
Washer_Dryer_2014-06-09_02,Washer Dryer,2014-06-09 22:38:00,2014-06-09 22:43:00,2014-06-09 22:43:00,2014-06-09 22:48:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-14_02,Washer Dryer,2014-06-14 13:54:00,2014-06-14 15:40:00,2014-06-14 13:59:00,2014-06-14 15:45:00,1,0,1.0,5,SUCCESS,,summer
Washer_Dryer_2014-06-14_03,Washer Dryer,2014-06-14 19:04:00,2014-06-14 20:25:00,2014-06-14 20:00:00,2014-06-14 21:21:00,2,1,1.0,56,SUCCESS,,summer
Washer_Dryer_2014-06-15_06,Washer Dryer,2014-06-15 20:45:00,2014-06-15 22:36:00,2014-06-15 20:50:00,2014-06-15 22:41:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-16_02,Washer Dryer,2014-06-16 14:11:00,2014-06-16 16:07:00,2014-06-16 14:16:00,2014-06-16 16:12:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-16_03,Washer Dryer,2014-06-16 17:31:00,2014-06-16 19:53:00,2014-06-16 20:00:00,2014-06-16 22:22:00,2,1,1.0,149,SUCCESS,,summer
Washer_Dryer_2014-06-16_04,Washer Dryer,2014-06-16 20:05:00,2014-06-16 20:10:00,2014-06-16 20:10:00,2014-06-16 20:15:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-16_06,Washer Dryer,2014-06-16 22:45:00,2014-06-16 23:12:00,2014-06-16 22:45:00,2014-06-16 23:12:00,1,1,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Washer_Dryer_2014-06-17_04,Washer Dryer,2014-06-17 16:09:00,2014-06-17 16:14:00,2014-06-17 16:14:00,2014-06-17 16:19:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-17_08,Washer Dryer,2014-06-17 18:10:00,2014-06-17 18:23:00,2014-06-17 20:00:00,2014-06-17 20:13:00,2,1,1.0,110,SUCCESS,,summer
Washer_Dryer_2014-06-19_01,Washer Dryer,2014-06-19 21:30:00,2014-06-19 21:40:00,2014-06-19 21:35:00,2014-06-19 21:45:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-06-26_01,Washer Dryer,2014-06-26 20:26:00,2014-06-26 21:17:00,2014-06-26 20:31:00,2014-06-26 21:22:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-07-04_01,Washer Dryer,2014-07-04 21:42:00,2014-07-04 23:33:00,2014-07-04 21:42:00,2014-07-04 23:33:00,1,1,0.0,0,FAILED,所有候选区间都不满足约束条件 (时长/禁止区间/5分钟延迟),
Washer_Dryer_2014-07-06_02,Washer Dryer,2014-07-06 17:59:00,2014-07-06 18:25:00,2014-07-06 20:00:00,2014-07-06 20:26:00,2,1,1.0,121,SUCCESS,,summer
Washer_Dryer_2014-07-06_03,Washer Dryer,2014-07-06 18:27:00,2014-07-06 20:08:00,2014-07-06 20:00:00,2014-07-06 21:41:00,2,1,1.0,93,SUCCESS,,summer
Washer_Dryer_2014-07-11_04,Washer Dryer,2014-07-11 20:22:00,2014-07-11 20:55:00,2014-07-11 20:27:00,2014-07-11 21:00:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-07-12_02,Washer Dryer,2014-07-12 21:32:00,2014-07-12 21:56:00,2014-07-12 21:37:00,2014-07-12 22:01:00,1,1,0.1,5,SUCCESS,,summer
Washer_Dryer_2014-07-13_10,Washer Dryer,2014-07-13 18:04:00,2014-07-13 20:16:00,2014-07-13 20:00:00,2014-07-13 22:12:00,2,1,1.0,116,SUCCESS,,summer
