event_id,appliance_name,appliance_id,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,price_level_profile,primary_price_level,start_price_level,end_price_level,optimization_potential
Washing_Machine_2013-09-20_01,Washing Machine,Appliance2,Shiftable,2013-09-20 07:49:00,2013-09-20 09:29:00,100.0,72063.57,True,"{""0"": 0, ""1"": 100}",1,1,1,1.0
Washing_Machine_2013-09-22_02,Washing Machine,Appliance2,Shiftable,2013-09-22 08:47:00,2013-09-22 08:54:00,7.0,36.6,True,"{""0"": 0, ""1"": 7}",1,1,1,1.0
Washing_Machine_2013-09-22_03,Washing Machine,Appliance2,Shiftable,2013-09-22 09:05:00,2013-09-22 11:51:00,166.0,45503.92,True,"{""0"": 0, ""1"": 166}",1,1,1,1.0
Washing_Machine_2013-09-22_04,Washing Machine,Appliance2,Shiftable,2013-09-22 17:05:00,2013-09-22 17:13:00,8.0,40.8,True,"{""0"": 0, ""1"": 8}",1,1,1,1.0
Washing_Machine_2013-09-23_01,Washing Machine,Appliance2,Shiftable,2013-09-23 19:07:00,2013-09-23 21:31:00,144.0,76629.05,True,"{""0"": 91, ""1"": 53}",0,1,0,0.0
Washing_Machine_2013-09-24_01,Washing Machine,Appliance2,Shiftable,2013-09-24 08:19:00,2013-09-24 08:26:00,7.0,36.67,True,"{""0"": 0, ""1"": 7}",1,1,1,1.0
Washing_Machine_2013-09-25_01,Washing Machine,Appliance2,Shiftable,2013-09-25 13:21:00,2013-09-25 16:17:00,176.0,48849.71,True,"{""0"": 159, ""1"": 17}",0,0,1,0.0
Washing_Machine_2013-09-26_01,Washing Machine,Appliance2,Shiftable,2013-09-26 09:21:00,2013-09-26 11:05:00,104.0,61051.43,True,"{""0"": 0, ""1"": 104}",1,1,1,1.0
Washing_Machine_2013-09-29_01,Washing Machine,Appliance2,Shiftable,2013-09-29 14:50:00,2013-09-29 17:35:00,165.0,44917.25,True,"{""0"": 70, ""1"": 95}",1,0,1,1.0
Washing_Machine_2013-10-01_01,Washing Machine,Appliance2,Shiftable,2013-10-01 18:17:00,2013-10-01 20:47:00,150.0,77701.21,True,"{""0"": 47, ""1"": 103}",1,1,0,1.0
Washing_Machine_2013-10-02_01,Washing Machine,Appliance2,Shiftable,2013-10-02 17:19:00,2013-10-02 19:50:00,151.0,78212.99,True,"{""0"": 0, ""1"": 151}",1,1,1,1.0
Washing_Machine_2013-10-04_01,Washing Machine,Appliance2,Shiftable,2013-10-04 12:55:00,2013-10-04 14:31:00,96.0,34930.03,True,"{""0"": 91, ""1"": 5}",0,1,0,0.0
Washing_Machine_2013-10-06_01,Washing Machine,Appliance2,Shiftable,2013-10-06 15:13:00,2013-10-06 17:37:00,144.0,75209.64,True,"{""0"": 47, ""1"": 97}",1,0,1,1.0
Washing_Machine_2013-10-07_01,Washing Machine,Appliance2,Shiftable,2013-10-07 14:50:00,2013-10-07 17:44:00,174.0,45428.07,True,"{""0"": 70, ""1"": 104}",1,0,1,1.0
Washing_Machine_2013-10-11_01,Washing Machine,Appliance2,Shiftable,2013-10-11 13:10:00,2013-10-11 16:05:00,175.0,51349.21,True,"{""0"": 170, ""1"": 5}",0,0,1,0.0
Washing_Machine_2013-10-13_01,Washing Machine,Appliance2,Shiftable,2013-10-13 17:16:00,2013-10-13 18:49:00,93.0,34487.16,True,"{""0"": 0, ""1"": 93}",1,1,1,1.0
Washing_Machine_2013-10-15_01,Washing Machine,Appliance2,Shiftable,2013-10-15 08:05:00,2013-10-15 09:37:00,92.0,29950.78,True,"{""0"": 0, ""1"": 92}",1,1,1,1.0
Washing_Machine_2013-10-20_01,Washing Machine,Appliance2,Shiftable,2013-10-20 14:57:00,2013-10-20 17:15:00,138.0,74985.95,True,"{""0"": 63, ""1"": 75}",1,0,1,1.0
Washing_Machine_2013-10-21_01,Washing Machine,Appliance2,Shiftable,2013-10-21 07:06:00,2013-10-21 09:33:00,147.0,75701.14,True,"{""0"": 0, ""1"": 147}",1,1,1,1.0
Washing_Machine_2013-10-23_01,Washing Machine,Appliance2,Shiftable,2013-10-23 07:28:00,2013-10-23 09:56:00,148.0,72942.39,True,"{""0"": 0, ""1"": 148}",1,1,1,1.0
Washing_Machine_2013-10-23_02,Washing Machine,Appliance2,Shiftable,2013-10-23 12:44:00,2013-10-23 14:20:00,96.0,67386.82,True,"{""0"": 80, ""1"": 16}",0,1,0,0.0
Washing_Machine_2013-12-26_01,Washing Machine,Appliance2,Shiftable,2013-12-26 15:25:00,2014-02-13 16:08:00,70603.0,37614.22,True,"{""0"": 35, ""1"": 8}",0,0,1,0.0
Washing_Machine_2014-02-17_01,Washing Machine,Appliance2,Shiftable,2014-02-17 22:56:00,2014-02-18 01:50:00,174.0,6658.5,True,"{""0"": 0, ""1"": 64}",1,1,0,1.0
Washing_Machine_2014-02-18_01,Washing Machine,Appliance2,Shiftable,2014-02-18 09:56:00,2014-02-18 13:23:00,207.0,891.57,True,"{""0"": 23, ""1"": 184}",1,1,0,1.0
Washing_Machine_2014-02-18_02,Washing Machine,Appliance2,Shiftable,2014-02-18 17:52:00,2014-02-18 18:47:00,55.0,1339.0,True,"{""0"": 0, ""1"": 55}",1,1,1,1.0
Washing_Machine_2014-02-20_01,Washing Machine,Appliance2,Shiftable,2014-02-20 20:54:00,2014-02-20 22:49:00,115.0,32146.36,True,"{""0"": 66, ""1"": 49}",0,0,1,0.0
Washing_Machine_2014-02-21_01,Washing Machine,Appliance2,Shiftable,2014-02-21 18:42:00,2014-02-22 16:01:00,1279.0,12.0,True,"{""0"": 120, ""1"": 198}",1,1,1,1.0
Washing_Machine_2014-02-24_01,Washing Machine,Appliance2,Shiftable,2014-02-24 11:18:00,2014-02-24 12:51:00,93.0,9979.52,True,"{""0"": 0, ""1"": 93}",1,1,1,1.0
Washing_Machine_2014-02-26_01,Washing Machine,Appliance2,Shiftable,2014-02-26 09:38:00,2014-02-26 09:48:00,10.0,1038.66,True,"{""0"": 0, ""1"": 10}",1,1,1,1.0
Washing_Machine_2014-03-02_01,Washing Machine,Appliance2,Shiftable,2014-03-02 16:41:00,2014-03-02 19:26:00,165.0,22062.83,True,"{""0"": 0, ""1"": 165}",1,1,1,1.0
Washing_Machine_2014-03-03_02,Washing Machine,Appliance2,Shiftable,2014-03-03 14:06:00,2014-03-03 16:48:00,162.0,46987.45,True,"{""0"": 114, ""1"": 48}",0,0,1,0.0
Washing_Machine_2014-03-04_01,Washing Machine,Appliance2,Shiftable,2014-03-04 09:28:00,2014-03-04 12:13:00,165.0,46320.3,True,"{""0"": 0, ""1"": 165}",1,1,1,1.0
Washing_Machine_2014-03-07_01,Washing Machine,Appliance2,Shiftable,2014-03-07 08:37:00,2014-03-07 08:45:00,8.0,44.92,True,"{""0"": 0, ""1"": 8}",1,1,1,1.0
Washing_Machine_2014-03-07_02,Washing Machine,Appliance2,Shiftable,2014-03-07 19:58:00,2014-03-07 21:32:00,94.0,22217.74,True,"{""0"": 92, ""1"": 2}",0,1,0,0.0
Washing_Machine_2014-03-08_01,Washing Machine,Appliance2,Shiftable,2014-03-08 09:22:00,2014-03-08 12:01:00,159.0,75463.12,True,"{""0"": 0, ""1"": 159}",1,1,1,1.0
Washing_Machine_2014-03-09_01,Washing Machine,Appliance2,Shiftable,2014-03-09 06:51:00,2014-03-09 08:21:00,90.0,11809.15,True,"{""0"": 0, ""1"": 90}",1,1,1,1.0
Washing_Machine_2014-03-10_02,Washing Machine,Appliance2,Shiftable,2014-03-10 15:57:00,2014-03-10 17:33:00,96.0,40976.54,True,"{""0"": 3, ""1"": 93}",1,0,1,1.0
Washing_Machine_2014-03-12_01,Washing Machine,Appliance2,Shiftable,2014-03-12 14:38:00,2014-03-12 16:22:00,104.0,41008.39,True,"{""0"": 82, ""1"": 22}",0,0,1,0.0
Washing_Machine_2014-03-14_01,Washing Machine,Appliance2,Shiftable,2014-03-14 10:46:00,2014-03-14 12:27:00,101.0,41173.92,True,"{""0"": 0, ""1"": 101}",1,1,1,1.0
Washing_Machine_2014-03-16_01,Washing Machine,Appliance2,Shiftable,2014-03-16 18:00:00,2014-03-16 19:42:00,102.0,34387.69,True,"{""0"": 0, ""1"": 102}",1,1,1,1.0
Washing_Machine_2014-03-17_01,Washing Machine,Appliance2,Shiftable,2014-03-17 10:13:00,2014-03-17 11:54:00,101.0,71323.62,True,"{""0"": 0, ""1"": 101}",1,1,1,1.0
Washing_Machine_2014-03-18_01,Washing Machine,Appliance2,Shiftable,2014-03-18 16:53:00,2014-03-18 18:19:00,86.0,34027.81,True,"{""0"": 0, ""1"": 86}",1,1,1,1.0
Washing_Machine_2014-03-20_01,Washing Machine,Appliance2,Shiftable,2014-03-20 12:29:00,2014-03-20 15:26:00,177.0,45940.98,True,"{""0"": 146, ""1"": 31}",0,1,0,0.0
Washing_Machine_2014-03-22_01,Washing Machine,Appliance2,Shiftable,2014-03-22 13:26:00,2014-03-22 16:11:00,165.0,47609.39,True,"{""0"": 154, ""1"": 11}",0,0,1,0.0
Washing_Machine_2014-03-23_01,Washing Machine,Appliance2,Shiftable,2014-03-23 17:11:00,2014-03-23 18:54:00,103.0,40561.07,True,"{""0"": 0, ""1"": 103}",1,1,1,1.0
Washing_Machine_2014-03-26_01,Washing Machine,Appliance2,Shiftable,2014-03-26 15:04:00,2014-03-26 17:45:00,161.0,47263.55,True,"{""0"": 56, ""1"": 105}",1,0,1,1.0
Washing_Machine_2014-03-28_01,Washing Machine,Appliance2,Shiftable,2014-03-28 17:13:00,2014-03-28 18:45:00,92.0,37650.79,True,"{""0"": 0, ""1"": 92}",1,1,1,1.0
Washing_Machine_2014-03-29_01,Washing Machine,Appliance2,Shiftable,2014-03-29 19:50:00,2014-03-29 22:43:00,173.0,27276.5,True,"{""0"": 120, ""1"": 53}",0,1,1,0.0
Washing_Machine_2014-03-31_01,Washing Machine,Appliance2,Shiftable,2014-03-31 15:41:00,2014-03-31 18:27:00,166.0,47292.89,True,"{""0"": 19, ""1"": 147}",1,0,1,1.0
Washing_Machine_2014-04-01_01,Washing Machine,Appliance2,Shiftable,2014-04-01 19:19:00,2014-04-01 20:54:00,95.0,25792.69,True,"{""0"": 54, ""1"": 41}",0,1,0,0.0
Washing_Machine_2014-04-02_01,Washing Machine,Appliance2,Shiftable,2014-04-02 06:17:00,2014-04-02 08:12:00,115.0,38968.29,True,"{""0"": 0, ""1"": 115}",1,1,1,1.0
Washing_Machine_2014-04-03_01,Washing Machine,Appliance2,Shiftable,2014-04-03 07:07:00,2014-04-03 07:14:00,7.0,32.81,True,"{""0"": 0, ""1"": 7}",1,1,1,1.0
Washing_Machine_2014-04-05_01,Washing Machine,Appliance2,Shiftable,2014-04-05 16:40:00,2014-04-05 19:33:00,173.0,43580.63,True,"{""0"": 0, ""1"": 173}",1,1,1,1.0
Washing_Machine_2014-04-07_01,Washing Machine,Appliance2,Shiftable,2014-04-07 18:49:00,2014-04-07 21:36:00,167.0,46560.41,True,"{""0"": 96, ""1"": 71}",0,1,0,0.0
Washing_Machine_2014-04-09_01,Washing Machine,Appliance2,Shiftable,2014-04-09 12:49:00,2014-04-09 14:27:00,98.0,38503.57,True,"{""0"": 87, ""1"": 11}",0,1,0,0.0
Washing_Machine_2014-04-10_01,Washing Machine,Appliance2,Shiftable,2014-04-10 14:28:00,2014-04-10 17:20:00,172.0,47843.7,True,"{""0"": 92, ""1"": 80}",0,0,1,0.0
Washing_Machine_2014-04-12_01,Washing Machine,Appliance2,Shiftable,2014-04-12 06:17:00,2014-04-12 07:27:00,70.0,33265.48,True,"{""0"": 0, ""1"": 70}",1,1,1,1.0
Washing_Machine_2014-04-13_01,Washing Machine,Appliance2,Shiftable,2014-04-13 18:18:00,2014-04-13 19:49:00,91.0,26922.68,True,"{""0"": 0, ""1"": 91}",1,1,1,1.0
Washing_Machine_2014-04-15_01,Washing Machine,Appliance2,Shiftable,2014-04-15 08:19:00,2014-04-15 09:59:00,100.0,37719.4,True,"{""0"": 0, ""1"": 100}",1,1,1,1.0
Washing_Machine_2014-04-15_02,Washing Machine,Appliance2,Shiftable,2014-04-15 17:10:00,2014-04-15 18:49:00,99.0,27727.32,True,"{""0"": 0, ""1"": 99}",1,1,1,1.0
Washing_Machine_2014-04-17_01,Washing Machine,Appliance2,Shiftable,2014-04-17 09:09:00,2014-04-17 10:47:00,98.0,41322.57,True,"{""0"": 0, ""1"": 98}",1,1,1,1.0
Washing_Machine_2014-04-18_01,Washing Machine,Appliance2,Shiftable,2014-04-18 08:55:00,2014-04-18 10:27:00,92.0,24942.72,True,"{""0"": 0, ""1"": 92}",1,1,1,1.0
Washing_Machine_2014-04-21_01,Washing Machine,Appliance2,Shiftable,2014-04-21 19:28:00,2014-04-21 22:17:00,169.0,39456.56,True,"{""0"": 120, ""1"": 49}",0,1,1,0.0
Washing_Machine_2014-04-23_02,Washing Machine,Appliance2,Shiftable,2014-04-23 14:51:00,2014-04-23 16:26:00,95.0,36146.56,True,"{""0"": 69, ""1"": 26}",0,0,1,0.0
Washing_Machine_2014-04-24_01,Washing Machine,Appliance2,Shiftable,2014-04-24 15:26:00,2014-04-24 17:01:00,95.0,39084.12,True,"{""0"": 34, ""1"": 61}",1,0,1,1.0
