event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Washing_Machine_2014-01-18_01,Washing Machine,2014-01-18 08:26:00,2014-01-18 10:56:00,2014-01-19 06:00:00,2014-01-19 08:30:00,1,0,1.0,1294,SUCCESS,,
Washing_Machine_2014-01-18_02,Washing Machine,2014-01-18 11:56:00,2014-01-18 13:03:00,2014-01-19 06:00:00,2014-01-19 07:07:00,1,0,1.0,1084,SUCCESS,,
Washing_Machine_2014-01-18_03,Washing Machine,2014-01-18 14:01:00,2014-01-18 15:13:00,2014-01-19 06:00:00,2014-01-19 07:12:00,1,0,1.0,959,SUCCESS,,
Washing_Machine_2014-01-19_01,Washing Machine,2014-01-19 08:59:00,2014-01-19 10:08:00,2014-01-20 06:00:00,2014-01-20 07:09:00,1,0,1.0,1261,SUCCESS,,
Washing_Machine_2014-01-19_02,Washing Machine,2014-01-19 10:15:00,2014-01-19 11:23:00,2014-01-20 06:00:00,2014-01-20 07:08:00,1,0,1.0,1185,SUCCESS,,
Washing_Machine_2014-01-19_03,Washing Machine,2014-01-19 11:53:00,2014-01-19 13:04:00,2014-01-20 06:00:00,2014-01-20 07:11:00,1,0,1.0,1087,SUCCESS,,
Washing_Machine_2014-01-20_01,Washing Machine,2014-01-20 16:58:00,2014-01-20 18:07:00,2014-01-21 06:00:00,2014-01-21 07:09:00,1,0,1.0,782,SUCCESS,,
Washing_Machine_2014-01-21_01,Washing Machine,2014-01-21 08:43:00,2014-01-21 09:42:00,2014-01-22 06:00:00,2014-01-22 06:59:00,1,0,1.0,1277,SUCCESS,,
Washing_Machine_2014-01-21_02,Washing Machine,2014-01-21 16:00:00,2014-01-21 16:10:00,2014-01-22 06:00:00,2014-01-22 06:10:00,1,0,1.0,840,SUCCESS,,
Washing_Machine_2014-01-23_01,Washing Machine,2014-01-23 17:29:00,2014-01-23 18:06:00,2014-01-24 06:00:00,2014-01-24 06:37:00,1,0,1.0,751,SUCCESS,,
