event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Washing_Machine_2013-09-20_01,Washing Machine,2013-09-20 07:49:00,2013-09-20 09:29:00,2013-09-20 07:54:00,2013-09-20 09:34:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-09-22_02,Washing Machine,2013-09-22 08:47:00,2013-09-22 08:54:00,2013-09-23 06:00:00,2013-09-23 06:07:00,1,0,1.0,1273,SUCCESS,,
Washing_Machine_2013-09-22_03,Washing Machine,2013-09-22 09:05:00,2013-09-22 11:51:00,2013-09-22 09:10:00,2013-09-22 11:56:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-09-22_04,Washing Machine,2013-09-22 17:05:00,2013-09-22 17:13:00,2013-09-23 06:00:00,2013-09-23 06:08:00,1,0,1.0,775,SUCCESS,,
Washing_Machine_2013-09-23_01,Washing Machine,2013-09-23 19:07:00,2013-09-23 21:31:00,2013-09-23 19:12:00,2013-09-23 21:36:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-09-24_01,Washing Machine,2013-09-24 08:19:00,2013-09-24 08:26:00,2013-09-25 06:00:00,2013-09-25 06:07:00,1,0,1.0,1301,SUCCESS,,
Washing_Machine_2013-09-25_01,Washing Machine,2013-09-25 13:21:00,2013-09-25 16:17:00,2013-09-25 13:26:00,2013-09-25 16:22:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-09-26_01,Washing Machine,2013-09-26 09:21:00,2013-09-26 11:05:00,2013-09-26 09:26:00,2013-09-26 11:10:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-09-29_01,Washing Machine,2013-09-29 14:50:00,2013-09-29 17:35:00,2013-09-29 14:55:00,2013-09-29 17:40:00,1,1,0.1,5,SUCCESS,,
Washing_Machine_2013-10-01_01,Washing Machine,2013-10-01 18:17:00,2013-10-01 20:47:00,2013-10-01 18:22:00,2013-10-01 20:52:00,1,1,0.1,5,SUCCESS,,
