event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,original_price_level,scheduled_price_level,optimization_score,shift_minutes,schedule_status,failure_reason,season
Tumble_Dryer_2013-09-28_02,Tumble Dryer,2013-09-28 12:47:00,2013-09-28 14:14:00,2013-09-29 06:00:00,2013-09-29 07:27:00,1,0,1.0,1033,SUCCESS,,
Tumble_Dryer_2013-09-28_03,Tumble Dryer,2013-09-28 14:16:00,2013-09-28 16:07:00,2013-09-29 06:00:00,2013-09-29 07:51:00,1,0,1.0,944,SUCCESS,,
Tumble_Dryer_2013-09-28_09,Tumble Dryer,2013-09-28 16:31:00,2013-09-28 17:34:00,2013-09-29 06:00:00,2013-09-29 07:03:00,1,0,1.0,809,SUCCESS,,
Tumble_Dryer_2013-09-28_16,Tumble Dryer,2013-09-28 17:56:00,2013-09-28 19:19:00,2013-09-29 06:00:00,2013-09-29 07:23:00,1,0,1.0,724,SUCCESS,,
Tumble_Dryer_2013-09-28_17,Tumble Dryer,2013-09-28 19:22:00,2013-09-28 19:27:00,2013-09-29 06:00:00,2013-09-29 06:05:00,1,0,1.0,638,SUCCESS,,
Tumble_Dryer_2013-09-28_19,Tumble Dryer,2013-09-28 19:34:00,2013-09-28 19:41:00,2013-09-29 06:00:00,2013-09-29 06:07:00,1,0,1.0,626,SUCCESS,,
Tumble_Dryer_2013-09-29_02,Tumble Dryer,2013-09-29 07:13:00,2013-09-29 07:52:00,2013-09-29 07:18:00,2013-09-29 07:57:00,1,0,1.0,5,SUCCESS,,
Tumble_Dryer_2013-09-29_08,Tumble Dryer,2013-09-29 08:11:00,2013-09-29 08:16:00,2013-09-30 06:00:00,2013-09-30 06:05:00,1,0,1.0,1309,SUCCESS,,
Tumble_Dryer_2013-09-29_13,Tumble Dryer,2013-09-29 08:35:00,2013-09-29 08:40:00,2013-09-30 06:00:00,2013-09-30 06:05:00,1,0,1.0,1285,SUCCESS,,
Tumble_Dryer_2013-09-29_28,Tumble Dryer,2013-09-29 09:44:00,2013-09-29 10:49:00,2013-09-30 06:00:00,2013-09-30 07:05:00,1,0,1.0,1216,SUCCESS,,
Tumble_Dryer_2013-09-29_30,Tumble Dryer,2013-09-29 12:21:00,2013-09-29 13:21:00,2013-09-30 06:00:00,2013-09-30 07:00:00,1,0,1.0,1059,SUCCESS,,
Tumble_Dryer_2013-10-04_01,Tumble Dryer,2013-10-04 10:48:00,2013-10-04 11:59:00,2013-10-05 06:00:00,2013-10-05 07:11:00,1,0,1.0,1152,SUCCESS,,
