event_id,appliance_name,appliance_ID,Shiftability,original_start_time,original_end_time,duration(min),energy(W),is_reschedulable
Fridge-Freezer_2014-06-01_01,Fridge-Freezer,Appliance1,Base,2014-06-01 01:30:00,2014-06-01 02:21:00,51.0,4484.52,False
Fridge-Freezer_2014-06-01_02,Fridge-Freezer,Appliance1,Base,2014-06-01 03:12:00,2014-06-01 03:43:00,31.0,2769.57,False
Fridge-Freezer_2014-06-01_03,Fridge-Freezer,Appliance1,Base,2014-06-01 04:41:00,2014-06-01 05:24:00,43.0,4395.31,False
Fridge-Freezer_2014-06-01_04,Fridge-Freezer,Appliance1,Base,2014-06-01 06:35:00,2014-06-01 07:05:00,30.0,2720.2,False
Fridge-Freezer_2014-06-01_05,Fridge-Freezer,Appliance1,Base,2014-06-01 07:14:00,2014-06-01 07:37:00,23.0,1776.36,False
Fridge-Freezer_2014-06-01_06,Fridge-Freezer,Appliance1,Base,2014-06-01 08:15:00,2014-06-01 08:47:00,32.0,2843.16,False
Fridge-Freezer_2014-06-01_07,Fridge-Freezer,Appliance1,Base,2014-06-01 09:49:00,2014-06-01 10:28:00,39.0,4571.42,False
Fridge-Freezer_2014-06-01_08,Fridge-Freezer,Appliance1,Base,2014-06-01 11:37:00,2014-06-01 12:09:00,32.0,2839.28,False
Fridge-Freezer_2014-06-01_09,Fridge-Freezer,Appliance1,Base,2014-06-01 12:18:00,2014-06-01 12:40:00,22.0,1717.18,False
Fridge-Freezer_2014-06-01_10,Fridge-Freezer,Appliance1,Base,2014-06-01 13:17:00,2014-06-01 13:49:00,32.0,2851.69,False
Fridge-Freezer_2014-06-01_11,Fridge-Freezer,Appliance1,Base,2014-06-01 14:47:00,2014-06-01 15:31:00,44.0,4679.2,False
Fridge-Freezer_2014-06-01_12,Fridge-Freezer,Appliance1,Base,2014-06-01 16:39:00,2014-06-01 17:36:00,57.0,4853.6,False
Fridge-Freezer_2014-06-01_13,Fridge-Freezer,Appliance1,Base,2014-06-01 18:19:00,2014-06-01 18:52:00,33.0,2924.88,False
Fridge-Freezer_2014-06-01_14,Fridge-Freezer,Appliance1,Base,2014-06-01 19:38:00,2014-06-01 20:32:00,54.0,4707.44,False
Fridge-Freezer_2014-06-01_15,Fridge-Freezer,Appliance1,Base,2014-06-01 21:40:00,2014-06-01 22:27:00,47.0,4818.33,False
Fridge-Freezer_2014-06-01_16,Fridge-Freezer,Appliance1,Base,2014-06-01 23:20:00,2014-06-01 23:53:00,33.0,2918.91,False
Fridge-Freezer_2014-06-02_01,Fridge-Freezer,Appliance1,Base,2014-06-02 00:29:00,2014-06-02 00:51:00,22.0,1748.27,False
Fridge-Freezer_2014-06-02_02,Fridge-Freezer,Appliance1,Base,2014-06-02 01:00:00,2014-06-02 01:33:00,33.0,2976.46,False
Fridge-Freezer_2014-06-02_03,Fridge-Freezer,Appliance1,Base,2014-06-02 02:41:00,2014-06-02 03:20:00,39.0,4771.1,False
Fridge-Freezer_2014-06-02_04,Fridge-Freezer,Appliance1,Base,2014-06-02 04:21:00,2014-06-02 04:54:00,33.0,2912.71,False
Fridge-Freezer_2014-06-02_05,Fridge-Freezer,Appliance1,Base,2014-06-02 05:21:00,2014-06-02 05:44:00,23.0,1795.45,False
Fridge-Freezer_2014-06-02_06,Fridge-Freezer,Appliance1,Base,2014-06-02 06:02:00,2014-06-02 06:35:00,33.0,2858.62,False
Fridge-Freezer_2014-06-02_07,Fridge-Freezer,Appliance1,Base,2014-06-02 06:37:00,2014-06-02 06:42:00,5.0,43.1,False
Fridge-Freezer_2014-06-02_08,Fridge-Freezer,Appliance1,Base,2014-06-02 07:28:00,2014-06-02 08:16:00,48.0,4860.39,False
Fridge-Freezer_2014-06-02_09,Fridge-Freezer,Appliance1,Base,2014-06-02 09:24:00,2014-06-02 10:20:00,56.0,3823.92,False
Fridge-Freezer_2014-06-02_10,Fridge-Freezer,Appliance1,Base,2014-06-02 11:02:00,2014-06-02 11:36:00,34.0,2973.06,False
Fridge-Freezer_2014-06-02_11,Fridge-Freezer,Appliance1,Base,2014-06-02 11:37:00,2014-06-02 11:47:00,10.0,80.0,False
Fridge-Freezer_2014-06-02_12,Fridge-Freezer,Appliance1,Base,2014-06-02 11:49:00,2014-06-02 12:19:00,30.0,2025.59,False
Fridge-Freezer_2014-06-02_13,Fridge-Freezer,Appliance1,Base,2014-06-02 12:43:00,2014-06-02 13:17:00,34.0,3068.02,False
Fridge-Freezer_2014-06-02_14,Fridge-Freezer,Appliance1,Base,2014-06-02 13:51:00,2014-06-02 14:16:00,25.0,1912.96,False
Fridge-Freezer_2014-06-02_15,Fridge-Freezer,Appliance1,Base,2014-06-02 14:24:00,2014-06-02 14:58:00,34.0,3039.63,False
Fridge-Freezer_2014-06-02_16,Fridge-Freezer,Appliance1,Base,2014-06-02 15:51:00,2014-06-02 16:39:00,48.0,5386.3,False
Fridge-Freezer_2014-06-02_17,Fridge-Freezer,Appliance1,Base,2014-06-02 17:39:00,2014-06-02 18:22:00,43.0,5307.1,False
Fridge-Freezer_2014-06-02_18,Fridge-Freezer,Appliance1,Base,2014-06-02 19:19:00,2014-06-02 20:20:00,61.0,5076.37,False
Fridge-Freezer_2014-06-02_19,Fridge-Freezer,Appliance1,Base,2014-06-02 20:59:00,2014-06-02 21:34:00,35.0,3137.11,False
Fridge-Freezer_2014-06-02_20,Fridge-Freezer,Appliance1,Base,2014-06-02 21:54:00,2014-06-02 22:20:00,26.0,2015.3,False
Fridge-Freezer_2014-06-02_21,Fridge-Freezer,Appliance1,Base,2014-06-02 22:40:00,2014-06-02 23:14:00,34.0,3069.8,False
Fridge-Freezer_2014-06-03_01,Fridge-Freezer,Appliance1,Base,2014-06-03 00:01:00,2014-06-03 00:55:00,54.0,5045.27,False
Fridge-Freezer_2014-06-03_02,Fridge-Freezer,Appliance1,Base,2014-06-03 02:01:00,2014-06-03 02:36:00,35.0,5178.5,False
Fridge-Freezer_2014-06-03_03,Fridge-Freezer,Appliance1,Base,2014-06-03 03:42:00,2014-06-03 04:16:00,34.0,3094.61,False
Fridge-Freezer_2014-06-03_04,Fridge-Freezer,Appliance1,Base,2014-06-03 04:20:00,2014-06-03 04:44:00,24.0,1894.77,False
Fridge-Freezer_2014-06-03_05,Fridge-Freezer,Appliance1,Base,2014-06-03 05:22:00,2014-06-03 05:56:00,34.0,3062.46,False
Fridge-Freezer_2014-06-03_06,Fridge-Freezer,Appliance1,Base,2014-06-03 06:29:00,2014-06-03 07:37:00,68.0,5882.54,False
Fridge-Freezer_2014-06-03_07,Fridge-Freezer,Appliance1,Base,2014-06-03 08:42:00,2014-06-03 09:17:00,35.0,4997.07,False
Fridge-Freezer_2014-06-03_08,Fridge-Freezer,Appliance1,Base,2014-06-03 10:24:00,2014-06-03 10:58:00,34.0,3023.35,False
Fridge-Freezer_2014-06-03_09,Fridge-Freezer,Appliance1,Base,2014-06-03 11:01:00,2014-06-03 11:28:00,27.0,1988.54,False
Fridge-Freezer_2014-06-03_10,Fridge-Freezer,Appliance1,Base,2014-06-03 11:59:00,2014-06-03 12:34:00,35.0,3125.7,False
Fridge-Freezer_2014-06-03_11,Fridge-Freezer,Appliance1,Base,2014-06-03 13:08:00,2014-06-03 13:35:00,27.0,1921.07,False
Fridge-Freezer_2014-06-03_12,Fridge-Freezer,Appliance1,Base,2014-06-03 13:40:00,2014-06-03 14:16:00,36.0,3126.44,False
Fridge-Freezer_2014-06-03_13,Fridge-Freezer,Appliance1,Base,2014-06-03 15:08:00,2014-06-03 15:58:00,50.0,5110.9,False
Fridge-Freezer_2014-06-03_14,Fridge-Freezer,Appliance1,Base,2014-06-03 16:40:00,2014-06-03 16:45:00,5.0,65.93,False
Fridge-Freezer_2014-06-03_15,Fridge-Freezer,Appliance1,Base,2014-06-03 16:48:00,2014-06-03 17:51:00,63.0,8122.08,False
Fridge-Freezer_2014-06-03_16,Fridge-Freezer,Appliance1,Base,2014-06-03 18:39:00,2014-06-03 19:23:00,44.0,6046.73,False
Fridge-Freezer_2014-06-03_17,Fridge-Freezer,Appliance1,Base,2014-06-03 20:16:00,2014-06-03 21:07:00,51.0,5385.78,False
Fridge-Freezer_2014-06-03_18,Fridge-Freezer,Appliance1,Base,2014-06-03 21:53:00,2014-06-03 22:30:00,37.0,3326.87,False
Fridge-Freezer_2014-06-03_19,Fridge-Freezer,Appliance1,Base,2014-06-03 22:39:00,2014-06-03 23:03:00,24.0,1817.52,False
Fridge-Freezer_2014-06-03_20,Fridge-Freezer,Appliance1,Base,2014-06-03 23:30:00,2014-06-04 00:06:00,36.0,3247.36,False
Fridge-Freezer_2014-06-04_01,Fridge-Freezer,Appliance1,Base,2014-06-04 00:40:00,2014-06-04 01:02:00,22.0,1795.75,False
Fridge-Freezer_2014-06-04_02,Fridge-Freezer,Appliance1,Base,2014-06-04 01:09:00,2014-06-04 01:44:00,35.0,3199.59,False
Fridge-Freezer_2014-06-04_03,Fridge-Freezer,Appliance1,Base,2014-06-04 02:46:00,2014-06-04 03:24:00,38.0,4941.76,False
Fridge-Freezer_2014-06-04_04,Fridge-Freezer,Appliance1,Base,2014-06-04 04:32:00,2014-06-04 05:16:00,44.0,3812.96,False
Fridge-Freezer_2014-06-04_05,Fridge-Freezer,Appliance1,Base,2014-06-04 06:07:00,2014-06-04 06:43:00,36.0,2954.46,False
Fridge-Freezer_2014-06-04_06,Fridge-Freezer,Appliance1,Base,2014-06-04 06:51:00,2014-06-04 07:15:00,24.0,1837.22,False
Fridge-Freezer_2014-06-04_07,Fridge-Freezer,Appliance1,Base,2014-06-04 07:21:00,2014-06-04 07:27:00,6.0,52.82,False
Fridge-Freezer_2014-06-04_08,Fridge-Freezer,Appliance1,Base,2014-06-04 07:49:00,2014-06-04 08:23:00,34.0,3017.92,False
Fridge-Freezer_2014-06-04_09,Fridge-Freezer,Appliance1,Base,2014-06-04 08:43:00,2014-06-04 09:06:00,23.0,1829.57,False
Fridge-Freezer_2014-06-04_10,Fridge-Freezer,Appliance1,Base,2014-06-04 09:29:00,2014-06-04 10:03:00,34.0,3018.05,False
Fridge-Freezer_2014-06-04_11,Fridge-Freezer,Appliance1,Base,2014-06-04 10:41:00,2014-06-04 11:44:00,63.0,5432.88,False
