event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,season,duration(min),energy(W)
Tumble_Dryer_2014-05-01_05,Tumble Dryer,2014-05-01 20:35:00,2014-05-01 20:53:00,2014-05-02 06:00:00,2014-05-02 06:18:00,SUCCESS,summer,18.0,8963.22
Tumble_Dryer_2014-05-02_03,Tumble Dryer,2014-05-02 20:53:00,2014-05-02 21:17:00,2014-05-03 06:00:00,2014-05-03 06:24:00,SUCCESS,summer,24.0,44325.99
Tumble_Dryer_2014-05-07_03,Tumble Dryer,2014-05-07 18:55:00,2014-05-07 19:04:00,2014-05-08 06:00:00,2014-05-08 06:09:00,SUCCESS,summer,9.0,16741.2
Tumble_Dryer_2014-05-08_03,Tumble Dryer,2014-05-08 16:18:00,2014-05-08 17:03:00,2014-05-09 06:00:00,2014-05-09 06:45:00,SUCCESS,summer,45.0,61859.66
Tumble_Dryer_2014-05-10_03,Tumble Dryer,2014-05-10 16:44:00,2014-05-10 17:06:00,2014-05-11 06:00:00,2014-05-11 06:22:00,SUCCESS,summer,22.0,4228.83
Tumble_Dryer_2014-05-11_01,Tumble Dryer,2014-05-11 17:17:00,2014-05-11 17:51:00,2014-05-12 06:00:00,2014-05-12 06:34:00,SUCCESS,summer,34.0,6721.6
Tumble_Dryer_2014-05-11_02,Tumble Dryer,2014-05-11 19:34:00,2014-05-11 19:44:00,2014-05-12 06:34:00,2014-05-12 06:44:00,SUCCESS,summer,10.0,7012.95
Tumble_Dryer_2014-05-11_03,Tumble Dryer,2014-05-11 20:01:00,2014-05-11 20:15:00,2014-05-12 06:44:00,2014-05-12 06:58:00,SUCCESS,summer,14.0,7387.13
Tumble_Dryer_2014-05-12_03,Tumble Dryer,2014-05-12 18:37:00,2014-05-12 18:43:00,2014-05-13 06:00:00,2014-05-13 06:06:00,SUCCESS,summer,6.0,15062.77
Tumble_Dryer_2014-05-12_04,Tumble Dryer,2014-05-12 20:17:00,2014-05-12 20:48:00,2014-05-13 06:06:00,2014-05-13 06:37:00,SUCCESS,summer,31.0,8944.2
Tumble_Dryer_2014-05-13_02,Tumble Dryer,2014-05-13 19:28:00,2014-05-13 19:58:00,2014-05-14 06:00:00,2014-05-14 06:30:00,SUCCESS,summer,30.0,15834.11
Tumble_Dryer_2014-05-14_01,Tumble Dryer,2014-05-14 20:13:00,2014-05-14 20:51:00,2014-05-15 06:00:00,2014-05-15 06:38:00,SUCCESS,summer,38.0,4447.13
Tumble_Dryer_2014-05-28_01,Tumble Dryer,2014-05-28 18:34:00,2014-05-28 18:57:00,2014-05-29 06:00:00,2014-05-29 06:23:00,SUCCESS,summer,23.0,34973.54
Tumble_Dryer_2014-05-28_02,Tumble Dryer,2014-05-28 20:05:00,2014-05-28 20:48:00,2014-05-29 06:23:00,2014-05-29 07:06:00,SUCCESS,summer,43.0,7337.86
Tumble_Dryer_2014-05-29_01,Tumble Dryer,2014-05-29 17:11:00,2014-05-29 17:52:00,2014-05-30 06:00:00,2014-05-30 06:41:00,SUCCESS,summer,41.0,54609.1
Tumble_Dryer_2014-05-29_02,Tumble Dryer,2014-05-29 20:21:00,2014-05-29 20:59:00,2014-05-30 06:41:00,2014-05-30 07:19:00,SUCCESS,summer,38.0,17765.47
Tumble_Dryer_2014-06-15_01,Tumble Dryer,2014-06-15 17:26:00,2014-06-15 17:39:00,2014-06-16 06:00:00,2014-06-16 06:13:00,SUCCESS,summer,13.0,36775.56
Tumble_Dryer_2014-06-15_02,Tumble Dryer,2014-06-15 17:40:00,2014-06-15 17:48:00,2014-06-16 06:13:00,2014-06-16 06:21:00,SUCCESS,summer,8.0,9820.33
Tumble_Dryer_2014-06-28_01,Tumble Dryer,2014-06-28 17:05:00,2014-06-28 17:28:00,2014-06-29 06:00:00,2014-06-29 06:23:00,SUCCESS,summer,23.0,13155.72
Tumble_Dryer_2014-08-02_01,Tumble Dryer,2014-08-02 15:40:00,2014-08-02 15:57:00,2014-08-03 06:00:00,2014-08-03 06:17:00,SUCCESS,summer,17.0,1668.49
Tumble_Dryer_2014-08-02_02,Tumble Dryer,2014-08-02 16:01:00,2014-08-02 16:18:00,2014-08-03 06:17:00,2014-08-03 06:34:00,SUCCESS,summer,17.0,2076.03
Tumble_Dryer_2014-08-15_01,Tumble Dryer,2014-08-15 17:49:00,2014-08-15 18:27:00,2014-08-16 06:00:00,2014-08-16 06:38:00,SUCCESS,summer,38.0,28112.26
Tumble_Dryer_2014-08-16_01,Tumble Dryer,2014-08-16 20:03:00,2014-08-16 20:09:00,2014-08-17 06:00:00,2014-08-17 06:06:00,SUCCESS,summer,6.0,16511.78
Tumble_Dryer_2014-08-16_02,Tumble Dryer,2014-08-16 20:13:00,2014-08-16 20:41:00,2014-08-17 06:06:00,2014-08-17 06:34:00,SUCCESS,summer,28.0,38078.77
Tumble_Dryer_2014-08-21_03,Tumble Dryer,2014-08-21 13:59:00,2014-08-21 14:32:00,2014-08-22 06:00:00,2014-08-22 06:33:00,SUCCESS,summer,33.0,10718.75
Tumble_Dryer_2014-08-26_01,Tumble Dryer,2014-08-26 15:52:00,2014-08-26 16:09:00,2014-08-27 06:00:00,2014-08-27 06:17:00,SUCCESS,summer,17.0,43590.95
Tumble_Dryer_2014-08-27_04,Tumble Dryer,2014-08-27 15:56:00,2014-08-27 16:24:00,2014-08-28 06:00:00,2014-08-28 06:28:00,SUCCESS,summer,28.0,6610.79
Tumble_Dryer_2014-08-27_05,Tumble Dryer,2014-08-27 17:31:00,2014-08-27 17:57:00,2014-08-28 06:28:00,2014-08-28 06:54:00,SUCCESS,summer,26.0,44006.85
