event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,season,duration(min),energy(W)
Tumble_Dryer_2013-12-21_01,Tumble Dryer,2013-12-21 16:50:00,2013-12-21 17:53:00,2013-12-21 16:55:00,2013-12-21 17:58:00,SUCCESS,winter,63.0,133775.97
Tumble_Dryer_2013-12-21_02,Tumble Dryer,2013-12-21 18:16:00,2013-12-21 19:38:00,2013-12-22 06:00:00,2013-12-22 07:22:00,SUCCESS,winter,82.0,161894.47
Tumble_Dryer_2014-01-03_01,Tumble Dryer,2014-01-03 18:44:00,2014-01-03 20:12:00,2014-01-03 22:00:00,2014-01-03 23:28:00,SUCCESS,winter,88.0,140441.23
Tumble_Dryer_2014-01-03_02,Tumble Dryer,2014-01-03 20:57:00,2014-01-03 21:48:00,2014-01-04 06:00:00,2014-01-04 06:51:00,SUCCESS,winter,51.0,57546.77
Tumble_Dryer_2014-01-11_02,Tumble Dryer,2014-01-11 17:59:00,2014-01-11 18:35:00,2014-01-11 22:00:00,2014-01-11 22:36:00,SUCCESS,winter,36.0,61761.73
Tumble_Dryer_2014-01-12_01,Tumble Dryer,2014-01-12 15:56:00,2014-01-12 17:17:00,2014-01-12 16:01:00,2014-01-12 17:22:00,SUCCESS,winter,81.0,139038.46
Tumble_Dryer_2014-01-22_02,Tumble Dryer,2014-01-22 18:45:00,2014-01-22 19:46:00,2014-01-22 22:00:00,2014-01-22 23:01:00,SUCCESS,winter,61.0,69882.21
Tumble_Dryer_2014-02-12_01,Tumble Dryer,2014-02-12 19:29:00,2014-02-12 20:22:00,2014-02-12 22:00:00,2014-02-12 22:53:00,SUCCESS,winter,53.0,7366.13
Tumble_Dryer_2014-03-03_02,Tumble Dryer,2014-03-03 16:50:00,2014-03-03 18:16:00,2014-03-03 16:55:00,2014-03-03 18:21:00,SUCCESS,winter,86.0,1373.71
Tumble_Dryer_2014-03-23_01,Tumble Dryer,2014-03-23 19:07:00,2014-03-23 19:52:00,2014-03-23 22:00:00,2014-03-23 22:45:00,SUCCESS,winter,45.0,76567.4
Tumble_Dryer_2014-03-23_02,Tumble Dryer,2014-03-23 19:58:00,2014-03-23 20:29:00,2014-03-24 06:00:00,2014-03-24 06:31:00,SUCCESS,winter,31.0,38093.37
Tumble_Dryer_2014-03-24_01,Tumble Dryer,2014-03-24 18:10:00,2014-03-24 18:51:00,2014-03-24 22:00:00,2014-03-24 22:41:00,SUCCESS,winter,41.0,51276.97
Tumble_Dryer_2014-04-17_01,Tumble Dryer,2014-04-17 18:07:00,2014-04-17 20:08:00,2014-04-18 06:00:00,2014-04-18 08:01:00,SUCCESS,winter,121.0,122970.06
Tumble_Dryer_2014-11-16_01,Tumble Dryer,2014-11-16 19:48:00,2014-11-16 21:49:00,2014-11-17 06:00:00,2014-11-17 08:01:00,SUCCESS,winter,121.0,228381.45
Tumble_Dryer_2014-11-19_01,Tumble Dryer,2014-11-19 18:39:00,2014-11-19 20:25:00,2014-11-20 06:00:00,2014-11-20 07:46:00,SUCCESS,winter,106.0,172066.9
Tumble_Dryer_2014-12-09_01,Tumble Dryer,2014-12-09 18:38:00,2014-12-09 20:19:00,2014-12-10 06:00:00,2014-12-10 07:41:00,SUCCESS,winter,101.0,125153.27
Tumble_Dryer_2014-12-20_01,Tumble Dryer,2014-12-20 19:55:00,2014-12-20 21:11:00,2014-12-20 22:00:00,2014-12-20 23:16:00,SUCCESS,winter,76.0,77560.02
Tumble_Dryer_2014-12-22_01,Tumble Dryer,2014-12-22 16:59:00,2014-12-22 18:40:00,2014-12-23 06:00:00,2014-12-23 07:41:00,SUCCESS,winter,101.0,194859.76
