event_id,appliance_name,appliance_ID,Shiftability,original_start_time,original_end_time,duration(min),energy(W),is_reschedulable
Fridge_2013-10-11_01,Fridge,Appliance1,Base,2013-10-11 10:19:00,2013-10-11 10:43:00,24.0,1178.95,False
Fridge_2013-10-11_02,Fridge,Appliance1,Base,2013-10-11 12:27:00,2013-10-11 12:52:00,25.0,1197.0,False
Fridge_2013-10-11_03,Fridge,Appliance1,Base,2013-10-11 14:36:00,2013-10-11 15:01:00,25.0,1215.32,False
Fridge_2013-10-11_04,Fridge,Appliance1,Base,2013-10-11 16:39:00,2013-10-11 17:09:00,30.0,1396.4,False
Fridge_2013-10-11_05,Fridge,Appliance1,Base,2013-10-11 18:32:00,2013-10-11 18:59:00,27.0,1322.2,False
Fridge_2013-10-11_06,Fridge,Appliance1,Base,2013-10-11 20:33:00,2013-10-11 20:58:00,25.0,1244.3,False
Fridge_2013-10-11_07,Fridge,Appliance1,Base,2013-10-11 22:30:00,2013-10-11 22:54:00,24.0,1219.35,False
Fridge_2013-10-12_01,Fridge,Appliance1,Base,2013-10-12 00:34:00,2013-10-12 00:58:00,24.0,1204.72,False
Fridge_2013-10-12_02,Fridge,Appliance1,Base,2013-10-12 02:41:00,2013-10-12 03:06:00,25.0,1217.16,False
Fridge_2013-10-12_03,Fridge,Appliance1,Base,2013-10-12 04:53:00,2013-10-12 05:17:00,24.0,1211.4,False
Fridge_2013-10-12_04,Fridge,Appliance1,Base,2013-10-12 07:03:00,2013-10-12 07:28:00,25.0,1201.28,False
Fridge_2013-10-12_05,Fridge,Appliance1,Base,2013-10-12 09:18:00,2013-10-12 09:44:00,26.0,1257.83,False
Fridge_2013-10-12_06,Fridge,Appliance1,Base,2013-10-12 11:17:00,2013-10-12 11:41:00,24.0,1191.13,False
Fridge_2013-10-12_07,Fridge,Appliance1,Base,2013-10-12 13:23:00,2013-10-12 13:49:00,26.0,1252.41,False
Fridge_2013-10-12_08,Fridge,Appliance1,Base,2013-10-12 15:27:00,2013-10-12 15:51:00,24.0,1194.14,False
Fridge_2013-10-12_09,Fridge,Appliance1,Base,2013-10-12 17:19:00,2013-10-12 17:48:00,29.0,1437.91,False
Fridge_2013-10-12_10,Fridge,Appliance1,Base,2013-10-12 20:18:00,2013-10-12 20:44:00,26.0,1242.45,False
Fridge_2013-10-12_11,Fridge,Appliance1,Base,2013-10-12 22:52:00,2013-10-12 23:17:00,25.0,1248.93,False
Fridge_2013-10-13_01,Fridge,Appliance1,Base,2013-10-13 01:25:00,2013-10-13 01:50:00,25.0,1221.13,False
Fridge_2013-10-13_02,Fridge,Appliance1,Base,2013-10-13 03:58:00,2013-10-13 04:32:00,34.0,1138.82,False
Fridge_2013-10-13_03,Fridge,Appliance1,Base,2013-10-13 06:46:00,2013-10-13 06:59:00,13.0,623.32,False
Fridge_2013-10-13_04,Fridge,Appliance1,Base,2013-10-13 09:03:00,2013-10-13 09:29:00,26.0,1297.78,False
Fridge_2013-10-13_05,Fridge,Appliance1,Base,2013-10-13 11:36:00,2013-10-13 12:03:00,27.0,1334.51,False
Fridge_2013-10-13_06,Fridge,Appliance1,Base,2013-10-13 14:26:00,2013-10-13 14:52:00,26.0,1324.03,False
Fridge_2013-10-13_07,Fridge,Appliance1,Base,2013-10-13 16:53:00,2013-10-13 17:23:00,30.0,1491.32,False
Fridge_2013-10-13_08,Fridge,Appliance1,Base,2013-10-13 18:57:00,2013-10-13 19:23:00,26.0,1320.46,False
Fridge_2013-10-13_09,Fridge,Appliance1,Base,2013-10-13 21:01:00,2013-10-13 21:28:00,27.0,1251.09,False
Fridge_2013-10-13_10,Fridge,Appliance1,Base,2013-10-13 23:06:00,2013-10-13 23:31:00,25.0,1197.77,False
Fridge_2013-10-14_01,Fridge,Appliance1,Base,2013-10-14 01:13:00,2013-10-14 01:42:00,29.0,634.13,False
Fridge_2013-10-14_02,Fridge,Appliance1,Base,2013-10-14 03:25:00,2013-10-14 04:12:00,47.0,729.25,False
Fridge_2013-10-14_03,Fridge,Appliance1,Base,2013-10-14 05:42:00,2013-10-14 06:06:00,24.0,1187.65,False
Fridge_2013-10-14_04,Fridge,Appliance1,Base,2013-10-14 07:41:00,2013-10-14 08:06:00,25.0,1219.59,False
Fridge_2013-10-14_05,Fridge,Appliance1,Base,2013-10-14 09:42:00,2013-10-14 10:08:00,26.0,1265.47,False
Fridge_2013-10-14_06,Fridge,Appliance1,Base,2013-10-14 11:36:00,2013-10-14 12:04:00,28.0,1391.38,False
