event_id,appliance_name,appliance_ID,Shiftability,original_start_time,original_end_time,duration(min),energy(W),is_reschedulable
Magimix_(Blender)_2013-11-20_01,Magimix (Blender),Appliance1,Shiftable,2013-11-20 11:50:00,2013-11-20 11:53:00,3.0,15.05,True
Magimix_(Blender)_2013-11-20_02,Magimix (Blender),Appliance1,Shiftable,2013-11-20 12:06:00,2013-11-20 12:07:00,1.0,4.5,True
Magimix_(Blender)_2013-11-20_03,Magimix (Blender),Appliance1,Shiftable,2013-11-20 12:12:00,2013-11-20 12:13:00,1.0,2.2,True
Magimix_(Blender)_2013-11-20_04,Magimix (Blender),Appliance1,Shiftable,2013-11-20 13:11:00,2013-11-20 13:12:00,1.0,9.57,True
Magimix_(Blender)_2013-11-20_05,Magimix (Blender),Appliance1,Shiftable,2013-11-20 13:26:00,2013-11-20 13:27:00,1.0,11.2,True
Magimix_(Blender)_2013-11-20_06,Magimix (Blender),Appliance1,Shiftable,2013-11-20 15:09:00,2013-11-20 15:10:00,1.0,6.0,True
Magimix_(Blender)_2013-11-20_08,Magimix (Blender),Appliance1,Shiftable,2013-11-20 17:21:00,2013-11-20 17:22:00,1.0,11.7,True
Magimix_(Blender)_2013-11-20_09,Magimix (Blender),Appliance1,Shiftable,2013-11-20 17:42:00,2013-11-20 17:43:00,1.0,9.8,True
Magimix_(Blender)_2013-11-20_10,Magimix (Blender),Appliance1,Shiftable,2013-11-20 17:45:00,2013-11-20 17:47:00,2.0,9.8,True
Magimix_(Blender)_2013-11-20_11,Magimix (Blender),Appliance1,Shiftable,2013-11-20 19:13:00,2013-11-20 19:14:00,1.0,2.4,True
Magimix_(Blender)_2013-11-20_12,Magimix (Blender),Appliance1,Shiftable,2013-11-20 19:21:00,2013-11-20 19:22:00,1.0,3.33,True
Magimix_(Blender)_2013-11-20_13,Magimix (Blender),Appliance1,Shiftable,2013-11-20 21:57:00,2013-11-20 23:07:00,70.0,6315.28,True
Magimix_(Blender)_2013-11-21_01,Magimix (Blender),Appliance1,Shiftable,2013-11-21 05:29:00,2013-11-21 06:39:00,70.0,6258.49,True
Magimix_(Blender)_2013-11-21_02,Magimix (Blender),Appliance1,Shiftable,2013-11-21 07:35:00,2013-11-21 07:36:00,1.0,4.5,True
Magimix_(Blender)_2013-11-21_03,Magimix (Blender),Appliance1,Shiftable,2013-11-21 07:43:00,2013-11-21 07:44:00,1.0,3.5,True
Magimix_(Blender)_2013-11-21_04,Magimix (Blender),Appliance1,Shiftable,2013-11-21 07:45:00,2013-11-21 07:46:00,1.0,4.2,True
Magimix_(Blender)_2013-11-21_05,Magimix (Blender),Appliance1,Shiftable,2013-11-21 07:58:00,2013-11-21 07:59:00,1.0,3.0,True
Magimix_(Blender)_2013-11-21_06,Magimix (Blender),Appliance1,Shiftable,2013-11-21 08:59:00,2013-11-21 09:00:00,1.0,6.0,True
Magimix_(Blender)_2013-11-21_07,Magimix (Blender),Appliance1,Shiftable,2013-11-21 11:11:00,2013-11-21 11:14:00,3.0,12.91,True
Magimix_(Blender)_2013-11-21_08,Magimix (Blender),Appliance1,Shiftable,2013-11-21 11:44:00,2013-11-21 12:52:00,68.0,6122.71,True
Magimix_(Blender)_2013-11-21_09,Magimix (Blender),Appliance1,Shiftable,2013-11-21 13:56:00,2013-11-21 13:57:00,1.0,3.0,True
Magimix_(Blender)_2013-11-21_10,Magimix (Blender),Appliance1,Shiftable,2013-11-21 14:33:00,2013-11-21 14:35:00,2.0,11.9,True
Magimix_(Blender)_2013-11-21_11,Magimix (Blender),Appliance1,Shiftable,2013-11-21 14:45:00,2013-11-21 14:47:00,2.0,5.7,True
Magimix_(Blender)_2013-11-21_12,Magimix (Blender),Appliance1,Shiftable,2013-11-21 14:58:00,2013-11-21 15:01:00,3.0,14.9,True
Magimix_(Blender)_2013-11-21_13,Magimix (Blender),Appliance1,Shiftable,2013-11-21 17:28:00,2013-11-21 17:29:00,1.0,6.0,True
Magimix_(Blender)_2013-11-21_14,Magimix (Blender),Appliance1,Shiftable,2013-11-21 17:36:00,2013-11-21 18:46:00,70.0,6219.22,True
Magimix_(Blender)_2013-11-21_15,Magimix (Blender),Appliance1,Shiftable,2013-11-21 21:10:00,2013-11-21 21:12:00,2.0,9.9,True
Magimix_(Blender)_2013-11-21_16,Magimix (Blender),Appliance1,Shiftable,2013-11-21 23:53:00,2013-11-22 00:58:00,65.0,2397.16,True
Magimix_(Blender)_2013-11-22_01,Magimix (Blender),Appliance1,Shiftable,2013-11-22 07:23:00,2013-11-22 07:24:00,1.0,4.5,True
Magimix_(Blender)_2013-11-22_02,Magimix (Blender),Appliance1,Shiftable,2013-11-22 07:26:00,2013-11-22 08:42:00,76.0,6819.9,True
Magimix_(Blender)_2013-11-22_03,Magimix (Blender),Appliance1,Shiftable,2013-11-22 12:52:00,2013-11-22 12:54:00,2.0,10.8,True
Magimix_(Blender)_2013-11-22_04,Magimix (Blender),Appliance1,Shiftable,2013-11-22 13:52:00,2013-11-22 15:06:00,74.0,6625.64,True
Magimix_(Blender)_2013-11-22_05,Magimix (Blender),Appliance1,Shiftable,2013-11-22 18:15:00,2013-11-22 18:16:00,1.0,5.5,True
Magimix_(Blender)_2013-11-22_06,Magimix (Blender),Appliance1,Shiftable,2013-11-22 18:17:00,2013-11-22 18:18:00,1.0,6.0,True
Magimix_(Blender)_2013-11-22_07,Magimix (Blender),Appliance1,Shiftable,2013-11-22 18:58:00,2013-11-22 18:59:00,1.0,5.8,True
Magimix_(Blender)_2013-11-22_08,Magimix (Blender),Appliance1,Shiftable,2013-11-22 19:36:00,2013-11-22 19:38:00,2.0,7.5,True
Magimix_(Blender)_2013-11-22_09,Magimix (Blender),Appliance1,Shiftable,2013-11-22 20:06:00,2013-11-22 20:07:00,1.0,2.2,True
Magimix_(Blender)_2013-11-22_10,Magimix (Blender),Appliance1,Shiftable,2013-11-22 20:08:00,2013-11-22 21:20:00,72.0,6416.68,True
Magimix_(Blender)_2013-11-22_11,Magimix (Blender),Appliance1,Shiftable,2013-11-22 22:33:00,2013-11-22 22:34:00,1.0,4.5,True
Magimix_(Blender)_2013-11-23_01,Magimix (Blender),Appliance1,Shiftable,2013-11-23 03:09:00,2013-11-23 04:13:00,64.0,5833.31,True
